Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-01-14,17.70651,17.748468,17.6156,17.713505,272125.66,4815294.0,25.33,0.0,0,0,0
2010-01-15,17.685534,17.685534,17.398815,17.426788,491913.97,8613794.0,24.92,0.0,0,0,0
2010-01-19,17.552664,17.67854,17.49672,17.664553,331326.94,5830174.0,25.26,0.0,0,0,0
2010-01-20,17.370842,17.370842,17.126085,17.27294,283565.53,4887777.0,24.7,0.0,0,0,0
2010-01-21,17.126085,17.133078,16.713491,16.713491,253249.89,4261185.0,23.9,0.0,0,0,0
2010-01-22,16.678526,16.678526,16.356844,16.405796,83510.98,1379495.0,23.46,0.0,0,0,0
2010-01-25,16.68552,16.741465,16.48272,16.524677,163304.0,2714042.0,23.63,0.0,0,0,0
2010-01-26,16.293905,16.468733,16.161037,16.293905,118402.55,1935143.0,23.3,0.0,0,0,0
2010-01-27,16.182016,16.265934,15.993204,16.223976,66351.19,1068452.0,23.2,0.0,0,0,0
2010-01-28,16.412788,16.412788,15.993204,16.175024,54625.33,883604.0,23.13,0.0,0,0,0
2010-01-29,16.384817,16.447754,16.014183,16.084114,72214.11,1172731.0,23.0,0.0,0,0,0
2010-02-01,16.251947,16.489714,16.23796,16.489714,91804.875,1501618.0,23.58,0.0,0,0,0
2010-02-02,16.489714,16.594608,16.363836,16.587616,668516.8,11047258.0,23.72,0.0,0,0,0
2010-02-03,16.622581,16.64356,16.46174,16.531672,37608.54,622137.0,23.64,0.0,0,0,0
2010-02-04,16.258942,16.258942,15.776417,15.776417,118974.54,1895936.0,22.56,0.0,0,0,0
2010-02-05,15.713479,16.084114,15.23795,15.650541,94092.84,1454666.0,22.38,0.0,0,0,0
2010-02-08,15.643549,15.6785145,15.475714,15.475714,65636.195,1022252.0,22.13,0.0,0,0,0
2010-02-09,15.78341,16.049149,15.727466,15.8953,65636.195,1043977.0,22.73,0.0,0,0,0
2010-02-10,15.965231,16.021175,15.755439,15.867328,98525.79,1564298.0,22.69,0.0,0,0,0
2010-02-11,16.014183,16.27992,15.902293,16.244955,281706.53,4564076.0,23.23,0.0,0,0,0
2010-02-12,15.972224,16.07712,15.839355,16.07712,72357.11,1158067.0,22.99,0.0,0,0,0
2010-02-16,16.314886,16.419783,16.202997,16.405796,90803.88,1485315.0,23.46,0.0,0,0,0
2010-02-17,16.594608,16.594608,16.37083,16.48272,61203.25,1009035.0,23.57,0.0,0,0,0
2010-02-18,16.405796,16.601603,16.384817,16.580622,68210.164,1123912.0,23.71,0.0,0,0,0
2010-02-19,16.426775,16.531672,16.328873,16.43377,36178.555,595354.0,23.5,0.0,0,0,0
2010-02-22,16.55265,16.55265,16.37083,16.405796,62204.234,1023302.0,23.46,0.0,0,0,0
2010-02-23,16.377823,16.377823,16.049149,16.119078,58343.285,943777.0,23.05,0.0,0,0,0
2010-02-24,16.223976,16.328873,16.119078,16.286915,32174.605,522697.0,23.29,0.0,0,0,0
2010-02-25,15.979218,16.216982,15.874321,16.196003,52623.355,843463.0,23.16,0.0,0,0,0
2010-02-26,16.314886,16.496706,16.216982,16.356844,131844.38,2158512.0,23.39,0.0,0,0,0
2010-03-01,16.594608,16.727478,16.46174,16.657547,134275.34,2236707.0,23.82,0.0,0,0,0
2010-03-02,16.860348,16.888319,16.713491,16.82538,226366.22,3805626.0,24.06,0.0,0,0,0
2010-03-03,16.930277,17.007202,16.811396,16.86734,73644.09,1245110.0,24.12,0.0,0,0,0
2010-03-04,16.916292,16.916292,16.748459,16.853354,142569.25,2399440.0,24.1,0.0,0,0,0
2010-03-05,16.937271,17.196016,16.916292,17.16105,1449001.2,24838718.0,24.54,0.0,0,0,0
2010-03-08,17.258953,17.279932,17.189022,17.23098,242954.02,4188867.0,24.64,0.0,0,0,0
