Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-01-13,20.78767,20.78767,20.697002,20.729973,14679.952,304646.0,25.15,0.0,0,0,0
2011-01-14,20.729973,20.85361,20.72173,20.84537,40157.555,835768.0,25.29,0.0,0,0,0
2011-01-18,20.861853,20.98549,20.837126,20.98549,34455.426,719471.0,25.46,0.0,0,0,0
2011-01-19,21.026705,21.026705,20.655788,20.664032,67940.27,1414683.0,25.07,0.0,0,0,0
2011-01-20,20.62282,20.62282,20.449726,20.515667,19532.828,401464.0,24.89,0.0,0,0,0
2011-01-21,20.680517,20.680517,20.499182,20.499182,20867.37,429215.0,24.87,0.0,0,0,0
2011-01-24,20.532152,20.713488,20.523909,20.68876,48407.445,997695.0,25.1,0.0,0,0,0
2011-01-25,20.614576,20.680517,20.532152,20.680517,43554.566,897202.0,25.09,0.0,0,0,0
2011-01-26,20.812397,20.944279,20.771185,20.91955,49378.02,1030532.0,25.38,0.0,0,0,0
2011-01-27,20.903067,21.059673,20.903067,21.018461,32514.273,682424.0,25.5,0.0,0,0,0
2011-01-28,21.067917,21.092644,20.631063,20.647547,135637.9,2817482.0,25.05,0.0,0,0,0
2011-01-31,20.78767,21.183313,20.729973,20.812397,68789.52,1430178.0,25.25,0.0,0,0,0
2011-02-01,21.001976,21.158585,20.97725,21.150341,169972.0,3582847.0,25.66,0.0,0,0,0
2011-02-02,21.092644,21.191553,21.076159,21.084402,543764.8,11515244.0,25.58,0.0,0,0,0
2011-02-03,21.100887,21.191553,20.95252,21.166826,39672.266,837299.0,25.68,0.0,0,0,0
2011-02-04,21.216282,21.282223,21.150341,21.282223,48286.12,1025084.0,25.82,0.0,0,0,0
2011-02-07,21.389376,21.5295,21.364647,21.463558,122171.17,2623194.0,26.04,0.0,0,0,0
2011-02-08,21.50477,21.554226,21.414103,21.545982,122292.49,2628622.0,26.14,0.0,0,0,0
2011-02-09,21.53774,21.554226,21.430588,21.4718,67212.34,1444521.0,26.05,0.0,0,0,0
2011-02-10,21.405859,21.587196,21.37289,21.570711,74612.98,1605912.0,26.17,0.0,0,0,0
2011-02-11,21.545982,21.817986,21.545982,21.801502,94509.77,2054339.0,26.45,0.0,0,0,0
2011-02-14,21.8592,21.908655,21.809744,21.900412,127509.336,2787378.0,26.57,0.0,0,0,0
2011-02-15,21.8592,21.875685,21.776773,21.79326,102395.695,2234869.0,26.44,0.0,0,0,0
2011-02-16,21.900412,22.007566,21.900412,21.974594,62966.074,1381588.0,26.66,0.0,0,0,0
2011-02-17,21.982838,22.122961,21.949867,22.08999,83590.8,1843591.0,26.8,0.0,0,0,0
2011-02-18,22.164173,22.164173,22.02405,22.081749,64785.902,1431354.0,26.79,0.0,0,0,0
2011-02-22,21.900412,21.92514,21.50477,21.53774,94509.77,2052968.0,26.13,0.0,0,0,0
2011-02-23,21.554226,21.587196,21.034946,21.249252,70609.36,1508020.0,25.78,0.0,0,0,0
2011-02-24,21.224525,21.389376,21.018461,21.257496,90991.44,1933230.0,25.79,0.0,0,0,0
2011-02-25,21.405859,21.661379,21.397617,21.661379,84197.414,1814469.0,26.28,0.0,0,0,0
2011-02-28,21.834473,21.834473,21.60368,21.719076,54230.9,1180518.0,26.35,0.0,0,0,0
2011-03-01,21.842714,21.842714,21.323435,21.37289,46102.33,992734.0,25.93,0.0,0,0,0
2011-03-02,21.356405,21.570711,21.356405,21.488285,24992.314,537004.0,26.07,0.0,0,0,0
2011-03-03,21.735563,21.92514,21.735563,21.900412,89292.93,1951474.0,26.57,0.0,0,0,0
2011-03-04,21.941626,21.941626,21.653137,21.785017,60418.316,1312693.0,26.43,0.0,0,0,0
2011-03-07,21.966352,21.966352,21.414103,21.5295,52047.1,1122950.0,26.12,0.0,0,0,0
2011-03-08,21.611923,21.817986,21.455317,21.743803,29117.26,632707.0,26.38,0.0,0,0,0
2011-03-09,21.735563,21.735563,21.59544,21.677864,26812.145,581249.0,26.3,0.0,0,0,0
2011-03-10,21.455317,21.455317,21.224525,21.298708,118774.16,2535012.0,25.84,0.0,0,0,0
2011-03-11,21.100887,21.521255,21.100887,21.463558,99969.26,2128424.0,26.04,0.0,0,0,0
2011-03-14,21.356405,21.37289,21.17507,21.323435,45253.074,963041.0,25.87,0.0,0,0,0
2011-03-15,20.870096,21.232767,20.664032,21.17507,88443.68,1854641.0,25.69,0.0,0,0,0
2011-03-16,21.100887,21.224525,20.812397,20.878338,119502.086,2508489.0,25.33,0.0,0,0,0
2011-03-17,21.208038,21.208038,20.95252,21.018461,130057.09,2742368.0,25.5,0.0,0,0,0
2011-03-18,21.24101,21.24101,21.092644,21.117373,118288.87,2504619.0,25.62,0.0,0,0,0
2011-03-21,21.428808,21.552721,21.387503,21.54446,80862.734,1737655.0,26.08,0.0,0,0,0
2011-03-22,21.560984,21.585764,21.395763,21.420547,43578.72,935931.0,25.93,0.0,0,0,0
2011-03-23,21.412287,21.486635,21.247066,21.44533,45757.656,979492.0,25.96,0.0,0,0,0
2011-03-24,21.585764,21.676636,21.395763,21.651852,53626.035,1159415.0,26.21,0.0,0,0,0
2011-03-25,21.742722,21.932724,21.668375,21.800549,86067.97,1879564.0,26.39,0.0,0,0,0
2011-03-28,21.891418,21.891418,21.693157,21.701418,270672.25,5911134.0,26.27,0.0,0,0,0
2011-03-29,21.701418,21.883158,21.602287,21.874897,125530.92,2740106.0,26.48,0.0,0,0,0
2011-03-30,21.965767,22.147507,21.965767,22.114464,99383.69,2197759.0,26.77,0.0,0,0,0
2011-03-31,22.114464,22.230116,22.081419,22.213594,88852.164,1972118.0,26.89,0.0,0,0,0
2011-04-01,22.320988,22.395336,22.26316,22.320988,75415.39,1685806.0,27.02,0.0,0,0,0
2011-04-04,22.42838,22.42838,22.329248,22.345768,38252.43,856344.0,27.05,0.0,0,0,0
2011-04-05,22.411856,22.585337,22.387074,22.486204,36194.547,814607.0,27.22,0.0,0,0,0
2011-04-06,22.667946,22.667946,22.42838,22.502726,78078.54,1759173.0,27.24,0.0,0,0,0
2011-04-07,22.568813,22.568813,22.304464,22.387074,95146.87,2135231.0,27.1,0.0,0,0,0
2011-04-08,22.52751,22.52751,22.114464,22.221855,41520.836,923839.0,26.9,0.0,0,0,0
2011-04-11,22.304464,22.304464,22.031855,22.073158,31231.416,691535.0,26.72,0.0,0,0,0
2011-04-12,21.97403,22.00707,21.80881,21.866636,75536.445,1653780.0,26.47,0.0,0,0,0
2011-04-13,22.031855,22.056639,21.866636,21.940985,34257.715,752182.0,26.56,0.0,0,0,0
2011-04-14,21.81707,21.98229,21.784027,21.97403,34136.664,747212.0,26.6,0.0,0,0,0
2011-04-15,22.031855,22.16403,21.957506,22.139246,33047.195,731298.0,26.8,0.0,0,0,0
2011-04-18,21.924463,21.924463,21.676636,21.825333,130857.21,2848207.0,26.42,0.0,0,0,0
2011-04-19,21.907942,21.940985,21.792288,21.940985,60647.05,1328221.0,26.56,0.0,0,0,0
2011-04-20,22.329248,22.329248,22.221855,22.279682,66699.65,1485727.0,26.97,0.0,0,0,0
2011-04-21,22.4449,22.461422,22.329248,22.461422,66699.65,1495177.0,27.19,0.0,0,0,0
2011-04-25,22.42838,22.510988,22.370552,22.469685,72025.94,1616793.0,27.2,0.0,0,0,0
2011-04-26,22.510988,22.700989,22.510988,22.659685,177946.44,4032342.0,27.43,0.0,0,0,0
2011-04-27,22.71751,22.816643,22.585337,22.80838,100836.31,2287134.0,27.61,0.0,0,0,0
2011-04-28,22.791859,22.89925,22.783598,22.841423,104467.875,2384279.0,27.65,0.0,0,0,0
2011-04-29,22.89925,22.940556,22.80838,22.915771,58104.957,1330358.0,27.74,0.0,0,0,0
2011-05-02,23.039686,23.039686,22.775337,22.824902,81104.836,1861889.0,27.63,0.0,0,0,0
2011-05-03,22.80012,22.80012,22.494465,22.585337,73841.72,1670222.0,27.34,0.0,0,0,0
2011-05-04,22.593597,22.593597,22.304464,22.403597,90789.0,2035207.0,27.12,0.0,0,0,0
2011-05-05,22.27142,22.53577,22.197073,22.345768,55320.76,1235979.0,27.05,0.0,0,0,0
2011-05-06,22.601858,22.684465,22.345768,22.420116,87036.38,1957614.0,27.14,0.0,0,0,0
2011-05-09,22.4449,22.659685,22.43664,22.643162,60526.0,1366555.0,27.41,0.0,0,0,0
2011-05-10,22.692728,22.932295,22.684465,22.882729,70210.16,1603154.0,27.7,0.0,0,0,0
2011-05-11,22.874468,22.874468,22.52751,22.643162,95873.18,2175212.0,27.41,0.0,0,0,0
2011-05-12,22.53577,22.783598,22.43664,22.750555,25420.92,575761.0,27.54,0.0,0,0,0
2011-05-13,22.767075,22.767075,22.502726,22.510988,26268.283,593594.0,27.25,0.0,0,0,0
2011-05-16,22.42838,22.577074,22.304464,22.33751,100473.16,2253084.0,27.04,0.0,0,0,0
2011-05-17,22.205334,22.279682,22.064898,22.180552,43336.613,960456.0,26.85,0.0,0,0,0
2011-05-18,22.221855,22.560553,22.205334,22.552292,29536.688,663709.0,27.3,0.0,0,0,0
2011-05-19,22.692728,22.692728,22.461422,22.601858,43578.72,984247.0,27.36,0.0,0,0,0
2011-05-20,22.544031,22.544031,22.329248,22.4449,100473.16,2249947.0,27.17,0.0,0,0,0
2011-05-23,22.139246,22.17229,22.056639,22.089682,148893.95,3289991.0,26.74,0.0,0,0,0
2011-05-24,22.16403,22.213594,21.98229,22.040115,34741.92,767644.0,26.68,0.0,0,0,0
2011-05-25,22.015333,22.24664,21.97403,22.197073,25299.867,559534.0,26.87,0.0,0,0,0
2011-05-26,22.17229,22.420116,22.147507,22.387074,154099.19,3445425.0,27.1,0.0,0,0,0
2011-05-27,22.510988,22.585337,22.461422,22.519249,33531.402,755337.0,27.26,0.0,0,0,0
2011-05-31,22.791859,22.791859,22.568813,22.734034,36557.703,829497.0,27.52,0.0,0,0,0
2011-06-01,22.71751,22.72577,22.205334,22.221855,43457.668,976189.0,26.9,0.0,0,0,0
2011-06-02,22.24664,22.312725,22.089682,22.180552,25663.023,569150.0,26.85,0.0,0,0,0
2011-06-03,21.883158,22.073158,21.81707,21.899681,54594.45,1198758.0,26.51,0.0,0,0,0
2011-06-06,21.850115,21.874897,21.5362,21.552721,61615.465,1337982.0,26.09,0.0,0,0,0
2011-06-07,21.693157,21.759245,21.594027,21.618809,42852.406,929349.0,26.17,0.0,0,0,0
2011-06-08,21.552721,21.577505,21.379242,21.395763,52052.36,1117049.0,25.9,0.0,0,0,0
2011-06-09,21.395763,21.602287,21.395763,21.527939,87883.75,1893596.0,26.06,0.0,0,0,0
2011-06-10,21.404026,21.437069,21.147938,21.205763,277693.28,5891703.0,25.67,0.0,0,0,0
2011-06-13,21.197502,21.304895,21.040545,21.114893,24573.555,520183.0,25.56,0.0,0,0,0
