Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-11-25,1421.5,1421.5,1412.5,1412.5,4.0,5668.0,28.25,0.0,0,0,0
2008-11-26,1328.0,1351.0,1195.5,1195.5,250.0,332796.0,23.91,0.0,0,0,0
2008-11-28,1294.0,1358.5,1294.0,1337.0,228.0,303963.0,26.74,0.0,0,0,0
2008-12-01,1395.0,1461.0,1360.0,1461.0,242.0,338965.0,29.22,0.0,0,0,0
2008-12-02,1407.0,1580.0,1405.5,1565.5,182.0,275254.0,31.31,0.0,0,0,0
2008-12-03,1603.0001,1631.5,1510.0,1600.0,452.0,721290.0,32.0,0.0,0,0,0
2008-12-04,1671.9999,1843.5,1602.5,1836.0,1084.0,1886593.0,36.72,0.0,0,0,0
2008-12-05,1895.5,2067.5,1852.5,1959.0,2176.0,4268398.0,39.18,0.0,0,0,0
2008-12-08,1790.5001,1846.9999,1682.5001,1709.0,1712.0,3008266.0,34.18,0.0,0,0,0
2008-12-09,1800.4999,1898.5,1710.0,1873.5,550.0,996569.0,37.47,0.0,0,0,0
2008-12-10,1742.0,1895.9999,1581.5,1759.4999,2518.0,4370001.0,35.19,0.0,0,0,0
2008-12-11,1599.0,1604.9999,1348.5,1445.0,3602.0,5350644.0,28.9,0.0,0,0,0
2008-12-12,1605.5,1615.0,1426.5,1447.5,1260.0,1917625.0,28.95,0.0,0,0,0
2008-12-15,1309.0,1575.0,1287.0,1575.0,1290.0,1848247.0,31.5,0.0,0,0,0
2008-12-16,1491.0,1668.5,1455.0,1591.5,2502.0,3819665.0,31.83,0.0,0,0,0
2008-12-17,1602.0,1736.5,1535.0,1650.4999,1862.0,3055663.0,33.01,0.0,0,0,0
2008-12-18,1770.5,1914.5,1769.5,1913.5,1512.0,2785844.0,38.27,0.0,0,0,0
2008-12-19,1945.0001,2019.0,1809.0,1850.0,1524.0,2883164.0,37.0,0.0,0,0,0
2008-12-22,1876.0,2086.0,1825.4999,2080.0,2714.0,5370327.0,41.6,0.0,0,0,0
2008-12-23,2051.0,2279.0,2031.5,2172.0,3530.0,7597248.0,43.44,0.0,0,0,0
2008-12-24,2319.5,2368.0,2272.5,2312.5,1748.0,4053952.0,46.25,0.0,0,0,0
2008-12-26,2499.0,2499.0,2209.5,2245.0,3682.0,8633719.0,44.9,0.0,0,0,0
2008-12-29,2048.5,2235.5,1957.0,1965.0,3886.0,8169518.0,39.3,0.0,0,0,0
2008-12-30,2057.0,2137.5,1966.5001,1970.0001,3686.0,7528525.0,39.4,0.0,0,0,0
2008-12-31,2075.0,2075.0,1515.0,1583.0,20104.0,34755696.0,31.66,0.0,0,0,0
2009-01-02,1501.5,1531.5,1338.5,1360.0,16052.0,22552416.0,27.2,0.0,0,0,0
2009-01-05,1354.0,1373.0,1199.5,1233.5,16648.0,21251504.0,24.67,0.0,0,0,0
2009-01-06,1151.0,1239.5,1127.0,1209.0,16518.0,19460846.0,24.18,0.0,0,0,0
2009-01-07,1237.5,1465.5,1237.0,1465.5,24118.0,32790832.0,29.31,0.0,0,0,0
2009-01-08,1495.5,1587.5,1460.0,1471.0,30836.0,47194496.0,29.42,0.0,0,0,0
2009-01-09,1562.5,1645.0001,1516.5,1551.5,17738.0,28097258.0,31.03,0.0,0,0,0
2009-01-12,1679.0001,1726.0,1648.5,1705.5,17788.0,30130736.0,34.11,0.0,0,0,0
2009-01-13,1687.9999,1716.5001,1538.0,1587.0,22908.0,37126880.0,31.74,0.0,0,0,0
2009-01-14,1612.9999,1774.5001,1612.9999,1645.9999,24072.0,40757384.0,32.92,0.0,0,0,0
2009-01-15,1678.0001,1895.9999,1678.0001,1755.5,22322.0,39420316.0,35.11,0.0,0,0,0
2009-01-16,1662.9999,1820.5,1643.5,1789.0,18156.0,31700104.0,35.78,0.0,0,0,0
2009-01-20,1895.0001,1964.0,1687.5,1935.0,23240.0,43092070.0,38.7,0.0,0,0,0
2009-01-21,1883.4999,1933.0,1620.9999,1637.0001,24862.0,44313160.0,32.74,0.0,0,0,0
2009-01-22,1784.4999,1909.4999,1652.0,1733.0,19000.0,33743336.0,34.66,0.0,0,0,0
2009-01-23,1800.0,1830.5,1409.0,1488.0,32920.0,51772950.0,29.76,0.0,0,0,0
2009-01-26,1474.0,1508.5,1320.5,1498.5,23612.0,33449348.0,29.97,0.0,0,0,0
2009-01-27,1599.5,1772.5,1580.0,1733.0,22402.0,37472720.0,34.66,0.0,0,0,0
2009-01-28,1750.0,1845.0001,1594.0,1703.5,39432.0,68099064.0,34.07,0.0,0,0,0
2009-01-29,1817.0,1839.5,1704.9999,1771.5,20518.0,36404780.0,35.43,0.0,0,0,0
2009-01-30,1670.9999,1799.0,1645.9999,1757.5001,22836.0,39493830.0,35.15,0.0,0,0,0
2009-02-02,1859.0,1895.9999,1729.9999,1856.0,38408.0,69657900.0,37.12,0.0,0,0,0
2009-02-03,1903.0001,1903.0001,1787.9999,1798.5,19296.0,35495668.0,35.97,0.0,0,0,0
2009-02-04,1734.4999,1912.0001,1721.5,1869.0,32330.0,58765270.0,37.38,0.0,0,0,0
2009-02-05,1873.5,1937.5,1777.5,1810.5,35430.0,65476588.0,36.21,0.0,0,0,0
2009-02-06,1982.5001,1982.5001,1655.5,1870.0001,47328.0,87024120.0,37.4,0.0,0,0,0
2009-02-09,1760.0,1926.5,1679.9999,1888.5,43056.0,77955470.0,37.77,0.0,0,0,0
2009-02-10,1756.5,2105.0,1753.0001,2060.5,53140.0,103489350.0,41.21,0.0,0,0,0
2009-02-11,2079.5,2234.0,2023.0,2185.5,30528.0,64839184.0,43.71,0.0,0,0,0
2009-02-12,2250.5,2317.0,2161.0,2214.0,35688.0,80449496.0,44.28,0.0,0,0,0
2009-02-13,2241.5,2411.5,2227.5,2363.5,41584.0,96562620.0,47.27,0.0,0,0,0
2009-02-17,2625.5,2791.5,2607.5,2783.0,25692.0,69460120.0,55.66,0.0,0,0,0
2009-02-18,2775.0,2972.0,2758.0,2959.5,38182.0,110802060.0,59.19,0.0,0,0,0
2009-02-19,2754.0,2988.0,2519.0,2597.5,44924.0,122372300.0,51.95,0.0,0,0,0
2009-02-20,2781.5,2812.5,2562.5,2592.5,46870.0,126384720.0,51.85,0.0,0,0,0
2009-02-23,2438.5,2762.0,2429.5,2711.5,49664.0,128652110.0,54.23,0.0,0,0,0
2009-02-24,2585.5,2707.0,2473.0,2501.0,26118.0,68139900.0,50.02,0.0,0,0,0
2009-02-25,2441.0,2541.0,2240.0,2283.0,41908.0,99058984.0,45.66,0.0,0,0,0
2009-02-26,2142.5,2155.5,1974.5001,2035.0,33730.0,69906610.0,40.7,0.0,0,0,0
2009-02-27,2136.0,2192.0,2014.5,2070.5,26250.0,54896360.0,41.41,0.0,0,0,0
2009-03-02,2271.5,2445.0,2243.5,2434.5,24930.0,59219220.0,48.69,0.0,0,0,0
2009-03-03,2254.0,2478.5,2234.0,2264.5,24528.0,57597384.0,45.29,0.0,0,0,0
2009-03-04,2036.5,2068.0,1890.0,1935.0,29850.0,59131210.0,38.7,0.0,0,0,0
2009-03-05,1960.0,2097.0,1937.0001,2037.5,26750.0,53414400.0,40.75,0.0,0,0,0
2009-03-06,1914.5,2015.0,1837.5,1849.0,20204.0,38703790.0,36.98,0.0,0,0,0
2009-03-09,1871.9999,1875.0,1708.4999,1827.0,19580.0,35180464.0,36.54,0.0,0,0,0
2009-03-10,1760.0,1933.0,1736.5,1917.0,17118.0,31374726.0,38.34,0.0,0,0,0
2009-03-11,1988.5,2167.0,1910.0,2101.0,31414.0,64563464.0,42.02,0.0,0,0,0
2009-03-12,2113.5,2119.5,1742.4999,1781.5,26996.0,52643010.0,35.63,0.0,0,0,0
2009-03-13,1757.5001,1864.5,1693.0,1856.0,30520.0,54554190.0,37.12,0.0,0,0,0
2009-03-16,1935.0,1975.0,1732.5001,1774.0,26768.0,48629828.0,35.48,0.0,0,0,0
2009-03-17,1721.5,1743.5,1567.0,1623.5,30434.0,50094668.0,32.47,0.0,0,0,0
2009-03-18,1634.4999,1753.5,1563.5,1596.5,29756.0,49713052.0,31.93,0.0,0,0,0
2009-03-19,1462.0,1541.5,1438.0,1499.0,26952.0,40005932.0,29.98,0.0,0,0,0
2009-03-20,1501.0,1511.5,1425.0,1460.0,20840.0,30510072.0,29.2,0.0,0,0,0
2009-03-23,1474.5,1481.5,1354.0,1360.0,20992.0,29329602.0,27.2,0.0,0,0,0
2009-03-24,1420.5,1432.0,1352.5,1382.5,16838.0,23519402.0,27.65,0.0,0,0,0
2009-03-25,1430.0,1459.5,1345.0,1409.0,26666.0,37575330.0,28.18,0.0,0,0,0
2009-03-26,1334.0,1392.0,1326.5,1343.0,26838.0,36434196.0,26.86,0.0,0,0,0
2009-03-27,1420.5,1461.0,1412.5,1441.5,21862.0,31423672.0,28.83,0.0,0,0,0
2009-03-30,1538.0,1654.9999,1529.0,1629.9999,21644.0,34416556.0,32.6,0.0,0,0,0
2009-03-31,1633.4999,1683.4999,1541.0,1592.0,15052.0,24487346.0,31.84,0.0,0,0,0
2009-04-01,1688.5,1705.5,1629.0001,1639.0,15790.0,26266348.0,32.78,0.0,0,0,0
2009-04-02,1393.5,1436.0,1337.0,1367.5,41414.0,57023350.0,27.35,0.0,0,0,0
2009-04-03,1386.0,1431.0,1351.5,1364.5,20212.0,27839908.0,27.29,0.0,0,0,0
2009-04-06,1451.0,1494.0,1384.5,1431.5,13704.0,19848462.0,28.63,0.0,0,0,0
2009-04-07,1515.5,1550.0,1486.5,1543.0,12280.0,18678616.0,30.86,0.0,0,0,0
2009-04-08,1597.5,1616.0,1408.5,1498.0,22576.0,33798868.0,29.96,0.0,0,0,0
2009-04-09,1373.5,1452.0,1357.0,1371.0,20410.0,28496544.0,27.42,0.0,0,0,0
2009-04-13,1509.0,1518.0,1386.5,1457.5,26506.0,38697570.0,29.15,0.0,0,0,0
2009-04-14,1459.0,1501.0,1412.5,1500.5,18006.0,26444962.0,30.01,0.0,0,0,0
2009-04-15,1509.0,1545.5,1478.0,1493.0,12958.0,19580704.0,29.86,0.0,0,0,0
