Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-02-11,19130.52,19192.055,18361.322,18463.094,20.280891,377700.0,78.01,0.0,0,0,0
2010-02-12,19019.281,19163.654,18633.5,18803.906,15.2106695,288559.0,79.45,0.0,0,0,0
2010-02-16,18313.986,18328.188,17653.66,17719.932,25.773634,463700.0,74.87,0.0,0,0,0
2010-02-17,17568.459,17618.16,17390.951,17478.521,24.083559,421690.0,73.85,0.0,0,0,0
2010-02-18,17547.156,17547.156,16993.336,17026.47,100.1369,1731578.0,71.94,0.0,0,0,0
2010-02-19,17149.541,17260.78,16796.895,16979.135,237.87796,4048234.0,71.74,0.0,0,0,0
2010-02-22,16796.895,17092.74,16796.895,17069.072,40.561783,688875.0,72.12,0.0,0,0,0
2010-02-23,17130.607,17558.992,16912.865,17544.79,142.81128,2485746.0,74.13,0.0,0,0,0
2010-02-24,17367.283,17461.953,16974.402,17076.172,204.07648,3494703.0,72.15,0.0,0,0,0
2010-02-25,17847.736,17958.973,17298.646,17298.646,192.24596,3389481.0,73.09,0.0,0,0,0
2010-02-26,17267.879,17549.523,17166.11,17298.646,150.41661,2605421.0,73.09,0.0,0,0,0
2010-03-01,17090.373,17151.908,16860.797,16919.965,86.61631,1470536.0,71.49,0.0,0,0,0
2010-03-02,16803.994,16943.633,16673.822,16929.432,118.72772,1993144.0,71.53,0.0,0,0,0
2010-03-03,16777.96,17007.535,16614.652,16936.533,75.63083,1267575.0,71.56,0.0,0,0,0
2010-03-04,16837.129,16898.666,16685.656,16697.49,51.12475,859259.0,70.55,0.0,0,0,0
2010-03-05,16567.318,16567.318,16091.6,16112.901,344.35266,5643777.0,68.08,0.0,0,0,0
2010-03-08,16108.167,16179.17,16108.167,16174.436,33.801487,546053.0,68.34,0.0,0,0,0
2010-03-09,16188.638,16205.205,15951.961,16103.434,89.57394,1441178.0,68.04,0.0,0,0,0
2010-03-10,16058.465,16191.005,15951.961,16072.667,80.70105,1297659.0,67.91,0.0,0,0,0
2010-03-11,16143.668,16304.608,15859.658,15859.658,109.43231,1758200.0,67.01,0.0,0,0,0
2010-03-12,15660.85,15914.093,15660.85,15802.8545,186.33069,2949430.0,66.77,0.0,0,0,0
2010-03-15,15838.356,15985.096,15712.918,15720.019,56.194973,890569.0,66.42,0.0,0,0,0
2010-03-16,15646.649,15793.389,15488.077,15488.077,131.8258,2063006.0,65.44,0.0,0,0,0
2010-03-17,15409.974,15409.974,15168.5625,15331.87,74.78579,1143175.0,64.78,0.0,0,0,0
