Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-06-12,123.37486,128.72255,123.37486,128.72255,19771.547,2488959.0,71.49,0.0,0,0,0
2008-06-13,128.05635,128.05635,128.05635,128.05635,55.53805,7112.0005,71.12,0.0,0,0,0
2008-06-17,126.25578,126.3098,126.25578,126.3098,111.0761,14027.0,70.15,0.0,0,0,0
2008-06-18,131.4234,131.99959,128.40205,128.47047,5276.115,682122.0,71.35,0.0,0,0,0
2008-06-19,128.74055,132.59377,127.84028,127.9123,3521.1125,457763.0,71.04,0.0,0,0,0
2008-06-20,130.90123,135.94283,128.84859,130.41508,3576.6506,466321.0,72.43,0.0,0,0,0
2008-06-23,131.4414,135.04254,131.4414,134.32231,2526.9814,337672.0,74.6,0.0,0,0,0
2008-06-24,134.82648,135.69075,131.85555,132.08961,5220.577,703012.0,73.36,0.0,0,0,0
2008-06-25,128.47047,133.60208,128.47047,131.96358,1505.0812,195977.0,73.29,0.0,0,0,0
2008-06-26,134.77246,135.93742,134.66443,135.93742,5248.346,709612.0,75.497,0.0,0,0,0
2008-06-27,137.92345,140.87637,136.66306,138.91377,4054.2778,562538.0,77.15,0.0,0,0,0
2008-06-30,139.27388,141.63263,139.27388,141.63263,8460.667,1185246.0,78.66,0.0,0,0,0
2008-07-01,143.59525,144.98167,139.50797,140.44424,6728.99,958539.0,78.0,0.0,0,0,0
2008-07-02,139.0758,142.01074,138.55365,142.01074,2260.3987,315442.0,78.87,0.0,0,0,0
2008-07-03,141.34453,143.48721,141.34453,142.821,1171.8529,166884.0,79.32,0.0,0,0,0
2008-07-07,141.34453,151.51775,138.4096,151.12161,5297.775,783295.0,83.93,0.0,0,0,0
2008-07-08,147.64651,152.12993,136.23093,137.31126,6255.806,912094.0,76.26,0.0,0,0,0
2008-07-09,136.03287,146.026,136.03287,145.98999,4197.566,591306.0,81.08,0.0,0,0,0
2008-07-10,145.84595,151.0856,144.72977,148.15067,7577.612,1115915.0,82.28,0.0,0,0,0
2008-07-11,153.04822,155.56902,146.6382,150.85152,10912.116,1649779.0,83.78,0.0,0,0,0
2008-07-14,77.42439,167.45276,77.42439,157.65767,44454.324,6967975.0,87.56,0.0,0,0,0
2008-07-15,161.51088,167.70483,154.05653,160.81767,43729.55,7022705.0,89.315,0.0,0,0,0
2008-07-16,157.53163,159.55727,144.33328,144.33328,16058.828,2463766.0,80.1599,0.0,0,0,0
2008-07-17,137.81541,142.42487,134.97052,136.1661,43523.504,5997418.0,75.624,0.0,0,0,0
2008-07-18,134.68243,137.97728,132.82784,134.01622,7037.2266,948779.0,74.43,0.0,0,0,0
2008-07-21,131.4414,136.84311,130.84721,136.84311,11318.655,1507317.0,76.0,0.0,0,0,0
2008-07-22,138.87775,139.81406,127.15607,128.50648,17994.328,2400017.0,71.37,0.0,0,0,0
2008-07-23,127.98432,127.98432,121.61031,124.70729,22326.297,2792147.0,69.26,0.0,0,0,0
2008-07-24,126.54387,132.88187,125.08541,132.88187,32212.07,4183934.0,73.8,0.0,0,0,0
2008-07-25,133.42203,134.82648,129.92894,134.50237,19327.242,2573557.0,74.7,0.0,0,0,0
2008-07-28,133.06192,138.64368,130.86523,138.64368,23714.748,3198883.0,77.0,0.0,0,0,0
2008-07-29,137.90544,138.89575,129.02866,129.02866,25436.428,3413918.0,71.66,0.0,0,0,0
2008-07-30,127.84028,129.91093,124.23914,126.903984,17716.639,2252098.0,70.48,0.0,0,0,0
