Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-03-22,37.66714,37.66714,37.526417,37.526417,8207.552,308265.0,40.0,0.0,0,0,0
2011-03-23,37.67652,37.67652,37.526417,37.526417,6288.9033,236262.0,40.0,0.0,0,0,0
2011-03-24,37.55456,37.55456,37.460747,37.460747,1812.0569,67950.0,39.93,0.0,0,0,0
2011-03-25,37.517036,37.517036,37.47951,37.498272,3837.2969,143884.0,39.97,0.0,0,0,0
2011-03-28,37.54518,37.54518,37.451363,37.460747,106378.4,3988507.0,39.93,0.0,0,0,0
2011-03-29,37.488888,37.54518,37.338783,37.376312,44235.504,1656397.0,39.84,0.0,0,0,0
2011-03-30,37.470127,37.470127,37.376312,37.385693,71842.73,2687912.0,39.85,0.0,0,0,0
2011-03-31,37.432602,37.441982,37.395077,37.441982,21638.09,809626.0,39.91,0.0,0,0,0
2011-04-01,37.395077,37.432602,37.329403,37.432602,62249.48,2325908.0,39.9,0.0,0,0,0
2011-04-04,37.423218,37.423218,37.198063,37.226204,54468.297,2033631.0,39.68,0.0,0,0,0
2011-04-05,37.301258,37.301258,37.169914,37.1793,65020.863,2417728.0,39.63,0.0,0,0,0
2011-04-06,37.198063,37.207443,37.132393,37.14177,92628.08,3443290.0,39.59,0.0,0,0,0
2011-04-07,37.160534,37.169914,37.094864,37.094864,42636.633,1582484.0,39.54,0.0,0,0,0
2011-04-08,37.11363,37.169914,37.08548,37.14177,37307.05,1385891.0,39.59,0.0,0,0,0
2011-04-11,37.12301,37.12301,37.094864,37.104244,2558.198,94934.0,39.55,0.0,0,0,0
2011-04-12,37.12301,37.282497,37.12301,37.169914,25795.162,961086.0,39.62,0.0,0,0,0
2011-04-13,37.18868,37.18868,37.12301,37.12301,2451.6062,91099.0,39.57,0.0,0,0,0
2011-04-14,37.094864,37.226204,37.094864,37.207443,14176.68,526617.0,39.66,0.0,0,0,0
2011-04-15,37.198063,37.198063,37.12301,37.169914,30698.375,1140275.0,39.62,0.0,0,0,0
2011-04-18,37.291878,37.301258,37.263733,37.291878,3624.1138,135092.0,39.75,0.0,0,0,0
2011-04-19,37.263733,37.263733,37.207443,37.207443,2025.24,75409.0,39.66,0.0,0,0,0
2011-04-20,37.104244,37.104244,37.01043,37.01043,213.18315,7900.0,39.45,0.0,0,0,0
2011-04-21,37.038574,37.038574,36.935375,36.935375,639.5495,23642.0,39.37,0.0,0,0,0
2011-04-25,36.925995,36.94476,36.89785,36.90723,3304.3389,121997.0,39.34,0.0,0,0,0
2011-04-26,36.91661,36.91661,36.888466,36.888466,6502.0864,239939.0,39.32,0.0,0,0,0
2011-04-27,36.879086,36.879086,36.85094,36.85094,3943.8884,145338.0,39.28,0.0,0,0,0
2011-04-28,36.84156,36.84156,36.813416,36.813416,1598.8737,58871.0,39.24,0.0,0,0,0
2011-04-29,36.74774,36.78527,36.72898,36.74774,4476.846,164509.0,39.17,0.0,0,0,0
2011-05-02,36.72898,36.72898,36.66331,36.691456,2984.5642,109534.0,39.11,0.0,0,0,0
