Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-01,4090.841,4092.626,4080.7285,4080.7285,5.043217,20616.0,68.6,0.0,0,0,0
2007-02-05,4068.8315,4068.8315,4057.529,4057.529,55.475388,225662.0,68.21,0.0,0,0,0
2007-02-06,4009.9407,4009.9407,4006.9663,4006.9663,18.491796,74131.0,67.36,0.0,0,0,0
2007-02-07,3970.0847,3970.0847,3970.0847,3970.0847,1.6810724,6674.0,66.74,0.0,0,0,0
2007-02-08,4021.2427,4026.0017,4001.0178,4014.6992,115.99399,465425.0,67.49,0.0,0,0,0
2007-02-09,3985.5513,4127.1274,3985.5513,4095.6,226.94476,930293.0,68.85,0.0,0,0,0
2007-02-12,4130.102,4143.7837,4117.015,4130.102,97.5022,402942.0,69.43,0.0,0,0,0
2007-02-13,4105.7124,4105.7124,4062.288,4066.4521,186.59903,761002.0,68.36,0.0,0,0,0
2007-02-14,3988.5256,3999.2332,3986.1462,3991.4998,97.5022,389179.0,67.1,0.0,0,0,0
2007-02-15,3988.5256,3998.6382,3987.9307,3995.0693,20.172869,80498.0,67.16,0.0,0,0,0
2007-02-16,4012.3198,4012.3198,4001.6123,4001.6123,11.767507,47127.0,67.27,0.0,0,0,0
2007-02-20,4017.6736,4021.2427,3948.0754,3948.0754,60.518604,239905.0,66.37,0.0,0,0,0
2007-02-21,3987.9307,3992.0947,3961.1619,3961.1619,42.02681,167481.0,66.59,0.0,0,0,0
2007-02-22,3963.5413,4021.8376,3963.5413,4015.2942,127.7615,512454.0,67.5,0.0,0,0,0
2007-02-23,4042.6577,4111.0664,4042.6577,4089.6514,174.83153,711781.0,68.75,0.0,0,0,0
2007-02-26,4079.539,4194.9414,4079.539,4162.224,196.68547,813038.0,69.97,0.0,0,0,0
2007-02-27,4229.4434,4577.435,4166.9834,4444.187,2773.7693,11933823.0,74.71,0.0,0,0,0
2007-02-28,4431.6953,4521.519,4342.4663,4406.711,1107.8267,4880718.0,74.08,0.0,0,0,0
2007-03-01,4592.3066,4616.101,4362.0967,4420.3926,684.1965,3058352.0,74.31,0.0,0,0,0
2007-03-02,4422.772,4520.924,4413.849,4520.924,363.11163,1618185.0,76.0,0.0,0,0,0
