Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-12-06,12.164583,12.337576,12.164583,12.266807,437091.75,5370999.0,15.6,0.0,0,0,0
2005-12-07,12.266807,12.282533,12.125266,12.140992,435947.22,5321010.0,15.44,0.0,0,0,0
2005-12-08,12.148856,12.25108,12.140992,12.2039,450317.7,5490745.0,15.52,0.0,0,0,0
2005-12-09,12.258944,12.376893,12.164583,12.2432165,375158.78,4588784.0,15.57,0.0,0,0,0
2005-12-12,12.384756,12.424073,12.258944,12.32185,400974.78,4944187.0,15.67,0.0,0,0,0
2005-12-13,12.32185,12.46339,12.306123,12.369029,419160.44,5193474.0,15.73,0.0,0,0,0
2005-12-14,12.46339,12.46339,12.34544,12.431937,380500.0,4730322.0,15.81,0.0,0,0,0
2005-12-15,12.455526,12.455526,12.337576,12.369029,245570.03,3039992.0,15.73,0.0,0,0,0
2005-12-16,12.424073,12.431937,12.235353,12.25108,261720.94,3225709.0,15.58,0.0,0,0,0
2005-12-19,12.258944,12.258944,12.078086,12.101677,205002.02,2498309.0,15.39,0.0,0,0,0
2005-12-20,12.180309,12.188173,12.101677,12.156719,165960.06,2016381.0,15.46,0.0,0,0,0
2005-12-21,12.196036,12.266807,12.188173,12.219626,231199.55,2827571.0,15.54,0.0,0,0,0
2005-12-22,12.27467,12.313986,12.227489,12.306123,142433.16,1750515.0,15.65,0.0,0,0,0
2005-12-23,12.329713,12.329713,12.235353,12.306123,96905.42,1191341.0,15.65,0.0,0,0,0
2005-12-27,12.369029,12.369029,12.078086,12.13313,291860.8,3562987.0,15.43,0.0,0,0,0
2005-12-28,12.140992,12.2039,12.093813,12.2039,84696.86,1029283.0,15.52,0.0,0,0,0
2005-12-29,12.2039,12.2039,12.109539,12.117403,79482.79,966768.0,15.41,0.0,0,0,0
2005-12-30,12.030907,12.070223,11.99159,12.01518,163162.27,1961783.0,15.28,0.0,0,0,0
2006-01-03,12.140992,12.353303,12.030907,12.32185,262102.45,3184245.0,15.67,0.0,0,0,0
2006-01-04,12.384756,12.447663,12.306123,12.447663,251674.31,3118864.0,15.83,0.0,0,0,0
2006-01-05,12.447663,12.542023,12.32185,12.384756,185163.11,2296825.0,15.75,0.0,0,0,0
2006-01-06,12.549887,12.60493,12.46339,12.565613,269096.94,3373729.0,15.98,0.0,0,0,0
2006-01-09,12.628519,12.667837,12.55775,12.620656,195718.42,2468894.0,16.05,0.0,0,0,0
2006-01-10,12.573477,12.699289,12.549887,12.691426,217083.39,2747382.0,16.14,0.0,0,0,0
2006-01-11,12.738607,12.7464695,12.628519,12.699289,246714.58,3127823.0,16.15,0.0,0,0,0
2006-01-12,12.72288,12.762197,12.589203,12.620656,257015.55,3263005.0,16.05,0.0,0,0,0
2006-01-13,12.644246,12.667837,12.597067,12.65211,207799.81,2625478.0,16.09,0.0,0,0,0
2006-01-17,12.667837,12.667837,12.565613,12.659973,209834.56,2649702.0,16.1,0.0,0,0,0
2006-01-18,12.620656,12.620656,12.471252,12.573477,178041.45,2234960.0,15.99,0.0,0,0,0
2006-01-19,12.699289,12.801514,12.620656,12.785787,161254.69,2056531.0,16.26,0.0,0,0,0
2006-01-20,12.856557,12.888009,12.597067,12.597067,278507.7,3534769.0,16.02,0.0,0,0,0
2006-01-23,12.644246,12.659973,12.55775,12.60493,174353.45,2200715.0,16.03,0.0,0,0,0
2006-01-24,12.6757,12.738607,12.644246,12.715016,126663.77,1608420.0,16.17,0.0,0,0,0
2006-01-25,12.81724,12.81724,12.51057,12.58134,166341.58,2099915.0,16.0,0.0,0,0,0
2006-01-26,12.7464695,12.848694,12.628519,12.832967,263882.88,3369862.0,16.32,0.0,0,0,0
2006-01-27,12.93519,13.037414,12.84083,12.888009,347053.66,4490296.0,16.39,0.0,0,0,0
2006-01-30,12.974506,13.068868,12.872284,13.02955,284993.5,3712037.0,16.57,0.0,0,0,0
2006-01-31,13.092457,13.304767,12.950916,13.068868,175498.0,2288398.0,16.62,0.0,0,0,0
2006-02-01,13.092457,13.155363,13.045277,13.07673,185035.94,2422793.0,16.63,0.0,0,0,0
2006-02-02,13.07673,13.084593,12.785787,12.864421,265790.44,3432281.0,16.36,0.0,0,0,0
2006-02-03,12.895873,12.895873,12.738607,12.801514,221280.1,2838322.0,16.28,0.0,0,0,0
2006-02-06,12.93519,12.943052,12.832967,12.93519,98431.484,1270590.0,16.45,0.0,0,0,0
2006-02-07,12.974506,12.974506,12.589203,12.597067,188469.6,2395786.0,16.02,0.0,0,0,0
2006-02-08,12.65211,12.72288,12.46339,12.691426,166087.23,2090409.0,16.14,0.0,0,0,0
2006-02-09,12.707153,12.785787,12.4948435,12.518434,154768.89,1960672.0,15.92,0.0,0,0,0
