Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-01-27,16.516369,16.516369,16.358347,16.358347,5560.965,91209.0,25.88,0.0,0,0,0
2009-01-28,16.51005,16.51005,16.465801,16.465801,3868.1533,63808.0,26.05,0.0,0,0,0
2009-01-29,16.864016,16.864016,16.484764,16.484764,18677.88,309019.0,26.08,0.0,0,0,0
2009-01-30,16.408915,16.408915,16.339386,16.339386,2214.8936,36313.0,25.85,0.0,0,0,0
2009-02-02,16.427877,16.427877,16.402594,16.402594,5853.6475,96155.0,25.95,0.0,0,0,0
2009-02-03,16.396273,16.434198,16.396273,16.434198,3638.7537,59731.0,26.0,0.0,0,0,0
2009-02-05,16.434198,16.434198,16.352028,16.37731,4429.787,72503.0,25.91,0.0,0,0,0
2009-02-09,16.389952,16.389952,16.389952,16.389952,632.8267,10372.0,25.93,0.0,0,0,0
2009-02-12,16.541653,16.541653,16.491085,16.491085,3480.547,57552.0,26.09,0.0,0,0,0
2009-02-13,16.952507,16.952507,16.573256,16.617504,2847.7202,47497.0,26.29,0.0,0,0,0
2009-02-19,16.547974,16.547974,16.547974,16.547974,474.62006,7854.0,26.18,0.0,0,0,0
2009-02-20,16.547974,16.547974,16.547974,16.547974,1582.0668,26180.0,26.18,0.0,0,0,0
2009-02-23,16.541653,16.541653,16.541653,16.541653,474.62006,7851.0,26.17,0.0,0,0,0
2009-02-24,16.516369,16.547974,16.516369,16.547974,1265.6534,20933.0,26.18,0.0,0,0,0
2009-02-25,16.547974,16.547974,16.547974,16.547974,474.62006,7854.0,26.18,0.0,0,0,0
2009-02-26,16.345707,16.345707,16.345707,16.345707,158.20668,2586.0,25.86,0.0,0,0,0
2009-02-27,16.44684,16.636465,16.44684,16.497406,24838.45,411011.0,26.1,0.0,0,0,0
2009-03-03,16.422756,16.454388,16.422756,16.454388,9010.18,147979.0,26.01,0.0,0,0,0
2009-03-04,16.48602,16.49867,16.48602,16.49867,1422.66,23469.0,26.08,0.0,0,0,0
2009-03-05,16.448063,16.467041,16.448063,16.467041,9010.18,148206.0,26.03,0.0,0,0,0
2009-03-06,16.492346,16.54928,16.492346,16.54928,10274.767,169499.0,26.16,0.0,0,0,0
2009-03-09,16.530302,16.530302,16.530302,16.530302,1738.8066,28743.0,26.13,0.0,0,0,0
2009-03-11,16.460714,16.574587,16.460714,16.574587,3477.6133,57387.0,26.2,0.0,0,0,0
2009-03-12,16.701109,16.701109,16.580912,16.580912,9642.474,160197.0,26.21,0.0,0,0,0
2009-03-13,16.580912,16.631521,16.580912,16.625195,2529.1733,41972.0,26.28,0.0,0,0,0
2009-03-16,16.542955,16.6505,16.51765,16.593563,19443.02,322600.0,26.23,0.0,0,0,0
2009-03-17,16.663153,16.663153,16.663153,16.663153,158.07333,2634.0,26.34,0.0,0,0,0
2009-03-18,16.644173,17.396988,16.644173,16.675804,5848.7134,99126.0,26.36,0.0,0,0,0
2009-03-19,16.758045,16.770697,16.758045,16.770697,2529.1733,42408.0,26.51,0.0,0,0,0
2009-03-20,16.745392,16.745392,16.726414,16.745392,2687.2466,44992.0,26.47,0.0,0,0,0
2009-03-23,17.087006,22.268147,16.739065,16.78335,38727.965,674874.0,26.53,0.0,0,0,0
2009-03-24,17.143942,17.143942,16.701109,16.745392,31456.594,531988.0,26.47,0.0,0,0,0
2009-03-25,16.739065,16.846611,16.739065,16.751719,6955.2266,116550.0,26.48,0.0,0,0,0
2009-03-26,16.739065,16.739065,16.656826,16.739065,948.44,15840.0,26.46,0.0,0,0,0
2009-03-27,16.694782,16.701109,16.606216,16.637846,1106.5133,18424.0,26.3,0.0,0,0,0
2009-03-30,16.701109,16.707436,16.606216,16.707436,1896.88,31597.0,26.41,0.0,0,0,0
2009-03-31,16.802328,16.802328,16.739065,16.739065,4584.1265,76992.0,26.46,0.0,0,0,0
2009-04-01,16.751743,16.751743,16.713715,16.726389,2524.394,42207.0,26.39,0.0,0,0,0
2009-04-02,16.732729,16.758081,16.732729,16.758081,3155.4927,52852.0,26.44,0.0,0,0,0
2009-04-03,16.6947,16.6947,16.675684,16.6947,4891.0137,81646.0,26.34,0.0,0,0,0
2009-04-06,16.688362,16.732729,15.8453865,16.605967,27295.012,448736.0,26.2,0.0,0,0,0
2009-04-07,16.739067,16.739067,16.643993,16.650333,2682.1687,44760.0,26.27,0.0,0,0,0
2009-04-08,16.732729,16.732729,16.732729,16.732729,157.77463,2640.0,26.4,0.0,0,0,0
2009-04-09,16.650333,16.891182,16.650333,16.891182,6153.2104,103380.0,26.65,0.0,0,0,0
2009-04-13,16.669346,16.669346,16.669346,16.669346,788.87317,13150.0,26.3,0.0,0,0,0
2009-04-14,16.758081,16.846815,16.758081,16.821463,11675.322,195870.0,26.54,0.0,0,0,0
2009-04-15,16.853153,16.859491,16.669346,16.8278,1893.2955,31789.0,26.55,0.0,0,0,0
2009-04-17,16.808786,16.8278,16.808786,16.808786,1735.5209,29177.0,26.52,0.0,0,0,0
2009-04-20,17.119356,17.119356,16.55526,16.561598,4102.14,68234.0,26.13,0.0,0,0,0
2009-04-21,16.643993,16.707376,16.643993,16.707376,1735.5209,28920.0,26.36,0.0,0,0,0
2009-04-22,16.675684,16.675684,16.675684,16.675684,315.54926,5262.0,26.31,0.0,0,0,0
2009-04-23,16.701038,16.701038,16.701038,16.701038,315.54926,5270.0,26.35,0.0,0,0,0
2009-04-24,16.713715,16.713715,16.713715,16.713715,1104.4224,18459.0,26.37,0.0,0,0,0
2009-04-27,16.726389,16.808786,16.726389,16.79611,7573.182,126938.0,26.5,0.0,0,0,0
2009-04-28,16.79611,16.821463,16.79611,16.808786,946.64777,15914.0,26.52,0.0,0,0,0
2009-04-29,16.789772,16.808786,16.669346,16.777096,3944.3657,66170.0,26.47,0.0,0,0,0
2009-04-30,16.751743,16.783434,16.751743,16.76442,2524.394,42327.0,26.45,0.0,0,0,0
2009-05-01,16.621513,16.74219,16.513538,16.513538,24719.11,409044.0,26.0,0.0,0,0,0
2009-05-04,16.583405,16.583405,16.583405,16.583405,3148.9312,52220.0,26.11,0.0,0,0,0
2009-05-06,16.75489,16.805702,16.75489,16.805702,3936.164,66053.0,26.46,0.0,0,0,0
2009-05-07,16.786648,16.786648,16.74219,16.74219,629.78625,10561.0,26.36,0.0,0,0,0
2009-05-08,16.74854,16.786648,16.74854,16.767593,2991.4846,50191.0,26.4,0.0,0,0,0
2009-05-11,16.786648,16.79935,16.786648,16.786648,787.2328,13217.0,26.43,0.0,0,0,0
2009-05-12,16.767593,16.79935,16.767593,16.79935,1259.5725,21125.0,26.45,0.0,0,0,0
2009-05-13,16.75489,16.945433,16.75489,16.818405,28655.273,481936.0,26.48,0.0,0,0,0
2009-05-14,16.939081,16.939081,16.79935,16.83746,13855.298,234152.0,26.51,0.0,0,0,0
2009-05-15,16.79935,16.79935,16.665972,16.793,1731.9122,29007.0,26.44,0.0,0,0,0
2009-05-18,16.532595,17.148676,16.532595,17.148676,1259.5725,21257.0,27.0,0.0,0,0,0
2009-05-19,16.60881,16.75489,16.60881,16.729486,18578.695,309122.0,26.34,0.0,0,0,0
2009-05-20,16.786648,16.83746,16.773945,16.818405,3463.8245,58206.0,26.48,0.0,0,0,0
2009-05-21,16.812054,16.812054,16.812054,16.812054,629.78625,10588.0,26.47,0.0,0,0,0
2009-05-26,16.780296,16.79935,16.74854,16.79935,7399.9883,124206.0,26.45,0.0,0,0,0
2009-05-27,17.135973,17.135973,16.621513,16.621513,1889.3588,31545.0,26.17,0.0,0,0,0
2009-05-29,16.653269,16.75489,16.653269,16.75489,17004.229,284229.0,26.38,0.0,0,0,0
2009-06-01,16.700792,16.700792,16.700792,16.700792,471.3549,7872.0,26.24,0.0,0,0,0
2009-06-03,16.675333,16.675333,16.675333,16.675333,785.5915,13100.0,26.2,0.0,0,0,0
2009-06-04,16.675333,16.675333,16.675333,16.675333,471.3549,7860.0,26.2,0.0,0,0,0
2009-06-05,16.630781,16.630781,16.611687,16.624416,19954.023,331834.0,26.12,0.0,0,0,0
2009-06-08,16.528946,16.554405,16.528946,16.54804,7698.7964,127431.0,26.0,0.0,0,0,0
2009-06-09,16.5735,16.5735,16.5735,16.5735,1571.183,26040.0,26.04,0.0,0,0,0
2009-06-10,16.528946,16.528946,16.528946,16.528946,785.5915,12985.0,25.97,0.0,0,0,0
2009-06-15,16.56077,16.611687,16.471664,16.47803,6127.614,101453.0,25.89,0.0,0,0,0
2009-06-16,16.649876,16.649876,16.56077,16.630781,18382.842,305512.0,26.13,0.0,0,0,0
2009-06-17,16.649876,16.649876,16.618052,16.618052,19954.023,332221.0,26.11,0.0,0,0,0
2009-06-22,16.675333,16.675333,16.668968,16.668968,628.4732,10478.0,26.19,0.0,0,0,0
2009-06-24,16.458937,16.458937,16.376196,16.388926,29538.24,484398.0,25.75,0.0,0,0,0
2009-06-25,16.828085,16.828085,16.828085,16.828085,785.5915,13220.0,26.44,0.0,0,0,0
2009-06-29,16.79626,16.79626,16.554405,16.554405,2513.8928,41785.0,26.01,0.0,0,0,0
2009-06-30,16.64351,16.675333,16.64351,16.675333,6284.732,104692.0,26.2,0.0,0,0,0
2009-07-01,16.753838,16.798513,16.70916,16.792131,10810.956,181240.0,26.31,0.0,0,0,0
2009-07-02,17.041046,17.041046,16.6581,16.677248,10184.234,169967.0,26.13,0.0,0,0,0
2009-07-06,16.677248,17.07934,16.677248,16.804895,19741.746,332807.0,26.33,0.0,0,0,0
2009-07-07,16.849573,16.881485,16.849573,16.881485,313.36105,5285.0,26.45,0.0,0,0,0
2009-07-08,16.894249,16.926163,16.894249,16.926163,4700.416,79514.0,26.52,0.0,0,0,0
