Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-11-15,9.822698,9.840414,9.793171,9.840414,172722.4,1694393.0,49.99,0.0,0,0,0
2005-11-16,9.76758,9.7754545,9.751833,9.769549,6096.085,59508.0,49.63,0.0,0,0,0
2005-11-17,9.885689,9.885689,9.879784,9.879784,5080.071,50205.0,50.19,0.0,0,0,0
2005-11-18,9.932932,9.946712,9.928995,9.928995,6604.0923,65645.0,50.44,0.0,0,0,0
2005-11-21,9.944743,9.984113,9.842382,9.984113,4064.0566,40464.0,50.72,0.0,0,0,0
2005-11-22,10.03923,10.082537,10.03923,10.082537,5080.071,51110.0,51.22,0.0,0,0,0
2005-11-23,10.112063,10.112063,10.112063,10.112063,1524.0212,15411.0,51.37,0.0,0,0,0
2005-11-28,10.058914,10.058914,10.021514,10.021514,6096.085,61221.0,50.91,0.0,0,0,0
2005-12-01,10.116,10.167181,10.116,10.167181,5080.071,51593.0,51.65,0.0,0,0,0
2005-12-02,10.167181,10.167181,10.145528,10.167181,7620.1064,77421.0,51.65,0.0,0,0,0
2005-12-06,10.186866,10.188834,10.186866,10.188834,4572.064,46581.0,51.76,0.0,0,0,0
2005-12-07,10.153402,10.153402,10.153402,10.153402,508.00708,5158.0,51.58,0.0,0,0,0
2005-12-08,10.15537,10.15537,10.110095,10.119938,3556.0496,36025.0,51.41,0.0,0,0,0
2005-12-09,10.106158,10.106158,10.106158,10.106158,508.00708,5134.0,51.34,0.0,0,0,0
2005-12-14,10.204582,10.243952,10.204582,10.243952,1524.0212,15572.0,52.04,0.0,0,0,0
2005-12-19,10.242803,10.242803,10.106731,10.106731,70485.2,716508.0,51.25,0.0,0,0,0
2005-12-20,10.102787,10.102787,10.085039,10.085039,2028.3511,20465.0,51.14,0.0,0,0,0
2005-12-21,10.175753,10.175753,10.175753,10.175753,507.08777,5160.0,51.6,0.0,0,0,0
2005-12-23,10.22111,10.22111,10.22111,10.22111,1014.17554,10366.0,51.83,0.0,0,0,0
2005-12-27,10.232943,10.232943,10.122508,10.122508,10141.756,103500.0,51.33,0.0,0,0,0
2005-12-28,10.12448,10.138284,10.12448,10.138284,8113.4043,82248.0,51.41,0.0,0,0,0
2005-12-29,10.177725,10.177725,10.15406,10.156033,99896.29,1015519.0,51.5,0.0,0,0,0
2006-01-03,10.122508,10.244775,10.122508,10.244775,6085.053,62030.0,51.95,0.0,0,0,0
2006-01-04,10.234915,10.311824,10.234915,10.299992,3042.5266,31272.0,52.23,0.0,0,0,0
2006-01-05,10.333517,10.3374605,10.323656,10.335488,8113.4043,83812.0,52.41,0.0,0,0,0
2006-01-06,10.392678,10.436063,10.378874,10.430147,7099.229,73913.0,52.89,0.0,0,0,0
2006-01-09,10.469587,10.497196,10.469587,10.497196,7099.229,74435.0,53.23,0.0,0,0,0
2006-01-11,10.550442,10.560302,10.550442,10.560302,1014.17554,10705.0,53.55,0.0,0,0,0
2006-01-17,10.453811,10.457755,10.447895,10.447895,7606.317,79495.0,52.98,0.0,0,0,0
2006-01-18,10.445924,10.445924,10.412398,10.412398,1014.17554,10576.0,52.8,0.0,0,0,0
2006-01-19,10.483392,10.483392,10.483392,10.483392,507.08777,5316.0,53.16,0.0,0,0,0
2006-01-20,10.412398,10.412398,10.412398,10.412398,1014.17554,10560.0,52.8,0.0,0,0,0
2006-01-24,10.457755,10.499168,10.457755,10.499168,4563.79,47816.0,53.24,0.0,0,0,0
2006-01-25,10.505085,10.505085,10.434091,10.434091,3042.5266,31836.0,52.91,0.0,0,0,0
2006-01-26,10.483392,10.511001,10.483392,10.511001,2028.3511,21292.0,53.3,0.0,0,0,0
2006-01-27,10.570162,10.617491,10.570162,10.583966,14198.458,150557.0,53.67,0.0,0,0,0
2006-01-30,10.629324,10.629324,10.607631,10.609603,4056.7021,43048.0,53.8,0.0,0,0,0
2006-01-31,10.621435,10.621435,10.621435,10.621435,1014.17554,10772.0,53.86,0.0,0,0,0
2006-02-01,10.609603,10.656932,10.609603,10.656932,3042.5266,32350.0,54.04,0.0,0,0,0
2006-02-06,10.552413,10.552413,10.522833,10.522833,2535.439,26695.0,53.36,0.0,0,0,0
