Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2000-10-10,10.653925,10.653925,10.589611,10.589611,180674.12,1920924.0,95.1875,0.0,0,0,0
2000-10-11,10.429689,10.464455,10.429689,10.464455,35955.05,375625.0,94.0625,0.0,0,0,0
2000-10-12,10.144611,10.144611,10.144611,10.144611,17977.525,182375.0,91.1875,0.0,0,0,0
2000-10-17,10.309751,10.309751,10.309751,10.309751,1797.7524,18534.379,92.6719,0.0,0,0,0
2000-10-18,10.07508,10.07508,10.07508,10.07508,898.8762,9056.25,90.5625,0.0,0,0,0
2000-10-23,10.626113,10.626113,10.626113,10.626113,1797.7524,19103.121,95.5156,0.0,0,0,0
2000-10-24,10.66436,10.66436,10.525297,10.568752,14382.02,152367.0,95.0,0.0,0,0,0
2000-10-25,10.554846,10.554846,10.554846,10.554846,898.8762,9487.5,94.875,0.0,0,0,0
2000-10-30,10.704344,10.803423,10.704344,10.803423,8988.763,96664.0,97.1094,0.0,0,0,0
2000-11-01,10.826017,10.826017,10.826017,10.826017,44943.812,486562.5,97.3125,0.0,0,0,0
2000-11-02,10.94075,10.94075,10.94075,10.94075,898.8762,9834.38,98.3438,0.0,0,0,0
2000-11-03,10.933785,10.933785,10.867737,10.867737,47640.44,517921.0,97.6875,0.0,0,0,0
2000-11-06,11.001581,11.001581,10.939003,10.939003,1797.7524,19721.0,98.3281,0.0,0,0,0
2000-11-07,10.937267,10.961597,10.937267,10.961597,29662.916,325087.0,98.5312,0.0,0,0,0
2000-11-09,10.740845,10.740845,10.740845,10.740845,1797.7524,19309.379,96.5469,0.0,0,0,0
2000-11-10,10.5843935,10.5843935,10.5843935,10.5843935,898.8762,9514.061,95.1406,0.0,0,0,0
2000-11-13,10.3462515,10.448813,10.3462515,10.448813,38651.68,403272.0,93.9219,0.0,0,0,0
