Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-06-25,27901.889,27989.104,26600.914,26633.621,180.79228,4874473.0,73.29,0.0,0,0,0
2009-06-26,26917.074,27269.572,26480.994,26829.857,347.0001,9345636.0,73.83,0.0,0,0,0
2009-06-29,26600.914,26949.781,25983.135,26030.375,364.8867,9584473.0,71.63,0.0,0,0,0
2009-06-30,26059.45,27262.303,25775.996,26666.326,839.5696,22443248.0,73.38,0.0,0,0,0
2009-07-01,26346.535,26437.385,25594.297,26386.51,876.9939,22759100.0,72.61,0.0,0,0,0
2009-07-02,27407.664,28566.912,27393.127,28490.598,793.3396,22278844.0,78.4,0.0,0,0,0
2009-07-06,29355.49,29613.504,28417.916,28425.186,1372.3152,39786336.0,78.22,0.0,0,0,0
2009-07-07,28577.814,30191.312,28552.375,30140.438,1615.8481,47619160.0,82.94,0.0,0,0,0
2009-07-08,29689.818,31256.076,29439.074,30136.803,2455.1426,74560264.0,82.93,0.0,0,0,0
2009-07-09,29649.844,30307.602,29348.225,30071.39,1591.9076,47450480.0,82.75,0.0,0,0,0
2009-07-10,30536.543,30878.139,29758.865,30271.262,1899.0068,57582290.0,83.3,0.0,0,0,0
2009-07-13,29955.102,30623.758,28003.64,28021.81,2127.13,61669400.0,77.11,0.0,0,0,0
2009-07-14,27778.334,28392.479,27513.05,27531.22,2207.757,61377630.0,75.76,0.0,0,0,0
2009-07-15,26462.822,26593.646,24932.908,25118.242,2947.9873,75560290.0,69.12,0.0,0,0,0
2009-07-16,25376.256,25481.643,24144.328,24456.854,2492.842,62162310.0,67.3,0.0,0,0,0
2009-07-17,24518.63,24889.299,24304.223,24445.95,2018.1592,49638710.0,67.27,0.0,0,0,0
2009-07-20,23991.7,24384.172,23537.447,23693.71,3147.7668,75176424.0,65.2,0.0,0,0,0
2009-07-21,23123.174,24169.768,23083.2,23333.945,3805.7188,90130530.0,64.21,0.0,0,0,0
2009-07-22,23777.293,23820.902,22916.035,23312.14,3953.4895,92253660.0,64.15,0.0,0,0,0
2009-07-23,23297.605,23326.678,21469.701,21796.762,7266.6387,160083460.0,59.98,0.0,0,0,0
2009-07-24,22080.213,22410.906,21451.53,21527.846,3115.571,68451000.0,59.24,0.0,0,0,0
2009-07-27,21571.453,21971.193,21277.098,21317.072,4516.78,97717464.0,58.66,0.0,0,0,0
2009-07-28,21745.885,22152.893,21302.535,21527.846,6877.8115,149443120.0,59.24,0.0,0,0,0
2009-07-29,21931.219,22203.77,21589.623,21793.127,4471.3755,97957740.0,59.97,0.0,0,0,0
2009-07-30,20971.842,21131.738,20317.72,21019.084,5616.9434,116043650.0,57.84,0.0,0,0,0
2009-07-31,21088.129,21258.928,20572.102,20986.377,3859.1033,80505060.0,57.75,0.0,0,0,0
2009-08-03,20299.55,20655.684,19899.81,19994.295,5961.192,120383460.0,55.02,0.0,0,0,0
2009-08-04,20201.434,20335.89,19707.207,19805.326,5676.107,113560100.0,54.5,0.0,0,0,0
2009-08-05,19750.816,20444.91,19699.94,20012.465,6009.0728,120845960.0,55.07,0.0,0,0,0
2009-08-06,19696.307,20546.664,19601.822,20266.846,5164.825,104403310.0,55.77,0.0,0,0,0
2009-08-07,19616.357,19968.857,18980.406,19478.266,5668.402,109786490.0,53.6,0.0,0,0,0
2009-08-10,19743.549,20001.562,19467.363,19601.822,4026.1367,79374344.0,53.94,0.0,0,0,0
2009-08-11,19856.201,20477.617,19827.13,20375.865,3902.8567,78971790.0,56.07,0.0,0,0,0
2009-08-12,20401.303,20437.645,19202.082,19670.87,6913.5845,135516850.0,54.13,0.0,0,0,0
2009-08-13,19405.586,19987.027,19202.082,19223.887,5268.843,102937530.0,52.9,0.0,0,0,0
2009-08-14,19227.52,20277.746,19220.252,19685.404,4847.82,96790264.0,54.17,0.0,0,0,0
2009-08-17,20808.31,21222.588,20739.266,21153.541,4454.039,93577256.0,58.21,0.0,0,0,0
2009-08-18,20971.842,21077.229,20375.865,20557.564,4458.7173,92069820.0,56.57,0.0,0,0,0
2009-08-19,21095.398,21113.568,19867.104,20019.732,6650.239,135280100.0,55.09,0.0,0,0,0
2009-08-20,19987.027,20099.682,19314.736,19427.389,4055.3057,79386150.0,53.46,0.0,0,0,0
2009-08-21,18965.871,19063.988,18191.828,18297.213,4637.5835,85837050.0,50.35,0.0,0,0,0
2009-08-24,18064.637,18486.182,17766.648,18300.848,4915.5137,89200670.0,50.36,0.0,0,0,0
2009-08-25,18086.441,18311.75,17664.898,18220.9,5674.456,102335010.0,50.14,0.0,0,0,0
2009-08-26,18355.357,18537.059,17937.447,18180.926,5427.896,99046520.0,50.03,0.0,0,0,0
2009-08-27,18217.266,18835.047,17886.572,18006.494,6087.2236,111765250.0,49.55,0.0,0,0,0
2009-08-28,17617.654,18438.941,17563.146,18093.71,5171.4297,93457220.0,49.79,0.0,0,0,0
2009-08-31,18609.738,18896.824,18475.281,18526.156,7011.5483,131102240.0,50.98,0.0,0,0,0
2009-09-01,18849.582,19888.908,18122.781,19812.594,10046.767,191940740.0,54.52,0.0,0,0,0
2009-09-02,20041.537,20150.557,19641.795,20001.562,5026.4106,99799760.0,55.04,0.0,0,0,0
2009-09-03,19656.332,20132.387,19434.658,19540.045,3883.319,76751220.0,53.77,0.0,0,0,0
2009-09-04,19358.344,19561.848,18678.785,18678.785,5356.6245,101970500.0,51.4,0.0,0,0,0
2009-09-08,18151.854,18504.352,18126.416,18199.098,4055.3057,74144650.0,50.08,0.0,0,0,0
2009-09-09,18104.611,18268.143,17588.584,17770.283,3952.389,70674860.0,48.9,0.0,0,0,0
2009-09-10,17748.48,18042.834,17196.111,17228.816,5193.719,91293350.0,47.41,0.0,0,0,0
2009-09-11,17152.504,17483.197,16988.973,17239.719,3981.0073,68563740.0,47.44,0.0,0,0,0
2009-09-14,17679.434,17690.336,16901.756,16956.266,3975.2285,68518536.0,46.66,0.0,0,0,0
2009-09-15,16887.22,17225.184,16581.965,16781.834,4828.8325,81439220.0,46.18,0.0,0,0,0
2009-09-16,16567.428,16800.004,15993.255,16004.157,6772.143,110105140.0,44.04,0.0,0,0,0
2009-09-17,16073.203,16338.485,15669.828,16076.838,7038.791,112708240.0,44.24,0.0,0,0,0
2009-09-18,15862.432,16204.027,15855.163,16000.522,6014.0264,96407650.0,44.03,0.0,0,0,0
2009-09-21,16411.166,16516.553,16051.398,16156.785,5419.365,88213560.0,44.46,0.0,0,0,0
2009-09-22,15862.432,16095.008,15749.777,15873.333,4925.145,78229470.0,43.68,0.0,0,0,0
2009-09-23,15749.777,16360.29,15459.057,16258.538,7012.649,111078640.0,44.74,0.0,0,0,0
2009-09-24,16174.955,17010.777,16062.302,16810.906,7996.1367,133648780.0,46.26,0.0,0,0,0
2009-09-25,16927.195,17246.986,16658.277,17072.555,6491.1855,110033016.0,46.98,0.0,0,0,0
2009-09-28,16858.148,16894.488,16062.302,16171.321,4528.613,73928790.0,44.5,0.0,0,0,0
2009-09-29,16069.569,16407.533,15851.528,16298.511,5110.34,82661750.0,44.85,0.0,0,0,0
2009-09-30,16142.249,16930.828,16105.909,16512.918,10720.954,177407090.0,45.44,0.0,0,0,0
2009-10-01,16632.84,17715.773,16611.035,17704.871,7958.4375,137138180.0,48.72,0.0,0,0,0
2009-10-02,18206.363,18246.338,17646.729,17922.912,9152.437,163826780.0,49.32,0.0,0,0,0
2009-10-05,17748.48,17912.01,17010.777,17137.967,5361.578,93339270.0,47.16,0.0,0,0,0
