Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-02-11,152476.0,152513.42,143423.2,143591.55,9.035441,1366860.0,76.77,0.0,0,0,0
2010-02-12,146303.64,146864.77,142880.8,142880.8,7.0572677,1026548.0,76.39,0.0,0,0,0
2010-02-16,135661.0,137681.05,131246.83,131246.83,2.5662792,347040.0,70.17,0.0,0,0,0
2010-02-17,129077.15,131078.5,128964.914,128964.914,6.843411,890364.0,68.95,0.0,0,0,0
2010-02-18,129151.97,129282.9,125504.66,125504.66,9.516619,1216767.0,67.1,0.0,0,0,0
2010-02-19,127188.03,127412.484,123783.88,124924.836,7.110732,891388.0,66.79,0.0,0,0,0
2010-02-22,122661.64,124924.836,122661.64,123278.875,4.330596,537318.0,65.91,0.0,0,0,0
2010-02-23,124550.74,129264.19,124270.195,128328.984,23.738083,3034846.0,68.61,0.0,0,0,0
2010-02-24,126944.88,127375.07,123147.94,126009.68,21.11834,2633753.0,67.37,0.0,0,0,0
2010-02-25,129956.25,130816.63,124662.98,125205.4,23.149977,2973865.0,66.94,0.0,0,0,0
2010-02-26,124438.52,128123.234,124064.445,126028.37,49.98898,6289193.0,67.38,0.0,0,0,0
2010-03-01,123054.42,123054.42,117368.37,117742.45,66.72326,8000029.0,62.95,0.0,0,0,0
2010-03-02,116320.94,116526.68,113159.94,114824.61,27.373644,3136957.0,61.39,0.0,0,0,0
2010-03-03,113290.87,114693.68,111102.49,113515.31,18.231276,2066988.0,60.69,0.0,0,0,0
2010-03-04,112131.21,114076.445,111682.31,111925.47,12.88486,1451641.0,59.84,0.0,0,0,0
2010-03-05,109886.72,110242.09,104686.98,105266.8,28.068678,2973731.0,56.28,0.0,0,0,0
2010-03-08,105191.984,105191.984,103714.36,104294.18,20.10252,2096955.0,55.76,0.0,0,0,0
2010-03-09,105322.914,105322.914,101114.484,103452.5,42.183216,4338111.0,55.31,0.0,0,0,0
2010-03-10,102498.586,102498.586,99225.37,100721.695,89.65938,9077500.0,53.85,0.0,0,0,0
2010-03-11,102311.55,103340.27,99431.12,99730.38,264.05945,26734412.0,53.32,0.0,0,0,0
2010-03-12,99244.08,101900.055,99244.08,99880.016,48.59891,4890120.0,53.4,0.0,0,0,0
2010-03-15,100702.99,102966.195,99786.49,100777.81,38.65458,3925304.0,53.88,0.0,0,0,0
