Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-21,7.359966,7.456534,7.3537354,7.424345,2670532.0,19820904.0,71.5,0.0,0,0,0
2006-06-22,7.3807335,7.3807335,7.295587,7.3454285,1315523.5,9650708.0,70.74,0.0,0,0,0
2006-06-23,7.301817,7.4118843,7.282088,7.344391,429519.38,3150031.0,70.73,0.0,0,0,0
2006-06-26,7.346467,7.3900785,7.3215466,7.3869634,363069.06,2669789.0,71.14,0.0,0,0,0
2006-06-27,7.410846,7.410846,7.256129,7.256129,1104616.0,8099884.0,69.88,0.0,0,0,0
2006-06-28,7.277934,7.3412747,7.2374377,7.320508,410258.4,2985638.0,70.5,0.0,0,0,0
2006-06-29,7.424345,7.63098,7.412923,7.63098,643316.0,4827689.0,73.49,0.0,0,0,0
2006-06-30,7.684976,7.6943207,7.626827,7.626827,872521.44,6685627.0,73.45,0.0,0,0,0
2006-07-03,7.6683617,7.730664,7.6590166,7.730664,273505.62,2103321.0,74.45,0.0,0,0,0
2006-07-05,7.6475945,7.6600547,7.5686784,7.6278653,712655.5,5426745.0,73.46,0.0,0,0,0
2006-07-06,7.652786,7.705743,7.6278653,7.651748,1122913.9,8600124.0,73.69,0.0,0,0,0
2006-07-07,7.595676,7.661093,7.5261054,7.563486,684727.06,5212796.0,72.84,0.0,0,0,0
2006-07-10,7.626827,7.655902,7.548949,7.5769854,693394.5,5285188.0,72.97,0.0,0,0,0
2006-07-11,7.5437574,7.646556,7.483532,7.6413636,1853867.2,13964412.0,73.59,0.0,0,0,0
2006-07-12,7.6330576,7.6361723,7.459649,7.4908004,1234627.5,9329075.0,72.14,0.0,0,0,0
2006-07-13,7.3900785,7.426421,7.2592444,7.264436,1673777.4,12314859.0,69.96,0.0,0,0,0
2006-07-14,7.2415915,7.263397,7.112834,7.199019,1455165.4,10472982.0,69.33,0.0,0,0,0
2006-07-17,7.209402,7.2478223,7.1439853,7.19175,547974.25,3944882.0,69.26,0.0,0,0,0
2006-07-18,7.24263,7.3360834,7.0723376,7.203172,1973285.2,14103963.0,69.37,0.0,0,0,0
2006-07-19,7.2685895,7.4970303,7.267551,7.450304,2109075.0,15595406.0,71.75,0.0,0,0,0
2006-07-20,7.5177984,7.528182,7.346467,7.3630815,1110394.2,8254188.0,70.91,0.0,0,0,0
2006-07-21,7.299741,7.33193,7.2177095,7.2467837,1236553.5,8985868.0,69.79,0.0,0,0,0
2006-07-24,7.317393,7.4908004,7.317393,7.4762635,1284706.0,9514474.0,72.0,0.0,0,0,0
2006-07-25,7.461726,7.6102133,7.4274597,7.5707555,1650664.1,12388072.0,72.91,0.0,0,0,0
2006-07-26,7.5219517,7.6361723,7.4908004,7.5852923,1330932.2,10060628.0,73.05,0.0,0,0,0
2006-07-27,7.6413636,7.6631703,7.4824934,7.512606,1723855.8,13088444.0,72.35,0.0,0,0,0
2006-07-28,7.5499873,7.710935,7.544796,7.6839375,1087281.1,8312928.0,74.0,0.0,0,0,0
2006-07-31,7.6839375,7.6839375,7.634095,7.6631703,547011.25,4191902.0,73.8,0.0,0,0,0
2006-08-01,7.5801005,7.637211,7.5229897,7.5946374,503674.06,3807419.0,73.14,0.0,0,0,0
2006-08-02,7.670439,7.741048,7.634095,7.652786,705914.1,5420615.0,73.7,0.0,0,0,0
2006-08-03,7.5801005,7.748317,7.5801005,7.691206,867706.2,6633891.0,74.07,0.0,0,0,0
