Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-08-21,38.472576,38.472576,38.441807,38.441807,36526.824,1405278.0,49.97,0.0,0,0,0
2009-08-24,38.43411,38.472576,38.411034,38.472576,14506.738,557815.0,50.01,0.0,0,0,0
2009-08-25,38.43411,38.472576,38.37949,38.42642,76684.234,2945803.0,49.95,0.0,0,0,0
2009-08-26,38.495655,38.91877,38.418724,38.449497,48615.773,1868967.0,49.98,0.0,0,0,0
2009-08-27,38.449497,38.495655,38.418724,38.441807,34447.004,1324668.0,49.97,0.0,0,0,0
2009-08-28,38.42642,38.503345,38.418724,38.48027,38346.664,1475132.0,50.02,0.0,0,0,0
2009-08-31,38.538883,38.61601,38.461758,38.508034,43436.52,1672896.0,49.93,0.0,0,0,0
2009-09-01,38.53117,38.592873,38.484898,38.577446,44992.457,1734368.0,50.02,0.0,0,0,0
2009-09-02,38.61601,38.623722,38.56202,38.608295,25672.928,991150.0,50.06,0.0,0,0,0
2009-09-03,38.546597,38.66228,38.53117,38.66228,27488.186,1061755.0,50.13,0.0,0,0,0
2009-09-04,38.708557,38.74712,38.63143,38.685417,34100.91,1319744.0,50.16,0.0,0,0,0
2009-09-08,38.816532,38.847378,38.75483,38.785683,60033.16,2329269.0,50.29,0.0,0,0,0
2009-09-09,38.777966,38.847378,38.75483,38.83967,106451.89,4131813.0,50.36,0.0,0,0,0
2009-09-10,38.878227,38.901367,38.816532,38.878227,59384.855,2308352.0,50.41,0.0,0,0,0
2009-09-11,38.893654,39.00163,38.870518,38.91679,77148.445,3003405.0,50.46,0.0,0,0,0
2009-09-14,38.901367,38.94764,38.870518,38.88594,55235.695,2148978.0,50.42,0.0,0,0,0
2009-09-15,38.878227,38.91679,38.862804,38.90908,41621.26,1619210.0,50.45,0.0,0,0,0
2009-09-16,38.955353,38.955353,38.847378,38.924503,110990.03,4318605.0,50.47,0.0,0,0,0
2009-09-17,38.94764,38.94764,38.801105,38.90908,82983.2,3228908.0,50.45,0.0,0,0,0
2009-09-18,38.91679,38.91679,38.793392,38.82424,54328.066,2110142.0,50.34,0.0,0,0,0
2009-09-21,38.831955,38.847378,38.739407,38.793392,50308.566,1950864.0,50.3,0.0,0,0,0
2009-09-22,38.82424,38.870518,38.80882,38.85509,84279.81,3273673.0,50.38,0.0,0,0,0
2009-09-23,38.793392,38.90908,38.762543,38.893654,61200.113,2377709.0,50.43,0.0,0,0,0
2009-09-24,38.90908,38.90908,38.847378,38.878227,45381.438,1764318.0,50.41,0.0,0,0,0
2009-09-25,38.870518,38.88594,38.793392,38.878227,114879.875,4464004.0,50.41,0.0,0,0,0
2009-09-28,38.878227,38.90908,38.80882,38.90908,62367.062,2424312.0,50.45,0.0,0,0,0
2009-09-29,38.831955,38.88594,38.82424,38.862804,75073.87,2917528.0,50.39,0.0,0,0,0
2009-09-30,38.878227,38.963066,38.847378,38.94764,42399.23,1650365.0,50.5,0.0,0,0,0
2009-10-01,38.993916,39.040188,38.901367,39.040188,60681.47,2365248.0,50.62,0.0,0,0,0
2009-10-02,39.00163,39.024765,38.963066,38.986202,11928.836,465106.0,50.55,0.0,0,0,0
2009-10-05,39.040188,39.040188,38.955353,39.03248,34360.234,1339728.0,50.61,0.0,0,0,0
2009-10-06,38.955353,39.055614,38.955353,39.040188,24765.299,966672.0,50.62,0.0,0,0,0
2009-10-07,39.0479,39.1096,39.03248,39.1096,26580.557,1038819.0,50.71,0.0,0,0,0
2009-10-08,39.13274,39.13274,39.07875,39.125027,91800.17,3591152.0,50.73,0.0,0,0,0
