Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-11-07,85.03265,85.12799,85.024216,85.119545,125464.99,10672114.0,100.893,0.0,0,0,0
2008-11-10,85.35324,85.35324,85.35324,85.35324,391.1521,33386.098,101.17,0.0,0,0,0
2008-11-11,85.53885,85.58103,85.53885,85.58103,450.41757,38536.0,101.44,0.0,0,0,0
2008-11-12,85.58947,85.58947,85.42791,85.42791,711.1856,60808.0,101.2585,0.0,0,0,0
2008-11-14,85.6654,85.69915,85.64852,85.69915,3532.222,302633.0,101.58,0.0,0,0,0
2008-11-17,85.6654,85.69915,85.6654,85.69915,237.06187,20312.0,101.58,0.0,0,0,0
2008-11-18,85.80882,85.80882,85.64852,85.64852,35054.34,3005815.0,101.52,0.0,0,0,0
2008-11-19,85.851006,85.851006,85.74976,85.74976,948.2475,81363.0,101.64,0.0,0,0,0
2008-11-20,85.977554,85.977554,85.84257,85.84257,1777.964,152714.0,101.75,0.0,0,0,0
2008-11-21,86.05348,86.05348,85.867874,85.87631,1896.495,162897.0,101.79,0.0,0,0,0
2008-11-24,85.7582,85.7582,85.732895,85.732895,355.5928,30490.0,101.62,0.0,0,0,0
2008-11-25,85.74976,85.7582,85.63165,85.63165,8178.635,701186.0,101.5,0.0,0,0,0
2008-11-26,86.1041,86.1041,85.63165,85.63165,7348.918,630123.0,101.5,0.0,0,0,0
2008-11-28,85.867874,85.867874,85.8257,85.8257,355.5928,30527.0,101.73,0.0,0,0,0
2008-12-01,86.00562,86.00562,85.64238,85.64238,38472.19,3295942.0,101.38,0.0,0,0,0
2008-12-02,85.7691,85.80289,85.7691,85.80289,1657.2637,142193.0,101.57,0.0,0,0,0
2008-12-03,85.9296,85.9296,85.65928,85.79443,6037.175,517869.0,101.56,0.0,0,0,0
2008-12-04,85.81133,85.828224,85.65928,85.81133,3669.6553,314869.0,101.58,0.0,0,0,0
2008-12-05,85.785995,85.84512,85.7522,85.84512,2367.5195,203109.0,101.62,0.0,0,0,0
2008-12-08,85.85357,85.87047,85.81133,85.81133,1420.5117,121944.0,101.58,0.0,0,0,0
2008-12-09,85.65928,85.828224,85.65928,85.71841,1420.5117,121782.0,101.47,0.0,0,0,0
2008-12-10,85.828224,85.828224,85.74375,85.74375,11600.846,995349.0,101.5,0.0,0,0,0
2008-12-11,85.97183,85.97183,85.828224,85.83668,4143.159,355780.0,101.61,0.0,0,0,0
2008-12-12,85.862015,85.862015,85.828224,85.83668,4261.535,365818.0,101.61,0.0,0,0,0
2008-12-15,85.828224,85.828224,85.81133,85.81978,2722.6475,233663.0,101.59,0.0,0,0,0
2008-12-16,85.80289,85.828224,85.80289,85.81978,4971.791,426699.0,101.59,0.0,0,0,0
2008-12-17,85.98873,85.98873,85.81133,85.828224,3788.0312,325290.0,101.6,0.0,0,0,0
2008-12-18,85.912704,86.03942,85.84512,85.912704,21544.428,1851697.0,101.7,0.0,0,0,0
2008-12-19,85.98873,86.03942,85.90426,85.90426,13494.861,1160404.0,101.69,0.0,0,0,0
2008-12-22,85.87047,86.03942,85.87047,86.03942,3788.0312,325542.0,101.85,0.0,0,0,0
2008-12-23,85.946495,86.14079,85.946495,86.14079,10653.838,916881.0,101.97,0.0,0,0,0
2008-12-24,86.50404,88.67509,86.25061,86.35198,7931.1904,688640.0,102.22,0.0,0,0,0
2008-12-26,86.2844,86.58007,86.2844,86.58007,19532.035,1687273.0,102.49,0.0,0,0,0
2008-12-29,86.373535,86.59361,86.373535,86.58515,4961.798,429132.0,102.29,0.0,0,0,0
2008-12-30,86.61901,86.66979,86.34814,86.66979,15239.808,1318541.0,102.39,0.0,0,0,0
2008-12-31,86.69519,86.69519,86.44971,86.55129,1063.2424,92004.0,102.25,0.0,0,0,0
2009-01-02,86.44971,86.5005,86.44971,86.5005,708.82825,61299.0,102.19,0.0,0,0,0
2009-01-05,86.492035,88.828285,86.492035,86.66133,2835.313,246227.0,102.38,0.0,0,0,0
2009-01-06,86.55975,86.96606,86.55975,86.957596,8742.215,758461.0,102.73,0.0,0,0,0
2009-01-07,87.008385,87.11842,86.72905,87.10996,6615.7305,575572.0,102.91,0.0,0,0,0
2009-01-08,87.17767,87.44854,86.99145,87.44854,7915.249,690282.0,103.31,0.0,0,0,0
2009-01-09,87.41468,87.533195,87.41468,87.51626,1181.3805,103371.0,103.39,0.0,0,0,0
2009-01-12,87.51626,87.83791,87.51626,87.77866,10868.7,953786.0,103.7,0.0,0,0,0
2009-01-13,87.84638,92.64585,87.685555,92.64585,4607.384,407359.0,109.45,0.0,0,0,0
2009-01-14,87.89717,88.27808,87.89717,88.08339,1653.9326,145520.0,104.06,0.0,0,0,0
2009-01-15,88.36273,90.57201,88.36273,88.62513,6143.178,543856.0,104.7,0.0,0,0,0
2009-01-16,88.6336,93.95788,88.6336,93.441536,19138.363,1719775.0,110.39,0.0,0,0,0
2009-01-20,88.7775,89.08222,88.53202,89.0399,1299.5184,115505.0,105.19,0.0,0,0,0
2009-01-21,88.50663,94.38111,88.50663,89.67476,11931.942,1071369.0,105.94,0.0,0,0,0
2009-01-22,88.879074,91.706276,88.71825,89.09916,13822.151,1233956.0,105.26,0.0,0,0,0
2009-01-23,88.4897,88.64207,88.03261,88.38812,8033.387,710903.0,104.42,0.0,0,0,0
2009-01-26,88.709785,89.72554,87.575516,88.54895,27998.717,2480766.0,104.61,0.0,0,0,0
2009-01-27,88.60821,88.60821,88.36273,88.43891,12404.494,1096771.0,104.48,0.0,0,0,0
2009-01-28,88.54895,88.71825,88.54049,88.68439,16066.774,1424591.0,104.77,0.0,0,0,0
2009-01-29,89.37849,89.37849,87.71095,87.71941,18902.088,1671507.0,103.63,0.0,0,0,0
2009-01-30,88.39659,88.44737,87.73634,88.29501,99235.95,8763610.0,104.31,0.0,0,0,0
2009-02-02,88.40437,88.438286,87.743126,88.30265,11559.88,1020260.0,104.16,0.0,0,0,0
2009-02-03,88.2094,88.353516,87.83638,88.17548,6723.6035,593090.0,104.01,0.0,0,0,0
2009-02-04,88.19244,88.217865,87.912674,87.988976,11913.754,1048845.0,103.79,0.0,0,0,0
2009-02-05,88.29417,88.29417,88.133095,88.26026,12031.712,1061599.0,104.11,0.0,0,0,0
2009-02-06,88.64175,88.64175,88.277214,88.3196,32320.48,2858370.0,104.18,0.0,0,0,0
2009-02-09,88.26874,88.30265,87.95506,88.03984,8846.847,780484.0,103.85,0.0,0,0,0
2009-02-10,88.32808,88.32808,88.17548,88.26026,4128.529,364413.0,104.11,0.0,0,0,0
2009-02-11,88.26026,88.26026,88.17548,88.25178,3066.907,270609.0,104.1,0.0,0,0,0
2009-02-12,88.29417,88.30265,88.26874,88.28569,4718.3184,416576.0,104.14,0.0,0,0,0
2009-02-13,88.22635,88.26026,88.16701,88.25178,17457.777,1540113.0,104.1,0.0,0,0,0
2009-02-17,87.44641,88.22635,87.44641,88.217865,20406.727,1788129.0,104.06,0.0,0,0,0
2009-02-18,88.15852,88.15852,87.86181,88.14157,4246.4863,374149.0,103.97,0.0,0,0,0
2009-02-19,88.09918,88.09918,87.99746,88.07375,3774.6548,332453.0,103.89,0.0,0,0,0
2009-02-20,88.02289,88.0568,87.99746,88.0568,4836.2764,425816.0,103.87,0.0,0,0,0
2009-02-23,88.03136,88.07375,87.988976,88.02289,8964.805,789151.0,103.83,0.0,0,0,0
2009-02-24,87.988976,88.06527,87.87029,87.95506,12031.712,1058560.0,103.75,0.0,0,0,0
2009-02-25,87.972015,87.988976,87.93811,87.972015,10498.259,923497.0,103.77,0.0,0,0,0
2009-02-26,87.827896,87.92115,87.46336,87.46336,5072.1924,444769.0,103.17,0.0,0,0,0
2009-02-27,87.50575,87.827896,87.50575,87.80247,10026.427,880447.0,103.57,0.0,0,0,0
2009-03-02,87.84492,87.91283,87.74305,87.86189,3298.3584,289827.0,103.5,0.0,0,0,0
2009-03-03,87.84492,88.04865,87.74305,87.91283,12133.246,1066497.0,103.56,0.0,0,0,0
2009-03-04,87.75153,87.827934,87.44593,87.80247,11426.455,1001959.0,103.43,0.0,0,0,0
2009-03-05,87.793976,87.793976,87.32708,87.63269,8952.687,784734.0,103.23,0.0,0,0,0
2009-03-06,87.71758,87.81096,87.71758,87.76002,6125.5225,537637.0,103.38,0.0,0,0,0
2009-03-09,87.827934,87.836426,87.76851,87.81096,19201.156,1685820.0,103.44,0.0,0,0,0
