Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-01,792.3324,792.3324,792.3324,792.3324,17.341206,13739.999,68.7,0.0,0,0,0
2007-02-05,788.75714,791.5251,788.75714,791.5251,450.87137,355675.0,68.63,0.0,0,0,0
2007-02-09,806.05695,806.05695,806.05695,806.05695,433.53015,349450.0,69.89,0.0,0,0,0
2007-02-13,797.5224,797.5224,797.5224,797.5224,433.53015,345750.0,69.15,0.0,0,0,0
2007-02-14,792.3324,792.3324,792.3324,792.3324,433.53015,343500.0,68.7,0.0,0,0,0
2007-02-22,790.37177,790.37177,788.5265,788.5265,60.69422,47880.0,68.37,0.0,0,0,0
2007-02-23,790.4871,790.4871,790.4871,790.4871,8.670603,6854.0,68.54,0.0,0,0,0
2007-02-27,845.50055,845.50055,842.84796,843.42456,468.21255,394716.0,73.13,0.0,0,0,0
2007-02-28,833.85205,833.85205,829.1234,829.46936,52.023617,43183.0,71.92,0.0,0,0,0
2007-03-01,851.1519,851.1519,833.16003,833.16003,78.03543,65261.0,72.24,0.0,0,0,0
2007-03-02,838.4653,844.92395,837.42737,844.92395,78.03543,65532.0,73.26,0.0,0,0,0
2007-03-05,859.2251,859.2251,850.22925,854.49646,78.03543,66575.0,74.09,0.0,0,0,0
2007-03-06,852.88184,852.88184,842.2713,842.2713,173.41206,147725.0,73.03,0.0,0,0,0
2007-03-09,827.5088,827.5088,827.5088,827.5088,8.670603,7175.0,71.75,0.0,0,0,0
2007-03-12,827.7394,831.31476,824.97144,824.97144,208.09447,172332.0,71.53,0.0,0,0,0
2007-03-14,853.57385,873.64166,853.4585,855.18854,138.72964,119071.0,74.15,0.0,0,0,0
2007-03-16,842.15594,850.3446,842.15594,850.3446,26.011808,22004.0,73.73,0.0,0,0,0
2007-03-19,841.4639,841.4639,835.1207,835.1207,34.68241,29028.0,72.41,0.0,0,0,0
2007-03-20,834.42865,834.42865,829.46936,829.46936,43.353016,36027.0,71.92,0.0,0,0,0
2007-03-23,805.59564,808.94025,805.4803,808.94025,26.011808,20982.0,70.14,0.0,0,0,0
2007-03-26,814.8222,814.8222,814.8222,814.8222,34.68241,28260.0,70.65,0.0,0,0,0
2007-03-27,823.8181,823.8181,823.12616,823.12616,43.353016,35708.0,71.37,0.0,0,0,0
2007-03-30,811.9389,815.6296,811.9389,815.6296,34.68241,28239.0,70.72,0.0,0,0,0
2007-04-03,802.71234,802.71234,797.63776,797.63776,17.341206,13876.0,69.16,0.0,0,0,0
2007-04-05,790.02576,790.02576,790.02576,790.02576,17.341206,13700.0,68.5,0.0,0,0,0
2007-04-09,791.64044,791.64044,791.64044,791.64044,17.341206,13728.0,68.64,0.0,0,0,0
2007-04-12,794.98505,794.98505,784.9511,784.9511,520.2362,411115.0,68.06,0.0,0,0,0
2007-04-13,786.4505,787.8345,786.4505,786.91187,511.56558,402952.0,68.23,0.0,0,0,0
2007-04-16,780.6839,782.18317,777.9159,777.9159,95.37663,74373.0,67.45,0.0,0,0,0
2007-04-17,773.1873,773.1873,767.536,770.8806,69.36482,53408.0,66.84,0.0,0,0,0
2007-04-18,767.18994,767.18994,767.18994,767.18994,8.670603,6651.9995,66.52,0.0,0,0,0
2007-04-23,761.42334,763.73004,761.42334,763.73004,34.68241,26448.0,66.22,0.0,0,0,0
2007-04-24,763.4993,763.4993,761.19275,761.19275,69.36482,52860.0,66.0,0.0,0,0,0
2007-04-25,752.77344,752.77344,752.77344,752.77344,26.011808,19580.998,65.27,0.0,0,0,0
2007-04-26,754.2728,754.2728,754.2728,754.2728,8.670603,6540.0,65.4,0.0,0,0,0
2007-04-27,757.7327,758.77075,757.7327,758.6554,34.68241,26298.0,65.78,0.0,0,0,0
2007-05-01,774.2252,780.7992,769.7273,769.7273,182.08266,141463.0,66.74,0.0,0,0,0
2007-05-02,769.03534,769.03534,759.0014,759.4627,69.36482,53174.0,65.85,0.0,0,0,0
2007-05-03,762.5767,762.5767,762.5767,762.5767,8.670603,6612.0005,66.12,0.0,0,0,0
2007-05-08,771.3419,771.3419,769.1507,769.1507,34.68241,26695.0,66.69,0.0,0,0,0
2007-05-09,773.1873,773.53326,766.15204,766.15204,78.03543,60173.0,66.43,0.0,0,0,0
2007-05-10,772.8413,782.99054,772.8413,780.7992,251.4475,195686.0,67.7,0.0,0,0,0
2007-05-11,781.37585,781.37585,776.8779,777.9159,95.37663,74415.0,67.45,0.0,0,0,0
2007-05-14,775.60925,778.9539,775.60925,778.9539,17.341206,13479.0,67.54,0.0,0,0,0
2007-05-15,780.22253,780.22253,766.844,773.1873,268.7887,207443.0,67.04,0.0,0,0,0
2007-05-16,773.3027,775.3786,773.1873,773.1873,104.04723,80520.0,67.04,0.0,0,0,0
2007-05-17,761.19275,761.19275,761.19275,761.19275,26.011808,19800.0,66.0,0.0,0,0,0
2007-05-18,759.4627,759.4627,756.9254,756.9254,60.69422,46018.0,65.63,0.0,0,0,0
2007-05-21,757.3867,757.3867,752.77344,752.77344,86.70603,65630.0,65.27,0.0,0,0,0
2007-05-22,749.6595,749.77484,749.6595,749.77484,17.341206,13000.0,65.01,0.0,0,0,0
2007-05-23,746.0842,747.1222,744.58484,746.89154,277.4593,207159.0,64.76,0.0,0,0,0
2007-05-24,747.23755,747.23755,747.23755,747.23755,43.353016,32395.0,64.79,0.0,0,0,0
2007-05-25,761.42334,761.42334,761.42334,761.42334,8.670603,6601.9995,66.02,0.0,0,0,0
2007-05-29,758.1941,758.1941,758.1941,758.1941,34.68241,26296.0,65.74,0.0,0,0,0
2007-05-30,760.27,760.27,743.54694,743.54694,60.69422,45307.0,64.47,0.0,0,0,0
2007-05-31,741.12494,746.1995,740.8942,746.1995,130.05905,96783.0,64.7,0.0,0,0,0
2007-06-01,744.12354,744.12354,741.24023,741.24023,26.011808,19331.0,64.27,0.0,0,0,0
2007-06-04,746.7762,746.7762,740.8942,741.12494,34.68241,25749.0,64.26,0.0,0,0,0
2007-06-05,745.8535,752.8888,745.8535,749.4289,130.05905,97458.0,64.98,0.0,0,0,0
2007-06-06,757.1561,762.1154,757.1561,762.1154,26.011808,19737.0,66.08,0.0,0,0,0
2007-06-07,767.882,784.3745,767.882,784.3745,563.5892,437568.0,68.01,0.0,0,0,0
2007-06-08,785.52783,788.5265,769.1507,769.3813,277.4593,216421.0,66.71,0.0,0,0,0
2007-06-11,770.64996,775.8399,769.2659,770.7653,69.36482,53441.0,66.83,0.0,0,0,0
2007-06-12,774.45593,780.6839,771.91864,780.6839,86.70603,67188.0,67.69,0.0,0,0,0
2007-06-13,776.9933,776.9933,767.42065,767.42065,199.42387,154816.0,66.54,0.0,0,0,0
2007-06-14,762.692,762.692,762.692,762.692,156.07086,119033.99,66.13,0.0,0,0,0
2007-06-15,754.2728,754.8494,754.2728,754.8494,34.68241,26170.0,65.45,0.0,0,0,0
2007-06-18,759.0014,762.346,759.0014,762.346,26.011808,19772.0,66.1,0.0,0,0,0
2007-06-19,774.3406,774.3406,770.64996,770.64996,17.341206,13396.0,66.82,0.0,0,0,0
2007-06-20,770.5346,780.22253,765.2293,780.22253,112.71784,86561.0,67.65,0.0,0,0,0
2007-06-21,780.3379,784.9511,780.1072,782.99054,95.37663,74562.0,67.89,0.0,0,0,0
2007-06-22,778.26196,786.5658,778.26196,784.25916,43.353016,33945.0,68.0,0.0,0,0,0
2007-06-25,780.56854,793.25507,776.8779,788.2958,121.38844,95026.0,68.35,0.0,0,0,0
2007-06-26,791.8401,794.7742,783.6247,793.2484,1184.3717,934719.0,67.59,0.0,0,0,0
2007-06-27,797.2387,797.2387,778.5782,778.5782,536.8016,424425.0,66.34,0.0,0,0,0
2007-06-28,773.06226,775.8789,773.06226,774.70526,68.165276,52776.0,66.01,0.0,0,0,0
2007-06-29,776.70044,780.456,768.25037,780.456,93.72726,72901.0,66.5,0.0,0,0,0
2007-07-02,768.25037,770.36285,768.25037,770.36285,102.24792,78750.0,65.64,0.0,0,0,0
2007-07-03,766.3726,767.19415,766.3726,766.6073,136.33055,104568.0,65.32,0.0,0,0,0
