Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-09-22,18.98457,19.060236,18.98457,19.060236,4229.119,80462.0,25.19,0.0,0,0,0
2011-09-23,18.840803,18.840803,18.833237,18.833237,264.31995,4979.0,24.89,0.0,0,0,0
2011-09-27,18.969437,18.969437,18.818106,18.946737,4096.959,77391.0,25.04,0.0,0,0,0
2011-09-28,18.946737,19.022402,18.946737,19.022402,18502.395,351195.0,25.14,0.0,0,0,0
2011-09-29,18.810537,18.98457,18.795404,18.84837,5193358.0,97683960.0,24.91,0.0,0,0,0
2011-09-30,18.855938,18.977003,18.82567,18.931602,11233.597,212352.0,25.02,0.0,0,0,0
2011-10-03,18.977003,19.022402,18.977003,19.014835,2643.1992,50190.0,25.13,0.0,0,0,0
2011-10-04,18.98457,18.98457,18.855938,18.87107,163746.2,3095926.0,24.94,0.0,0,0,0
2011-10-05,18.855938,18.855938,18.765137,18.84837,45198.707,850328.0,24.91,0.0,0,0,0
2011-10-06,18.87107,18.878637,18.833237,18.855938,18238.076,343774.0,24.92,0.0,0,0,0
2011-10-07,18.855938,18.855938,18.787838,18.818106,3303.999,62174.0,24.87,0.0,0,0,0
2011-10-10,18.840803,18.908903,18.840803,18.908903,3964.799,74817.0,24.99,0.0,0,0,0
2011-10-11,18.82567,18.82567,18.734873,18.80297,9119.038,171055.0,24.85,0.0,0,0,0
2011-10-12,18.704605,18.750006,18.697039,18.74244,8722.558,163271.0,24.77,0.0,0,0,0
2011-10-13,18.74244,18.74244,18.681906,18.681906,14273.276,267195.0,24.69,0.0,0,0,0
2011-10-14,18.719738,18.719738,18.681906,18.719738,12423.037,232430.0,24.74,0.0,0,0,0
2011-10-17,18.727304,19.067802,18.727304,18.757572,4889.919,91791.0,24.79,0.0,0,0,0
2011-10-18,18.787838,18.787838,18.757572,18.780272,69383.984,1302939.0,24.82,0.0,0,0,0
2011-10-19,18.787838,18.795404,18.787838,18.795404,131499.17,2470585.0,24.84,0.0,0,0,0
2011-10-20,18.80297,18.82567,18.795404,18.795404,3436.1592,64600.0,24.84,0.0,0,0,0
2011-10-21,18.80297,18.84837,18.80297,18.80297,312690.47,5879604.0,24.85,0.0,0,0,0
2011-10-24,18.84837,18.84837,18.810537,18.810537,58679.023,1103801.0,24.86,0.0,0,0,0
