Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-04-16,640.95917,646.69696,634.28253,645.75806,3000.3032,1921431.0,61.9,0.0,0,0,0
2009-04-17,655.7731,677.2635,653.9995,670.0653,5617.181,3740982.0,64.23,0.0,0,0,0
2009-04-20,650.5569,650.5569,631.5701,634.28253,2664.8062,1703497.0,60.8,0.0,0,0,0
2009-04-21,623.8503,652.539,611.3315,651.8088,2175.9387,1380900.0,62.48,0.0,0,0,0
2009-04-22,650.34827,680.9148,650.34827,673.82086,2990.7178,2007102.0,64.59,0.0,0,0,0
2009-04-23,678.61975,682.68835,666.2053,669.2307,4131.408,2788664.0,64.15,0.0,0,0,0
2009-04-24,688.5304,705.0134,685.9223,697.29346,6288.176,4374221.0,66.84,0.0,0,0,0
2009-04-27,685.4007,707.62146,680.08026,683.10565,3364.5574,2328618.0,65.48,0.0,0,0,0
2009-04-28,681.95807,730.7811,678.51544,724.4175,1974.6405,1386408.0,69.44,0.0,0,0,0
2009-04-29,721.2877,784.5073,702.61395,744.656,4792.817,3440359.0,71.38,0.0,0,0,0
2009-04-30,765.1033,771.67566,750.6024,756.65314,5866.4077,4440561.0,72.53,0.0,0,0,0
2009-05-01,778.03937,788.0543,771.8843,774.0751,1830.856,1426090.0,74.2,0.0,0,0,0
2009-05-04,768.54596,782.4209,752.6889,761.6607,6959.17,5350075.0,73.01,0.0,0,0,0
2009-05-05,761.6607,776.57886,751.1241,765.1033,7016.6836,5365874.0,73.34,0.0,0,0,0
2009-05-06,770.84106,779.2912,753.2105,773.03186,8224.474,6275472.0,74.1,0.0,0,0,0
2009-05-07,783.4641,857.74194,783.4641,846.2665,4974.944,4046160.0,81.12,0.0,0,0,0
2009-05-08,840.32007,848.0399,824.88025,839.7984,3930.1099,3286998.0,80.5,0.0,0,0,0
2009-05-11,829.36615,829.36615,795.1483,795.1483,3891.7673,3122793.0,76.22,0.0,0,0,0
2009-05-12,804.0157,812.5702,779.1869,788.68024,2923.6182,2326045.0,75.6,0.0,0,0,0
2009-05-13,768.8589,768.8589,751.1241,760.4088,11886.186,9035284.0,72.89,0.0,0,0,0
2009-05-14,767.18976,770.0065,745.9079,748.8289,5013.286,3803250.0,71.78,0.0,0,0,0
2009-05-15,755.9229,766.04224,751.9587,757.48773,3949.281,2996714.0,72.61,0.0,0,0,0
