Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-02-11,3.095852,3.095852,3.0946825,3.0950723,69264.94,214388.0,79.4,0.0,0,0,0
2010-02-12,3.083768,3.087666,3.053363,3.0841577,148791.36,456694.0,79.12,0.0,0,0,0
2010-02-16,3.2420297,3.2915354,3.2248783,3.2915354,107745.46,352225.0,84.44,0.0,0,0,0
2010-02-17,3.3527353,3.369497,3.3426,3.3624804,443808.7,1490585.0,86.26,0.0,0,0,0
2010-02-18,3.3761237,3.460322,3.3722255,3.4494073,346324.7,1179463.0,88.49,0.0,0,0,0
2010-02-19,3.4287477,3.4942353,3.4053593,3.4614916,697780.1,2410561.0,88.8,0.0,0,0,0
2010-02-22,3.4961843,3.4961843,3.4353743,3.440052,584903.94,2024272.0,88.25,0.0,0,0,0
2010-02-23,3.4229004,3.4653895,3.3433797,3.3581924,343759.34,1169152.0,86.15,0.0,0,0,0
2010-02-24,3.3893769,3.4458992,3.3683276,3.435764,482289.22,1647222.0,88.14,0.0,0,0,0
2010-02-25,3.2864678,3.3885975,3.2513852,3.3804116,1062062.4,3508894.0,86.72,0.0,0,0,0
2010-02-26,3.3940547,3.4119859,3.3383121,3.3967834,908140.3,3063165.0,87.14,0.0,0,0,0
2010-03-01,3.4248495,3.4739654,3.4154942,3.4607117,574642.5,1982151.0,88.78,0.0,0,0,0
2010-03-02,3.4996924,3.5156748,3.456424,3.460322,472027.75,1648641.0,88.77,0.0,0,0,0
2010-03-03,3.4833207,3.531267,3.4474585,3.4560342,607992.25,2124162.0,88.66,0.0,0,0,0
2010-03-04,3.4856594,3.5098276,3.4735756,3.5098276,528465.8,1847449.0,90.04,0.0,0,0,0
2010-03-05,3.5651803,3.6298885,3.5460799,3.6298885,330932.5,1190845.0,93.12,0.0,0,0,0
2010-03-08,3.6291087,3.6450908,3.608449,3.6142962,328367.12,1190955.0,92.72,0.0,0,0,0
2010-03-09,3.6283293,3.6778345,3.6092284,3.6283293,430981.84,1568152.0,93.08,0.0,0,0,0
2010-03-10,3.6458704,3.6676996,3.6096182,3.634956,561815.6,2047457.0,93.25,0.0,0,0,0
2010-03-11,3.6205328,3.6829023,3.5842807,3.6829023,248840.72,904120.0,94.48,0.0,0,0,0
2010-03-12,3.7242217,3.7242217,3.6786144,3.6945963,279625.12,1034893.0,94.78,0.0,0,0,0
2010-03-15,3.6879697,3.7152562,3.6575646,3.7152562,133399.14,492053.0,95.31,0.0,0,0,0
2010-03-16,3.737865,3.772558,3.699274,3.7698293,205229.45,769663.0,96.71,0.0,0,0,0
2010-03-17,3.7939975,3.845062,3.7939975,3.8037426,182141.14,694305.0,97.58,0.0,0,0,0
2010-03-18,3.8244023,3.8668911,3.8169959,3.861434,259102.19,994490.0,99.06,0.0,0,0,0
2010-03-19,3.9000251,3.9004147,3.7776256,3.8166063,515639.0,1967926.0,97.91,0.0,0,0,0
2010-03-22,3.7748966,3.8914492,3.7748966,3.8661118,615688.4,2363208.0,99.18,0.0,0,0,0
2010-03-23,3.8883307,3.9818847,3.8746877,3.9775968,266798.28,1047125.0,102.04,0.0,0,0,0
2010-03-24,3.947379,3.9672642,3.9146273,3.9263241,228261.83,898837.0,100.7,0.0,0,0,0
2010-03-25,3.991828,4.0456347,3.920476,3.9290535,261603.45,1040410.0,100.77,0.0,0,0,0
2010-03-26,3.9532278,3.996897,3.9099483,3.939971,218002.88,860491.0,101.05,0.0,0,0,0
2010-03-29,3.9738925,3.9984565,3.971553,3.9851997,387275.7,1542211.0,102.21,0.0,0,0,0
2010-03-30,4.013273,4.035497,3.9645348,4.004305,259038.72,1036076.0,102.7,0.0,0,0,0
2010-03-31,3.9738925,3.9914384,3.9208655,3.9469893,297509.8,1175868.0,101.23,0.0,0,0,0
2010-04-01,4.0269194,4.049144,3.9629753,4.0238,212873.39,857791.0,103.2,0.0,0,0,0
2010-04-05,4.0596714,4.0830655,4.0238,4.073708,315463.0,1282208.0,104.48,0.0,0,0,0
2010-04-06,4.0464144,4.087744,4.0343275,4.067079,318027.72,1291691.0,104.31,0.0,0,0,0
2010-04-07,4.0393963,4.0627904,3.9454298,3.999236,913047.3,3670858.0,102.57,0.0,0,0,0
2010-04-08,3.9586864,4.051483,3.9395812,4.0292587,266732.94,1067138.0,103.34,0.0,0,0,0
2010-04-09,4.052653,4.1068497,4.0378366,4.10568,384710.97,1567980.0,105.3,0.0,0,0,0
2010-04-12,4.1197166,4.133753,4.10529,4.1193266,135931.2,560027.0,105.65,0.0,0,0,0
2010-04-13,4.112308,4.1473994,4.0772166,4.132193,384710.97,1590499.0,105.98,0.0,0,0,0
2010-04-14,4.170014,4.2479944,4.1559772,4.2444854,515512.7,2174313.0,108.86,0.0,0,0,0
2010-04-15,4.2277193,4.2729483,4.217972,4.2729483,310333.5,1316125.0,109.59,0.0,0,0,0
2010-04-16,4.254233,4.282306,4.080726,4.133363,956647.94,3976743.0,106.01,0.0,0,0,0
2010-04-19,4.092423,4.2117333,4.0916433,4.2047153,482171.06,1998387.0,107.84,0.0,0,0,0
2010-04-20,4.245655,4.253453,4.201206,4.230839,379581.47,1605628.0,108.51,0.0,0,0,0
2010-04-21,4.2405863,4.273338,4.197307,4.2405863,330851.44,1400181.0,108.76,0.0,0,0,0
2010-04-22,4.1758623,4.270609,4.132193,4.270609,384710.97,1611838.0,109.53,0.0,0,0,0
2010-04-23,4.2515035,4.3368926,4.235128,4.335333,1505502.2,6447021.0,111.19,0.0,0,0,0
2010-04-26,4.3485894,4.3848505,4.339232,4.3404016,377016.75,1645506.0,111.32,0.0,0,0,0
2010-04-27,4.3053102,4.353658,4.0772166,4.0951524,1574750.1,6710473.0,105.03,0.0,0,0,0
2010-04-28,4.1462297,4.18639,4.067469,4.1551976,992554.25,4093507.0,106.57,0.0,0,0,0
2010-04-29,4.205495,4.321686,4.205495,4.288934,574501.7,2457295.0,110.0,0.0,0,0,0
2010-04-30,4.3045306,4.3181767,4.1080194,4.109189,823281.44,3462540.0,105.39,0.0,0,0,0
2010-05-03,4.1676745,4.2959523,4.1676745,4.26515,974601.06,4139036.0,109.39,0.0,0,0,0
2010-05-04,4.1516886,4.1516886,3.956737,4.0152225,1492678.5,6028769.0,102.98,0.0,0,0,0
2010-05-05,3.9220352,4.032768,3.8990312,3.9493287,1007942.7,3979305.0,101.29,0.0,0,0,0
2010-05-06,3.9294436,3.9657044,2.9141357,3.5683932,4075371.5,14311074.0,91.52,0.0,0,0,0
2010-05-07,3.5473387,3.6338968,3.3141766,3.445184,1820965.2,6318552.0,88.36,0.0,0,0,0
2010-05-10,3.802335,3.879536,3.7493086,3.8413253,1705551.9,6505030.0,98.52,0.0,0,0,0
2010-05-11,3.7422903,3.9267142,3.7337122,3.803505,961777.4,3703316.0,97.55,0.0,0,0,0
2010-05-12,3.8444448,3.976232,3.8370366,3.9707732,746339.25,2921418.0,101.84,0.0,0,0,0
2010-05-13,3.9372418,3.9894886,3.8362567,3.8366468,1036154.9,4075289.0,98.4,0.0,0,0,0
2010-05-14,3.7688036,3.791808,3.5843794,3.6693783,1007942.7,3700326.0,94.11,0.0,0,0,0
2010-05-17,3.6896532,3.711098,3.4888532,3.6763966,1259287.2,4562563.0,94.29,0.0,0,0,0
2010-05-18,3.7571063,3.7637348,3.5321321,3.5578659,928435.75,3391625.0,91.25,0.0,0,0,0
2010-05-19,3.5122473,3.5722923,3.3800702,3.493532,1341358.9,4669683.0,89.6,0.0,0,0,0
2010-05-20,3.308328,3.3313322,3.1129863,3.1137662,5655251.0,18299890.0,79.86,0.0,0,0,0
2010-05-21,2.9928963,3.2397048,2.970672,3.2358057,3385456.5,10634012.0,82.99,0.0,0,0,0
2010-05-24,3.1855083,3.215921,3.1040187,3.110647,1354182.6,4303469.0,79.78,0.0,0,0,0
2010-05-25,2.913746,3.1008995,2.8462927,3.0923214,3329032.2,9814528.0,79.31,0.0,0,0,0
2010-05-26,3.1410594,3.210462,3.0139513,3.034226,1997932.2,6279853.0,77.82,0.0,0,0,0
2010-05-27,3.183559,3.2978005,3.1566556,3.2978005,1238769.2,3997723.0,84.58,0.0,0,0,0
2010-05-28,3.287663,3.287663,3.13872,3.1730313,3221313.0,10391503.0,81.38,0.0,0,0,0
2010-06-01,3.1012895,3.2482827,3.0697074,3.0697074,1064367.0,3381307.0,78.73,0.0,0,0,0
2010-06-02,3.1211746,3.2806447,3.0954409,3.279865,697609.2,2217012.0,84.12,0.0,0,0,0
2010-06-03,3.320025,3.3402998,3.2092924,3.2837641,1528584.9,5014690.0,84.22,0.0,0,0,0
2010-06-04,3.1215641,3.142229,2.9355805,2.9683323,2313395.2,7062957.0,76.13,0.0,0,0,0
2010-06-07,3.002254,3.0120015,2.8665676,2.8692968,1864565.8,5513037.0,73.59,0.0,0,0,0
2010-06-08,2.8790445,2.989387,2.8197794,2.981589,1713246.1,4976640.0,76.47,0.0,0,0,0
2010-06-09,3.0197995,3.091152,2.9250531,2.9449382,1808141.5,5463538.0,75.53,0.0,0,0,0
2010-06-10,3.0810142,3.1972055,3.0802345,3.183169,1608091.8,5053776.0,81.64,0.0,0,0,0
2010-06-11,3.1086977,3.232297,3.1086977,3.223329,1874824.8,5949755.0,82.67,0.0,0,0,0
2010-06-14,3.2997499,3.3391302,3.2042239,3.2042239,1310582.0,4319620.0,82.18,0.0,0,0,0
2010-06-15,3.278695,3.4132118,3.2615397,3.4019046,874576.25,2923495.0,87.25,0.0,0,0,0
2010-06-16,3.3551164,3.4311473,3.3438091,3.4178908,564242.75,1911036.0,87.66,0.0,0,0,0
2010-06-17,3.4436243,3.445184,3.3254838,3.4416747,1654257.1,5622213.0,88.27,0.0,0,0,0
2010-06-18,3.4572709,3.4814448,3.441285,3.4557111,533465.9,1843545.0,88.63,0.0,0,0,0
