Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-02-27,50.04,50.04,49.27,49.27,5200.0,256825.0,49.27,0.0,0,0,0
2008-02-28,49.54,49.89,49.2,49.79,9800.0,486187.0,49.79,0.0,0,0,0
2008-02-29,49.77,49.84,49.4,49.61,6100.0,302342.0,49.61,0.0,0,0,0
2008-03-03,50.8,50.8,49.7,49.81,9200.0,463854.0,49.81,0.0,0,0,0
2008-03-04,49.86,49.87,47.28,47.45,27700.0,1350652.0,47.45,0.0,0,0,0
2008-03-05,48.11,49.24,47.77,49.05,21600.0,1048334.0,49.05,0.0,0,0,0
2008-03-06,48.68,49.44,48.12,49.37,19500.0,950225.0,49.37,0.0,0,0,0
2008-03-07,49.34,50.25,49.05,50.23,21200.0,1055242.0,50.23,0.0,0,0,0
2008-03-10,49.51,50.74,49.19,50.61,35100.0,1768050.0,50.61,0.0,0,0,0
2008-03-11,50.69,50.79,49.78,50.7,27700.0,1394935.0,50.7,0.0,0,0,0
2008-03-12,50.7,50.93,49.9,50.92,28600.0,1442049.0,50.92,0.0,0,0,0
2008-03-13,50.36,50.7,49.18,49.94,43300.0,2162523.0,49.94,0.0,0,0,0
2008-03-14,49.52,50.12,49.41,50.05,11400.0,569020.0,50.05,0.0,0,0,0
2008-03-17,47.97,49.01,46.0,46.87,32000.0,1519196.0,46.87,0.0,0,0,0
2008-03-18,47.01,49.78,47.01,48.98,24500.0,1192513.0,48.98,0.0,0,0,0
2008-03-19,48.14,49.09,47.41,47.54,10600.0,511352.0,47.54,0.0,0,0,0
2008-03-20,47.02,48.39,46.9,48.07,37900.0,1793473.0,48.07,0.0,0,0,0
2008-03-24,48.75,49.09,48.4,48.46,11100.0,541005.0,48.46,0.0,0,0,0
2008-03-25,49.14,49.49,48.27,49.49,14100.0,689890.0,49.49,0.0,0,0,0
2008-03-26,49.53,50.91,49.51,50.32,16400.0,824234.0,50.32,0.0,0,0,0
2008-03-27,50.25,50.27,49.5,50.11,8800.0,439561.0,50.11,0.0,0,0,0
2008-03-28,49.9,50.05,49.72,50.01,2200.0,109757.0,50.01,0.0,0,0,0
2008-03-31,50.1,50.61,48.0,48.51,11900.0,579130.0,48.51,0.0,0,0,0
2008-04-01,48.01,49.13,47.97,48.84,8000.0,387966.0,48.84,0.0,0,0,0
2008-04-02,49.08,51.37,48.93,51.13,51400.0,2545240.0,51.13,0.0,0,0,0
2008-04-03,50.22,51.03,50.22,50.42,7700.0,389146.0,50.42,0.0,0,0,0
2008-04-04,50.51,51.09,50.0,50.9,15800.0,799306.0,50.9,0.0,0,0,0
2008-04-07,51.19,51.58,51.19,51.43,24000.0,1234831.0,51.43,0.0,0,0,0
2008-04-08,51.03,51.07,50.63,50.96,12300.0,625591.0,50.96,0.0,0,0,0
2008-04-09,51.35,52.09,51.09,51.29,50500.0,2597174.0,51.29,0.0,0,0,0
2008-04-10,51.17,51.67,50.63,51.54,23900.0,1223601.0,51.54,0.0,0,0,0
2008-04-11,50.92,51.81,50.83,51.81,3200.0,163480.0,51.81,0.0,0,0,0
2008-04-14,51.89,52.4,51.82,52.15,13300.0,693194.0,52.15,0.0,0,0,0
2008-04-15,52.84,53.34,52.67,53.29,20500.0,1087024.0,53.29,0.0,0,0,0
2008-04-16,53.15,54.28,52.98,53.97,34300.0,1843220.0,53.97,0.0,0,0,0
2008-04-17,54.63,54.82,54.36,54.47,37000.0,2017691.0,54.47,0.0,0,0,0
2008-04-18,54.0,55.17,52.7,55.11,19400.0,1056106.0,55.11,0.0,0,0,0
2008-04-21,55.01,55.24,54.66,55.12,15700.0,863134.0,55.12,0.0,0,0,0
2008-04-22,54.79,55.94,54.67,55.65,16400.0,910165.0,55.65,0.0,0,0,0
2008-04-23,55.76,56.36,55.38,56.29,24900.0,1392051.0,56.29,0.0,0,0,0
2008-04-24,55.96,56.21,54.97,55.68,28800.0,1598785.0,55.68,0.0,0,0,0
2008-04-25,56.21,56.94,56.12,56.38,21600.0,1223484.0,56.38,0.0,0,0,0
2008-04-28,56.35,56.45,55.9,55.95,14800.0,830420.0,55.95,0.0,0,0,0
2008-04-29,55.13,55.25,53.9,54.21,71500.0,3900675.0,54.21,0.0,0,0,0
2008-04-30,54.8,55.0,53.64,54.34,42300.0,2295557.0,54.34,0.0,0,0,0
2008-05-01,53.64,53.64,52.34,53.21,26500.0,1402051.0,53.21,0.0,0,0,0
2008-05-02,53.5,55.05,53.5,55.04,52100.0,2818870.0,55.04,0.0,0,0,0
2008-05-05,55.47,56.53,55.45,56.53,18100.0,1018125.0,56.53,0.0,0,0,0
2008-05-06,56.54,57.91,56.54,57.52,91100.0,5196653.0,57.52,0.0,0,0,0
2008-05-07,57.57,57.98,56.72,57.98,30800.0,1769992.0,57.98,0.0,0,0,0
2008-05-08,57.71,58.4,57.48,58.4,9700.0,562333.0,58.4,0.0,0,0,0
2008-05-09,59.15,59.33,58.71,59.33,43900.0,2589467.0,59.33,0.0,0,0,0
2008-05-12,58.98,59.54,58.4,58.6,25400.0,1497858.0,58.6,0.0,0,0,0
2008-05-13,58.51,59.4,58.51,59.37,22700.0,1338441.0,59.37,0.0,0,0,0
2008-05-14,59.17,59.53,58.74,58.79,29700.0,1752326.0,58.79,0.0,0,0,0
2008-05-15,59.83,59.84,57.5,58.67,32500.0,1895208.0,58.67,0.0,0,0,0
2008-05-16,59.95,60.02,59.56,60.0,25400.0,1518859.0,60.0,0.0,0,0,0
2008-05-19,61.0,61.0,59.69,60.15,26900.0,1613569.0,60.15,0.0,0,0,0
2008-05-20,61.6,61.6,60.17,61.27,31100.0,1897193.0,61.27,0.0,0,0,0
2008-05-21,61.32,63.27,61.21,63.25,61500.0,3834531.0,63.25,0.0,0,0,0
2008-05-22,64.64,64.64,61.33,61.49,65900.0,4112034.0,61.49,0.0,0,0,0
2008-05-23,62.91,63.04,61.3,62.56,42900.0,2683798.0,62.56,0.0,0,0,0
2008-05-27,63.49,63.49,61.51,61.8,30700.0,1903080.0,61.8,0.0,0,0,0
2008-05-28,61.54,63.0,61.26,62.74,18500.0,1148720.0,62.74,0.0,0,0,0
2008-05-29,62.28,64.15,61.9,61.99,55300.0,3474736.0,61.99,0.0,0,0,0
2008-05-30,62.31,62.65,61.12,62.36,37600.0,2337516.0,62.36,0.0,0,0,0
2008-06-02,61.79,63.5501,61.67,62.928,35802.0,2243761.0,62.928,0.0,0,0,0
2008-06-03,62.44,62.64,62.11,62.21,28000.0,1745735.0,62.21,0.0,0,0,0
2008-06-04,62.41,62.75,59.14,59.18,93100.0,5627215.0,59.18,0.0,0,0,0
2008-06-05,60.27,62.02,59.446,61.95,27592.0,1678746.0,61.95,0.0,0,0,0
2008-06-06,64.35,66.27,63.76,65.78,53000.0,3440320.0,65.78,0.0,0,0,0
2008-06-09,64.07,64.61,62.55,63.25,48200.0,3068055.0,63.25,0.0,0,0,0
2008-06-10,63.58,64.48,61.69,62.05,33300.0,2100211.0,62.05,0.0,0,0,0
2008-06-11,63.06,65.3,63.05,64.64,33600.0,2155053.0,64.64,0.0,0,0,0
2008-06-12,63.27,65.66,62.9,65.56,23600.0,1520000.0,65.56,0.0,0,0,0
2008-06-13,64.45,64.67,64.19,64.45,11600.0,747475.0,64.45,0.0,0,0,0
2008-06-16,64.99,66.0,63.45,63.71,18200.0,1185728.0,63.71,0.0,0,0,0
2008-06-17,63.35,64.11,63.14,63.56,27200.0,1734875.0,63.56,0.0,0,0,0
2008-06-18,63.37,64.65,62.74,64.53,26200.0,1666741.0,64.53,0.0,0,0,0
2008-06-19,63.55,63.76,62.48,62.62,28100.0,1767565.0,62.62,0.0,0,0,0
2008-06-20,63.81,64.6,63.71,64.13,34400.0,2205807.0,64.13,0.0,0,0,0
2008-06-23,64.32,65.08,64.1,64.68,21200.0,1370062.0,64.68,0.0,0,0,0
2008-06-24,64.41,65.24,64.38,64.77,8300.0,537414.0,64.77,0.0,0,0,0
2008-06-25,64.45,64.45,62.46,63.57,15600.0,986026.0,63.57,0.0,0,0,0
2008-06-26,64.5,65.92,64.5,65.64,30700.0,2005406.0,65.64,0.0,0,0,0
