Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-02-11,1.960828,2.0347939,1.960828,2.0347939,44912.66,90784.0,83.08,0.0,0,0,0
2010-02-12,1.9674408,2.0103018,1.9674408,2.0103018,28580.783,56944.0,82.08,0.0,0,0,0
2010-02-16,2.1616623,2.1888485,2.1310472,2.1851745,881921.3,1914870.0,89.22,0.0,0,0,0
2010-02-17,2.2094216,2.2317092,2.2028089,2.2317092,747183.3,1653258.0,91.12,0.0,0,0,0
2010-02-18,2.2331789,2.2471392,2.2331789,2.2429757,73493.445,164656.0,91.58,0.0,0,0,0
2010-02-19,2.2625692,2.309104,2.2520375,2.300042,391965.03,893618.0,93.91,0.0,0,0,0
2010-02-22,2.3316364,2.3316364,2.2944088,2.302736,922751.0,2131024.0,94.02,0.0,0,0,0
2010-02-23,2.293674,2.299797,2.2067275,2.2067275,1412707.2,3175968.0,90.1,0.0,0,0,0
2010-02-24,2.2341585,2.2826526,2.2214227,2.274815,743100.4,1679741.0,92.88,0.0,0,0,0
2010-02-25,2.1773372,2.2860813,2.1609275,2.2831426,632860.2,1402701.0,93.22,0.0,0,0,0
2010-02-26,2.2885308,2.2951436,2.2363627,2.2826526,1849585.0,4209864.0,93.2,0.0,0,0,0
2010-03-01,2.3130226,2.4014387,2.3130226,2.4014387,1902663.6,4492235.0,98.05,0.0,0,0,0
2010-03-02,2.437687,2.4780986,2.4286249,2.455321,1514781.5,3710515.0,100.25,0.0,0,0,0
2010-03-03,2.482997,2.5248783,2.4670773,2.4852014,1200392.9,2987666.0,101.47,0.0,0,0,0
2010-03-04,2.4974473,2.5116527,2.4604642,2.48912,677772.9,1685145.0,101.63,0.0,0,0,0
2010-03-05,2.5275724,2.59615,2.5170407,2.5912516,1984323.0,5062127.0,105.8,0.0,0,0,0
2010-03-08,2.595415,2.6191726,2.5917413,2.6088858,673689.9,1758122.0,106.52,0.0,0,0,0
2010-03-09,2.5853734,2.657135,2.5853734,2.6164784,1322882.0,3469680.0,106.83,0.0,0,0,0
2010-03-10,2.6157436,2.6806471,2.6140292,2.675504,2070065.4,5486748.0,109.24,0.0,0,0,0
2010-03-11,2.6397457,2.7171404,2.6179478,2.7134666,1902663.6,5080420.0,110.79,0.0,0,0,0
2010-03-12,2.7511842,2.7511842,2.6777084,2.7306108,1216724.8,3300418.0,111.49,0.0,0,0,0
2010-03-15,2.7235081,2.7345297,2.6492975,2.7164056,1298384.1,3490119.0,110.91,0.0,0,0,0
2010-03-16,2.7401628,2.8050666,2.718365,2.8045769,1220807.8,3363531.0,114.51,0.0,0,0,0
2010-03-17,2.8324976,2.898381,2.8324976,2.8660514,1453537.0,4159671.0,117.02,0.0,0,0,0
2010-03-18,2.868501,2.8787875,2.821476,2.8288238,592030.5,1685336.0,115.5,0.0,0,0,0
2010-03-19,2.8508666,2.8552752,2.7220387,2.7362442,1792423.4,4948864.0,111.72,0.0,0,0,0
2010-03-22,2.684566,2.8469477,2.6826067,2.8359265,922751.0,2569242.0,115.79,0.0,0,0,0
2010-03-23,2.8420494,2.9091575,2.80923,2.9069533,726768.5,2072297.0,118.69,0.0,0,0,0
2010-03-24,2.8696225,2.8835847,2.8323896,2.8323896,673599.06,1923249.0,115.63,0.0,0,0,0
2010-03-25,2.897057,2.9063654,2.7709064,2.7755604,657269.4,1880576.0,113.31,0.0,0,0,0
2010-03-26,2.7980962,2.8262658,2.7307343,2.7608633,1045099.2,2899043.0,112.71,0.0,0,0,0
2010-03-29,2.8042202,2.834839,2.7958915,2.8343492,534796.8,1506794.0,115.71,0.0,0,0,0
2010-03-30,2.8598244,2.8840747,2.8074045,2.8392484,477642.97,1358959.0,115.91,0.0,0,0,0
2010-03-31,2.820632,2.867173,2.788543,2.788543,1241055.2,3524946.0,113.84,0.0,0,0,0
2010-04-01,2.8544352,2.903916,2.8118136,2.8759913,783824.4,2244714.0,117.41,0.0,0,0,0
2010-04-05,2.9129791,3.0126748,2.9046507,3.0104704,947121.1,2804729.0,122.9,0.0,0,0,0
2010-04-06,2.9764218,3.0726883,2.9764218,3.0582361,1383939.9,4201898.0,124.85,0.0,0,0,0
2010-04-07,3.0349655,3.0484378,2.9565806,2.9938135,1355363.0,4094692.0,122.22,0.0,0,0,0
2010-04-08,2.9607449,2.9965081,2.903426,2.9788713,1000192.56,2955983.0,121.61,0.0,0,0,0
