Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-01,16.133831,16.133831,16.133831,16.133831,2629.2576,42420.0,70.7,0.0,0,0,0
2007-02-02,16.382572,16.439621,16.382572,16.439621,876.4192,14383.0,72.04,0.0,0,0,0
2007-02-05,16.5058,16.5058,16.5058,16.5058,438.2096,7233.0,72.33,0.0,0,0,0
2007-02-07,17.083149,17.083149,17.055765,17.055765,3505.6768,59804.0,74.74,0.0,0,0,0
2007-02-08,17.167585,17.206379,17.167585,17.206379,3505.6768,60266.0,75.4,0.0,0,0,0
2007-02-09,17.274837,17.29994,17.067175,17.151611,18404.803,315385.0,75.16,0.0,0,0,0
2007-02-12,17.137917,17.147045,17.137917,17.147045,1314.6288,22533.0,75.14,0.0,0,0,0
2007-02-13,17.350145,17.350145,17.350145,17.350145,1314.6288,22809.0,76.03,0.0,0,0,0
2007-02-14,17.660498,17.660498,17.546398,17.546398,9640.611,169359.0,76.89,0.0,0,0,0
2007-02-15,17.359272,17.407194,17.359272,17.393503,26730.785,464838.0,76.22,0.0,0,0,0
2007-02-16,17.263428,17.331888,17.256582,17.331888,25854.367,446595.0,75.95,0.0,0,0,0
2007-02-20,17.382093,17.382093,17.382093,17.382093,876.4192,15234.0,76.17,0.0,0,0,0
2007-02-21,17.336452,17.336452,17.240608,17.318197,15775.546,272514.0,75.89,0.0,0,0,0
2007-02-22,17.44599,17.44599,17.341017,17.341017,876.4192,15244.0,75.99,0.0,0,0,0
2007-02-23,17.665064,17.665064,17.665064,17.665064,876.4192,15482.001,77.41,0.0,0,0,0
2007-02-26,18.927017,18.927017,18.475178,18.488869,113934.49,2115274.0,81.02,0.0,0,0,0
2007-02-27,18.288052,18.288052,17.37753,17.450554,15775.546,278562.0,76.47,0.0,0,0,0
2007-02-28,17.503038,17.539553,17.503038,17.53727,8325.982,145939.0,76.85,0.0,0,0,0
2007-03-01,17.194967,17.724394,16.941664,17.658216,8325.982,145780.0,77.38,0.0,0,0,0
2007-03-02,17.400349,17.400349,17.222353,17.222353,4820.3057,83599.0,75.47,0.0,0,0,0
2007-03-05,16.761385,16.966766,16.729437,16.729437,4382.096,73616.0,73.31,0.0,0,0,0
2007-03-06,16.763668,16.996433,16.729437,16.996433,9640.611,162501.0,74.48,0.0,0,0,0
2007-03-07,17.131071,17.131071,17.04892,17.04892,876.4192,14978.0,74.71,0.0,0,0,0
2007-03-08,17.201813,17.290812,17.103687,17.103687,4382.096,75528.0,74.95,0.0,0,0,0
