Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2010-08-10,50.03,50.36,49.75,50.11,11600.0,579830.0,50.11,0.0,0,0,0
2010-08-11,51.71,51.71,49.1,49.21,6800.0,339970.0,49.21,0.0,0,0,0
2010-08-12,49.94,50.0,49.66,49.98,4200.0,209419.0,49.98,0.0,0,0,0
2010-08-13,50.23,50.23,49.87,50.19,7600.0,380608.0,50.19,0.0,0,0,0
2010-08-16,50.3,50.38,49.97,49.97,3500.0,175851.0,49.97,0.0,0,0,0
2010-08-17,50.55,50.69,50.35,50.67,6100.0,308422.0,50.67,0.0,0,0,0
2010-08-18,50.32,50.54,50.21,50.32,6400.0,322313.0,50.32,0.0,0,0,0
2010-08-19,50.6,50.6,50.2,50.3,3600.0,181175.0,50.3,0.0,0,0,0
2010-08-20,50.11,50.12,49.91,50.12,3132.0,156718.0,50.12,0.0,0,0,0
2010-08-23,50.1,50.28,49.773,49.9537,28537.0,1427375.0,49.9537,0.0,0,0,0
2010-08-24,48.9,49.44,48.9,49.29,7200.0,354014.0,49.29,0.0,0,0,0
2010-08-25,49.15,49.42,49.1,49.41,8300.0,408474.0,49.41,0.0,0,0,0
2010-08-26,49.61,49.93,49.61,49.93,1900.0,94654.0,49.93,0.0,0,0,0
2010-08-27,49.63,50.44,49.62,50.3,6600.0,330650.0,50.3,0.0,0,0,0
2010-08-30,50.55,50.692,50.4,50.4,35940.0,1816644.0,50.4,0.0,0,0,0
2010-08-31,50.4,50.73,50.01,50.15,60000.0,3026904.0,50.15,0.0,0,0,0
2010-09-01,50.69,50.69,50.35,50.62,20500.0,1035122.0,50.62,0.0,0,0,0
2010-09-02,50.82,51.17,50.7,51.16,15400.0,783171.0,51.16,0.0,0,0,0
2010-09-03,51.15,51.73,51.03,51.72,27025.0,1388820.0,51.72,0.0,0,0,0
2010-09-07,51.82,52.0,51.478,51.99,14541.0,752879.0,51.99,0.0,0,0,0
2010-09-08,51.94,52.14,51.73,51.75,15118.0,784775.0,51.75,0.0,0,0,0
2010-09-09,52.02,52.02,51.74,51.9752,20335.0,1054290.0,51.9752,0.0,0,0,0
2010-09-10,52.04,52.52,51.71,52.02,20800.0,1084268.0,52.02,0.0,0,0,0
2010-09-13,52.52,52.52,52.18,52.52,6300.0,329966.0,52.52,0.0,0,0,0
2010-09-14,52.71,53.19,52.7,53.07,81100.0,4296069.0,53.07,0.0,0,0,0
2010-09-15,53.05,53.19,52.96,53.05,14300.0,758574.0,53.05,0.0,0,0,0
2010-09-16,53.38,53.63,52.92,53.2,22900.0,1215857.0,53.2,0.0,0,0,0
2010-09-17,53.66,53.66,53.27,53.64,6524.0,348687.0,53.64,0.0,0,0,0
2010-09-20,54.6,54.6,53.5,53.62,35400.0,1912382.0,53.62,0.0,0,0,0
