Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-04-10,546.0,547.9992,541.36,544.16,484737.5,263581630.0,68.02,0.0,0,0,0
2006-04-11,546.56,547.12,538.4,545.6,162137.5,88245090.0,68.2,0.0,0,0,0
2006-04-12,546.4,550.48,542.48,542.72,156037.5,85230930.0,67.84,0.0,0,0,0
2006-04-13,540.0,551.92,539.2,550.56,70087.5,38348796.0,68.82,0.0,0,0,0
2006-04-17,553.6,559.2,549.44,558.32,114712.5,63721416.0,69.79,0.0,0,0,0
2006-04-18,560.8,568.4,556.56,566.0,115337.5,64780736.0,70.75,0.0,0,0,0
2006-04-19,564.64,577.28,563.92,574.8,98725.0,56258164.0,71.85,0.0,0,0,0
2006-04-20,575.36,577.28,564.08,568.72,105400.0,60307940.0,71.09,0.0,0,0,0
2006-04-21,567.12,585.84,566.4,582.48,133225.0,76861870.0,72.81,0.0,0,0,0
2006-04-24,571.2,579.6,566.32,568.08,130350.0,74609210.0,71.01,0.0,0,0,0
2006-04-25,573.44,574.48,556.96,565.12,356737.5,201592930.0,70.64,0.0,0,0,0
2006-04-26,563.52,566.8,555.6,556.32,112400.0,63125816.0,69.54,0.0,0,0,0
2006-04-27,552.8,556.64,548.56,549.6,79450.0,43866252.0,68.7,0.0,0,0,0
2006-04-28,554.08,564.0,551.92,556.96,108512.5,60442156.0,69.62,0.0,0,0,0
2006-05-01,561.2,573.2,560.0,572.0,69437.5,39241796.0,71.5,0.0,0,0,0
2006-05-02,574.72,581.52,570.72,578.72,108875.0,62672108.0,72.34,0.0,0,0,0
2006-05-03,579.84,579.84,560.0,561.76,126875.0,72131890.0,70.22,0.0,0,0,0
2006-05-04,554.96,558.16,538.24,546.56,194687.5,106361050.0,68.32,0.0,0,0,0
2006-05-05,546.4,547.76,541.44,544.0,83900.0,45658450.0,68.0,0.0,0,0,0
