Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-08-14,20.665287,20.688267,19.65416,19.929977,106293.06,2119753.0,26.02,0.0,0,0,0
2009-08-17,19.952955,22.572498,19.3019,19.324879,106187.305,2062182.0,25.23,0.0,0,0,0
2009-08-18,20.672947,20.672947,19.54708,19.723171,94925.45,1870151.0,25.75,0.0,0,0,0
2009-08-19,19.784447,20.098486,19.5853,20.01423,159821.47,3191334.0,26.13,0.0,0,0,0
2009-08-20,20.228697,20.93337,20.221037,20.657629,288950.28,5926157.0,26.97,0.0,0,0,0
2009-08-21,20.948689,21.117197,20.71898,21.040602,147096.06,3084906.0,27.47,0.0,0,0,0
2009-08-24,21.002306,21.09422,20.772522,20.895073,134075.61,2813298.0,27.28,0.0,0,0,0
2009-08-25,21.017626,21.032942,19.684875,19.684875,93327.44,1945658.0,25.7,0.0,0,0,0
2009-08-26,20.741882,20.741882,20.35891,20.542736,230824.94,4762090.0,26.82,0.0,0,0,0
2009-08-27,20.688267,20.688267,20.374228,20.512098,125073.695,2570888.0,26.78,0.0,0,0,0
2009-08-28,20.93337,20.986986,20.535076,20.695927,98962.28,2049548.0,27.02,0.0,0,0,0
2009-08-31,20.695927,20.895073,20.695927,20.78018,75331.445,1565729.0,27.13,0.0,0,0,0
2009-09-01,20.7955,20.986986,20.35125,20.412525,99876.18,2060428.0,26.65,0.0,0,0,0
2009-09-02,20.366568,20.626991,20.35891,20.550396,56792.336,1166491.0,26.83,0.0,0,0,0
2009-09-03,20.80316,20.872095,20.634651,20.7955,64364.65,1334122.0,27.15,0.0,0,0,0
2009-09-04,20.887413,20.94103,20.443163,20.672947,45694.984,939732.0,26.99,0.0,0,0,0
2009-09-08,21.324003,21.324003,20.764862,20.964008,66714.67,1396711.0,27.37,0.0,0,0,0
2009-09-09,21.025284,21.247408,20.91805,21.10188,295059.03,6209824.0,27.55,0.0,0,0,0
2009-09-10,21.124857,21.247408,20.986986,21.178473,28330.889,598121.0,27.65,0.0,0,0,0
2009-09-11,21.569107,21.607405,21.36996,21.446556,110320.74,2371940.0,28.0,0.0,0,0,0
2009-09-14,21.561447,21.944422,21.523151,21.913784,122854.23,2673239.0,28.61,0.0,0,0,0
2009-09-15,21.783573,21.921444,21.615065,21.921444,412952.1,9009236.0,28.62,0.0,0,0,0
2009-09-16,21.81421,22.112932,21.691658,22.112932,134473.81,2952299.0,28.87,0.0,0,0,0
2009-09-17,22.143568,22.143568,21.867826,21.921444,108362.39,2384025.0,28.62,0.0,0,0,0
2009-09-18,22.289099,22.289099,21.990377,22.089952,110712.414,2452509.0,28.84,0.0,0,0,0
2009-09-21,22.143568,22.741009,21.98272,22.373352,165285.28,3682148.0,29.21,0.0,0,0,0
2009-09-22,22.587818,22.672073,22.212503,22.319736,121156.984,2709676.0,29.14,0.0,0,0,0
2009-09-23,22.12825,22.495905,21.98272,21.98272,116456.93,2581349.0,28.7,0.0,0,0,0
2009-09-24,22.082293,22.097612,21.622723,21.791233,92042.75,2007931.0,28.45,0.0,0,0,0
2009-09-25,21.860168,22.151228,21.82953,21.990377,114368.016,2515959.0,28.71,0.0,0,0,0
2009-09-28,22.059313,22.258461,21.906124,22.212503,110451.305,2440853.0,29.0,0.0,0,0,0
2009-09-29,22.227823,22.312077,22.12059,22.250801,197794.0,4395802.0,29.05,0.0,0,0,0
2009-09-30,22.26612,22.26612,21.883146,22.021017,69717.49,1541658.0,28.75,0.0,0,0,0
