Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2001-05-31,38.175755,38.348373,37.999817,38.109364,7402027.5,282086560.0,114.8,0.0,0,0,0
2001-06-01,38.21559,38.47452,37.95998,38.364975,7658080.5,293802050.0,115.57,0.0,0,0,0
2001-06-04,38.434685,38.58739,38.278664,38.52432,3067208.5,118162110.0,116.05,0.0,0,0,0
2001-06-05,38.906075,39.171646,38.640503,39.10857,1694164.2,66256344.0,117.81,0.0,0,0,0
2001-06-06,38.912716,39.101933,38.726814,38.786568,838948.7,32539938.0,116.84,0.0,0,0,0
2001-06-07,38.813126,38.985744,38.637184,38.969147,713031.06,27786212.0,117.39,0.0,0,0,0
2001-06-08,38.58075,38.83636,38.325138,38.637184,511201.4,19751382.0,116.39,0.0,0,0,0
2001-06-11,38.291943,38.540913,38.04297,38.242146,167789.73,6416640.0,115.2,0.0,0,0,0
2001-06-12,37.983215,38.328457,37.641296,38.262066,194599.95,7445796.0,115.26,0.0,0,0,0
2001-06-13,38.14588,38.38821,37.903545,37.920147,327144.8,12405378.0,114.23,0.0,0,0,0
2001-06-14,37.628017,37.628017,37.04708,37.04708,273825.62,10144440.0,111.6,0.0,0,0,0
2001-06-15,36.798107,37.183186,36.632126,36.95745,1607708.9,59487696.0,111.33,0.0,0,0,0
2001-06-18,37.057037,37.123432,36.72176,36.72176,425649.72,15659134.0,110.62,0.0,0,0,0
2001-06-19,37.279457,37.289413,36.671963,36.824665,2677406.0,98948856.0,110.93,0.0,0,0,0
2001-06-20,36.76491,37.22966,36.76491,37.213062,716947.2,26626464.0,112.1,0.0,0,0,0
2001-06-21,37.179867,37.661213,37.096874,37.51183,362088.44,13569305.0,113.0,0.0,0,0,0
2001-06-22,37.478634,37.478634,37.096874,37.272816,272018.2,10140563.0,112.28,0.0,0,0,0
2001-06-25,37.339375,37.399277,36.866806,37.033203,45674.04,1693965.0,111.28,0.0,0,0,0
