Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2004-01-30,34.044834,34.044834,33.962234,34.037952,170702.84,5804981.0,49.45,0.0,0,0,0
2004-02-02,34.154964,34.38212,34.031067,34.07237,9588.415,327664.0,49.5,0.0,0,0,0
2004-02-03,34.154964,34.216915,34.148083,34.1825,8426.183,287902.0,49.66,0.0,0,0,0
2004-02-04,34.037952,34.07237,33.865868,33.955353,6392.277,217396.0,49.33,0.0,0,0,0
2004-02-05,33.976,34.037952,33.83145,33.98977,10895.926,370236.0,49.38,0.0,0,0,0
2004-02-06,33.969116,34.38212,33.969116,34.38212,34285.848,1174590.0,49.95,0.0,0,0,0
2004-02-09,34.38212,34.423416,34.333935,34.333935,10169.531,349579.0,49.88,0.0,0,0,0
2004-02-10,34.313282,34.49913,34.313282,34.47848,34431.125,1186879.0,50.09,0.0,0,0,0
2004-02-11,34.4716,34.87083,34.40965,34.857063,140048.97,4824887.0,50.64,0.0,0,0,0
2004-02-12,34.802,34.836414,34.691864,34.70563,588670.56,20440840.0,50.42,0.0,0,0,0
2004-02-13,34.795113,34.836414,34.485363,34.506016,295788.06,10207078.0,50.13,0.0,0,0,0
2004-02-17,34.80888,34.86395,34.76758,34.86395,7118.672,247817.0,50.65,0.0,0,0,0
2004-02-18,34.86395,34.86395,34.691864,34.740047,12348.717,429600.0,50.47,0.0,0,0,0
2004-02-19,34.93278,34.93278,34.760696,34.760696,4067.8125,141792.0,50.5,0.0,0,0,0
2004-02-20,34.416534,34.444065,34.333935,34.444065,4358.3706,149907.0,50.04,0.0,0,0,0
2004-02-23,34.5542,34.5542,34.24445,34.292633,8426.183,289265.0,49.82,0.0,0,0,0
2004-02-24,34.3064,34.430298,34.216915,34.29952,5084.7656,174713.0,49.83,0.0,0,0,0
2004-02-25,34.347702,34.40965,34.29952,34.40965,3631.9753,124796.0,49.99,0.0,0,0,0
2004-02-26,34.333935,34.4716,34.333935,34.4716,9007.299,310101.0,50.08,0.0,0,0,0
2004-02-27,34.5542,34.643684,34.540432,34.540432,4067.8125,140808.0,50.18,0.0,0,0,0
2004-03-01,34.684982,34.87083,34.650566,34.87083,3486.6963,121207.0,50.66,0.0,0,0,0
2004-03-02,34.86395,34.86395,34.684982,34.753815,3196.1384,111195.0,50.49,0.0,0,0,0
2004-03-03,34.533546,34.643684,34.533546,34.643684,1888.6272,65294.0,50.33,0.0,0,0,0
2004-03-04,34.760696,34.85018,34.72628,34.822647,16997.645,592203.0,50.59,0.0,0,0,0
2004-03-05,34.691864,35.049797,34.691864,34.967197,3777.2544,131654.0,50.8,0.0,0,0,0
2004-03-08,34.960316,34.960316,34.712517,34.712517,9733.694,339594.0,50.43,0.0,0,0,0
2004-03-09,34.519783,34.519783,34.416534,34.464714,12203.4375,420425.0,50.07,0.0,0,0,0
2004-03-10,34.450947,34.450947,33.9347,33.976,9588.415,328181.0,49.36,0.0,0,0,0
2004-03-11,33.955353,33.969116,33.556118,33.583652,5375.3237,180999.0,48.79,0.0,0,0,0
2004-03-12,33.631836,33.803917,33.583652,33.728203,4939.4863,166282.0,49.0,0.0,0,0,0
2004-03-15,33.76262,33.76262,33.335854,33.34962,20339.062,682718.0,48.45,0.0,0,0,0
2004-03-16,33.590534,33.590534,33.34962,33.363388,7990.3457,267494.0,48.47,0.0,0,0,0
2004-03-17,33.776386,33.99665,33.776386,33.99665,35302.8,1198252.0,49.39,0.0,0,0,0
2004-03-18,33.83145,33.87275,33.631836,33.87275,13220.391,446467.0,49.21,0.0,0,0,0
2004-03-19,33.87275,33.87275,33.556118,33.556118,27893.57,942092.0,48.75,0.0,0,0,0
2004-03-22,33.315205,33.315205,32.860905,33.09494,24842.71,820717.0,48.08,0.0,0,0,0
2004-03-23,33.150005,33.211952,33.005455,33.163773,16707.086,551635.0,48.18,0.0,0,0,0
2004-03-24,32.902206,33.046753,32.902206,33.03987,28765.246,949833.0,48.0,0.0,0,0,0
2004-03-25,33.108704,33.459755,33.09494,33.41157,69298.09,2310187.0,48.54,0.0,0,0,0
2004-03-26,33.45287,33.556118,33.45287,33.501053,88329.64,2959744.0,48.67,0.0,0,0,0
2004-03-29,33.75647,33.87382,33.67363,33.81169,144426.55,4884881.0,48.98,0.0,0,0,0
2004-03-30,33.887627,33.97737,33.81169,33.97737,47079.867,1594378.0,49.22,0.0,0,0,0
2004-03-31,33.942852,34.115433,33.942852,33.963562,70981.95,2412181.0,49.2,0.0,0,0,0
2004-04-01,34.136143,34.267303,34.136143,34.205173,89813.9,3070519.0,49.55,0.0,0,0,0
2004-04-02,34.4813,34.584846,34.37085,34.467495,49252.78,1696351.0,49.93,0.0,0,0,0
2004-04-05,34.55033,34.667686,34.453686,34.667686,45631.254,1575954.0,50.22,0.0,0,0,0
2004-04-06,34.515816,34.64007,34.50201,34.626266,36070.42,1246274.0,50.16,0.0,0,0,0
2004-04-07,34.412266,34.453686,34.384655,34.43988,36939.586,1270955.0,49.89,0.0,0,0,0
2004-04-08,34.43988,34.55033,34.357044,34.41917,54757.508,1885316.0,49.86,0.0,0,0,0
2004-04-12,34.584846,34.584846,34.522717,34.522717,6518.7505,225396.0,50.01,0.0,0,0,0
2004-04-13,34.72291,34.72291,34.032593,34.101627,8836.528,302248.0,49.4,0.0,0,0,0
2004-04-14,33.949757,34.163757,33.8324,33.8324,35635.836,1212497.0,49.01,0.0,0,0,0
2004-04-15,34.12924,34.17066,33.97737,33.97737,1738.3335,59250.0,49.22,0.0,0,0,0
2004-04-16,34.136143,34.232788,34.094723,34.21898,59972.508,2048699.0,49.57,0.0,0,0,0
2004-04-19,34.17066,34.246593,34.053307,34.246593,26075.002,889972.0,49.61,0.0,0,0,0
2004-04-20,34.35014,34.35014,33.87382,33.87382,56350.977,1917742.0,49.07,0.0,0,0,0
2004-04-21,33.728855,33.91524,33.728855,33.91524,6373.8896,215754.0,49.13,0.0,0,0,0
2004-04-22,33.942852,34.467495,33.942852,34.43298,140225.58,4807572.0,49.88,0.0,0,0,0
2004-04-23,34.446785,34.446785,34.225883,34.43298,83729.734,2872434.0,49.88,0.0,0,0,0
2004-04-26,34.4813,34.52962,34.17756,34.21208,65477.23,2243271.0,49.56,0.0,0,0,0
2004-04-27,34.37775,34.564137,34.363945,34.37775,32738.615,1128521.0,49.8,0.0,0,0,0
2004-04-28,34.12924,34.143044,33.93595,33.93595,17238.475,586628.0,49.16,0.0,0,0,0
2004-04-29,33.93595,34.025692,33.445827,33.445827,25060.975,847165.0,48.45,0.0,0,0,0
2004-04-30,33.701244,33.701244,33.45273,33.45273,9560.834,321008.0,48.46,0.0,0,0,0
2004-05-03,33.576984,33.749565,33.576984,33.632214,11154.307,376251.0,48.72,0.0,0,0,0
2004-05-04,33.75647,33.80479,33.75647,33.80479,1158.889,39140.0,48.97,0.0,0,0,0
2004-05-05,33.880726,33.908337,33.86692,33.87382,1593.4724,54010.0,49.07,0.0,0,0,0
2004-05-06,33.790985,33.790985,33.47344,33.687435,6373.8896,213752.0,48.8,0.0,0,0,0
2004-05-07,33.66673,33.70815,33.21802,33.287052,8112.223,270780.0,48.22,0.0,0,0,0
2004-05-10,32.81764,32.872864,32.617447,32.624348,88220.43,2884016.0,47.26,0.0,0,0,0
2004-05-11,32.893574,33.03854,32.872864,32.99712,109659.875,3613425.0,47.8,0.0,0,0,0
2004-05-12,32.962605,33.079956,32.486286,33.079956,41285.42,1348679.0,47.92,0.0,0,0,0
2004-05-13,33.031635,33.204212,32.97641,33.05925,76196.95,2521139.0,47.89,0.0,0,0,0
2004-05-14,32.969505,33.1766,32.93499,33.04544,44182.645,1459400.0,47.87,0.0,0,0,0
2004-05-17,32.77622,32.831444,32.665768,32.665768,53888.34,1763938.0,47.32,0.0,0,0,0
2004-05-18,32.893574,32.99712,32.893574,32.983315,15500.141,510705.0,47.78,0.0,0,0,0
2004-05-19,33.224926,33.328472,32.99712,32.99712,86482.09,2869713.0,47.8,0.0,0,0,0
2004-05-20,32.914284,32.941895,32.88667,32.914284,13327.224,438678.0,47.68,0.0,0,0,0
2004-05-21,33.142086,33.162796,33.121376,33.121376,7387.9175,244922.0,47.98,0.0,0,0,0
2004-05-24,33.204212,33.204212,32.9488,33.079956,44472.367,1467631.0,47.92,0.0,0,0,0
2004-05-25,32.97641,33.590794,32.969505,33.590794,142833.08,4770583.0,48.66,0.0,0,0,0
2004-05-26,33.55628,33.72195,33.55628,33.632214,74893.2,2519899.0,48.72,0.0,0,0,0
2004-05-27,33.908337,33.942852,33.728855,33.8324,33897.504,1144746.0,49.01,0.0,0,0,0
2004-05-28,33.89453,33.901436,33.818596,33.860016,4345.834,147189.0,49.05,0.0,0,0,0
2004-06-01,33.89453,33.89453,33.687435,33.85311,5070.1396,171509.0,49.04,0.0,0,0,0
2004-06-02,33.929047,34.094723,33.846207,34.032593,14920.696,506137.0,49.3,0.0,0,0,0
2004-06-03,33.922142,34.011887,33.901436,33.901436,5215.0005,177165.0,49.11,0.0,0,0,0
2004-06-04,33.929047,34.074013,33.929047,34.025692,1593.4724,54187.0,49.29,0.0,0,0,0
2004-06-07,34.205173,34.357044,34.14995,34.357044,5070.1396,173458.0,49.77,0.0,0,0,0
2004-06-08,34.412266,34.50201,34.336334,34.467495,9705.695,334045.0,49.93,0.0,0,0,0
2004-06-09,34.37775,34.43298,34.198273,34.198273,6808.473,233543.0,49.54,0.0,0,0,0
2004-06-10,34.343235,34.343235,34.253494,34.315624,4200.9727,144023.0,49.71,0.0,0,0,0
