Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-03-10,15.260447,15.321124,15.154261,15.217972,178319.16,2713775.0,50.16,0.0,0,0,0
2005-03-11,15.284718,15.360565,15.196734,15.199768,303900.7,4644538.0,50.1,0.0,0,0,0
2005-03-14,15.157294,15.202803,15.048074,15.108752,185900.2,2812498.0,49.8,0.0,0,0,0
2005-03-15,14.941889,14.975262,14.775024,14.781093,210620.97,3131560.0,48.72,0.0,0,0,0
2005-03-16,14.753788,14.796262,14.6385,14.653669,323677.28,4771027.0,48.3,0.0,0,0,0
2005-03-17,14.6385,14.841769,14.635467,14.771991,401794.94,5931190.0,48.69,0.0,0,0,0
2005-03-18,14.835703,14.835703,14.714347,14.793227,124263.08,1837279.0,48.76,0.0,0,0,0
2005-03-21,14.656703,14.656703,14.538381,14.608161,133492.16,1951371.0,48.15,0.0,0,0,0
2005-03-22,14.656703,14.705246,14.335112,14.374552,112067.49,1637542.0,47.38,0.0,0,0,0
2005-03-23,14.283536,14.347247,14.225891,14.244095,88994.77,1271386.0,46.95,0.0,0,0,0
2005-03-24,14.20162,14.289602,14.195553,14.198586,187218.64,2666271.0,46.8,0.0,0,0,0
2005-03-28,14.259264,14.304772,14.183416,14.2471285,108771.39,1549798.0,46.96,0.0,0,0,0
2005-03-29,14.10757,14.140943,13.901265,13.937672,84709.84,1190621.0,45.94,0.0,0,0,0
2005-03-30,14.074197,14.24106,14.013519,14.24106,291705.1,4123781.0,46.94,0.0,0,0,0
2005-03-31,14.4170265,14.444331,14.259264,14.3199415,297967.7,4282844.0,47.2,0.0,0,0,0
2005-04-01,14.599059,14.599059,14.289602,14.335112,234352.9,3378266.0,47.25,0.0,0,0,0
2005-04-04,14.426127,14.429162,14.313874,14.413992,72184.65,1039404.0,47.51,0.0,0,0,0
2005-04-05,14.426127,14.505009,14.341179,14.38062,115693.21,1670335.0,47.4,0.0,0,0,0
2005-04-06,14.511077,14.586925,14.486805,14.514111,158212.94,2301681.0,47.84,0.0,0,0,0
2005-04-07,14.501975,14.611195,14.43523,14.574788,80095.3,1165058.0,48.04,0.0,0,0,0
2005-04-08,14.562653,14.577822,14.456467,14.456467,102508.8,1489403.0,47.65,0.0,0,0,0
2005-04-11,14.562653,14.562653,14.486805,14.511077,146676.58,2130967.0,47.83,0.0,0,0,0
2005-04-12,14.477704,14.532314,14.316908,14.532314,415308.94,5992434.0,47.9,0.0,0,0,0
2005-04-13,14.544449,14.562653,14.386686,14.413992,96905.42,1402762.0,47.51,0.0,0,0,0
2005-04-14,14.268365,14.268365,14.046892,14.046892,160520.2,2272522.0,46.3,0.0,0,0,0
2005-04-15,14.001384,14.001384,13.734402,13.810249,370152.34,5136512.0,45.52,0.0,0,0,0
2005-04-18,13.773843,13.810249,13.697995,13.773843,142062.03,1955559.0,45.4,0.0,0,0,0
2005-04-19,13.955875,14.055994,13.955875,14.049926,176671.11,2474867.0,46.31,0.0,0,0,0
2005-04-20,14.010486,14.025655,13.81935,13.828453,100201.52,1399847.0,45.58,0.0,0,0,0
2005-04-21,14.031723,14.140943,13.9467745,14.140943,254129.53,3569714.0,46.61,0.0,0,0,0
2005-04-22,14.125773,14.137908,13.986214,14.040824,58670.63,827627.0,46.28,0.0,0,0,0
2005-04-25,14.062061,14.171281,14.013519,14.171281,111737.88,1576139.0,46.71,0.0,0,0,0
2005-04-26,14.119705,14.198586,14.077231,14.083298,204028.77,2880937.0,46.42,0.0,0,0,0
2005-04-27,14.065096,14.077231,13.955875,14.016553,127229.57,1785643.0,46.2,0.0,0,0,0
2005-04-28,13.980147,13.980147,13.728334,13.728334,102838.41,1422529.0,45.25,0.0,0,0,0
2005-04-29,13.952842,13.986214,13.779909,13.986214,67240.5,936319.0,46.1,0.0,0,0,0
2005-05-02,14.016553,14.055994,13.958909,14.049926,100860.74,1413643.0,46.31,0.0,0,0,0
2005-05-03,13.955875,14.040824,13.952842,13.952842,193810.84,2707781.0,45.99,0.0,0,0,0
