Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-01-28,33.970192,36.52118,33.420643,33.468136,60136.723,2012664.0,49.33,0.0,0,0,0
2011-01-31,33.753086,33.9227,33.671604,33.841286,68103.37,2304705.0,49.88,0.0,0,0,0
2011-02-01,34.343338,34.56723,34.024467,34.56723,38764.605,1339985.0,50.95,0.0,0,0,0
2011-02-02,34.601154,34.601154,34.289066,34.39083,70309.85,2418014.0,50.69,0.0,0,0,0
2011-02-03,34.594368,34.594368,34.166943,34.451893,75318.3,2594858.0,50.78,0.0,0,0,0
2011-02-04,37.939144,37.939144,34.19408,34.43154,88162.2,3035560.0,50.75,0.0,0,0,0
2011-02-07,34.499386,34.56723,34.322987,34.526524,53868.06,1859877.0,50.89,0.0,0,0,0
2011-02-08,34.56723,34.5808,34.322987,34.5808,91679.02,3170334.0,50.97,0.0,0,0,0
2011-02-09,34.702923,34.702923,34.248356,34.37048,66050.17,2270176.0,50.66,0.0,0,0,0
2011-02-10,34.19408,34.19408,33.617393,34.051605,96837.81,3297483.0,50.19,0.0,0,0,0
2011-02-11,34.09231,34.214436,33.827717,34.18051,40828.117,1395526.0,50.38,0.0,0,0,0
2011-02-14,34.56723,34.56723,34.07196,34.261925,52177.453,1787700.0,50.5,0.0,0,0,0
2011-02-15,34.363697,34.363697,34.126236,34.153374,62052.844,2119314.0,50.34,0.0,0,0,0
2011-02-16,34.363697,34.594368,34.32977,34.5808,49819.15,1722786.0,50.97,0.0,0,0,0
2011-02-17,34.736843,34.736843,34.47903,34.723274,89173.33,3096390.0,51.18,0.0,0,0,0
2011-02-18,34.83861,34.83861,34.65543,34.784336,90236.04,3138801.0,51.27,0.0,0,0,0
2011-02-22,34.43154,34.43154,33.793793,33.915916,290218.66,9843031.0,49.99,0.0,0,0,0
2011-02-23,34.024467,34.051605,33.63775,33.881992,58073.21,1967636.0,49.94,0.0,0,0,0
2011-02-24,34.09231,34.09231,33.787006,33.92948,28299.635,960192.0,50.01,0.0,0,0,0
2011-02-25,34.112667,34.316204,34.03125,34.316204,58662.785,2013084.0,50.58,0.0,0,0,0
2011-02-28,34.736843,34.736843,34.46546,34.628292,63084.6,2184512.0,51.04,0.0,0,0,0
2011-03-01,34.858967,34.858967,34.200867,34.234787,38322.42,1311960.0,50.46,0.0,0,0,0
2011-03-02,34.363697,34.56723,34.32977,34.485817,65442.906,2256852.0,50.83,0.0,0,0,0
2011-03-03,34.702923,34.906456,34.662212,34.8861,39059.39,1362630.0,51.42,0.0,0,0,0
2011-03-04,35.109993,35.109993,34.46546,34.65543,66622.055,2308816.0,51.08,0.0,0,0,0
2011-03-07,34.872536,34.906456,34.261925,34.424755,679486.0,23391140.0,50.74,0.0,0,0,0
2011-03-08,34.702923,34.702923,34.228004,34.546875,18571.635,641592.0,50.92,0.0,0,0,0
2011-03-09,34.669,34.669,34.38405,34.50617,47313.453,1632606.0,50.86,0.0,0,0,0
2011-03-10,33.88878,34.309418,33.55633,33.651318,93705.695,3153320.0,49.6,0.0,0,0,0
2011-03-11,33.52241,34.50617,33.41386,33.773438,79493.97,2684785.0,49.78,0.0,0,0,0
2011-03-14,33.094986,33.291737,32.9118,33.284954,47018.664,1565014.0,49.06,0.0,0,0,0
2011-03-15,31.826277,32.78968,31.337788,32.70148,99048.72,3239040.0,48.2,0.0,0,0,0
2011-03-16,32.48438,32.55901,31.432774,31.792355,71338.664,2268024.0,46.86,0.0,0,0,0
2011-03-17,32.545437,32.871098,32.477592,32.6065,63821.574,2080998.0,48.06,0.0,0,0,0
2011-03-18,33.047493,33.108555,32.932156,33.108555,57336.24,1898320.0,48.8,0.0,0,0,0
2011-03-21,33.651318,33.854855,33.62418,33.82093,93742.54,3170460.0,49.85,0.0,0,0,0
2011-03-22,33.841286,33.841286,33.563118,33.739517,27562.666,929951.0,49.73,0.0,0,0,0
2011-03-23,33.719162,33.90913,33.50206,33.88878,60578.906,2052945.0,49.95,0.0,0,0,0
2011-03-24,34.065174,34.322987,33.956623,34.228004,35964.12,1230980.0,50.45,0.0,0,0,0
2011-03-25,34.10588,34.255142,33.98376,34.0109,207972.84,7073343.0,50.13,0.0,0,0,0
2011-03-28,34.228004,34.228004,33.854855,33.854855,68243.39,2310370.0,49.9,0.0,0,0,0
2011-03-29,33.9227,34.166943,33.75987,34.126236,59252.36,2022060.0,50.3,0.0,0,0,0
2011-03-30,34.397617,34.621506,34.363697,34.5808,62347.633,2156031.0,50.97,0.0,0,0,0
