Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2011-09-19,24.57,24.57,24.57,24.57,100.0,2457.0,24.57,0.0,0,0,0
2011-09-20,24.68,24.87,24.57,24.87,1000.0,24724.0,24.87,0.0,0,0,0
2011-09-21,24.41,24.68,24.23,24.23,300.0,7332.0,24.23,0.0,0,0,0
2011-09-22,23.71,23.71,23.0,23.0,1000.0,23400.0,23.0,0.0,0,0,0
2011-09-23,23.32,23.56,23.28,23.56,300.0,7016.0,23.56,0.0,0,0,0
2011-09-26,23.14,23.59,23.1,23.59,2400.0,55802.0,23.59,0.0,0,0,0
2011-09-27,23.92,23.95,23.6,23.8,2900.0,69165.0,23.8,0.0,0,0,0
2011-09-28,23.6,23.6,23.02,23.23,3600.0,83941.0,23.23,0.0,0,0,0
2011-09-29,23.46,23.49,23.36,23.36,2400.0,56106.0,23.36,0.0,0,0,0
2011-09-30,23.82,24.08,22.7,22.7,1100.0,25613.0,22.7,0.0,0,0,0
2011-10-03,22.59,22.99,22.4,22.8,1100.0,24977.0,22.8,0.0,0,0,0
2011-10-04,22.85,22.85,22.85,22.85,600.0,13710.0,22.85,0.0,0,0,0
2011-10-05,22.81,23.09,22.81,23.09,1400.0,31990.0,23.09,0.0,0,0,0
2011-10-06,23.38,23.41,22.87,22.87,2200.0,50548.0,22.87,0.0,0,0,0
2011-10-07,22.76,22.76,22.76,22.76,100.0,2276.0,22.76,0.0,0,0,0
2011-10-10,22.81,22.81,22.81,22.81,200.0,4562.0,22.81,0.0,0,0,0
2011-10-11,22.85,22.85,22.85,22.85,1000.0,22850.0,22.85,0.0,0,0,0
2011-10-12,23.53,23.53,22.99,23.39,600.0,13992.0,23.39,0.0,0,0,0
2011-10-13,22.74,22.74,22.74,22.74,500.0,11370.0,22.74,0.0,0,0,0
2011-10-14,22.69,22.74,22.53,22.53,900.0,20410.0,22.53,0.0,0,0,0
2011-10-17,22.9,22.97,22.9,22.9,1300.0,29777.0,22.9,0.0,0,0,0
2011-10-18,22.79,22.91,22.79,22.88,2000.0,45664.0,22.88,0.0,0,0,0
2011-10-19,22.8,22.8,22.53,22.54,1300.0,29466.0,22.54,0.0,0,0,0
2011-10-20,22.95,22.95,22.69,22.69,400.0,9122.0,22.69,0.0,0,0,0
2011-10-21,23.13,23.13,22.97,22.97,300.0,6917.0,22.97,0.0,0,0,0
2011-10-24,23.26,23.28,23.26,23.28,300.0,6981.0,23.28,0.0,0,0,0
2011-10-25,23.41,23.41,23.33,23.33,300.0,7006.0,23.33,0.0,0,0,0
2011-10-26,23.31,23.31,22.77,22.77,500.0,11466.0,22.77,0.0,0,0,0
2011-10-27,23.17,23.62,22.95,23.62,400.0,9298.0,23.62,0.0,0,0,0
2011-10-28,23.58,24.03,23.42,24.03,500.0,11889.0,24.03,0.0,0,0,0
2011-10-31,23.37,23.37,23.37,23.37,100.0,2337.0,23.37,0.0,0,0,0
2011-11-01,22.99,23.1,22.88,23.1,400.0,9196.0,23.1,0.0,0,0,0
2011-11-02,23.34,23.34,22.87,22.87,1100.0,25388.0,22.87,0.0,0,0,0
2011-11-03,23.12,23.48,23.06,23.17,5400.0,125265.0,23.17,0.0,0,0,0
2011-11-04,23.0,23.0,22.86,22.86,2900.0,66319.0,22.86,0.0,0,0,0
2011-11-07,23.08,23.12,23.08,23.12,400.0,9239.0,23.12,0.0,0,0,0
2011-11-08,23.21,23.95,23.21,23.9,3600.0,84336.0,23.9,0.0,0,0,0
2011-11-09,23.34,23.34,23.06,23.06,700.0,16215.0,23.06,0.0,0,0,0
2011-11-10,22.47,22.7,22.47,22.7,3000.0,67869.0,22.7,0.0,0,0,0
2011-11-11,22.57,22.57,22.32,22.36,1600.0,35971.0,22.36,0.0,0,0,0
2011-11-14,22.37,22.37,22.12,22.35,1400.0,31055.0,22.35,0.0,0,0,0
2011-11-16,22.22,22.88,22.1,22.1,700.0,15671.0,22.1,0.0,0,0,0
2011-11-17,22.38,22.54,21.21,21.21,4600.0,99962.0,21.21,0.0,0,0,0
2011-11-18,21.2,21.23,21.0,21.09,1500.0,31652.0,21.09,0.0,0,0,0
2011-11-21,20.99,21.05,20.88,21.05,1100.0,23098.0,21.05,0.0,0,0,0
2011-11-22,20.95,21.45,20.75,21.2,9600.0,202424.0,21.2,0.0,0,0,0
2011-11-23,20.83,20.99,20.43,20.99,6200.0,127878.0,20.99,0.0,0,0,0
2011-11-25,20.7,20.7,20.53,20.53,1700.0,34976.0,20.53,0.0,0,0,0
2011-11-28,20.72,20.72,20.6,20.6,1500.0,30947.0,20.6,0.0,0,0,0
2011-11-29,20.66,21.28,20.66,21.28,900.0,18846.0,21.28,0.0,0,0,0
2011-11-30,21.64,21.65,21.2,21.51,2000.0,42890.0,21.51,0.0,0,0,0
2011-12-01,21.08,21.49,21.05,21.49,1100.0,23266.0,21.49,0.0,0,0,0
2011-12-02,21.57,21.7,21.3,21.35,800.0,17119.0,21.35,0.0,0,0,0
2011-12-05,21.5,21.5,21.05,21.37,900.0,19279.0,21.37,0.0,0,0,0
2011-12-06,20.68,21.16,20.68,21.06,3500.0,72982.0,21.06,0.0,0,0,0
2011-12-07,21.02,21.02,20.75,20.75,3200.0,67051.0,20.75,0.0,0,0,0
2011-12-08,20.95,20.95,20.58,20.88,1000.0,20825.0,20.88,0.0,0,0,0
2011-12-09,20.51,20.67,20.45,20.67,2700.0,55382.0,20.67,0.0,0,0,0
2011-12-12,20.51,20.65,20.35,20.35,2300.0,47233.0,20.35,0.0,0,0,0
2011-12-13,20.9,20.9,20.74,20.74,500.0,10416.0,20.74,0.0,0,0,0
2011-12-14,20.39,20.46,20.2,20.39,1300.0,26437.0,20.39,0.0,0,0,0
2011-12-15,20.15,20.23,20.15,20.22,2600.0,52554.0,20.22,0.0,0,0,0
2011-12-16,20.36,20.57,20.29,20.36,900.0,18335.0,20.36,0.0,0,0,0
2011-12-19,20.79,20.79,20.79,20.79,200.0,4158.0,20.79,0.0,0,0,0
2011-12-20,20.92,21.21,20.8,21.21,1400.0,29325.0,21.21,0.0,0,0,0
2011-12-21,21.12,21.37,20.84,21.37,400.0,8417.0,21.37,0.0,0,0,0
2011-12-22,21.33,21.54,21.33,21.54,600.0,12872.0,21.54,0.0,0,0,0
2011-12-23,21.44,21.49,21.43,21.48,700.0,15026.0,21.48,0.0,0,0,0
2011-12-27,21.53,22.22,21.48,22.22,1200.0,26272.0,22.22,0.0,0,0,0
2011-12-28,22.1,22.2,22.1,22.2,900.0,19949.0,22.2,0.0,0,0,0
2011-12-29,22.3,22.36,22.17,22.33,2700.0,60192.0,22.33,0.0,0,0,0
2011-12-30,22.3,22.41,22.29,22.4,3700.0,82568.0,22.4,0.0,0,0,0
2012-01-03,22.56,22.95,22.46,22.46,6100.0,137981.0,22.46,0.0,0,0,0
2012-01-04,22.64,22.64,22.2,22.2,1000.0,22286.0,22.2,0.0,0,0,0
2012-01-05,21.8,21.8,21.63,21.73,1400.0,30432.0,21.73,0.0,0,0,0
2012-01-06,21.67,21.67,21.44,21.58,1000.0,21543.0,21.58,0.0,0,0,0
2012-01-09,21.82,21.87,21.82,21.87,400.0,8742.0,21.87,0.0,0,0,0
2012-01-10,21.86,21.86,21.76,21.76,200.0,4362.0,21.76,0.0,0,0,0
2012-01-11,22.08,22.25,21.75,22.25,900.0,19760.0,22.25,0.0,0,0,0
2012-01-12,21.22,21.35,20.73,21.16,4300.0,90338.0,21.16,0.0,0,0,0
2012-01-13,21.09,21.09,20.82,20.93,3400.0,71186.0,20.93,0.0,0,0,0
2012-01-17,21.27,21.27,20.94,20.96,1800.0,37845.0,20.96,0.0,0,0,0
2012-01-18,20.77,20.77,20.5,20.5,1200.0,24766.0,20.5,0.0,0,0,0
2012-01-19,20.49,20.5,20.49,20.5,300.0,6147.0,20.5,0.0,0,0,0
2012-01-20,20.45,20.53,20.45,20.51,800.0,16403.0,20.51,0.0,0,0,0
2012-01-23,21.07,21.07,21.07,21.07,100.0,2107.0,21.07,0.0,0,0,0
2012-01-25,21.6,21.92,21.32,21.7,9200.0,197960.0,21.7,0.0,0,0,0
2012-01-26,22.0,22.2,21.75,21.81,3500.0,76766.0,21.81,0.0,0,0,0
2012-01-27,21.77,21.78,21.75,21.78,1700.0,36987.0,21.78,0.0,0,0,0
2012-01-30,21.51,21.75,21.3,21.75,11000.0,236604.0,21.75,0.0,0,0,0
2012-01-31,22.06,22.44,21.75,22.44,7000.0,153702.0,22.44,0.0,0,0,0
2012-02-01,22.46,22.46,22.3,22.3,4500.0,100485.0,22.3,0.0,0,0,0
2012-02-03,22.5,22.5,22.07,22.24,1500.0,33289.0,22.24,0.0,0,0,0
2012-02-06,22.24,22.25,21.84,22.19,2700.0,59769.0,22.19,0.0,0,0,0
2012-02-07,21.84,22.1,21.84,21.95,600.0,13176.0,21.95,0.0,0,0,0
2012-02-08,21.79,21.79,21.76,21.76,600.0,13070.0,21.76,0.0,0,0,0
2012-02-09,21.58,21.8,21.26,21.32,3900.0,83442.0,21.32,0.0,0,0,0
2012-02-10,21.19,21.22,21.17,21.17,600.0,12718.0,21.17,0.0,0,0,0
2012-02-13,21.09,21.18,20.81,21.18,1100.0,23093.0,21.18,0.0,0,0,0
2012-02-14,21.11,21.11,20.88,20.88,3400.0,71238.0,20.88,0.0,0,0,0
2012-02-15,20.8,20.8,20.62,20.62,600.0,12393.0,20.62,0.0,0,0,0
2012-02-16,20.64,20.64,20.64,20.64,400.0,8256.0,20.64,0.0,0,0,0
2012-02-17,20.89,21.1,20.88,20.88,700.0,14678.0,20.88,0.0,0,0,0
2012-02-21,20.95,20.95,20.56,20.63,2100.0,43383.0,20.63,0.0,0,0,0
2012-02-22,20.81,20.88,20.81,20.86,700.0,14597.0,20.86,0.0,0,0,0
2012-02-23,20.84,20.84,20.81,20.82,2200.0,45816.0,20.82,0.0,0,0,0
2012-02-24,20.71,21.29,20.71,20.76,5400.0,112375.0,20.76,0.0,0,0,0
2012-02-27,20.81,21.05,20.59,21.05,5900.0,123223.0,21.05,0.0,0,0,0
2012-02-28,21.43,21.8,21.31,21.8,6500.0,139711.0,21.8,0.0,0,0,0
2012-02-29,21.94,21.94,21.58,21.62,2900.0,62784.0,21.62,0.0,0,0,0
2012-03-01,21.69,21.73,21.69,21.69,1400.0,30373.0,21.69,0.0,0,0,0
2012-03-02,21.58,21.79,21.5,21.79,1500.0,32609.0,21.79,0.0,0,0,0
2012-03-05,21.88,21.88,21.75,21.75,2200.0,47922.0,21.75,0.0,0,0,0
2012-03-06,21.4,21.55,21.29,21.5,10700.0,228701.0,21.5,0.0,0,0,0
2012-03-07,21.1,21.1,20.7,20.7,700.0,14628.0,20.7,0.0,0,0,0
2012-03-08,20.71,20.71,20.65,20.65,1600.0,33078.0,20.65,0.0,0,0,0
2012-03-09,21.06,21.06,20.65,20.79,2400.0,49878.0,20.79,0.0,0,0,0
2012-03-12,21.05,21.13,21.05,21.12,4500.0,94993.0,21.12,0.0,0,0,0
2012-03-14,20.94,21.06,20.87,21.06,1000.0,20951.0,21.06,0.0,0,0,0
2012-03-15,21.26,21.27,21.26,21.27,200.0,4253.0,21.27,0.0,0,0,0
2012-03-16,21.27,21.33,21.05,21.05,800.0,17024.0,21.05,0.0,0,0,0
2012-03-19,21.3,21.49,21.12,21.12,2400.0,51109.0,21.12,0.0,0,0,0
2012-03-20,20.79,20.84,20.7,20.7,2000.0,41565.0,20.7,0.0,0,0,0
2012-03-21,20.76,20.76,20.76,20.76,200.0,4152.0,20.76,0.0,0,0,0
