Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2007-02-23,18.622643,18.626358,18.5409,18.570623,27990.012,520081.0,49.98,0.0,0,0,0
2007-02-26,18.663515,18.685808,18.533468,18.555761,16955.488,315767.0,49.94,0.0,0,0,0
2007-02-27,18.35512,18.35512,17.853512,17.853512,4575.2905,83378.0,48.05,0.0,0,0,0
2007-02-28,17.909246,18.061586,17.909246,17.97241,6997.503,126211.0,48.37,0.0,0,0,0
2007-03-01,17.842365,17.946402,17.842365,17.946402,538.2695,9632.0,48.3,0.0,0,0,0
2007-03-02,17.794062,17.794062,17.712317,17.712317,807.4042,14345.0,47.67,0.0,0,0,0
2007-03-05,17.649153,17.693739,17.582272,17.582272,6997.503,123439.0,47.32,0.0,0,0,0
2007-03-06,17.675161,17.734612,17.66773,17.723465,3498.7515,61917.0,47.7,0.0,0,0,0
2007-03-07,17.81264,17.857227,17.81264,17.857227,4844.4253,86495.0,48.06,0.0,0,0,0
2007-03-08,17.961264,18.054153,17.961264,18.054153,5113.56,92118.0,48.59,0.0,0,0,0
2007-03-09,18.080164,18.10989,17.983559,17.983559,11303.659,203447.0,48.4,0.0,0,0,0
2007-03-12,17.909246,17.916677,17.909246,17.916677,1076.539,19284.0,48.22,0.0,0,0,0
2007-03-13,17.78663,17.78663,16.738829,17.630575,4306.156,75652.0,47.45,0.0,0,0,0
2007-03-14,17.559977,17.559977,17.559977,17.559977,538.2695,9452.0,47.26,0.0,0,0,0
2007-03-16,17.834934,17.864658,17.690025,17.712317,1883.9431,33509.0,47.67,0.0,0,0,0
2007-03-19,17.797777,17.901814,17.797777,17.87952,3498.7515,62518.0,48.12,0.0,0,0,0
2007-03-20,17.946402,18.03186,17.927824,18.03186,11841.929,212519.0,48.53,0.0,0,0,0
2007-03-21,18.095026,18.095026,18.095026,18.095026,269.13474,4870.0,48.7,0.0,0,0,0
2007-03-22,18.425716,18.425716,18.36998,18.384844,13187.602,242667.0,49.48,0.0,0,0,0
2007-03-23,18.481451,18.481451,18.44801,18.44801,1614.8083,29821.0,49.65,0.0,0,0,0
2007-03-26,18.475708,18.475708,18.397547,18.423601,9135.021,168110.0,49.5,0.0,0,0,0
2007-03-27,18.367771,18.371494,18.34544,18.371494,3492.8025,64116.0,49.36,0.0,0,0,0
2007-03-28,18.334274,18.334274,18.200285,18.23006,5373.5425,97966.0,48.98,0.0,0,0,0
2007-03-29,18.36405,18.36405,18.297054,18.337997,1343.3856,24638.0,49.27,0.0,0,0,0
2007-03-30,18.337997,18.360329,18.218895,18.248669,13433.855,245702.0,49.03,0.0,0,0,0
2007-04-02,18.297054,18.30822,18.222616,18.30822,15314.596,280033.0,49.19,0.0,0,0,0
2007-04-03,18.404991,18.490597,18.367771,18.479431,24449.617,450326.0,49.65,0.0,0,0,0
2007-04-04,18.449656,18.475708,18.423601,18.453377,107470.84,1983432.0,49.58,0.0,0,0,0
2007-04-05,18.490597,18.57248,18.490597,18.561312,22837.555,423544.0,49.87,0.0,0,0,0
2007-04-09,18.602255,18.620863,18.561312,18.579922,20150.783,374468.0,49.92,0.0,0,0,0
2007-04-10,18.583645,18.654362,18.583645,18.654362,45406.434,846049.0,50.12,0.0,0,0,0
2007-04-11,18.661804,18.661804,18.509205,18.546427,71199.44,1320696.0,49.83,0.0,0,0,0
2007-04-12,18.53526,18.602255,18.498041,18.59481,5104.865,94828.0,49.96,0.0,0,0,0
2007-04-13,18.65064,18.695303,18.613419,18.695303,39764.215,741465.0,50.23,0.0,0,0,0
2007-04-16,18.847902,18.944674,18.847902,18.94095,27405.066,517605.0,50.89,0.0,0,0,0
2007-04-17,18.993057,19.007946,18.90001,18.94095,91618.9,1735519.0,50.89,0.0,0,0,0
2007-04-18,18.94095,19.048887,18.903732,19.048887,170878.64,3242900.0,51.18,0.0,0,0,0
2007-04-19,18.90001,18.974447,18.870234,18.952116,55616.164,1053950.0,50.92,0.0,0,0,0
2007-04-20,19.09355,19.097273,19.022833,19.09355,44063.047,839107.0,51.3,0.0,0,0,0
2007-04-23,19.145657,19.182877,19.082384,19.100994,232674.38,4450270.0,51.32,0.0,0,0,0
2007-04-24,19.063776,19.097273,19.007946,19.063776,56422.195,1075095.0,51.22,0.0,0,0,0
2007-04-25,19.190321,19.30198,19.16799,19.294535,11553.116,221849.0,51.84,0.0,0,0,0
2007-04-26,19.216375,19.279648,19.216375,19.279648,14508.564,279361.0,51.8,0.0,0,0,0
2007-04-27,19.223818,19.272203,19.190321,19.242428,6716.9277,129115.0,51.7,0.0,0,0,0
2007-04-30,19.253593,19.290813,19.13077,19.13077,48093.203,926038.0,51.4,0.0,0,0,0
2007-05-01,19.11216,19.11216,18.967005,19.104717,34390.67,653825.0,51.33,0.0,0,0,0
2007-05-02,19.238705,19.261038,19.220097,19.261038,3224.1255,62021.0,51.75,0.0,0,0,0
2007-05-03,19.261038,19.372696,19.261038,19.36153,9941.054,192095.0,52.02,0.0,0,0,0
2007-05-04,19.428526,19.476912,19.387583,19.398748,3492.8025,67883.0,52.12,0.0,0,0,0
2007-05-07,19.480633,19.480633,19.432247,19.4583,16657.98,324224.0,52.28,0.0,0,0,0
2007-05-08,19.37642,19.473188,19.368975,19.473188,5104.865,99043.0,52.32,0.0,0,0,0
2007-05-09,19.465744,19.566236,19.450855,19.566236,9403.699,183380.0,52.57,0.0,0,0,0
2007-05-10,19.491796,19.491796,19.316868,19.316868,20956.814,407053.0,51.9,0.0,0,0,0
2007-05-11,19.387583,19.462023,19.387583,19.462023,7522.959,146319.0,52.29,0.0,0,0,0
2007-05-14,19.53274,19.540182,19.447134,19.488075,5373.5425,104743.0,52.36,0.0,0,0,0
2007-05-15,19.53274,19.618343,19.49552,19.49552,7522.959,147218.0,52.38,0.0,0,0,0
2007-05-16,19.562515,19.614622,19.491796,19.614622,3224.1255,63037.0,52.7,0.0,0,0,0
2007-05-17,19.603455,19.715115,19.547626,19.666729,36808.766,723439.0,52.84,0.0,0,0,0
2007-05-18,19.741169,19.800718,19.72628,19.78211,27136.389,536614.0,53.15,0.0,0,0,0
2007-05-21,19.8826,19.908655,19.841661,19.867714,54810.133,1088085.0,53.38,0.0,0,0,0
2007-05-22,19.90121,19.90121,19.87888,19.87888,1343.3856,26719.0,53.41,0.0,0,0,0
2007-05-23,19.927265,19.968206,19.871435,19.871435,19076.074,380162.0,53.39,0.0,0,0,0
2007-05-24,19.912376,19.912376,19.584846,19.584846,3224.1255,63456.0,52.62,0.0,0,0,0
2007-05-25,19.733725,19.733725,19.644398,19.733725,2686.7712,52928.0,53.02,0.0,0,0,0
2007-05-29,19.767221,19.767221,19.666729,19.718836,13165.179,259208.0,52.98,0.0,0,0,0
2007-05-30,19.659285,19.968206,19.659285,19.968206,14508.564,287209.0,53.65,0.0,0,0,0
2007-05-31,20.001703,20.001703,19.8826,19.8826,6448.251,128567.0,53.42,0.0,0,0,0
2007-06-01,20.005426,20.053812,20.005426,20.035202,31435.223,629104.0,53.83,0.0,0,0,0
2007-06-04,20.061255,20.124527,20.042645,20.124527,6448.251,129365.0,54.07,0.0,0,0,0
2007-06-05,20.079865,20.079865,19.968206,20.027758,22031.523,441117.0,53.81,0.0,0,0,0
2007-06-06,19.927265,19.927265,19.78211,19.815607,4298.834,85361.0,53.24,0.0,0,0,0
2007-06-07,19.730001,19.826773,19.480633,19.480633,17732.69,347719.0,52.34,0.0,0,0,0
