Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-03-03,13.556524,13.556524,13.430585,13.529537,25011.941,337799.0,15.04,0.0,0,0,0
2005-03-04,13.619494,13.700455,13.619494,13.682464,32348.78,441822.0,15.21,0.0,0,0,0
2005-03-07,13.745434,13.781417,13.736439,13.75443,14562.509,200356.0,15.29,0.0,0,0,0
2005-03-08,13.75443,13.75443,13.655478,13.655478,6558.687,89852.0,15.18,0.0,0,0,0
2005-03-09,13.592506,13.592506,13.520541,13.520541,11561.075,156605.0,15.03,0.0,0,0,0
2005-03-10,13.511546,13.511546,13.37661,13.43958,5335.881,71708.0,14.94,0.0,0,0,0
2005-03-11,13.556524,13.556524,13.421589,13.421589,3668.4182,49403.0,14.92,0.0,0,0,0
2005-03-14,13.493554,13.511546,13.466567,13.511546,2112.1196,28507.0,15.02,0.0,0,0,0
2005-03-15,13.592506,13.592506,13.493554,13.50255,10338.27,140228.0,15.01,0.0,0,0,0
2005-03-16,13.484558,13.484558,13.349623,13.358619,20787.703,278869.0,14.85,0.0,0,0,0
2005-03-17,13.394602,13.421589,13.340628,13.412593,15451.822,206890.0,14.91,0.0,0,0,0
2005-03-18,13.358619,13.358619,13.2866535,13.2866535,2890.2688,38490.0,14.77,0.0,0,0,0
2005-03-21,13.322637,13.322637,13.223683,13.223683,1111.6418,14735.0,14.7,0.0,0,0,0
2005-03-22,13.322637,13.367614,13.178704,13.178704,4780.06,63640.0,14.65,0.0,0,0,0
2005-03-23,13.151717,13.160713,13.115735,13.124731,5447.0454,71623.0,14.59,0.0,0,0,0
2005-03-24,13.169709,13.178704,13.160713,13.178704,4113.0747,54158.0,14.65,0.0,0,0,0
2005-03-28,13.1877,13.196696,13.124731,13.169709,4891.224,64390.0,14.64,0.0,0,0,0
2005-03-29,13.115735,13.1877,13.016782,13.016782,5335.881,70077.0,14.47,0.0,0,0,0
2005-03-30,12.953812,12.971804,12.935821,12.953812,11783.404,152537.0,14.4,0.0,0,0,0
2005-04-01,13.070756,13.070756,12.944817,12.944817,8003.8213,104045.0,14.39,0.0,0,0,0
2005-04-04,12.926825,13.034773,12.917829,13.034773,11672.239,150906.0,14.49,0.0,0,0,0
2005-04-05,13.070756,13.106739,13.070756,13.079752,34683.227,453701.0,14.54,0.0,0,0,0
2005-04-06,13.196696,13.196696,13.1877,13.1877,2000.9553,26393.0,14.66,0.0,0,0,0
2005-04-07,13.151717,13.223683,13.151717,13.205692,4001.9106,52815.0,14.68,0.0,0,0,0
2005-04-08,13.1877,13.196696,13.106739,13.106739,27124.062,356950.0,14.57,0.0,0,0,0
2005-04-11,13.151717,13.151717,13.088748,13.106739,1778.627,23308.0,14.57,0.0,0,0,0
2005-04-12,12.998791,13.241674,12.9808,13.232679,10560.598,137629.0,14.71,0.0,0,0,0
2005-04-13,13.142721,13.151717,13.007787,13.016782,2556.7764,33534.0,14.47,0.0,0,0,0
2005-04-14,13.016782,13.016782,12.818876,12.818876,14451.345,185978.0,14.25,0.0,0,0,0
2005-04-15,12.692937,12.719924,12.5490055,12.5490055,2112.1196,26767.0,13.95,0.0,0,0,0
2005-04-18,12.504026,12.575993,12.504026,12.575993,2667.9404,33467.0,13.98,0.0,0,0,0
2005-04-19,12.66595,12.710928,12.647959,12.710928,2000.9553,25349.0,14.13,0.0,0,0,0
2005-04-20,12.620971,12.620971,12.504026,12.504026,42687.047,537999.0,13.9,0.0,0,0,0
2005-04-21,12.593984,12.710928,12.5580015,12.710928,33238.094,418997.0,14.13,0.0,0,0,0
2005-04-22,12.737915,12.737915,12.5580015,12.566998,20898.867,263512.0,13.97,0.0,0,0,0
2005-04-25,12.737915,12.737915,12.737915,12.737915,333.49255,4248.0,14.16,0.0,0,0,0
2005-04-26,12.836868,12.836868,12.683942,12.701932,2112.1196,26895.0,14.12,0.0,0,0,0
2005-04-27,12.504026,12.656954,12.504026,12.647959,1889.7911,23778.0,14.06,0.0,0,0,0
2005-04-28,12.593984,12.593984,12.41407,12.41407,26457.076,329677.0,13.8,0.0,0,0,0
2005-04-29,12.495031,12.495031,12.360096,12.477039,25790.092,320039.0,13.87,0.0,0,0,0
2005-05-02,12.584988,12.584988,12.5490055,12.5490055,1556.2986,19578.0,13.95,0.0,0,0,0
2005-05-03,12.60298,12.66595,12.584988,12.584988,43909.855,554023.0,13.99,0.0,0,0,0
2005-05-04,12.683942,12.764902,12.647959,12.746911,26012.42,331081.0,14.17,0.0,0,0,0
2005-05-05,12.773898,12.773898,12.737915,12.746911,14784.837,188515.0,14.17,0.0,0,0,0
2005-05-06,12.827872,12.845863,12.79189,12.80988,10560.598,135458.0,14.24,0.0,0,0,0
2005-05-09,12.800885,12.890842,12.800885,12.881846,9560.12,122867.0,14.32,0.0,0,0,0
2005-05-10,12.827872,12.863855,12.782894,12.782894,7781.493,99876.0,14.21,0.0,0,0,0
2005-05-11,12.737915,12.773898,12.737915,12.773898,1000.47766,12760.0,14.2,0.0,0,0,0
2005-05-12,12.800885,12.800885,12.638963,12.638963,1667.4628,21111.0,14.05,0.0,0,0,0
2005-05-13,12.674946,12.674946,12.60298,12.60298,3334.9255,42189.0,14.01,0.0,0,0,0
2005-05-16,12.710928,12.773898,12.710928,12.773898,5558.2095,70790.0,14.2,0.0,0,0,0
2005-05-17,12.728919,12.764902,12.728919,12.764902,13673.195,174464.0,14.19,0.0,0,0,0
2005-05-18,13.016782,13.115735,13.016782,13.097744,12450.389,162994.0,14.56,0.0,0,0,0
2005-05-19,13.124731,13.124731,13.106739,13.106739,1333.9702,17486.0,14.57,0.0,0,0,0
2005-05-20,13.088748,13.124731,13.079752,13.124731,4557.7314,59650.0,14.59,0.0,0,0,0
2005-05-23,13.160713,13.196696,13.160713,13.196696,13895.523,182906.0,14.67,0.0,0,0,0
2005-05-24,13.169709,13.196696,13.169709,13.1877,3557.254,46910.0,14.66,0.0,0,0,0
2005-05-25,13.106739,13.106739,13.088748,13.088748,222.32837,2912.0,14.55,0.0,0,0,0
2005-05-26,13.223683,13.2506695,13.205692,13.223683,12895.046,170540.0,14.7,0.0,0,0,0
2005-05-27,13.2506695,13.295649,13.214687,13.295649,4335.4033,57480.0,14.78,0.0,0,0,0
2005-05-31,13.2506695,13.322637,13.232679,13.322637,5113.5527,67717.0,14.81,0.0,0,0,0
2005-06-01,13.430585,13.430585,13.358619,13.367614,6558.687,87692.0,14.86,0.0,0,0,0
2005-06-02,13.403597,13.430585,13.403597,13.430585,2334.448,31325.0,14.93,0.0,0,0,0
2005-06-03,13.520541,13.520541,13.448576,13.475562,12339.225,166327.0,14.98,0.0,0,0,0
2005-06-06,13.511546,13.583511,13.511546,13.56552,5558.2095,75280.0,15.08,0.0,0,0,0
2005-06-07,13.6374855,13.6464815,13.529537,13.529537,13895.523,189162.0,15.04,0.0,0,0,0
2005-06-08,13.592506,13.592506,13.475562,13.475562,9226.628,124977.0,14.98,0.0,0,0,0
2005-06-09,13.448576,13.6464815,13.448576,13.6464815,26568.24,357685.0,15.17,0.0,0,0,0
2005-06-10,13.6464815,13.6464815,13.511546,13.556524,12228.061,166567.0,15.07,0.0,0,0,0
2005-06-13,13.556524,13.673469,13.556524,13.6284895,7781.493,105765.0,15.15,0.0,0,0,0
2005-06-14,13.655478,13.700455,13.6284895,13.700455,5335.881,72887.0,15.23,0.0,0,0,0
2005-06-15,13.736439,13.736439,13.592506,13.673469,6336.359,86670.0,15.2,0.0,0,0,0
2005-06-16,13.736439,13.781417,13.727443,13.781417,13784.359,189424.0,15.32,0.0,0,0,0
2005-06-17,13.790412,13.808404,13.709451,13.808404,26901.732,370981.0,15.35,0.0,0,0,0
2005-06-20,13.718447,13.781417,13.673469,13.727443,2890.2688,39633.0,15.26,0.0,0,0,0
2005-06-21,13.75443,13.75443,13.709451,13.718447,6002.866,82404.0,15.25,0.0,0,0,0
2005-06-22,13.799408,13.799408,13.700455,13.745434,3001.433,41223.0,15.28,0.0,0,0,0
2005-06-23,13.736439,13.763426,13.655478,13.664473,6781.0156,92935.0,15.19,0.0,0,0,0
2005-06-24,13.6374855,13.6374855,13.556524,13.583511,25790.092,350767.0,15.1,0.0,0,0,0
2005-06-27,13.556524,13.619494,13.547529,13.610498,38462.81,522034.0,15.13,0.0,0,0,0
2005-06-28,13.709451,13.817399,13.700455,13.817399,40352.6,555233.0,15.36,0.0,0,0,0
2005-06-29,13.853382,13.916352,13.853382,13.898361,21454.688,297874.0,15.45,0.0,0,0,0
2005-06-30,13.925347,13.925347,13.889365,13.898361,6447.523,89723.0,15.45,0.0,0,0,0
2005-07-01,13.835391,13.835391,13.808404,13.835391,22677.494,313419.0,15.38,0.0,0,0,0
2005-07-05,13.826395,14.051288,13.826395,14.051288,10115.941,141011.0,15.62,0.0,0,0,0
2005-07-06,14.015305,14.024301,13.934343,13.943339,11672.239,163157.0,15.5,0.0,0,0,0
2005-07-07,13.808404,13.970326,13.799408,13.970326,16896.957,234128.0,15.53,0.0,0,0,0
2005-07-08,13.970326,14.123253,13.970326,14.123253,21121.195,296645.0,15.7,0.0,0,0,0
2005-07-11,14.141245,14.195219,14.123253,14.159236,20676.54,292868.0,15.74,0.0,0,0,0
2005-07-12,14.195219,14.258189,14.15024,14.249193,10671.762,151649.0,15.84,0.0,0,0,0
2005-07-13,14.240197,14.240197,14.168232,14.204215,9560.12,135787.0,15.79,0.0,0,0,0
2005-07-14,14.249193,14.249193,14.168232,14.195219,13117.374,186041.0,15.78,0.0,0,0,0
2005-07-15,14.204215,14.240197,14.186224,14.240197,6892.1797,97917.0,15.83,0.0,0,0,0
2005-07-18,14.213211,14.231202,14.204215,14.222207,14340.181,203875.0,15.81,0.0,0,0,0
2005-07-19,14.213211,14.33915,14.213211,14.33915,13895.523,198185.0,15.94,0.0,0,0,0
2005-07-20,14.330155,14.393125,14.27618,14.375133,13450.866,192646.0,15.98,0.0,0,0,0
2005-07-21,14.33915,14.33915,14.204215,14.240197,65698.03,936114.0,15.83,0.0,0,0,0
2005-07-22,14.258189,14.294172,14.195219,14.294172,11783.404,167961.0,15.89,0.0,0,0,0
2005-07-25,14.249193,14.312163,14.222207,14.222207,20787.703,296823.0,15.81,0.0,0,0,0
2005-07-26,14.204215,14.231202,14.168232,14.222207,20787.703,295304.0,15.81,0.0,0,0,0
2005-07-27,14.249193,14.249193,14.132249,14.222207,18453.256,261396.0,15.81,0.0,0,0,0
2005-07-28,14.27618,14.46509,14.27618,14.447099,15785.314,227654.0,16.06,0.0,0,0,0
2005-07-29,14.420113,14.420113,14.33915,14.375133,13450.866,193453.0,15.98,0.0,0,0,0
2005-08-01,14.411117,14.429109,14.402121,14.420113,15785.314,227495.0,16.03,0.0,0,0,0
2005-08-02,14.438103,14.564043,14.438103,14.564043,21677.016,314152.0,16.19,0.0,0,0,0
2005-08-03,14.519064,14.564043,14.501074,14.546052,14229.016,206809.0,16.17,0.0,0,0,0
