Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-06-04,54.603477,55.57903,54.603477,55.2201,6220.561,343316.0,60.0,0.0,0,0,0
2009-06-05,58.27561,58.27561,54.971607,56.34291,119783.555,6683239.0,61.22,0.0,0,0,0
2009-06-08,55.422573,55.422573,52.919262,54.649494,19455.959,1048645.0,59.38,0.0,0,0,0
2009-06-09,53.729156,54.15251,52.658806,53.802784,26665.291,1431078.0,58.46,0.0,0,0,0
2009-06-10,57.971905,58.08234,55.2109,56.54538,112358.0,6332655.0,61.44,0.0,0,0,0
2009-06-11,58.35844,61.211483,58.35844,59.78496,84425.78,5089085.0,64.96,0.0,0,0,0
2009-06-12,57.603767,58.10075,56.849094,58.10075,50525.082,2910314.0,63.13,0.0,0,0,0
2009-06-15,55.183285,55.20169,52.68918,53.968445,55221.195,2964787.0,58.64,0.0,0,0,0
2009-06-16,53.370228,53.85432,50.552162,50.98656,33292.227,1731022.0,55.4,0.0,0,0,0
2009-06-17,50.8209,51.916096,49.817734,51.308678,23268.701,1187170.0,55.75,0.0,0,0,0
2009-06-18,50.876118,51.658405,49.661274,50.894524,37051.727,1890712.0,55.3,0.0,0,0,0
2009-06-19,51.906895,52.053135,50.894524,51.19824,34167.992,1756060.0,55.63,0.0,0,0,0
2009-06-22,50.434357,51.060184,48.40962,48.9066,83447.875,4121180.0,53.14,0.0,0,0,0
2009-06-23,48.538467,48.910282,46.84505,48.02492,26443.633,1261727.0,52.182,0.0,0,0,0
2009-06-24,51.52035,52.633957,50.618423,51.04178,87576.805,4513446.0,55.46,0.0,0,0,0
2009-06-25,51.17983,53.904022,50.71966,53.76597,53676.105,2838499.0,58.42,0.0,0,0,0
2009-06-26,54.925594,55.46859,54.18012,55.284523,49764.49,2739861.0,60.07,0.0,0,0,0
2009-06-29,55.85513,56.6006,54.980816,56.12571,32936.918,1848744.0,60.984,0.0,0,0,0
2009-06-30,55.440983,55.514606,53.609512,54.999218,30775.75,1678035.0,59.76,0.0,0,0,0
2009-07-01,56.720245,57.40129,56.039196,56.039196,35747.85,2031051.0,60.89,0.0,0,0,0
2009-07-02,53.250584,53.342617,52.090958,52.449894,46396.15,2440454.0,56.99,0.0,0,0,0
2009-07-06,52.7444,54.52985,52.13698,54.50224,24664.932,1309349.0,59.22,0.0,0,0,0
2009-07-07,52.808823,52.808823,50.425156,50.526394,30532.361,1564203.0,54.9,0.0,0,0,0
2009-07-08,50.682846,51.24425,47.857418,49.854546,42267.22,2081006.0,54.17,0.0,0,0,0
2009-07-09,51.916096,52.210606,50.912933,51.768845,32814.137,1690312.0,56.25,0.0,0,0,0
2009-07-10,50.66444,51.271862,49.53243,50.609222,19775.408,995796.0,54.99,0.0,0,0,0
2009-07-13,49.26553,50.5632,47.562912,50.268696,39876.785,1966202.0,54.62,0.0,0,0,0
2009-07-14,52.16459,52.468296,51.603184,52.127773,24556.275,1277349.0,56.64,0.0,0,0,0
2009-07-15,54.47463,57.005547,54.47463,56.646618,43897.06,2455657.0,61.55,0.0,0,0,0
2009-07-16,55.19249,56.665024,54.88878,55.956367,24012.996,1332758.0,60.8,0.0,0,0,0
2009-07-17,57.069973,58.063934,56.646618,57.65899,40311.41,2319072.0,62.65,0.0,0,0,0
2009-07-20,61.75448,62.573574,61.07343,62.122612,102462.69,6333225.0,67.5,0.0,0,0,0
2009-07-21,62.472336,62.619595,59.72054,61.542805,52806.86,3238825.0,66.87,0.0,0,0,0
2009-07-22,59.75735,61.65324,59.582485,60.723705,24338.963,1480306.0,65.98,0.0,0,0,0
2009-07-23,62.950916,66.613846,62.803658,65.757935,121042.88,7904509.0,71.45,0.0,0,0,0
2009-07-24,64.86521,66.40217,64.24858,66.40217,62477.25,4080320.0,72.15,0.0,0,0,0
2009-07-27,66.843925,67.89311,65.803955,67.54339,56827.133,3799955.0,73.39,0.0,0,0,0
2009-07-28,67.81028,68.46372,66.080055,68.01276,61282.035,4123127.0,73.9,0.0,0,0,0
2009-07-29,64.359024,64.58911,61.89253,63.208607,117674.55,7422838.0,68.68,0.0,0,0,0
2009-07-30,65.6475,67.129234,65.34379,65.34379,67692.74,4493044.0,71.0,0.0,0,0,0
2009-07-31,65.233345,65.92359,64.128944,65.27016,68779.305,4494211.0,70.92,0.0,0,0,0
2009-08-03,69.080345,70.58969,68.4177,70.21236,64976.34,4524683.0,76.29,0.0,0,0,0
2009-08-04,66.77031,68.70301,66.7611,67.957535,61608.0,4168430.0,73.84,0.0,0,0,0
2009-08-05,65.95121,66.1997,63.088966,64.73636,90727.836,5818087.0,70.34,0.0,0,0,0
2009-08-06,66.45739,66.81632,63.889652,65.06768,49655.832,3229454.0,70.7,0.0,0,0,0
2009-08-07,64.74557,65.61068,63.31905,64.75477,61608.0,3973411.0,70.36,0.0,0,0,0
2009-08-10,65.10449,66.14448,63.816025,65.030876,31836.234,2065787.0,70.66,0.0,0,0,0
