Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2006-06-22,14.674239,14.697996,14.618804,14.697996,12880.123,188936.0,37.12,0.0,0,0,0
2006-06-23,14.76531,14.76531,14.76531,14.76531,63137.855,932250.0,37.29,0.0,0,0,0
2006-06-27,14.531694,14.56337,14.4841795,14.488138,179311.52,2603428.0,36.59,0.0,0,0,0
2006-06-28,14.531694,14.531694,14.397068,14.4841795,104808.84,1516509.0,36.58,0.0,0,0,0
2006-06-29,14.618804,14.85242,14.523775,14.85242,351046.47,5150867.0,37.51,0.0,0,0,0
2006-06-30,14.931612,14.931612,14.868258,14.895976,957422.44,14259467.0,37.62,0.0,0,0,0
2006-07-05,14.77323,14.77323,14.587128,14.705915,295485.16,4340395.0,37.14,0.0,0,0,0
2006-07-06,14.721754,14.789066,14.694037,14.789066,215173.81,3174134.0,37.35,0.0,0,0,0
2006-07-07,14.674239,14.769269,14.642562,14.674239,320740.3,4716970.0,37.06,0.0,0,0,0
2006-07-10,14.77323,14.872219,14.717793,14.769269,880394.25,13012227.0,37.3,0.0,0,0,0
2006-07-11,14.650481,14.77323,14.55545,14.769269,243712.12,3586055.0,37.3,0.0,0,0,0
2006-07-12,14.713835,14.713835,14.412907,14.424785,315689.28,4604175.0,36.43,0.0,0,0,0
2006-07-13,14.28224,14.341634,14.171371,14.214928,709922.06,10111954.0,35.9,0.0,0,0,0
2006-07-14,14.155533,14.155533,13.941714,14.012987,334378.1,4689210.0,35.39,0.0,0,0,0
2006-07-17,14.040705,14.159492,14.016948,14.064463,142186.45,2002281.0,35.52,0.0,0,0,0
2006-07-18,14.048624,14.048624,13.692262,13.862522,504092.66,6980870.0,35.01,0.0,0,0,0
2006-07-19,13.969432,14.234725,13.969432,14.195128,372260.8,5276522.0,35.85,0.0,0,0,0
2006-07-20,14.246603,14.250564,14.016948,14.016948,642995.94,9129574.0,35.4,0.0,0,0,0
2006-07-21,13.910039,13.917958,13.79917,13.838766,417467.5,5787417.0,34.95,0.0,0,0,0
2006-07-24,14.020906,14.167411,13.9971485,14.147614,330589.8,4671022.0,35.73,0.0,0,0,0
2006-07-25,14.258481,14.329754,14.100099,14.28224,1601428.6,22801220.0,36.07,0.0,0,0,0
2006-07-26,14.127816,14.131775,13.9971485,13.9971485,605870.9,8521847.0,35.35,0.0,0,0,0
2006-07-27,13.981312,14.036745,13.807089,13.8110485,91676.164,1273222.0,34.88,0.0,0,0,0
2006-07-28,13.862522,14.009028,13.854605,13.9733925,1172596.2,16314805.0,35.29,0.0,0,0,0
2006-07-31,14.080301,14.179291,14.028826,14.104057,2028745.6,28600934.0,35.62,0.0,0,0,0
2006-08-01,13.925876,13.933795,13.747696,13.822927,398526.16,5508687.0,34.91,0.0,0,0,0
2006-08-02,13.90212,13.941714,13.8110485,13.874402,1749171.1,24275836.0,35.04,0.0,0,0,0
2006-08-03,13.791251,14.27828,13.791251,14.191169,2424998.8,34244572.0,35.84,0.0,0,0,0
2006-08-04,14.401027,14.460422,14.123856,14.210967,1207700.9,17278560.0,35.89,0.0,0,0,0
2006-08-07,14.08426,14.195128,14.060502,14.159492,1175626.9,16571939.0,35.76,0.0,0,0,0
2006-08-08,14.111977,14.171371,13.933795,13.933795,870292.2,12236952.0,35.19,0.0,0,0,0
2006-08-09,14.096138,14.100099,13.787291,13.787291,2127493.2,29648436.0,34.82,0.0,0,0,0
2006-08-10,13.815008,14.119897,13.803129,14.104057,1620370.0,22652136.0,35.62,0.0,0,0,0
2006-08-11,14.104057,14.111977,14.020906,14.020906,368725.1,5185569.0,35.41,0.0,0,0,0
2006-08-14,14.167411,14.254522,14.111977,14.127816,243459.58,3455294.0,35.68,0.0,0,0,0
2006-08-15,14.270361,14.416865,14.250564,14.416865,709669.5,10170345.0,36.41,0.0,0,0,0
2006-08-16,14.4960575,14.745512,14.432704,14.694037,1420349.2,20745530.0,37.11,0.0,0,0,0
2006-08-17,14.705915,14.911815,14.697996,14.777188,1066019.6,15789747.0,37.32,0.0,0,0,0
2006-08-18,14.848461,14.848461,14.66632,14.785108,1079657.4,15918774.0,37.34,0.0,0,0,0
2006-08-21,14.56733,14.587128,14.527734,14.571289,534146.25,7767147.0,36.8,0.0,0,0,0
2006-08-22,14.559411,14.559411,14.460422,14.4960575,512931.94,7438679.0,36.61,0.0,0,0,0
2006-08-23,14.432704,14.460422,14.254522,14.302037,1320086.2,18953154.0,36.12,0.0,0,0,0
2006-08-24,14.155533,14.155533,14.052584,14.104057,811195.2,11428392.0,35.62,0.0,0,0,0
2006-08-25,14.068421,14.08426,13.9852705,14.060502,1883781.1,26471768.0,35.51,0.0,0,0,0
2006-08-28,14.195128,14.309957,14.195128,14.199088,786950.25,11222554.0,35.86,0.0,0,0,0
2006-08-29,14.294118,14.325795,14.167411,14.317876,1288012.2,18357500.0,36.16,0.0,0,0,0
2006-08-30,14.317876,14.369351,14.28224,14.365391,666483.2,9554182.0,36.28,0.0,0,0,0
2006-08-31,14.432704,14.440623,14.37331,14.389149,1264019.9,18225156.0,36.34,0.0,0,0,0
2006-09-01,14.420825,14.492097,14.341634,14.46438,543995.75,7845858.0,36.53,0.0,0,0,0
2006-09-05,14.4841795,14.579208,14.4841795,14.57525,672039.4,9778749.0,36.81,0.0,0,0,0
2006-09-06,14.500017,14.511896,14.38519,14.389149,1412772.6,20406688.0,36.34,0.0,0,0,0
2006-09-07,14.401027,14.523775,14.294118,14.416865,1251897.4,17986872.0,36.41,0.0,0,0,0
2006-09-08,14.428744,14.650481,14.416865,14.650481,2341656.8,33996064.0,37.0,0.0,0,0,0
2006-09-11,14.57525,14.85638,14.531694,14.804905,344985.25,5060756.0,37.39,0.0,0,0,0
2006-09-12,14.8643,15.224623,14.860339,15.192945,988486.3,14923534.0,38.37,0.0,0,0,0
2006-09-13,15.1810665,15.287975,15.141471,15.252339,1958283.8,29810020.0,38.52,0.0,0,0,0
2006-09-14,15.260259,15.291935,15.141471,15.264217,1390295.6,21145972.0,38.55,0.0,0,0,0
2006-09-15,15.420682,15.420682,15.230548,15.333536,936096.4,14312472.0,38.71,0.0,0,0,0
2006-09-18,15.27412,15.3969145,15.214703,15.3295765,1022940.25,15633345.0,38.7,0.0,0,0,0
2006-09-19,15.416719,15.436526,15.218663,15.436526,2095108.9,32251822.0,38.97,0.0,0,0,0
2006-09-20,15.602894,15.741534,15.594971,15.686077,578370.2,9068030.0,39.6,0.0,0,0,0
2006-09-21,15.785105,15.785105,15.440487,15.499905,590487.94,9226887.0,39.13,0.0,0,0,0
2006-09-22,15.388992,15.4801,15.293926,15.472177,1819682.5,27965382.0,39.06,0.0,0,0,0
2006-09-25,15.551398,15.737572,15.45237,15.737572,1269082.1,19774106.0,39.73,0.0,0,0,0
2006-09-26,15.737572,15.793028,15.642506,15.761339,465018.75,7324252.0,39.79,0.0,0,0,0
2006-09-27,15.781145,15.840562,15.642506,15.701921,654106.2,10310651.0,39.64,0.0,0,0,0
2006-09-28,15.7653,15.7771845,15.567244,15.7771845,1040864.44,16284200.0,39.83,0.0,0,0,0
2006-09-29,15.796989,15.796989,15.547438,15.563283,1240807.4,19522280.0,39.29,0.0,0,0,0
2006-10-02,15.563283,15.7494545,15.515748,15.606855,248666.38,3891360.0,39.4,0.0,0,0,0
2006-10-03,15.531593,15.856405,15.519711,15.828678,830570.94,13023794.0,39.96,0.0,0,0,0
2006-10-04,15.773222,16.125763,15.725689,16.11784,1254692.2,20033324.0,40.69,0.0,0,0,0
2006-10-05,16.01485,16.109919,15.90394,16.101997,2676761.0,42723410.0,40.65,0.0,0,0,0
2006-10-06,15.943551,15.991084,15.852446,15.931668,1044903.7,16626321.0,40.22,0.0,0,0,0
2006-10-09,15.856405,16.090113,15.8366,16.038618,377669.94,6048731.0,40.49,0.0,0,0,0
2006-10-10,16.04654,16.11784,15.999006,16.022774,2018868.0,32392968.0,40.45,0.0,0,0,0
2006-10-11,16.026735,16.08219,15.979201,16.01089,112846.57,1808115.0,40.42,0.0,0,0,0
2006-10-12,16.08219,16.375315,16.08219,16.371353,304710.97,4955229.0,41.33,0.0,0,0,0
2006-10-13,16.347586,16.407003,16.331741,16.39116,165861.73,2715019.0,41.38,0.0,0,0,0
2006-10-16,16.379274,16.450575,16.331741,16.422848,335762.72,5515842.0,41.46,0.0,0,0,0
2006-10-17,16.407003,16.407003,16.109919,16.26044,341064.22,5535952.0,41.05,0.0,0,0,0
2006-10-18,16.470383,16.470383,16.208946,16.264402,915142.75,14979515.0,41.06,0.0,0,0,0
2006-10-19,16.280247,16.347586,16.157452,16.18914,340054.4,5512772.0,40.87,0.0,0,0,0
2006-10-20,16.264402,16.264402,16.121801,16.18914,223421.06,3613339.0,40.87,0.0,0,0,0
2006-10-23,16.208946,16.525837,16.173298,16.478304,1027736.9,16917936.0,41.6,0.0,0,0,0
2006-10-24,16.49811,16.517916,16.335703,16.438692,799014.3,13134433.0,41.5,0.0,0,0,0
