Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2005-03-03,13.701958,13.711007,13.647656,13.711007,2651.8838,36330.0,15.15,0.0,0,0,0
2005-03-04,13.701958,13.783409,13.656707,13.756259,8066.1465,110694.0,15.2,0.0,0,0,0
2005-03-07,13.819611,13.855811,13.7924595,13.819611,9502.584,131290.0,15.27,0.0,0,0,0
2005-03-08,13.77436,13.80151,13.656707,13.656707,4530.302,62374.0,15.09,0.0,0,0,0
2005-03-09,13.593356,13.656707,13.539055,13.539055,6961.195,94643.0,14.96,0.0,0,0,0
2005-03-10,13.539055,13.539055,13.385201,13.502854,3425.3499,46033.0,14.92,0.0,0,0,0
2005-03-11,13.439503,13.439503,13.349001,13.376151,9944.564,132943.0,14.78,0.0,0,0,0
2005-03-14,13.430452,13.448552,13.376151,13.403302,7513.671,100659.0,14.81,0.0,0,0,0
2005-03-15,13.466653,13.466653,13.339951,13.339951,3093.8645,41539.0,14.74,0.0,0,0,0
2005-03-16,13.30375,13.339951,13.231349,13.231349,10828.525,143899.0,14.62,0.0,0,0,0
2005-03-17,13.258499,13.321851,13.222299,13.321851,26629.334,353293.0,14.72,0.0,0,0,0
2005-03-18,13.186098,13.186098,13.158947,13.158947,3977.8257,52346.0,14.54,0.0,0,0,0
2005-03-21,13.131797,13.140847,13.086546,13.140847,33922.016,445748.0,14.52,0.0,0,0,0
2005-03-22,13.2675495,13.376151,13.186098,13.186098,40441.227,536160.0,14.57,0.0,0,0,0
2005-03-23,13.122746,13.122746,13.059396,13.059396,4751.292,62257.0,14.43,0.0,0,0,0
2005-03-24,13.113696,13.177048,13.113696,13.177048,994.4564,13068.0,14.56,0.0,0,0,0
2005-03-28,13.222299,13.222299,13.113696,13.204199,4972.282,65611.0,14.59,0.0,0,0,0
2005-03-29,13.158947,13.186098,13.077496,13.077496,7955.6514,104333.0,14.45,0.0,0,0,0
2005-03-30,13.177048,13.204199,13.177048,13.195148,4419.806,58312.0,14.58,0.0,0,0,0
2005-03-31,13.2675495,13.28565,13.2675495,13.2766,2430.8936,32266.0,14.67,0.0,0,0,0
2005-04-01,13.367102,13.367102,13.24945,13.28565,7403.176,98422.0,14.68,0.0,0,0,0
2005-04-04,13.140847,13.140847,13.140847,13.140847,2209.903,29040.0,14.52,0.0,0,0,0
2005-04-05,13.3309,13.339951,13.2675495,13.339951,16684.77,222314.0,14.74,0.0,0,0,0
2005-04-06,13.385201,13.448552,13.367102,13.448552,50385.793,675559.0,14.86,0.0,0,0,0
2005-04-07,13.376151,13.466653,13.376151,13.4576025,1546.9323,20766.0,14.87,0.0,0,0,0
2005-04-08,13.502854,13.502854,13.367102,13.367102,21215.07,284282.0,14.77,0.0,0,0,0
2005-04-11,13.358051,13.358051,13.2947,13.3128,3646.3403,48541.0,14.71,0.0,0,0,0
2005-04-12,13.095596,13.394252,13.095596,13.394252,8176.6416,107914.0,14.8,0.0,0,0,0
2005-04-13,13.339951,13.339951,13.195148,13.231349,1988.9128,26404.0,14.62,0.0,0,0,0
2005-04-14,13.240399,13.240399,12.986995,12.986995,2430.8936,31887.0,14.35,0.0,0,0,0
2005-04-15,12.887443,12.914594,12.715489,12.715489,1215.4468,15551.0,14.05,0.0,0,0,0
2005-04-18,12.715489,12.74264,12.661188,12.688339,3756.8354,47717.0,14.02,0.0,0,0,0
2005-04-19,12.80599,12.950794,12.80599,12.9326935,3093.8645,39803.0,14.29,0.0,0,0,0
2005-04-20,12.959844,12.959844,12.824091,12.824091,6187.729,79948.0,14.17,0.0,0,0,0
2005-04-21,12.959844,13.113696,12.905543,13.113696,4751.292,61935.0,14.49,0.0,0,0,0
2005-04-22,12.905543,12.968894,12.72454,12.72454,3756.8354,48489.0,14.06,0.0,0,0,0
2005-04-26,12.941744,12.941744,12.9326935,12.9326935,1215.4468,15723.0,14.29,0.0,0,0,0
