Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2008-11-25,36.239998,36.239998,36.239998,36.239998,66.666664,2416.0,24.16,0.0,0,0,0
2008-11-26,36.0,36.555,36.0,36.420002,866.6667,31562.0,24.28,0.0,0,0,0
2008-11-28,36.239998,36.36,36.21,36.36,1666.6666,60460.0,24.24,0.0,0,0,0
2008-12-01,35.114998,35.114998,34.515,34.725,533.3333,18601.0,23.15,0.0,0,0,0
2008-12-02,35.085,35.085,34.56,34.56,4666.6665,162269.0,23.04,0.0,0,0,0
2008-12-03,34.199997,34.68,34.035,34.68,3133.3333,107115.0,23.12,0.0,0,0,0
2008-12-04,34.199997,34.38,34.199997,34.199997,1800.0,61619.0,22.8,0.0,0,0,0
2008-12-05,33.645,34.545002,33.48,34.545002,3266.6667,110033.0,23.03,0.0,0,0,0
2008-12-08,34.545002,34.545002,34.170002,34.170002,1200.0,41293.0,22.78,0.0,0,0,0
2008-12-09,34.050003,34.050003,33.6,33.6,1866.6666,63164.0,22.4,0.0,0,0,0
2008-12-10,34.23,34.35,34.170002,34.170002,2666.6667,91396.0,22.78,0.0,0,0,0
2008-12-11,33.465,33.675003,33.255,33.48,2133.3333,71290.0,22.32,0.0,0,0,0
2008-12-12,32.550003,33.36,32.4,32.94,3933.3333,129715.0,21.96,0.0,0,0,0
2008-12-15,32.699997,32.79,32.52,32.670002,2533.3333,82730.0,21.78,0.0,0,0,0
2008-12-16,32.4,32.4,31.305,31.305,5133.3335,163872.0,20.87,0.0,0,0,0
2008-12-17,31.199999,31.199999,30.449999,30.449999,6533.3335,200896.0,20.3,0.0,0,0,0
2008-12-18,30.84,32.204998,30.84,31.785,13866.667,440812.0,21.19,0.0,0,0,0
2008-12-19,32.31,32.31,31.365,31.605,14133.333,449444.0,21.07,0.0,0,0,0
2008-12-22,31.98,32.31,31.98,32.28,8400.0,269711.0,21.52,0.0,0,0,0
2008-12-23,31.994999,32.82,31.994999,32.82,8866.667,287311.0,21.88,0.0,0,0,0
2008-12-24,32.52,32.52,32.4,32.4,266.66666,8648.0,21.6,0.0,0,0,0
2008-12-26,32.145,32.505,32.145,32.475,266.66666,8624.0,21.65,0.0,0,0,0
2008-12-29,32.34,32.34,32.235,32.235,2266.6667,73251.0,21.49,0.0,0,0,0
2008-12-30,32.324997,32.4,32.265,32.4,866.6667,28046.0,21.6,0.0,0,0,0
2008-12-31,32.265,33.105,32.265,32.775,4600.0,150827.0,21.85,0.0,0,0,0
2009-01-02,33.315,33.63,33.27,33.27,800.0,26751.0,22.18,0.0,0,0,0
2009-01-05,34.395,34.545002,34.14,34.47,7400.0,254597.0,22.98,0.0,0,0,0
2009-01-06,35.22,35.4,34.739998,34.89,11333.333,397854.0,23.26,0.0,0,0,0
2009-01-07,33.93,34.335,33.9,33.9,25933.334,881489.0,22.6,0.0,0,0,0
2009-01-08,32.985,33.015,32.775,32.94,6133.3335,201562.0,21.96,0.0,0,0,0
2009-01-09,32.699997,32.699997,32.175003,32.31,3333.3333,108221.0,21.54,0.0,0,0,0
2009-01-12,31.86,31.875,31.079998,31.244999,23200.0,732219.0,20.83,0.0,0,0,0
2009-01-13,31.86,31.875,31.215,31.275002,32333.334,1016477.0,20.85,0.0,0,0,0
