Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1987-01-13,0.0437,0.0447,0.0397,0.0399,1854.0,198703.0,915.0
1987-01-14,0.0298,0.031,0.0265,0.0276,1522.0,198703.0,989.0
1987-01-15,0.0377,0.0378,0.0364,0.0366,571.0,198703.0,862.0
1987-01-16,0.0385,0.0397,0.0385,0.0394,556.0,198703.0,1040.0
1987-01-19,0.0393,0.0427,0.0393,0.0412,516.0,198703.0,943.0
1987-01-20,0.0527,0.0532,0.0477,0.0477,376.0,198703.0,1025.0
1987-01-21,0.0487,0.0495,0.0484,0.0495,273.0,198703.0,981.0
1987-01-22,0.0484,0.0485,0.0472,0.0481,588.0,198703.0,1334.0
1987-01-23,0.0505,0.0506,0.0501,0.0501,269.0,198703.0,1311.0
1987-01-26,0.053,0.053,0.0513,0.0518,254.0,198703.0,1388.0
1987-01-27,0.0514,0.0517,0.0494,0.0497,543.0,198703.0,1373.0
1987-01-28,0.0473,0.0497,0.0473,0.0493,506.0,198703.0,1608.0
1987-01-29,0.0507,0.0513,0.0503,0.0505,195.0,198703.0,1670.0
1987-01-30,0.0507,0.051,0.0503,0.0506,60.0,198703.0,1687.0
1987-02-02,0.0508,0.0509,0.0504,0.0506,165.0,198703.0,1716.0
1987-02-03,0.0553,0.0559,0.0547,0.0553,549.0,198703.0,1964.0
1987-02-04,0.0595,0.0598,0.0587,0.0595,394.0,198703.0,1920.0
1987-02-05,0.0587,0.0597,0.0586,0.059,535.0,198703.0,1702.0
1987-02-06,0.06,0.0609,0.0596,0.0607,181.0,198703.0,1676.0
1987-02-09,0.057,0.0571,0.0535,0.0538,205.0,198703.0,1682.0
1987-02-10,0.0578,0.0595,0.057,0.0587,248.0,198703.0,1763.0
1987-02-11,0.0596,0.0599,0.0593,0.0596,228.0,198703.0,1930.0
1987-02-12,0.0589,0.0596,0.0587,0.0587,367.0,198703.0,1951.0
1987-02-13,0.0574,0.0574,0.0566,0.0567,150.0,198703.0,1977.0
1987-02-17,0.0549,0.0549,0.0546,0.0547,140.0,198703.0,2043.0
1987-02-18,0.0586,0.0602,0.0586,0.0594,345.0,198703.0,2128.0
1987-02-19,0.0595,0.0597,0.0589,0.0592,180.0,198703.0,2150.0
1987-02-20,0.0585,0.0608,0.0579,0.0608,214.0,198703.0,2224.0
1987-02-23,0.0615,0.0617,0.0613,0.0616,120.0,198703.0,2238.0
1987-02-24,0.0629,0.0639,0.0629,0.0632,360.0,198703.0,2061.0
1987-02-25,0.0683,0.0697,0.0678,0.0695,720.0,198703.0,2399.0
1987-02-26,0.069,0.0695,0.0689,0.0693,134.0,198703.0,2405.0
1987-02-27,0.0708,0.0721,0.0708,0.0717,295.0,198703.0,2461.0
1987-03-02,0.0756,0.0771,0.0738,0.074,421.0,198703.0,2511.0
1987-03-03,0.0741,0.0743,0.0731,0.0735,154.0,198703.0,2508.0
1987-03-04,0.0752,0.076,0.0752,0.0753,190.0,198703.0,2558.0
1987-03-05,0.075,0.0757,0.0742,0.0742,86.0,198703.0,2587.0
1987-03-06,0.0743,0.0747,0.0735,0.0737,184.0,198703.0,2521.0
1987-03-09,0.0759,0.0764,0.0757,0.0764,61.0,198703.0,2531.0
1987-03-10,0.0803,0.0814,0.0802,0.0802,727.0,198703.0,2550.0
1987-03-11,0.0824,0.0847,0.0824,0.0847,307.0,198703.0,2596.0
1987-03-12,0.0882,0.0882,0.0852,0.0855,311.0,198703.0,2677.0
1987-03-13,0.0747,0.0814,0.0721,0.0776,519.0,198703.0,2799.0
1987-03-16,0.0804,0.0804,0.0782,0.0793,175.0,198706.0,2830.0
1987-03-17,0.0848,0.088,0.0848,0.088,137.0,198706.0,1598.0
1987-03-18,0.0872,0.0891,0.0867,0.0883,115.0,198706.0,1644.0
1987-03-19,0.0851,0.0871,0.0832,0.0839,463.0,198706.0,1734.0
1987-03-20,0.0842,0.0868,0.0838,0.0863,70.0,198706.0,1719.0
1987-03-23,0.0888,0.0898,0.0888,0.0894,150.0,198706.0,1734.0
1987-03-24,0.0973,0.0973,0.0932,0.0947,284.0,198706.0,1875.0
