Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-03-20,2.023,2.023,2.023,2.023,0.0,198003.0,211.0
1979-03-21,2.023,2.023,2.023,2.023,8.0,198003.0,210.0
1979-03-22,2.023,2.023,2.015,2.023,1.0,198003.0,210.0
1979-03-23,2.02,2.02,2.02,2.02,2.0,198003.0,211.0
1979-03-26,2.0205,2.03,2.0205,2.03,1.0,198003.0,209.0
1979-03-27,2.03,2.03,2.03,2.03,1.0,198003.0,210.0
1979-03-28,2.03,2.03,2.03,2.03,0.0,198003.0,210.0
1979-03-29,2.04,2.04,2.04,2.04,0.0,198003.0,210.0
1979-03-30,2.0475,2.0475,2.045,2.0475,2.0,198003.0,211.0
1979-04-02,2.0525,2.0525,2.0525,2.0525,3.0,198003.0,211.0
1979-04-03,2.0525,2.0525,2.0525,2.0525,9.0,198003.0,210.0
1979-04-04,2.0525,2.0525,2.0525,2.0525,2.0,198003.0,208.0
1979-04-05,2.055,2.063,2.055,2.063,2.0,198003.0,208.0
1979-04-06,2.073,2.073,2.0725,2.0725,2.0,198003.0,208.0
1979-04-09,2.085,2.085,2.085,2.085,14.0,198003.0,215.0
1979-04-10,2.085,2.092,2.085,2.085,8.0,198003.0,212.0
1979-04-11,2.085,2.085,2.085,2.085,3.0,198003.0,213.0
1979-04-12,2.077,2.077,2.07,2.077,1.0,198003.0,214.0
1979-04-16,2.079,2.079,2.079,2.079,3.0,198003.0,216.0
1979-04-17,2.077,2.077,2.075,2.075,3.0,198003.0,215.0
1979-04-18,2.075,2.075,2.058,2.075,3.0,198003.0,218.0
1979-04-19,2.06,2.06,2.051,2.057,15.0,198003.0,217.0
1979-04-20,2.057,2.057,2.057,2.057,2.0,198003.0,218.0
1979-04-23,2.057,2.057,2.057,2.057,0.0,198003.0,218.0
1979-04-24,2.052,2.052,2.052,2.052,0.0,198003.0,218.0
1979-04-25,2.035,2.035,2.0075,2.0075,5.0,198003.0,217.0
1979-04-26,2.027,2.03,2.027,2.027,1.0,198003.0,218.0
1979-04-27,2.038,2.038,2.036,2.038,5.0,198003.0,218.0
1979-04-30,2.054,2.054,2.054,2.054,2.0,198003.0,218.0
1979-05-01,2.053,2.053,2.041,2.041,5.0,198003.0,218.0
1979-05-02,2.05,2.052,2.05,2.052,2.0,198003.0,218.0
1979-05-03,2.06,2.066,2.06,2.066,1.0,198003.0,218.0
1979-05-04,2.065,2.068,2.065,2.066,2.0,198003.0,217.0
