Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-03-05,0.846,0.8465,0.846,0.8465,20.0,198003.0,20.0
1979-03-06,0.843,0.843,0.843,0.843,1.0,198003.0,21.0
1979-03-07,0.843,0.843,0.843,0.843,1.0,198003.0,22.0
1979-03-08,0.843,0.843,0.843,0.843,0.0,198003.0,22.0
1979-03-09,0.847,0.847,0.847,0.847,0.0,198003.0,22.0
1979-03-12,0.8495,0.8495,0.8495,0.8495,0.0,198003.0,22.0
1979-03-13,0.855,0.8555,0.855,0.8555,2.0,198003.0,23.0
1979-03-14,0.8495,0.8495,0.8495,0.8495,0.0,198003.0,23.0
1979-03-15,0.8485,0.8485,0.8485,0.8485,0.0,198003.0,23.0
1979-03-16,0.8555,0.8555,0.8555,0.8555,0.0,198003.0,23.0
1979-03-19,0.8595,0.8614,0.8595,0.8614,2.0,198003.0,24.0
1979-03-20,0.8614,0.8614,0.8614,0.8614,0.0,198003.0,24.0
1979-03-21,0.8584,0.8584,0.8584,0.8584,0.0,198003.0,24.0
1979-03-22,0.8614,0.8614,0.8614,0.8614,0.0,198003.0,24.0
1979-03-23,0.8584,0.8584,0.8584,0.8584,0.0,198003.0,24.0
1979-03-26,0.8584,0.8584,0.8584,0.8584,0.0,198003.0,24.0
1979-03-27,0.8584,0.8584,0.8584,0.8584,0.0,198003.0,24.0
1979-03-28,0.8605,0.861,0.8605,0.861,1.0,198003.0,24.0
1979-03-29,0.8612,0.8612,0.8612,0.8612,0.0,198003.0,24.0
1979-03-30,0.8628,0.8628,0.8628,0.8628,1.0,198003.0,24.0
1979-04-02,0.8647,0.8662,0.8647,0.8662,12.0,198003.0,33.0
1979-04-03,0.8659,0.8662,0.8657,0.8662,17.0,198003.0,36.0
1979-04-04,0.8661,0.8675,0.8661,0.8675,27.0,198003.0,56.0
1979-04-05,0.8685,0.87,0.8685,0.87,18.0,198003.0,61.0
1979-04-06,0.87,0.8715,0.87,0.8715,42.0,198003.0,69.0
1979-04-09,0.8685,0.8713,0.8685,0.8711,4.0,198003.0,71.0
1979-04-10,0.8746,0.8746,0.8746,0.8746,8.0,198003.0,78.0
1979-04-11,0.873,0.8732,0.8719,0.8719,1.0,198003.0,78.0
