Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1995-04-25,-0.062055,-0.061555,-0.069555,-0.067755,832.0,199506.0,632.0
1995-04-26,-0.067555,-0.065355,-0.067555,-0.065655,866.0,199506.0,1078.0
1995-04-27,-0.065855,-0.064855,-0.074555,-0.069555,918.0,199506.0,1300.0
1995-04-28,-0.068555,-0.067555,-0.071555,-0.068855,557.0,199506.0,1455.0
1995-05-01,-0.067055,-0.067055,-0.067805,-0.067555,53.0,199506.0,1475.0
1995-05-02,-0.068055,-0.065655,-0.068755,-0.065855,551.0,199506.0,1611.0
1995-05-03,-0.065755,-0.063355,-0.066055,-0.064755,656.0,199506.0,1648.0
1995-05-04,-0.064555,-0.064355,-0.065855,-0.064555,286.0,199506.0,1612.0
1995-05-05,-0.064455,-0.064155,-0.064505,-0.064255,86.0,199506.0,1595.0
1995-05-08,-0.064055,-0.063555,-0.064555,-0.063655,350.0,199506.0,1744.0
1995-05-09,-0.063655,-0.062155,-0.064655,-0.064055,589.0,199506.0,1887.0
1995-05-10,-0.063555,-0.062555,-0.066555,-0.064255,734.0,199506.0,2084.0
1995-05-11,-0.063555,-0.062355,-0.064355,-0.062955,339.0,199506.0,2222.0
1995-05-12,-0.062855,-0.062855,-0.063955,-0.063755,445.0,199506.0,2296.0
1995-05-15,-0.063555,-0.063555,-0.064355,-0.063555,455.0,199506.0,2575.0
1995-05-16,-0.063255,-0.063055,-0.063655,-0.063355,357.0,199506.0,2764.0
1995-05-17,-0.063355,-0.062305,-0.063455,-0.062555,306.0,199506.0,2775.0
1995-05-18,-0.061955,-0.060555,-0.062355,-0.060555,450.0,199506.0,2815.0
1995-05-19,-0.060755,-0.060055,-0.061055,-0.060955,538.0,199506.0,2868.0
1995-05-22,-0.060955,-0.060155,-0.060955,-0.060155,656.0,199506.0,3290.0
1995-05-23,-0.060355,-0.060255,-0.061955,-0.061755,687.0,199506.0,3407.0
1995-05-24,-0.062555,-0.062555,-0.065555,-0.062755,759.0,199506.0,3800.0
1995-05-25,-0.064055,-0.062955,-0.065555,-0.063655,700.0,199506.0,4105.0
1995-05-26,-0.064355,-0.064355,-0.066055,-0.065705,217.0,199506.0,4215.0
1995-05-30,-0.066055,-0.066055,-0.069755,-0.068055,661.0,199506.0,4388.0
1995-05-31,-0.067055,-0.065455,-0.067555,-0.067205,469.0,199506.0,4516.0
1995-06-01,-0.068055,-0.065955,-0.068055,-0.065955,326.0,199506.0,4476.0
1995-06-02,-0.066055,-0.065655,-0.066355,-0.065905,381.0,199506.0,4537.0
1995-06-05,-0.066955,-0.063755,-0.067355,-0.064055,804.0,199506.0,4617.0
1995-06-06,-0.064455,-0.063055,-0.064755,-0.063555,686.0,199506.0,4867.0
1995-06-07,-0.066055,-0.064355,-0.066055,-0.064655,555.0,199506.0,4860.0
1995-06-08,-0.064655,-0.064655,-0.066355,-0.065355,583.0,199506.0,4848.0
1995-06-09,-0.065555,-0.065555,-0.066755,-0.066755,798.0,199506.0,4982.0
