Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-03-20,1.3972,1.3972,1.3972,1.3972,0.0,198003.0,211.0
1979-03-21,1.3962,1.3992,1.3952,1.3992,8.0,198003.0,210.0
1979-03-22,1.3982,1.3982,1.3972,1.3972,1.0,198003.0,210.0
1979-03-23,1.3967,1.3972,1.3967,1.3972,2.0,198003.0,211.0
1979-03-26,1.3982,1.3992,1.3982,1.3992,2.0,198003.0,210.0
1979-03-27,1.398,1.398,1.398,1.398,0.0,198003.0,210.0
1979-03-28,1.398,1.398,1.398,1.398,0.0,198003.0,210.0
1979-03-29,1.3952,1.3952,1.3952,1.3952,0.0,198003.0,210.0
1979-03-30,1.3907,1.3912,1.3907,1.3912,2.0,198003.0,211.0
1979-04-02,1.3889,1.3889,1.3864,1.3865,3.0,198003.0,211.0
1979-04-03,1.3867,1.3867,1.3857,1.3859,9.0,198003.0,210.0
1979-04-04,1.3837,1.3852,1.3837,1.3852,2.0,198003.0,208.0
1979-04-05,1.3807,1.3808,1.3807,1.3807,2.0,198003.0,208.0
1979-04-06,1.3787,1.3787,1.3787,1.3787,0.0,198003.0,208.0
1979-04-09,1.3737,1.3737,1.3707,1.3715,14.0,198003.0,215.0
1979-04-10,1.376,1.3767,1.3757,1.3757,8.0,198003.0,212.0
1979-04-11,1.3784,1.3784,1.3773,1.3773,3.0,198003.0,213.0
1979-04-12,1.3722,1.3722,1.3717,1.372,2.0,198003.0,214.0
1979-04-16,1.3708,1.3708,1.3702,1.3702,3.0,198003.0,215.0
1979-04-17,1.3727,1.3727,1.3727,1.3727,0.0,198003.0,215.0
1979-04-18,1.3757,1.3775,1.3752,1.3775,3.0,198003.0,218.0
1979-04-19,1.3781,1.3792,1.3732,1.3732,15.0,198003.0,217.0
1979-04-20,1.3727,1.3728,1.3724,1.3724,2.0,198003.0,218.0
1979-04-23,1.3724,1.3724,1.3724,1.3724,0.0,198003.0,218.0
1979-04-24,1.3724,1.3724,1.3724,1.3724,0.0,198003.0,218.0
1979-04-25,1.3732,1.3747,1.3732,1.3737,5.0,198003.0,217.0
1979-04-26,1.3732,1.3732,1.3732,1.3732,1.0,198003.0,218.0
1979-04-27,1.3727,1.3727,1.3722,1.3727,5.0,198003.0,218.0
1979-04-30,1.3704,1.3735,1.3704,1.3726,2.0,198003.0,218.0
1979-05-01,1.3717,1.3717,1.3717,1.3717,0.0,198003.0,218.0
1979-05-02,1.3712,1.3712,1.3712,1.3712,0.0,198003.0,218.0
1979-05-03,1.3717,1.3717,1.3717,1.3717,0.0,198003.0,218.0
1979-05-04,1.3717,1.3726,1.3717,1.3726,2.0,198003.0,217.0
1979-05-07,1.3752,1.3757,1.3752,1.3757,2.0,198003.0,217.0
1979-05-08,1.3754,1.3754,1.3754,1.3754,0.0,198003.0,217.0
1979-05-09,1.3754,1.3754,1.3754,1.3754,0.0,198003.0,217.0
1979-05-10,1.3742,1.3742,1.3742,1.3742,0.0,198003.0,217.0
1979-05-11,1.3737,1.3752,1.3737,1.3752,3.0,198003.0,218.0
1979-05-14,1.3736,1.3736,1.3694,1.3694,6.0,198003.0,223.0
1979-05-15,1.3652,1.3652,1.364,1.364,2.0,198003.0,225.0
1979-05-16,1.3627,1.3641,1.3627,1.3627,21.0,198003.0,229.0
1979-05-17,1.3627,1.3635,1.36,1.36,26.0,198003.0,244.0
1979-05-18,1.3578,1.3578,1.357,1.357,16.0,198003.0,249.0
1979-05-21,1.3587,1.3598,1.3582,1.3598,4.0,198003.0,251.0
1979-05-22,1.3612,1.3612,1.3591,1.3592,34.0,198003.0,263.0
1979-05-23,1.3591,1.3592,1.359,1.359,2.0,198003.0,264.0
1979-05-24,1.359,1.359,1.359,1.359,0.0,198003.0,264.0
1979-05-25,1.3567,1.3581,1.3567,1.3575,5.0,198003.0,264.0
1979-05-29,1.3532,1.3547,1.3532,1.3547,5.0,198003.0,262.0
1979-05-30,1.3542,1.3652,1.3542,1.3647,3.0,198003.0,264.0
1979-05-31,1.3632,1.3632,1.3592,1.3603,8.0,198003.0,266.0
1979-06-01,1.3572,1.3572,1.3572,1.3572,0.0,198003.0,266.0
1979-06-04,1.3606,1.361,1.3603,1.3607,22.0,198003.0,266.0
1979-06-05,1.3577,1.3579,1.3577,1.3577,1.0,198003.0,267.0
1979-06-06,1.3577,1.3577,1.357,1.3572,1.0,198003.0,267.0
1979-06-07,1.3595,1.3595,1.3595,1.3595,5.0,198003.0,270.0
1979-06-08,1.3612,1.3612,1.3604,1.3604,7.0,198003.0,277.0
1979-06-11,1.3595,1.3595,1.3579,1.3579,2.0,198003.0,278.0
1979-06-12,1.3579,1.3587,1.3577,1.3587,2.0,198003.0,280.0
1979-06-13,1.3582,1.3596,1.3577,1.3577,20.0,198003.0,295.0
1979-06-14,1.3592,1.3649,1.3592,1.3649,499.0,198003.0,695.0
1979-06-15,1.3702,1.3752,1.3694,1.3752,307.0,198003.0,828.0
1979-06-18,1.3692,1.3742,1.3692,1.3737,61.0,198003.0,877.0
1979-06-19,1.3777,1.3862,1.3777,1.3859,376.0,198003.0,1060.0
1979-06-20,1.3842,1.3867,1.3832,1.3864,272.0,198003.0,1185.0
1979-06-21,1.3878,1.3982,1.387,1.3967,47.0,198003.0,1199.0
1979-06-22,1.3962,1.4017,1.3942,1.3942,330.0,198003.0,1331.0
1979-06-25,1.4001,1.4018,1.3991,1.3998,187.0,198003.0,1335.0
1979-06-26,1.3899,1.3922,1.3874,1.388,153.0,198003.0,1398.0
1979-06-27,1.3887,1.3952,1.3887,1.3932,67.0,198003.0,1415.0
1979-06-28,1.3902,1.3938,1.3877,1.3932,249.0,198003.0,1565.0
1979-06-29,1.3887,1.3974,1.3887,1.3931,97.0,198003.0,1611.0
1979-07-02,1.3922,1.3937,1.392,1.3935,145.0,198003.0,1720.0
1979-07-03,1.3907,1.3957,1.3897,1.3953,164.0,198003.0,1839.0
1979-07-05,1.3958,1.3974,1.3942,1.3951,232.0,198003.0,1955.0
1979-07-06,1.3957,1.3957,1.3801,1.3862,146.0,198003.0,1984.0
1979-07-09,1.3882,1.3907,1.3862,1.3904,58.0,198003.0,1987.0
1979-07-10,1.3889,1.3892,1.3864,1.3885,44.0,198003.0,1996.0
1979-07-11,1.3892,1.3925,1.3892,1.3921,30.0,198003.0,2017.0
1979-07-12,1.39,1.3912,1.3895,1.3912,42.0,198003.0,2031.0
1979-07-13,1.3869,1.3907,1.3859,1.3905,62.0,198003.0,2052.0
1979-07-16,1.3932,1.4007,1.3932,1.4001,160.0,198003.0,2085.0
1979-07-17,1.3999,1.4012,1.3976,1.3992,359.0,198003.0,2291.0
1979-07-18,1.4027,1.4052,1.4007,1.4045,152.0,198003.0,2354.0
1979-07-19,1.4007,1.4017,1.396,1.3984,138.0,198003.0,2443.0
1979-07-20,1.399,1.4011,1.3953,1.4006,85.0,198003.0,2497.0
1979-07-23,1.4017,1.4022,1.3997,1.4008,87.0,198003.0,2564.0
1979-07-24,1.401,1.4012,1.3991,1.4002,87.0,198003.0,2630.0
1979-07-25,1.3969,1.3969,1.395,1.3969,45.0,198003.0,2621.0
1979-07-26,1.3955,1.3955,1.3929,1.3946,49.0,198003.0,2637.0
1979-07-27,1.3941,1.396,1.3932,1.396,40.0,198003.0,2643.0
1979-07-30,1.3889,1.3897,1.381,1.383,151.0,198003.0,2637.0
1979-07-31,1.3832,1.3857,1.3812,1.3842,82.0,198003.0,2647.0
1979-08-01,1.3872,1.3872,1.3844,1.3864,41.0,198003.0,2642.0
1979-08-02,1.3854,1.3854,1.3854,1.3854,0.0,198003.0,0.0
1979-08-03,1.3875,1.3875,1.3875,1.3875,0.0,198003.0,0.0
1979-08-06,1.3857,1.3867,1.3842,1.3856,59.0,198003.0,2664.0
1979-08-07,1.3862,1.3862,1.3824,1.3844,60.0,198003.0,2637.0
1979-08-08,1.3837,1.3912,1.3836,1.3904,129.0,198003.0,2675.0
1979-08-09,1.3904,1.3922,1.389,1.3907,49.0,198003.0,2638.0
1979-08-10,1.3917,1.3927,1.391,1.3923,136.0,198003.0,2691.0
1979-08-13,1.3911,1.3911,1.3852,1.3871,72.0,198003.0,2632.0
1979-08-14,1.3856,1.3902,1.385,1.3892,160.0,198003.0,2508.0
1979-08-15,1.3876,1.3878,1.3857,1.3876,24.0,198003.0,2512.0
1979-08-16,1.3861,1.3872,1.3858,1.3867,10.0,198003.0,2517.0
1979-08-17,1.3862,1.3866,1.3822,1.3842,112.0,198003.0,2502.0
1979-08-20,1.3847,1.3867,1.3844,1.3867,75.0,198003.0,2517.0
1979-08-21,1.3851,1.3862,1.3851,1.3854,39.0,198003.0,2539.0
1979-08-22,1.3852,1.3872,1.3842,1.3869,120.0,198003.0,2597.0
1979-08-23,1.3862,1.3887,1.3856,1.3883,82.0,198003.0,2653.0
1979-08-24,1.3871,1.3872,1.3861,1.3862,114.0,198003.0,2739.0
1979-08-27,1.3844,1.3853,1.3843,1.3853,10.0,198003.0,2731.0
1979-08-28,1.3852,1.3859,1.3843,1.3859,26.0,198003.0,2750.0
1979-08-29,1.3852,1.3852,1.3813,1.3828,91.0,198003.0,2737.0
1979-08-30,1.3872,1.3872,1.3852,1.3867,149.0,198003.0,2793.0
1979-08-31,1.3848,1.3862,1.3838,1.3862,185.0,198003.0,2875.0
1979-09-04,1.3852,1.3945,1.3837,1.3846,34.0,198003.0,2868.0
1979-09-05,1.3853,1.3885,1.3852,1.3883,140.0,198003.0,2920.0
1979-09-06,1.3904,1.3977,1.3898,1.3959,580.0,198003.0,3170.0
1979-09-07,1.3937,1.4002,1.3933,1.3979,791.0,198003.0,3445.0
1979-09-10,1.3982,1.3997,1.396,1.3983,220.0,198003.0,3489.0
1979-09-11,1.3945,1.3959,1.3918,1.3929,156.0,198003.0,3505.0
1979-09-12,1.3947,1.3976,1.3946,1.3971,141.0,198003.0,3568.0
1979-09-13,1.3952,1.3963,1.3929,1.3941,132.0,198003.0,3616.0
1979-09-14,1.3947,1.3952,1.3897,1.3918,63.0,198003.0,3617.0
1979-09-17,1.395,1.3992,1.3945,1.3983,141.0,198003.0,3670.0
1979-09-18,1.3982,1.4002,1.3972,1.3984,210.0,198003.0,3715.0
1979-09-19,1.3985,1.4028,1.3972,1.4026,582.0,198003.0,4077.0
1979-09-20,1.4142,1.4176,1.4128,1.4176,929.0,198003.0,4821.0
1979-09-21,1.4186,1.4232,1.4152,1.4222,685.0,198003.0,5037.0
1979-09-24,1.421,1.4232,1.4168,1.4222,1027.0,198003.0,5699.0
1979-09-25,1.4177,1.42,1.4164,1.4179,995.0,198003.0,6208.0
1979-09-26,1.4155,1.4188,1.414,1.4186,437.0,198003.0,6397.0
1979-09-27,1.4253,1.4292,1.4248,1.4281,604.0,198003.0,6673.0
