Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-12-19,7433.0,7433.0,7414.0,7414.0,27.0,198012.0,97.0
1979-12-20,7406.0,7411.0,7406.0,7411.0,9.0,198012.0,101.0
1979-12-21,7421.0,7421.0,7411.0,7411.0,5.0,198012.0,102.0
1979-12-26,7427.0,7427.0,7427.0,7427.0,0.0,198012.0,102.0
1979-12-27,7451.0,7453.0,7382.0,7382.0,4.0,198012.0,106.0
1979-12-28,7366.0,7366.0,7357.0,7357.0,4.0,198012.0,110.0
1979-12-31,7376.0,7381.0,7269.0,7269.0,6.0,198012.0,116.0
1980-01-02,7278.0,7278.0,7278.0,7278.0,0.0,198012.0,116.0
1980-01-03,7331.0,7331.0,7322.0,7322.0,6.0,198012.0,122.0
1980-01-04,7326.0,7326.0,7326.0,7326.0,0.0,198012.0,122.0
1980-01-07,7369.0,7369.0,7369.0,7369.0,0.0,198012.0,122.0
1980-01-08,7406.0,7406.0,7406.0,7406.0,0.0,198012.0,122.0
1980-01-09,7415.0,7416.0,7382.0,7382.0,4.0,198012.0,124.0
1980-01-10,7386.0,7401.0,7383.0,7383.0,32.0,198012.0,139.0
1980-01-11,7386.0,7420.0,7386.0,7420.0,0.0,198012.0,139.0
1980-01-14,7390.0,7390.0,7390.0,7390.0,15.0,198012.0,154.0
1980-01-15,7411.0,7412.0,7406.0,7412.0,0.0,198012.0,154.0
1980-01-16,7386.0,7411.0,7386.0,7392.0,1.0,198012.0,155.0
1980-01-17,7396.0,7396.0,7386.0,7391.0,40.0,198012.0,129.0
1980-01-18,7406.0,7418.0,7376.0,7376.0,24.0,198012.0,153.0
1980-01-21,7396.0,7401.0,7356.0,7356.0,8.0,198012.0,161.0
1980-01-22,7376.0,7376.0,7345.0,7356.0,30.0,198012.0,186.0
1980-01-23,7376.0,7376.0,7376.0,7376.0,0.0,198012.0,186.0
1980-01-24,7421.0,7421.0,7381.0,7381.0,1.0,198012.0,187.0
1980-01-25,7406.0,7421.0,7391.0,7391.0,53.0,198012.0,232.0
1980-01-28,7416.0,7417.0,7416.0,7417.0,7.0,198012.0,232.0
1980-01-29,7436.0,7496.0,7436.0,7496.0,6.0,198012.0,234.0
1980-01-30,7496.0,7496.0,7496.0,7496.0,20.0,198012.0,234.0
1980-01-31,7501.0,7501.0,7446.0,7446.0,5.0,198012.0,235.0
1980-02-01,7456.0,7456.0,7432.0,7432.0,5.0,198012.0,233.0
1980-02-04,7446.0,7520.0,7446.0,7519.0,3.0,198012.0,236.0
1980-02-05,7525.0,7525.0,7505.0,7505.0,8.0,198012.0,241.0
1980-02-06,7486.0,7516.0,7486.0,7496.0,13.0,198012.0,236.0
1980-02-07,7501.0,7501.0,7466.0,7466.0,3.0,198012.0,236.0
1980-02-08,7486.0,7486.0,7461.0,7461.0,7.0,198012.0,232.0
1980-02-11,7496.0,7516.0,7486.0,7516.0,29.0,198012.0,240.0
1980-02-13,7576.0,7588.0,7550.0,7550.0,231.0,198012.0,279.0
1980-02-14,7556.0,7561.0,7526.0,7541.0,23.0,198012.0,295.0
1980-02-15,7536.0,7536.0,7453.0,7454.0,11.0,198012.0,293.0
1980-02-19,7461.0,7476.0,7366.0,7366.0,36.0,198012.0,299.0
1980-02-20,7326.0,7347.0,7316.0,7316.0,31.0,198012.0,308.0
1980-02-21,7391.0,7396.0,7326.0,7334.0,29.0,198012.0,314.0
1980-02-22,7356.0,7386.0,7286.0,7316.0,44.0,198012.0,338.0
1980-02-25,7336.0,7358.0,7321.0,7358.0,18.0,198012.0,352.0
1980-02-26,7356.0,7366.0,7344.0,7344.0,13.0,198012.0,363.0
1980-02-27,7366.0,7386.0,7366.0,7386.0,0.0,198012.0,363.0
1980-02-28,7361.0,7361.0,7336.0,7336.0,73.0,198012.0,427.0
1980-02-29,7326.0,7336.0,7296.0,7296.0,49.0,198012.0,446.0
1980-03-03,7376.0,7384.0,7366.0,7370.0,45.0,198012.0,458.0
1980-03-04,7331.0,7366.0,7331.0,7361.0,8.0,198012.0,463.0
1980-03-05,7386.0,7416.0,7386.0,7410.0,31.0,198012.0,451.0
1980-03-06,7376.0,7380.0,7351.0,7351.0,35.0,198012.0,463.0
1980-03-07,7316.0,7331.0,7296.0,7321.0,71.0,198012.0,488.0
1980-03-10,7326.0,7331.0,7291.0,7291.0,23.0,198012.0,491.0
1980-03-11,7341.0,7341.0,7321.0,7321.0,16.0,198012.0,498.0
1980-03-12,7336.0,7336.0,7307.0,7307.0,7.0,198012.0,502.0
1980-03-13,7306.0,7306.0,7220.0,7234.0,107.0,198012.0,483.0
1980-03-14,7246.0,7286.0,7246.0,7281.0,58.0,198012.0,512.0
1980-03-17,7236.0,7236.0,7236.0,7236.0,8.0,198012.0,515.0
1980-03-18,7286.0,7298.0,7286.0,7298.0,4.0,198012.0,516.0
1980-03-19,7316.0,7316.0,7316.0,7316.0,23.0,198012.0,522.0
1980-03-20,7351.0,7351.0,7281.0,7281.0,16.0,198012.0,527.0
1980-03-21,7325.0,7325.0,7325.0,7325.0,7.0,198012.0,529.0
1980-03-24,7286.0,7366.0,7286.0,7351.0,27.0,198012.0,548.0
1980-03-25,7311.0,7322.0,7284.0,7284.0,25.0,198012.0,552.0
1980-03-26,7306.0,7306.0,7276.0,7276.0,6.0,198012.0,553.0
1980-03-27,7246.0,7276.0,7216.0,7221.0,35.0,198012.0,562.0
1980-03-28,7216.0,7216.0,7171.0,7171.0,25.0,198012.0,560.0
1980-03-31,7171.0,7216.0,7171.0,7181.0,78.0,198012.0,588.0
1980-04-01,7176.0,7176.0,7156.0,7161.0,47.0,198012.0,606.0
1980-04-02,7176.0,7191.0,7171.0,7186.0,63.0,198012.0,635.0
1980-04-03,7186.0,7198.0,7186.0,7198.0,10.0,198012.0,625.0
1980-04-07,7206.0,7209.0,7205.0,7207.0,25.0,198012.0,647.0
1980-04-08,7214.0,7240.0,7214.0,7240.0,10.0,198012.0,647.0
1980-04-09,7251.0,7251.0,7208.0,7214.0,20.0,198012.0,644.0
1980-04-10,7206.0,7206.0,7171.0,7191.0,222.0,198012.0,746.0
1980-04-11,7176.0,7196.0,7175.0,7176.0,144.0,198012.0,770.0
1980-04-14,7176.0,7176.0,7139.0,7141.0,199.0,198012.0,865.0
1980-04-15,7111.0,7136.0,7111.0,7117.0,71.0,198012.0,907.0
1980-04-16,7131.0,7161.0,7131.0,7145.0,79.0,198012.0,942.0
1980-04-17,7161.0,7161.0,7141.0,7141.0,21.0,198012.0,955.0
1980-04-18,7091.0,7116.0,7084.0,7084.0,171.0,198012.0,1063.0
1980-04-21,7066.0,7067.0,7021.0,7051.0,138.0,198012.0,1051.0
1980-04-22,7044.0,7076.0,7044.0,7076.0,126.0,198012.0,1000.0
1980-04-23,7066.0,7086.0,7047.0,7081.0,44.0,198012.0,1007.0
1980-04-24,7066.0,7080.0,7051.0,7076.0,203.0,198012.0,1025.0
1980-04-25,7156.0,7161.0,7086.0,7091.0,35.0,198012.0,1047.0
1980-04-28,7046.0,7046.0,7021.0,7031.0,82.0,198012.0,1082.0
1980-04-29,7031.0,7036.0,7015.0,7036.0,152.0,198012.0,1146.0
1980-04-30,7024.0,7024.0,6956.0,6968.0,245.0,198012.0,1114.0
1980-05-01,6921.0,6941.0,6891.0,6911.0,275.0,198012.0,1222.0
1980-05-02,6941.0,6941.0,6893.0,6924.0,78.0,198012.0,1193.0
1980-05-05,6926.0,6928.0,6901.0,6904.0,54.0,198012.0,1190.0
1980-05-06,6936.0,6936.0,6886.0,6891.0,130.0,198012.0,1235.0
1980-05-07,6904.0,6926.0,6904.0,6921.0,111.0,198012.0,1279.0
1980-05-08,6971.0,6976.0,6951.0,6961.0,121.0,198012.0,1314.0
1980-05-09,6945.0,6951.0,6926.0,6951.0,78.0,198012.0,1371.0
1980-05-12,6936.0,6954.0,6896.0,6902.0,131.0,198012.0,1386.0
1980-05-13,6886.0,6886.0,6836.0,6841.0,269.0,198012.0,1388.0
1980-05-14,6846.0,6854.0,6836.0,6836.0,98.0,198012.0,1394.0
1980-05-15,6801.0,6811.0,6796.0,6806.0,84.0,198012.0,1400.0
1980-05-16,6796.0,6846.0,6796.0,6846.0,85.0,198012.0,1447.0
1980-05-19,6796.0,6796.0,6761.0,6766.0,256.0,198012.0,1396.0
1980-05-20,6686.0,6706.0,6678.0,6678.0,595.0,198012.0,1559.0
1980-05-21,6678.0,6706.0,6678.0,6697.0,158.0,198012.0,1612.0
1980-05-22,6701.0,6701.0,6661.0,6674.0,243.0,198012.0,1608.0
1980-05-23,6651.0,6661.0,6641.0,6651.0,380.0,198012.0,1685.0
1980-05-27,6646.0,6649.0,6627.0,6628.0,113.0,198012.0,1730.0
1980-05-28,6661.0,6661.0,6626.0,6643.0,424.0,198012.0,1908.0
1980-05-29,6656.0,6687.0,6656.0,6686.0,402.0,198012.0,2221.0
1980-05-30,6726.0,6746.0,6598.0,6598.0,450.0,198012.0,2316.0
1980-06-02,6586.0,6616.0,6581.0,6611.0,165.0,198012.0,2325.0
1980-06-03,6636.0,6636.0,6619.0,6631.0,318.0,198012.0,2214.0
1980-06-04,6656.0,6685.0,6636.0,6662.0,124.0,198012.0,2248.0
1980-06-05,6666.0,6750.0,6664.0,6750.0,175.0,198012.0,2196.0
1980-06-06,6696.0,6811.0,6696.0,6791.0,161.0,198012.0,2161.0
1980-06-09,6811.0,6821.0,6721.0,6766.0,264.0,198012.0,2184.0
