Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1997-07-07,-4.99,-4.99,-4.99,-4.99,0.0,199707.0,7.0
1997-07-08,-4.99,-4.99,-4.99,-4.99,2.0,199707.0,9.0
1997-07-09,-4.99,-4.99,-4.99,-4.99,2.0,199707.0,10.0
1997-07-10,-4.99,-4.99,-4.99,-4.99,1.0,199707.0,9.0
1997-07-11,-4.77,-4.77,-4.77,-4.77,8.0,199707.0,11.0
1997-07-14,-4.77,-4.77,-4.77,-4.77,19.0,199707.0,26.0
1997-07-15,-4.77,-4.77,-4.77,-4.77,4.0,199707.0,29.0
1997-07-16,-4.74,-4.74,-4.74,-4.74,9.0,199707.0,22.0
1997-07-17,-4.94,-4.94,-4.94,-4.94,17.0,199707.0,23.0
1997-07-18,-4.74,-4.69,-4.84,-4.84,51.0,199707.0,43.0
1997-07-21,-4.85,-4.85,-4.85,-4.85,61.0,199707.0,68.0
1997-07-22,-4.86,-4.86,-4.86,-4.86,35.0,199707.0,81.0
1997-07-23,-4.89,-4.89,-4.9,-4.9,64.0,199707.0,93.0
1997-07-24,-4.89,-4.87,-4.95,-4.95,38.0,199708.0,99.0
1997-07-25,-6.29,-6.29,-6.29,-6.29,41.0,199707.0,114.0
1997-07-28,-6.3,-6.3,-6.3,-6.3,60.0,199707.0,128.0
1997-07-29,-6.3,-6.3,-6.3,-6.3,6.0,199707.0,130.0
1997-07-30,-6.3,-6.3,-6.3,-6.3,25.0,199707.0,125.0
1997-07-31,-6.31,-6.3,-6.31,-6.3,6.0,199708.0,129.0
1997-08-01,-6.33,-6.33,-6.33,-6.33,9.0,199708.0,128.0
1997-08-04,-6.35,-6.35,-6.39,-6.39,21.0,199708.0,122.0
1997-08-05,-6.43,-6.43,-6.48,-6.47,13.0,199708.0,114.0
1997-08-06,-6.48,-6.4,-6.53,-6.4,84.0,199708.0,138.0
1997-08-07,-6.41,-6.32,-6.41,-6.33,73.0,199708.0,181.0
1997-08-08,-6.25,-6.18,-6.25,-6.25,29.0,199708.0,194.0
1997-08-11,-6.25,-6.25,-6.25,-6.25,2.0,199708.0,194.0
1997-08-12,-6.23,-6.23,-6.23,-6.23,3.0,199708.0,196.0
1997-08-13,-6.23,-6.23,-6.23,-6.23,0.0,199708.0,196.0
1997-08-14,-6.24,-6.21,-6.24,-6.24,21.0,199708.0,213.0
1997-08-15,-6.24,-6.24,-6.24,-6.24,13.0,199708.0,225.0
1997-08-18,-6.32,-6.32,-6.32,-6.32,1.0,199708.0,226.0
1997-08-19,-6.33,-6.33,-6.34,-6.34,9.0,199708.0,229.0
1997-08-20,-6.38,-6.35,-6.38,-6.35,18.0,199708.0,235.0
1997-08-21,-6.35,-6.35,-6.35,-6.35,25.0,199708.0,256.0
1997-08-22,-6.34,-6.33,-6.35,-6.35,26.0,199708.0,278.0
1997-08-25,-6.38,-6.38,-6.38,-6.38,3.0,199708.0,280.0
1997-08-26,-6.38,-6.38,-6.38,-6.38,33.0,199708.0,304.0
1997-08-27,-6.38,-6.38,-6.4,-6.38,42.0,199708.0,321.0
1997-08-28,-6.35,-6.33,-6.35,-6.34,30.0,199708.0,330.0
1997-08-29,-6.39,-6.33,-6.39,-6.33,50.0,199709.0,370.0
1997-09-02,-6.32,-6.32,-6.32,-6.32,12.0,199709.0,394.0
1997-09-03,-6.32,-6.31,-6.32,-6.31,19.0,199709.0,391.0
1997-09-04,-6.31,-6.31,-6.31,-6.31,16.0,199709.0,391.0
1997-09-05,-6.3,-6.3,-6.3,-6.3,4.0,199709.0,342.0
1997-09-08,-6.3,-6.3,-6.3,-6.3,2.0,199709.0,344.0
1997-09-09,-6.3,-6.3,-6.3,-6.3,6.0,199709.0,350.0
1997-09-10,-6.3,-6.3,-6.33,-6.3,25.0,199709.0,370.0
1997-09-11,-6.3,-6.3,-6.3,-6.3,7.0,199709.0,377.0
1997-09-12,-6.29,-6.27,-6.29,-6.27,10.0,199709.0,377.0
