Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2005-04-22,17.0,17.0,17.0,17.0,0.0,200812.0,0.0
2005-04-25,17.6,17.6,17.6,17.6,0.0,200812.0,0.0
2005-04-26,17.25,17.25,17.25,17.25,0.0,200812.0,0.0
2005-04-27,16.5,16.5,16.5,16.5,0.0,200812.0,0.0
2005-04-28,16.1,16.1,16.1,16.1,0.0,200812.0,0.0
2005-04-29,16.55,16.55,16.55,16.55,0.0,200812.0,0.0
2005-05-03,16.3,16.3,16.3,16.3,0.0,200812.0,0.0
2005-05-04,16.25,16.25,16.25,16.25,0.0,200812.0,0.0
2005-05-05,16.65,16.65,16.65,16.65,0.0,200812.0,0.0
2005-05-06,16.65,16.65,16.65,16.65,0.0,200812.0,0.0
2005-05-09,17.05,17.05,17.05,17.05,0.0,200812.0,0.0
2005-05-10,17.15,17.15,17.15,17.15,0.0,200812.0,0.0
2005-05-11,16.95,16.95,16.95,16.95,0.0,200812.0,0.0
2005-05-12,16.8,16.8,16.8,16.8,0.0,200812.0,0.0
2005-05-13,17.0,17.0,17.0,17.0,0.0,200812.0,0.0
2005-05-16,17.0,17.0,17.0,17.0,0.0,200812.0,0.0
2005-05-17,17.4,17.4,17.4,17.4,0.0,200812.0,0.0
2005-05-18,17.65,17.65,17.65,17.65,0.0,200812.0,0.0
2005-05-19,18.1,18.1,18.1,18.1,0.0,200812.0,0.0
2005-05-20,18.8,18.8,18.8,18.8,0.0,200812.0,0.0
2005-05-23,18.75,18.75,18.75,18.75,0.0,200812.0,0.0
2005-05-24,19.2,19.2,19.2,19.2,0.0,200812.0,0.0
2005-05-25,20.0,20.0,20.0,20.0,0.0,200812.0,0.0
2005-05-26,19.9,19.9,19.9,19.9,0.0,200812.0,0.0
2005-05-27,19.85,19.85,19.85,19.85,0.0,200812.0,0.0
2005-05-31,20.05,20.05,20.05,20.05,0.0,200812.0,0.0
2005-06-01,19.7,19.7,19.7,19.7,0.0,200812.0,0.0
2005-06-02,19.7,19.7,19.7,19.7,0.0,200812.0,0.0
2005-06-03,19.35,19.35,19.35,19.35,0.0,200812.0,0.0
2005-06-06,19.6,19.6,19.6,19.6,0.0,200812.0,0.0
2005-06-07,19.9,19.9,19.9,19.9,0.0,200812.0,0.0
2005-06-08,20.0,20.0,20.0,20.0,0.0,200812.0,0.0
2005-06-09,19.75,19.75,19.75,19.75,0.0,200812.0,0.0
2005-06-10,19.75,19.75,19.75,19.75,0.0,200812.0,0.0
2005-06-13,20.15,20.15,20.15,20.15,0.0,200812.0,0.0
2005-06-14,20.2,20.2,20.2,20.2,0.0,200812.0,0.0
2005-06-15,20.2,20.2,20.2,20.2,0.0,200812.0,0.0
2005-06-16,20.65,20.65,20.65,20.65,0.0,200812.0,0.0
2005-06-17,21.6,21.6,21.6,21.6,50.0,200812.0,50.0
2005-06-20,23.1,23.1,23.1,23.1,0.0,200812.0,50.0
2005-06-21,23.2,23.2,23.2,23.2,0.0,200812.0,50.0
2005-06-22,23.3,23.3,23.3,23.3,0.0,200812.0,50.0
2005-06-23,23.5,23.5,23.5,23.5,0.0,200812.0,50.0
2005-06-24,24.05,24.05,24.05,24.05,10.0,200812.0,50.0
2005-06-27,24.05,24.05,24.05,24.05,0.0,200812.0,50.0
2005-06-28,24.65,24.65,24.65,24.65,25.0,200812.0,50.0
2005-06-29,25.6,25.6,25.6,25.6,0.0,200812.0,50.0
2005-06-30,26.0,26.0,26.0,26.0,0.0,200812.0,50.0
2005-07-01,27.1,27.1,27.1,27.1,0.0,200812.0,50.0
2005-07-04,29.6,29.6,29.6,29.6,0.0,200812.0,50.0
2005-07-05,29.5,29.5,29.0,29.0,20.0,200812.0,70.0
2005-07-06,29.45,29.55,29.45,29.55,20.0,200812.0,90.0
2005-07-07,29.65,29.65,29.65,29.65,0.0,200812.0,90.0
2005-07-08,30.0,30.0,30.0,30.0,0.0,200812.0,90.0
2005-07-11,30.15,30.15,30.15,30.15,0.0,200812.0,90.0
2005-07-12,29.65,29.65,29.65,29.65,0.0,200812.0,90.0
2005-07-13,29.9,29.9,28.15,28.15,5.0,200812.0,95.0
2005-07-14,24.15,24.15,24.15,24.15,0.0,200812.0,90.0
2005-07-15,24.5,24.5,24.5,24.5,0.0,200812.0,90.0
2005-07-18,25.0,25.0,25.0,25.0,0.0,200812.0,90.0
2005-07-19,24.7,24.7,24.7,24.7,0.0,200812.0,90.0
2005-07-20,21.25,21.25,21.25,21.25,0.0,200812.0,90.0
2005-07-21,20.6,20.6,20.6,20.6,0.0,200812.0,90.0
2005-07-22,20.25,20.25,20.25,20.25,0.0,200812.0,90.0
2005-07-25,20.4,20.4,20.4,20.4,0.0,200812.0,90.0
2005-07-26,21.0,21.0,21.0,21.0,0.0,200812.0,90.0
2005-07-27,22.25,22.25,22.25,22.25,0.0,200812.0,90.0
2005-07-28,22.25,22.25,22.25,22.25,0.0,200812.0,90.0
2005-07-29,22.55,22.55,22.55,22.55,0.0,200812.0,90.0
2005-08-01,21.65,21.65,21.65,21.65,0.0,200812.0,90.0
2005-08-02,20.9,20.95,20.75,20.95,20.0,200812.0,100.0
2005-08-03,20.9,20.9,20.9,20.9,0.0,200812.0,100.0
2005-08-04,20.7,20.7,20.7,20.7,0.0,200812.0,100.0
2005-08-05,21.45,21.45,21.45,21.45,0.0,200812.0,100.0
2005-08-08,21.95,21.95,21.95,21.95,0.0,200812.0,100.0
2005-08-09,22.65,22.65,22.65,22.65,0.0,200812.0,100.0
2005-08-10,22.6,22.6,22.6,22.6,0.0,200812.0,100.0
2005-08-11,22.85,22.85,22.85,22.85,0.0,200812.0,100.0
2005-08-12,23.0,23.0,23.0,23.0,0.0,200812.0,100.0
2005-08-15,22.6,22.6,22.6,22.6,10.0,200812.0,110.0
2005-08-16,22.65,22.65,22.65,22.65,0.0,200812.0,110.0
2005-08-17,23.0,23.0,23.0,23.0,0.0,200812.0,110.0
2005-08-18,22.95,22.95,22.95,22.95,10.0,200812.0,120.0
2005-08-19,23.05,23.05,23.05,23.05,0.0,200812.0,120.0
2005-08-22,23.25,23.25,23.25,23.25,0.0,200812.0,120.0
2005-08-23,23.25,23.25,23.25,23.25,0.0,200812.0,120.0
2005-08-24,23.25,23.25,23.25,23.25,0.0,200812.0,120.0
2005-08-25,23.5,23.5,23.5,23.5,0.0,200812.0,120.0
2005-08-26,23.7,23.7,23.7,23.7,0.0,200812.0,120.0
2005-08-30,23.85,23.85,23.85,23.85,0.0,200812.0,120.0
2005-08-31,24.1,24.1,24.1,24.1,0.0,200812.0,120.0
2005-09-01,24.6,24.6,24.6,24.6,0.0,200812.0,120.0
2005-09-02,24.9,24.9,24.9,24.9,270.0,200812.0,320.0
2005-09-05,24.95,24.95,24.95,24.95,0.0,200812.0,320.0
2005-09-06,24.8,24.8,24.8,24.8,0.0,200812.0,320.0
2005-09-07,24.9,24.9,24.9,24.9,0.0,200812.0,320.0
