Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1999-01-20,95.07,95.09,95.01,95.06,1336.0,199903.0,1376.0
1999-01-21,95.09,95.13,95.08,95.13,2214.0,199903.0,3016.0
1999-01-22,95.15,95.16,95.15,95.16,14822.0,199903.0,14506.0
1999-01-25,95.18,95.18,95.14,95.14,8642.0,199903.0,18163.0
1999-01-26,95.11,95.15,95.11,95.13,9204.0,199903.0,15108.0
1999-01-27,95.08,95.1,95.05,95.1,6052.0,199903.0,15823.0
1999-01-28,95.08,95.08,95.08,95.08,1386.0,199903.0,15964.0
1999-01-29,95.07,95.07,95.07,95.07,1200.0,199903.0,16104.0
1999-02-01,94.91,94.91,94.91,94.91,4448.0,199903.0,18162.0
1999-02-02,94.93,94.93,94.92,94.92,9056.0,199903.0,23769.0
1999-02-03,94.87,94.89,94.87,94.89,1221.0,199903.0,23959.0
1999-02-04,94.84,94.84,94.82,94.82,782.0,199903.0,24497.0
1999-02-05,94.83,94.86,94.83,94.86,850.0,199903.0,24802.0
1999-02-08,94.87,94.87,94.77,94.77,556.0,199903.0,25256.0
1999-02-09,94.85,94.85,94.85,94.85,1000.0,199903.0,26236.0
1999-02-10,94.85,94.85,94.85,94.85,300.0,199903.0,25568.0
1999-02-11,94.85,94.87,94.85,94.87,1.0,199903.0,25568.0
1999-02-12,94.88,94.88,94.8,94.8,208.0,199903.0,25516.0
1999-02-15,94.76,94.76,94.73,94.73,604.0,199903.0,26120.0
1999-02-16,94.77,94.8,94.73,94.73,2542.0,199903.0,25783.0
1999-02-17,94.79,94.79,94.79,94.79,0.0,199903.0,25783.0
1999-02-18,94.81,94.81,94.76,94.76,3906.0,199903.0,27677.0
1999-02-19,94.8,94.84,94.8,94.84,1432.0,199903.0,27777.0
1999-02-22,94.83,94.87,94.82,94.87,3478.0,199903.0,29008.0
1999-02-23,94.87,94.89,94.87,94.88,642.0,199903.0,29393.0
1999-02-24,94.86,94.86,94.78,94.78,300.0,199903.0,29102.0
1999-02-25,94.76,94.76,94.54,94.57,2313.0,199903.0,28409.0
1999-02-26,94.59,94.63,94.48,94.53,3928.0,199903.0,30805.0
1999-03-01,94.6,94.6,94.4,94.4,3727.0,199903.0,33806.0
1999-03-02,94.41,94.43,94.38,94.42,5043.0,199903.0,34625.0
1999-03-03,94.45,94.48,94.36,94.36,8989.0,199903.0,41237.0
1999-03-04,94.37,94.47,94.33,94.45,19125.0,199903.0,54332.0
1999-03-05,94.46,94.71,94.46,94.71,37247.0,199903.0,74759.0
1999-03-08,94.71,94.78,94.66,94.76,42943.0,199906.0,84330.0
1999-03-09,94.79,94.83,94.68,94.78,53112.0,199906.0,88495.0
1999-03-10,94.8,94.82,94.77,94.8,58184.0,199906.0,87336.0
1999-03-11,94.78,95.06,94.77,94.97,63343.0,199906.0,89052.0
1999-03-12,95.01,95.05,94.86,94.88,77188.0,199906.0,95008.0
1999-03-15,94.93,94.95,94.88,94.9,29035.0,199906.0,92328.0
1999-03-16,94.91,94.94,94.86,94.93,39268.0,199906.0,97113.0
1999-03-17,94.93,95.01,94.89,94.96,94202.0,199906.0,107369.0
1999-03-18,94.96,95.03,94.93,94.96,71979.0,199906.0,117624.0
1999-03-19,94.96,94.99,94.91,94.92,33711.0,199906.0,111997.0
1999-03-22,94.94,94.94,94.88,94.92,23380.0,199906.0,112035.0
1999-03-23,94.9,94.9,94.83,94.87,40020.0,199906.0,108822.0
1999-03-24,94.93,94.97,94.87,94.95,71253.0,199906.0,112688.0
1999-03-25,94.97,95.02,94.97,94.99,41646.0,199906.0,109412.0
1999-03-26,94.96,94.98,94.9,94.96,43290.0,199906.0,112764.0
1999-03-29,94.91,95.03,94.91,94.98,39782.0,199906.0,112304.0
1999-03-30,94.97,95.07,94.96,95.07,46972.0,199906.0,108285.0
1999-03-31,95.09,95.11,95.03,95.09,42914.0,199906.0,110103.0
1999-04-01,95.11,95.13,95.08,95.11,43008.0,199906.0,113393.0
1999-04-06,95.17,95.21,95.14,95.2,41174.0,199906.0,109804.0
1999-04-07,95.21,95.21,95.1,95.11,44347.0,199906.0,112127.0
1999-04-08,95.14,95.43,95.06,95.38,85949.0,199906.0,119331.0
1999-04-09,95.38,95.39,95.26,95.28,75730.0,199906.0,130265.0
1999-04-12,95.31,95.34,95.28,95.29,30342.0,199906.0,127061.0
1999-04-13,95.28,95.3,95.25,95.27,41163.0,199906.0,126479.0
1999-04-14,95.29,95.31,95.25,95.26,31939.0,199906.0,125514.0
1999-04-15,95.27,95.29,95.18,95.2,38331.0,199906.0,120235.0
1999-04-16,95.2,95.26,95.19,95.26,40938.0,199906.0,117049.0
1999-04-19,95.22,95.32,95.2,95.31,46388.0,199906.0,122972.0
1999-04-20,95.33,95.37,95.31,95.36,48039.0,199906.0,136806.0
1999-04-21,95.36,95.4,95.34,95.36,48169.0,199906.0,133900.0
1999-04-22,95.35,95.38,95.34,95.35,32332.0,199906.0,131830.0
1999-04-23,95.34,95.43,95.33,95.39,43157.0,199906.0,140399.0
1999-04-26,95.39,95.39,95.35,95.37,24699.0,199906.0,149396.0
1999-04-27,95.42,95.42,95.37,95.4,24127.0,199906.0,151196.0
1999-04-28,95.4,95.4,95.3,95.31,43164.0,199906.0,152187.0
1999-04-29,95.32,95.42,95.32,95.4,37324.0,199906.0,148618.0
1999-04-30,95.39,95.42,95.3,95.32,45905.0,199906.0,151648.0
1999-05-03,95.32,95.35,95.28,95.34,27187.0,199906.0,149767.0
1999-05-04,95.34,95.35,95.27,95.29,52118.0,199906.0,152105.0
1999-05-05,95.28,95.32,95.26,95.31,56033.0,199906.0,157363.0
1999-05-06,95.33,95.35,95.27,95.29,67799.0,199906.0,158232.0
1999-05-07,95.28,95.38,95.28,95.34,53279.0,199906.0,164248.0
1999-05-10,95.34,95.36,95.31,95.35,45013.0,199906.0,160136.0
1999-05-11,95.35,95.39,95.34,95.38,42391.0,199906.0,170803.0
1999-05-12,95.36,95.42,95.35,95.41,81084.0,199906.0,189793.0
1999-05-14,95.44,95.54,95.22,95.27,122273.0,199906.0,179241.0
1999-05-17,95.27,95.32,95.27,95.3,45510.0,199906.0,169336.0
1999-05-18,95.32,95.33,95.3,95.31,39989.0,199906.0,162208.0
1999-05-19,95.3,95.3,95.21,95.23,72394.0,199906.0,166537.0
1999-05-20,95.26,95.29,95.21,95.25,50334.0,199906.0,162087.0
1999-05-21,95.24,95.39,95.23,95.38,55414.0,199906.0,163049.0
1999-05-25,95.39,95.39,95.34,95.39,55404.0,199906.0,167613.0
1999-05-26,95.4,95.41,95.34,95.35,50324.0,199906.0,165733.0
1999-05-27,95.34,95.35,95.25,95.25,62210.0,199906.0,158415.0
1999-05-28,95.29,95.29,95.21,95.25,66700.0,199906.0,156960.0
1999-05-31,95.26,95.27,95.18,95.19,22768.0,199906.0,154013.0
1999-06-01,95.2,95.2,94.98,94.98,107350.0,199906.0,159102.0
1999-06-02,95.0,95.06,94.88,95.0,143553.0,199906.0,171010.0
1999-06-04,95.01,95.03,94.91,94.97,130149.0,199906.0,152665.0
1999-06-07,94.96,95.03,94.89,95.02,127503.0,199906.0,121292.0
1999-06-08,95.02,95.12,95.02,95.08,77427.0,199909.0,84767.0
1999-06-09,95.04,95.08,95.01,95.03,46653.0,199909.0,83483.0
1999-06-10,95.0,95.02,94.72,94.74,104544.0,199909.0,83483.0
1999-06-11,94.71,94.85,94.63,94.72,99387.0,199909.0,110293.0
1999-06-14,94.67,94.85,94.67,94.84,48328.0,199909.0,106221.0
1999-06-15,94.82,94.87,94.79,94.84,50788.0,199909.0,102176.0
1999-06-16,94.82,94.94,94.79,94.84,93657.0,199909.0,105077.0
1999-06-17,94.83,94.93,94.76,94.93,63134.0,199909.0,112504.0
1999-06-18,94.93,94.94,94.87,94.9,37163.0,199909.0,112395.0
1999-06-21,94.93,94.93,94.66,94.71,76160.0,199909.0,112452.0
1999-06-22,94.7,94.74,94.61,94.66,105165.0,199909.0,116376.0
1999-06-23,94.6,94.71,94.49,94.54,118071.0,199909.0,123537.0
1999-06-24,94.54,94.62,94.35,94.43,143386.0,199909.0,134211.0
1999-06-25,94.45,94.47,94.34,94.44,108853.0,199909.0,148819.0
1999-06-28,94.43,94.47,94.31,94.45,106349.0,199909.0,147073.0
1999-06-29,94.46,94.51,94.41,94.5,78200.0,199909.0,147791.0
1999-06-30,94.48,94.54,94.44,94.52,56821.0,199909.0,145831.0
1999-07-01,94.63,94.74,94.44,94.51,130211.0,199909.0,161089.0
1999-07-02,94.54,94.57,94.43,94.54,93842.0,199909.0,159164.0
1999-07-05,94.54,94.6,94.52,94.56,28644.0,199909.0,155454.0
1999-07-06,94.55,94.55,94.4,94.5,75447.0,199909.0,149482.0
1999-07-07,94.5,94.52,94.37,94.41,84945.0,199909.0,160613.0
1999-07-08,94.38,94.42,94.21,94.41,129131.0,199909.0,171458.0
1999-07-09,94.41,94.46,94.19,94.32,92850.0,199909.0,168405.0
1999-07-12,94.31,94.46,94.23,94.45,74401.0,199909.0,164938.0
1999-07-13,94.48,94.56,94.36,94.5,93638.0,199909.0,176551.0
1999-07-14,94.48,94.57,94.44,94.54,79133.0,199909.0,170684.0
1999-07-15,94.53,94.63,94.14,94.16,195516.0,199909.0,181498.0
1999-07-16,94.15,94.29,94.06,94.2,119499.0,199909.0,191988.0
1999-07-19,94.17,94.21,94.0,94.2,95075.0,199909.0,194458.0
1999-07-20,94.19,94.34,94.12,94.33,150654.0,199909.0,176542.0
