Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-01-22,81.25,81.5,81.0,81.0,4.0,198001.0,3.0
1979-01-23,81.0,81.0,80.6,80.8,4.0,198001.0,5.0
1979-01-24,81.0,82.0,81.0,82.0,33.0,198001.0,35.0
1979-01-25,82.0,82.3,81.9,82.3,13.0,198001.0,46.0
1979-01-26,81.95,82.75,81.95,82.625,36.0,198001.0,82.0
1979-01-29,83.3,83.625,83.3,83.6,38.0,198001.0,98.0
1979-01-30,83.45,83.5,82.8,83.25,28.0,198001.0,107.0
1979-01-31,83.6,83.6,83.4,83.4,31.0,198001.0,109.0
1979-02-01,83.0,83.0,81.9,81.9,25.0,198001.0,114.0
1979-02-02,81.8,82.5,81.8,82.5,9.0,198001.0,123.0
1979-02-05,82.0,82.0,81.3,81.3,35.0,198001.0,130.0
1979-02-06,81.4,82.8,81.4,82.5,30.0,198001.0,149.0
1979-02-07,82.6,82.7,82.5,82.7,14.0,198001.0,156.0
1979-02-08,83.0,83.5,83.0,83.5,8.0,198001.0,157.0
1979-02-09,83.5,83.6,83.0,83.0,18.0,198001.0,164.0
1979-02-12,83.1,83.1,82.4,82.4,22.0,198001.0,163.0
1979-02-13,82.5,82.7,82.4,82.6,16.0,198001.0,175.0
1979-02-14,83.0,83.475,83.0,83.0,38.0,198001.0,182.0
1979-02-15,83.25,83.5,83.25,83.5,17.0,198001.0,198.0
1979-02-16,83.5,83.75,83.4,83.75,25.0,198001.0,210.0
1979-02-20,83.8,84.5,83.8,84.35,29.0,198001.0,233.0
1979-02-21,84.55,85.25,84.5,85.2,47.0,198001.0,275.0
1979-02-22,85.25,85.45,85.1,85.1,17.0,198001.0,281.0
1979-02-23,85.0,86.6,84.9,85.5,38.0,198001.0,299.0
1979-02-26,85.1,85.4,84.9,85.4,25.0,198001.0,304.0
1979-02-27,85.85,86.75,85.6,86.75,27.0,198001.0,307.0
1979-02-28,86.75,87.725,86.75,87.725,50.0,198001.0,328.0
1979-03-01,87.675,88.1,87.675,88.0,47.0,198001.0,366.0
1979-03-02,87.8,87.8,86.75,87.2,49.0,198001.0,364.0
1979-03-05,87.2,87.8,87.2,87.675,36.0,198001.0,371.0
1979-03-06,87.2,87.2,86.175,86.175,28.0,198001.0,386.0
1979-03-07,86.1,87.2,86.0,87.2,31.0,198001.0,389.0
1979-03-08,87.4,87.6,87.3,87.5,34.0,198001.0,389.0
1979-03-09,86.6,86.6,86.0,86.4,11.0,198001.0,387.0
1979-03-12,85.4,85.4,84.9,84.9,68.0,198001.0,385.0
1979-03-13,85.025,85.2,85.0,85.0,21.0,198001.0,386.0
1979-03-14,86.0,86.5,86.0,86.5,19.0,198001.0,393.0
1979-03-15,87.0,87.5,87.0,87.05,20.0,198001.0,399.0
1979-03-16,86.8,87.0,86.3,86.75,20.0,198001.0,406.0
1979-03-19,87.6,87.85,87.4,87.6,33.0,198001.0,418.0
1979-03-20,87.3,87.75,87.3,87.75,9.0,198001.0,425.0
1979-03-21,87.2,88.1,87.2,88.05,31.0,198001.0,450.0
1979-03-22,86.55,87.35,86.55,87.0,71.0,198001.0,458.0
