Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-01-22,102.125,102.375,101.875,101.875,4.0,198001.0,3.0
1979-01-23,101.875,101.875,101.475,101.675,4.0,198001.0,5.0
1979-01-24,101.875,102.875,101.875,102.875,33.0,198001.0,35.0
1979-01-25,102.875,103.175,102.775,103.175,13.0,198001.0,46.0
1979-01-26,102.825,103.625,102.825,103.5,36.0,198001.0,82.0
1979-01-29,104.175,104.5,104.175,104.475,38.0,198001.0,98.0
1979-01-30,104.325,104.375,103.675,104.125,28.0,198001.0,107.0
1979-01-31,104.475,104.475,104.275,104.275,31.0,198001.0,109.0
1979-02-01,103.875,103.875,102.775,102.775,25.0,198001.0,114.0
1979-02-02,102.675,103.375,102.675,103.375,9.0,198001.0,123.0
1979-02-05,102.875,102.875,102.175,102.175,35.0,198001.0,130.0
1979-02-06,102.275,103.675,102.275,103.375,30.0,198001.0,149.0
1979-02-07,103.475,103.575,103.375,103.575,14.0,198001.0,156.0
1979-02-08,103.875,104.375,103.875,104.375,8.0,198001.0,157.0
1979-02-09,104.375,104.475,103.875,103.875,18.0,198001.0,164.0
1979-02-12,103.975,103.975,103.275,103.275,22.0,198001.0,163.0
1979-02-13,103.375,103.575,103.275,103.475,16.0,198001.0,175.0
1979-02-14,103.875,104.35,103.875,103.875,38.0,198001.0,182.0
1979-02-15,104.125,104.375,104.125,104.375,17.0,198001.0,198.0
1979-02-16,104.375,104.625,104.275,104.625,25.0,198001.0,210.0
1979-02-20,104.675,105.375,104.675,105.225,29.0,198001.0,233.0
1979-02-21,105.425,106.125,105.375,106.075,47.0,198001.0,275.0
1979-02-22,106.125,106.325,105.975,105.975,17.0,198001.0,281.0
1979-02-23,105.875,107.475,105.775,106.375,38.0,198001.0,299.0
1979-02-26,105.975,106.275,105.775,106.275,25.0,198001.0,304.0
1979-02-27,106.725,107.625,106.475,107.625,27.0,198001.0,307.0
1979-02-28,107.625,108.6,107.625,108.6,50.0,198001.0,328.0
