Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-04-27,69.2,69.2,69.2,69.2,11.0,198003.0,212.0
1978-04-28,70.2,70.2,70.2,70.2,5.0,198003.0,214.0
1978-05-01,69.8,69.8,69.8,69.8,5.0,198003.0,211.0
1978-05-02,69.6,69.6,69.6,69.6,3.0,198003.0,210.0
1978-05-03,70.0,70.0,70.0,70.0,5.0,198003.0,212.0
1978-05-04,70.0,70.0,69.3,69.3,18.0,198003.0,230.0
1978-05-05,69.2,69.4,69.0,69.2,48.0,198003.0,232.0
1978-05-08,69.4,69.4,69.4,69.4,2.0,198003.0,234.0
1978-05-09,69.4,69.4,68.9,68.9,5.0,198003.0,239.0
1978-05-10,69.6,69.6,69.6,69.6,0.0,198003.0,239.0
1978-05-11,69.7,69.7,69.2,69.2,4.0,198003.0,241.0
1978-05-12,69.4,69.4,69.2,69.2,44.0,198003.0,284.0
1978-05-15,70.2,70.2,70.0,70.2,65.0,198003.0,344.0
1978-05-16,70.5,70.5,70.1,70.1,11.0,198003.0,351.0
1978-05-17,71.0,71.1,70.8,70.8,22.0,198003.0,366.0
1978-05-18,71.4,72.2,71.4,72.2,25.0,198003.0,390.0
1978-05-19,72.0,72.0,72.0,72.0,1.0,198003.0,368.0
1978-05-22,72.8,72.8,72.6,72.6,110.0,198003.0,441.0
1978-05-23,72.9,73.1,72.8,72.8,59.0,198003.0,477.0
1978-05-24,72.8,72.8,72.6,72.6,23.0,198003.0,489.0
1978-05-25,72.8,75.2,72.8,75.2,78.0,198003.0,526.0
1978-05-26,75.2,76.1,75.2,76.1,20.0,198003.0,529.0
1978-05-30,75.7,76.2,75.7,76.2,95.0,198003.0,546.0
1978-05-31,75.9,76.8,75.6,75.6,26.0,198003.0,557.0
1978-06-01,75.5,75.6,75.4,75.6,11.0,198003.0,564.0
1978-06-02,76.1,76.2,74.7,74.7,60.0,198003.0,592.0
1978-06-05,74.0,74.1,73.9,73.9,55.0,198003.0,606.0
1978-06-06,73.9,75.1,73.9,75.1,34.0,198003.0,615.0
1978-06-07,75.1,75.1,73.8,73.8,3.0,198003.0,618.0
1978-06-08,74.0,74.0,73.5,74.0,132.0,198003.0,693.0
1978-06-09,73.6,73.6,73.6,73.6,21.0,198003.0,695.0
1978-06-12,73.1,73.1,72.3,72.3,85.0,198003.0,734.0
1978-06-13,72.8,72.8,71.5,72.0,55.0,198003.0,754.0
1978-06-14,72.0,72.3,69.6,69.8,31.0,198003.0,773.0
1978-06-15,70.1,70.8,70.1,70.7,157.0,198003.0,707.0
1978-06-16,71.0,71.0,70.6,70.6,203.0,198003.0,806.0
1978-06-19,71.0,71.2,71.0,71.2,208.0,198003.0,941.0
1978-06-20,71.5,71.5,70.9,70.9,16.0,198003.0,947.0
1978-06-21,70.9,70.9,70.3,70.3,10.0,198003.0,951.0
1978-06-22,69.6,69.8,69.3,69.4,51.0,198003.0,952.0
1978-06-23,69.9,70.0,69.9,70.0,9.0,198003.0,946.0
1978-06-26,70.3,70.3,70.1,70.1,17.0,198003.0,946.0
1978-06-27,70.0,70.0,69.9,69.9,129.0,198003.0,1044.0
1978-06-28,70.0,70.0,68.9,68.9,48.0,198003.0,1047.0
1978-06-29,69.0,69.0,68.8,68.8,75.0,198003.0,1089.0
1978-06-30,68.9,69.2,68.9,69.2,40.0,198003.0,1129.0
1978-07-03,69.4,69.4,69.4,69.4,23.0,198003.0,1123.0
1978-07-05,69.5,69.5,69.5,69.5,1.0,198003.0,1124.0
1978-07-06,69.5,69.5,69.5,69.5,9.0,198003.0,1123.0
1978-07-07,70.2,70.2,70.1,70.1,32.0,198003.0,1127.0
1978-07-10,70.8,70.8,70.8,70.8,13.0,198003.0,1136.0
1978-07-11,71.1,71.3,71.1,71.3,11.0,198003.0,1141.0
1978-07-12,71.7,71.7,71.4,71.4,2.0,198003.0,1138.0
1978-07-13,72.1,72.4,72.1,72.4,3.0,198003.0,1138.0
1978-07-14,72.1,72.2,72.0,72.2,16.0,198003.0,1137.0
1978-07-17,71.4,71.5,71.1,71.5,24.0,198003.0,1148.0
1978-07-18,71.5,71.5,71.2,71.2,21.0,198003.0,1144.0
1978-07-19,70.7,70.7,70.7,70.7,62.0,198003.0,1141.0
1978-07-20,70.6,71.6,70.6,71.6,6.0,198003.0,1147.0
1978-07-21,71.75,73.3,71.75,73.3,19.0,198003.0,1149.0
1978-07-24,72.9,72.9,71.95,71.95,13.0,198003.0,1146.0
1978-07-25,72.3,72.85,72.25,72.7,101.0,198003.0,1224.0
