Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-04-27,99.1,99.1,99.1,99.1,11.0,198003.0,212.0
1978-04-28,100.1,100.1,100.1,100.1,5.0,198003.0,214.0
1978-05-01,99.7,99.7,99.7,99.7,5.0,198003.0,211.0
1978-05-02,99.5,99.5,99.5,99.5,3.0,198003.0,210.0
1978-05-03,99.9,99.9,99.9,99.9,5.0,198003.0,212.0
1978-05-04,99.9,99.9,99.2,99.2,18.0,198003.0,230.0
1978-05-05,99.1,99.3,98.9,99.1,48.0,198003.0,232.0
1978-05-08,99.3,99.3,99.3,99.3,2.0,198003.0,234.0
1978-05-09,99.3,99.3,98.8,98.8,5.0,198003.0,239.0
1978-05-10,99.5,99.5,99.5,99.5,0.0,198003.0,239.0
1978-05-11,99.6,99.6,99.1,99.1,4.0,198003.0,241.0
1978-05-12,99.3,99.3,99.1,99.1,44.0,198003.0,284.0
1978-05-15,100.1,100.1,99.9,100.1,65.0,198003.0,344.0
1978-05-16,100.4,100.4,100.0,100.0,11.0,198003.0,351.0
1978-05-17,100.9,101.0,100.7,100.7,22.0,198003.0,366.0
1978-05-18,101.3,102.1,101.3,102.1,25.0,198003.0,390.0
1978-05-19,101.9,101.9,101.9,101.9,1.0,198003.0,368.0
1978-05-22,102.7,102.7,102.5,102.5,110.0,198003.0,441.0
1978-05-23,102.8,103.0,102.7,102.7,59.0,198003.0,477.0
1978-05-24,102.7,102.7,102.5,102.5,23.0,198003.0,489.0
1978-05-25,102.7,105.1,102.7,105.1,78.0,198003.0,526.0
1978-05-26,105.1,106.0,105.1,106.0,20.0,198003.0,529.0
1978-05-30,105.6,106.1,105.6,106.1,95.0,198003.0,546.0
1978-05-31,105.8,106.7,105.5,105.5,26.0,198003.0,557.0
1978-06-01,105.4,105.5,105.3,105.5,11.0,198003.0,564.0
1978-06-02,106.0,106.1,104.6,104.6,60.0,198003.0,592.0
1978-06-05,103.9,104.0,103.8,103.8,55.0,198003.0,606.0
1978-06-06,103.8,105.0,103.8,105.0,34.0,198003.0,615.0
1978-06-07,105.0,105.0,103.7,103.7,3.0,198003.0,618.0
1978-06-08,103.9,103.9,103.4,103.9,132.0,198003.0,693.0
1978-06-09,103.5,103.5,103.5,103.5,21.0,198003.0,695.0
1978-06-12,103.0,103.0,102.2,102.2,85.0,198003.0,734.0
1978-06-13,102.7,102.7,101.4,101.9,55.0,198003.0,754.0
1978-06-14,101.9,102.2,99.5,99.7,31.0,198003.0,773.0
