Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-11-15,0.441,0.441,0.441,0.441,2.0,197902.0,10.0
1978-11-16,0.443,0.443,0.443,0.443,2.0,197902.0,12.0
1978-11-17,0.443,0.443,0.443,0.443,1.0,197902.0,12.0
1978-11-20,0.443,0.443,0.443,0.443,2.0,197902.0,12.0
1978-11-21,0.443,0.443,0.443,0.443,1.0,197902.0,12.0
1978-11-22,0.443,0.443,0.443,0.443,1.0,197902.0,12.0
1978-11-24,0.443,0.443,0.443,0.443,0.0,197902.0,12.0
1978-11-27,0.44,0.45,0.44,0.45,2.0,197902.0,12.0
1978-11-28,0.45,0.45,0.45,0.45,0.0,197902.0,12.0
1978-11-29,0.445,0.445,0.445,0.445,0.0,197902.0,12.0
1978-11-30,0.44,0.44,0.44,0.44,0.0,197902.0,12.0
1978-12-01,0.436,0.436,0.436,0.436,3.0,197902.0,12.0
1978-12-04,0.43,0.435,0.43,0.435,4.0,197902.0,12.0
1978-12-05,0.435,0.435,0.435,0.435,1.0,197902.0,13.0
1978-12-06,0.435,0.435,0.435,0.435,12.0,197902.0,25.0
1978-12-07,0.4325,0.4325,0.4325,0.4325,0.0,197902.0,25.0
1978-12-08,0.4325,0.4325,0.4325,0.4325,2.0,197902.0,25.0
1978-12-11,0.425,0.425,0.425,0.425,4.0,197902.0,27.0
1978-12-12,0.4325,0.4325,0.4325,0.4325,5.0,197902.0,32.0
1978-12-13,0.4325,0.4325,0.4325,0.4325,8.0,197902.0,25.0
1978-12-14,0.4325,0.4325,0.4325,0.4325,0.0,197902.0,25.0
1978-12-15,0.4325,0.4325,0.4325,0.4325,10.0,197902.0,25.0
1978-12-18,0.4325,0.4325,0.4325,0.4325,15.0,197902.0,43.0
1978-12-19,0.43,0.43,0.43,0.43,3.0,197902.0,43.0
1978-12-20,0.424,0.424,0.424,0.424,1.0,197902.0,43.0
1978-12-21,0.424,0.424,0.424,0.424,5.0,197902.0,48.0
1978-12-22,0.424,0.424,0.424,0.424,5.0,197902.0,43.0
1978-12-26,0.424,0.424,0.424,0.424,4.0,197902.0,43.0
1978-12-27,0.424,0.424,0.424,0.424,6.0,197902.0,46.0
1978-12-28,0.425,0.425,0.425,0.425,10.0,197902.0,57.0
1978-12-29,0.43,0.43,0.43,0.43,1.0,197902.0,46.0
1979-01-02,0.43,0.43,0.43,0.43,14.0,197902.0,60.0
1979-01-03,0.43,0.43,0.43,0.43,0.0,197902.0,60.0
1979-01-04,0.4325,0.4325,0.4325,0.4325,30.0,197902.0,90.0
1979-01-05,0.4425,0.4425,0.44,0.44,9.0,197902.0,89.0
1979-01-08,0.439,0.439,0.439,0.439,5.0,197902.0,94.0
1979-01-09,0.4365,0.4365,0.4365,0.4365,5.0,197902.0,99.0
1979-01-10,0.4415,0.4415,0.4415,0.4415,6.0,197902.0,105.0
1979-01-11,0.4425,0.4425,0.4425,0.4425,26.0,197902.0,118.0
1979-01-12,0.4425,0.4425,0.4425,0.4425,9.0,197902.0,123.0
1979-01-15,0.4425,0.4425,0.4425,0.4425,7.0,197902.0,130.0
1979-01-16,0.4425,0.4425,0.4425,0.4425,7.0,197902.0,137.0
1979-01-17,0.4425,0.4425,0.4425,0.4425,8.0,197902.0,144.0
1979-01-18,0.4425,0.4425,0.4425,0.4425,30.0,197902.0,172.0
1979-01-19,0.4425,0.4425,0.4425,0.4425,15.0,197902.0,185.0
1979-01-22,0.4425,0.4425,0.4425,0.4425,37.0,197902.0,222.0
1979-01-23,0.4425,0.4425,0.4425,0.4425,4.0,197902.0,218.0
1979-01-24,0.4425,0.4425,0.4425,0.4425,35.0,197902.0,249.0
1979-01-25,0.4425,0.4425,0.4425,0.4425,38.0,197902.0,286.0
1979-01-26,0.4475,0.4475,0.4475,0.4475,37.0,197902.0,308.0
1979-01-29,0.4575,0.4575,0.4575,0.4575,13.0,197902.0,306.0
1979-01-30,0.4575,0.4575,0.4575,0.4575,16.0,197902.0,317.0
1979-01-31,0.51,0.516,0.505,0.51,27.0,197903.0,327.0
1979-02-01,0.5145,0.52,0.5145,0.52,2.0,197903.0,325.0
1979-02-02,0.525,0.525,0.522,0.522,2.0,197903.0,325.0
1979-02-05,0.526,0.53,0.525,0.525,1.0,197903.0,325.0
1979-02-06,0.525,0.535,0.525,0.535,3.0,197903.0,328.0
1979-02-07,0.531,0.545,0.531,0.544,1.0,197903.0,329.0
1979-02-08,0.545,0.545,0.534,0.534,1.0,197903.0,328.0
1979-02-09,0.534,0.536,0.524,0.524,42.0,197903.0,368.0
1979-02-12,0.522,0.539,0.522,0.525,13.0,197903.0,361.0
1979-02-13,0.5275,0.535,0.525,0.535,8.0,197903.0,358.0
1979-02-14,0.525,0.545,0.525,0.545,1.0,197903.0,359.0
1979-02-15,0.5462,0.56,0.545,0.55,29.0,197903.0,373.0
1979-02-16,0.56,0.56,0.55,0.55,9.0,197903.0,381.0
1979-02-20,0.56,0.56,0.56,0.56,2.0,197903.0,381.0
1979-02-21,0.575,0.575,0.575,0.575,162.0,197903.0,284.0
1979-02-22,0.595,0.595,0.595,0.595,45.0,197903.0,290.0
1979-02-23,0.6123,0.6147,0.6,0.608,22.0,197903.0,290.0
1979-02-26,0.604,0.604,0.604,0.604,11.0,197903.0,301.0
1979-02-27,0.5995,0.5995,0.594,0.594,39.0,197903.0,304.0
1979-02-28,0.577,0.586,0.577,0.585,116.0,197905.0,200.0
1979-03-01,0.585,0.585,0.585,0.585,0.0,197905.0,70.0
1979-03-02,0.582,0.582,0.575,0.575,1.0,197905.0,69.0
1979-03-05,0.565,0.565,0.565,0.565,0.0,197905.0,69.0
1979-03-06,0.561,0.561,0.55,0.55,7.0,197905.0,73.0
1979-03-07,0.53,0.53,0.53,0.53,2.0,197905.0,73.0
1979-03-08,0.51,0.515,0.51,0.51,9.0,197905.0,78.0
1979-03-09,0.5005,0.505,0.49,0.49,10.0,197905.0,77.0
1979-03-12,0.5,0.5,0.5,0.5,0.0,197905.0,72.0
1979-03-13,0.51,0.51,0.51,0.51,1.0,197905.0,71.0
1979-03-14,0.52,0.52,0.52,0.52,1.0,197905.0,71.0
1979-03-15,0.535,0.535,0.53,0.53,7.0,197905.0,75.0
1979-03-16,0.524,0.54,0.524,0.54,6.0,197905.0,75.0
1979-03-19,0.55,0.55,0.55,0.55,1.0,197905.0,75.0
1979-03-20,0.545,0.545,0.5425,0.5425,8.0,197905.0,77.0
1979-03-21,0.535,0.542,0.53,0.542,26.0,197905.0,78.0
1979-03-22,0.55,0.55,0.545,0.545,3.0,197905.0,78.0
1979-03-23,0.55,0.555,0.55,0.555,33.0,197905.0,103.0
1979-03-26,0.565,0.565,0.565,0.565,22.0,197905.0,114.0
1979-03-27,0.575,0.575,0.57,0.575,7.0,197905.0,115.0
1979-03-28,0.575,0.575,0.565,0.5725,11.0,197905.0,115.0
1979-03-29,0.575,0.58,0.575,0.58,19.0,197905.0,110.0
1979-03-30,0.59,0.59,0.58,0.59,6.0,197905.0,118.0
1979-04-02,0.59,0.59,0.59,0.59,1.0,197905.0,118.0
1979-04-03,0.5875,0.5875,0.5874,0.5874,7.0,197905.0,124.0
1979-04-04,0.5974,0.5974,0.5875,0.5875,3.0,197905.0,124.0
1979-04-05,0.578,0.578,0.573,0.575,20.0,197905.0,134.0
1979-04-06,0.58,0.58,0.57,0.575,3.0,197905.0,134.0
1979-04-09,0.575,0.575,0.57,0.575,23.0,197905.0,147.0
1979-04-10,0.575,0.575,0.57,0.575,52.0,197905.0,188.0
1979-04-11,0.58,0.5825,0.575,0.58,13.0,197905.0,198.0
1979-04-12,0.5825,0.59,0.5825,0.59,15.0,197905.0,210.0
1979-04-16,0.595,0.6,0.595,0.595,28.0,197905.0,201.0
1979-04-17,0.6025,0.6025,0.6025,0.6025,15.0,197905.0,209.0
1979-04-18,0.603,0.615,0.603,0.615,10.0,197905.0,207.0
1979-04-19,0.615,0.625,0.615,0.615,9.0,197905.0,180.0
1979-04-20,0.6175,0.6175,0.615,0.615,9.0,197905.0,210.0
1979-04-23,0.62,0.62,0.615,0.615,2.0,197905.0,208.0
1979-04-24,0.615,0.6175,0.615,0.6175,25.0,197905.0,213.0
1979-04-25,0.6175,0.6175,0.6175,0.6175,1.0,197905.0,213.0
1979-04-26,0.6175,0.6175,0.6175,0.6175,12.0,197905.0,218.0
1979-04-27,0.625,0.625,0.6075,0.6075,101.0,197905.0,315.0
1979-04-30,0.63,0.63,0.63,0.63,12.0,197907.0,299.0
1979-05-01,0.645,0.645,0.645,0.645,24.0,197907.0,280.0
1979-05-02,0.6525,0.665,0.6525,0.665,19.0,197907.0,280.0
1979-05-03,0.675,0.685,0.675,0.6825,37.0,197907.0,294.0
1979-05-04,0.6925,0.6925,0.6925,0.6925,35.0,197907.0,295.0
1979-05-07,0.7025,0.7025,0.7025,0.7025,17.0,197907.0,294.0
1979-05-08,0.7175,0.7175,0.7175,0.7175,0.0,197907.0,293.0
1979-05-09,0.732,0.735,0.732,0.735,68.0,197907.0,306.0
1979-05-10,0.755,0.755,0.755,0.755,34.0,197907.0,308.0
1979-05-11,0.775,0.775,0.775,0.775,4.0,197907.0,307.0
1979-05-14,0.793,0.795,0.793,0.795,5.0,197907.0,306.0
1979-05-15,0.815,0.815,0.815,0.815,0.0,197907.0,306.0
1979-05-16,0.835,0.835,0.835,0.835,38.0,197907.0,333.0
1979-05-17,0.855,0.855,0.855,0.855,29.0,197907.0,345.0
1979-05-18,0.875,0.875,0.874,0.874,46.0,197907.0,365.0
1979-05-21,0.884,0.884,0.88,0.88,37.0,197907.0,338.0
1979-05-22,0.87,0.905,0.87,0.905,31.0,197907.0,380.0
1979-05-23,0.905,0.905,0.905,0.905,7.0,197907.0,379.0
1979-05-24,0.925,0.925,0.925,0.925,26.0,197907.0,377.0
1979-05-25,0.945,0.945,0.945,0.945,4.0,197907.0,375.0
1979-05-29,0.965,1.005,0.965,1.005,0.0,197907.0,374.0
1979-05-30,1.003,1.003,1.003,1.003,0.0,197912.0,107.0
1979-05-31,1.023,1.023,1.023,1.023,0.0,197912.0,107.0
1979-06-01,1.025,1.025,1.025,1.025,30.0,197907.0,350.0
1979-06-04,1.045,1.045,1.045,1.045,149.0,197907.0,342.0
1979-06-05,1.045,1.045,1.025,1.025,141.0,197907.0,380.0
1979-06-06,1.015,1.035,1.015,1.035,133.0,197907.0,402.0
1979-06-07,1.0425,1.045,1.042,1.042,74.0,197907.0,430.0
1979-06-08,1.0345,1.0345,1.027,1.027,41.0,197907.0,435.0
1979-06-11,1.017,1.017,1.017,1.017,9.0,197907.0,414.0
1979-06-12,1.007,1.007,1.007,1.007,0.0,197907.0,412.0
1979-06-13,0.992,0.992,0.992,0.992,0.0,197907.0,410.0
1979-06-14,0.972,0.972,0.972,0.972,0.0,197907.0,403.0
1979-06-15,0.952,0.952,0.952,0.952,73.0,197907.0,433.0
1979-06-18,0.932,0.932,0.932,0.932,32.0,197907.0,431.0
1979-06-19,0.912,0.912,0.912,0.912,38.0,197907.0,436.0
1979-06-20,0.91,0.93,0.91,0.91,123.0,197907.0,453.0
1979-06-21,0.93,0.93,0.92,0.92,82.0,197907.0,479.0
1979-06-22,0.92,0.92,0.91,0.91,61.0,197907.0,469.0
1979-06-25,0.9125,0.92,0.91,0.92,18.0,197907.0,442.0
1979-06-26,0.935,0.935,0.91,0.91,145.0,197907.0,479.0
1979-06-27,0.905,0.905,0.9,0.9,65.0,197907.0,473.0
1979-06-28,0.89,0.89,0.89,0.89,24.0,197907.0,475.0
1979-06-29,0.91,0.92,0.91,0.91,130.0,197909.0,485.0
1979-07-02,0.895,0.895,0.895,0.895,18.0,197909.0,452.0
1979-07-03,0.875,0.875,0.875,0.875,34.0,197909.0,460.0
1979-07-05,0.86,0.86,0.855,0.855,151.0,197909.0,531.0
1979-07-06,0.835,0.835,0.835,0.835,35.0,197909.0,556.0
1979-07-09,0.815,0.815,0.815,0.815,5.0,197909.0,552.0
1979-07-10,0.795,0.795,0.795,0.795,5.0,197909.0,554.0
1979-07-11,0.775,0.775,0.775,0.775,6.0,197909.0,554.0
1979-07-12,0.755,0.755,0.755,0.755,2.0,197909.0,552.0
1979-07-13,0.735,0.775,0.735,0.775,279.0,197909.0,693.0
1979-07-16,0.78,0.79,0.775,0.775,96.0,197909.0,729.0
1979-07-17,0.78,0.78,0.775,0.775,124.0,197909.0,784.0
1979-07-18,0.7775,0.78,0.77,0.77,91.0,197909.0,797.0
1979-07-19,0.7727,0.785,0.7725,0.785,58.0,197909.0,793.0
1979-07-20,0.795,0.8,0.795,0.8,97.0,197909.0,784.0
1979-07-23,0.8075,0.815,0.8,0.805,94.0,197909.0,825.0
1979-07-24,0.8165,0.825,0.8165,0.825,62.0,197909.0,807.0
1979-07-25,0.845,0.845,0.82,0.83,434.0,197909.0,1080.0
1979-07-26,0.82,0.82,0.82,0.82,38.0,197909.0,1102.0
1979-07-27,0.81,0.81,0.81,0.81,241.0,197909.0,1174.0
1979-07-30,0.795,0.795,0.795,0.795,159.0,197909.0,1152.0
1979-07-31,0.785,0.785,0.78,0.78,124.0,197909.0,1165.0
1979-08-01,0.77,0.77,0.77,0.77,64.0,197909.0,1183.0
1979-08-02,0.76,0.76,0.76,0.76,13.0,197909.0,1179.0
1979-08-03,0.745,0.745,0.745,0.745,72.0,197909.0,1183.0
1979-08-06,0.735,0.745,0.726,0.7425,202.0,197909.0,1261.0
1979-08-07,0.7337,0.7337,0.7325,0.7325,38.0,197909.0,1264.0
1979-08-08,0.7225,0.7425,0.7225,0.733,181.0,197909.0,1171.0
1979-08-09,0.7425,0.743,0.7425,0.743,15.0,197909.0,1179.0
1979-08-10,0.7349,0.758,0.7349,0.758,79.0,197909.0,1165.0
1979-08-13,0.764,0.778,0.764,0.778,55.0,197909.0,1168.0
1979-08-14,0.7815,0.7815,0.76,0.76,94.0,197909.0,1172.0
1979-08-15,0.77,0.77,0.77,0.77,43.0,197909.0,1163.0
1979-08-16,0.78,0.78,0.78,0.78,37.0,197909.0,1158.0
1979-08-17,0.795,0.795,0.778,0.7825,173.0,197909.0,1150.0
1979-08-20,0.7662,0.771,0.7552,0.771,84.0,197909.0,1148.0
1979-08-21,0.7675,0.7875,0.7675,0.7875,113.0,197909.0,1150.0
