Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-11-15,-3.242,-3.242,-3.242,-3.242,2.0,197902.0,10.0
1978-11-16,-3.24,-3.24,-3.24,-3.24,2.0,197902.0,12.0
1978-11-17,-3.24,-3.24,-3.24,-3.24,1.0,197902.0,12.0
1978-11-20,-3.24,-3.24,-3.24,-3.24,2.0,197902.0,12.0
1978-11-21,-3.24,-3.24,-3.24,-3.24,1.0,197902.0,12.0
1978-11-22,-3.24,-3.24,-3.24,-3.24,1.0,197902.0,12.0
1978-11-24,-3.24,-3.24,-3.24,-3.24,0.0,197902.0,12.0
1978-11-27,-3.243,-3.233,-3.243,-3.233,2.0,197902.0,12.0
1978-11-28,-3.233,-3.233,-3.233,-3.233,0.0,197902.0,12.0
1978-11-29,-3.238,-3.238,-3.238,-3.238,0.0,197902.0,12.0
1978-11-30,-3.243,-3.243,-3.243,-3.243,0.0,197902.0,12.0
1978-12-01,-3.247,-3.247,-3.247,-3.247,3.0,197902.0,12.0
1978-12-04,-3.253,-3.248,-3.253,-3.248,4.0,197902.0,12.0
1978-12-05,-3.248,-3.248,-3.248,-3.248,1.0,197902.0,13.0
1978-12-06,-3.248,-3.248,-3.248,-3.248,12.0,197902.0,25.0
1978-12-07,-3.2505,-3.2505,-3.2505,-3.2505,0.0,197902.0,25.0
1978-12-08,-3.2505,-3.2505,-3.2505,-3.2505,2.0,197902.0,25.0
1978-12-11,-3.258,-3.258,-3.258,-3.258,4.0,197902.0,27.0
1978-12-12,-3.2505,-3.2505,-3.2505,-3.2505,5.0,197902.0,32.0
1978-12-13,-3.2505,-3.2505,-3.2505,-3.2505,8.0,197902.0,25.0
1978-12-14,-3.2505,-3.2505,-3.2505,-3.2505,0.0,197902.0,25.0
1978-12-15,-3.2505,-3.2505,-3.2505,-3.2505,10.0,197902.0,25.0
1978-12-18,-3.2505,-3.2505,-3.2505,-3.2505,15.0,197902.0,43.0
1978-12-19,-3.253,-3.253,-3.253,-3.253,3.0,197902.0,43.0
1978-12-20,-3.259,-3.259,-3.259,-3.259,1.0,197902.0,43.0
1978-12-21,-3.259,-3.259,-3.259,-3.259,5.0,197902.0,48.0
1978-12-22,-3.259,-3.259,-3.259,-3.259,5.0,197902.0,43.0
1978-12-26,-3.259,-3.259,-3.259,-3.259,4.0,197902.0,43.0
1978-12-27,-3.259,-3.259,-3.259,-3.259,6.0,197902.0,46.0
1978-12-28,-3.258,-3.258,-3.258,-3.258,10.0,197902.0,57.0
1978-12-29,-3.253,-3.253,-3.253,-3.253,1.0,197902.0,46.0
1979-01-02,-3.253,-3.253,-3.253,-3.253,14.0,197902.0,60.0
1979-01-03,-3.253,-3.253,-3.253,-3.253,0.0,197902.0,60.0
1979-01-04,-3.2505,-3.2505,-3.2505,-3.2505,30.0,197902.0,90.0
1979-01-05,-3.2405,-3.2405,-3.243,-3.243,9.0,197902.0,89.0
1979-01-08,-3.244,-3.244,-3.244,-3.244,5.0,197902.0,94.0
1979-01-09,-3.2465,-3.2465,-3.2465,-3.2465,5.0,197902.0,99.0
