Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1997-01-09,299.7,311.0,299.5,307.3,505.0,199703.0,179.0
1997-01-10,306.5,309.5,306.4,308.9,452.0,199703.0,315.0
1997-01-13,307.5,310.8,307.0,310.4,433.0,199703.0,359.0
1997-01-14,310.2,310.6,306.5,306.7,378.0,199703.0,469.0
1997-01-15,306.0,307.0,305.8,306.7,624.0,199703.0,525.0
1997-01-16,306.0,309.9,305.7,309.7,329.0,199703.0,552.0
1997-01-17,310.2,311.5,310.0,310.2,395.0,199703.0,725.0
1997-01-20,309.6,311.6,308.4,311.5,259.0,199703.0,811.0
1997-01-21,310.0,312.0,309.8,311.3,446.0,199703.0,954.0
1997-01-22,311.7,314.1,311.7,313.8,402.0,199703.0,1100.0
1997-01-23,314.2,322.0,310.3,310.5,876.0,199703.0,1300.0
1997-01-24,311.6,313.3,309.0,310.3,297.0,199703.0,1386.0
1997-01-27,309.0,309.0,307.6,307.7,103.0,199703.0,1412.0
1997-01-28,307.5,308.5,306.7,307.7,295.0,199703.0,1482.0
1997-01-29,305.5,309.2,305.5,307.5,112.0,199703.0,1475.0
1997-01-30,310.0,310.8,309.7,310.7,299.0,199703.0,1618.0
1997-01-31,312.0,314.5,312.0,314.3,320.0,199703.0,1827.0
1997-02-03,316.5,316.5,314.5,315.9,62.0,199703.0,1790.0
1997-02-11,316.0,317.7,316.0,316.9,214.0,199703.0,1926.0
1997-02-12,316.5,317.2,315.0,315.6,365.0,199703.0,2015.0
1997-02-13,316.5,318.9,316.5,318.8,247.0,199703.0,2082.0
1997-02-14,319.0,321.8,318.5,318.6,273.0,199703.0,2111.0
1997-02-17,321.5,324.5,321.5,324.5,231.0,199703.0,2118.0
1997-02-18,324.0,325.0,321.0,321.8,539.0,199703.0,2285.0
1997-02-19,323.0,325.2,322.0,324.2,766.0,199703.0,2571.0
1997-02-20,321.0,323.0,319.0,322.9,532.0,199703.0,2573.0
1997-02-21,322.5,323.9,321.5,323.7,819.0,199703.0,2893.0
1997-02-24,326.0,329.5,326.0,329.4,317.0,199703.0,2685.0
1997-02-25,329.5,331.3,326.6,327.6,627.0,199703.0,2944.0
1997-02-26,326.5,327.2,319.9,320.2,798.0,199703.0,3425.0
1997-02-27,319.0,324.0,318.4,323.4,1036.0,199703.0,3847.0
1997-02-28,323.0,327.2,321.4,325.6,774.0,199703.0,4095.0
1997-03-03,334.5,334.6,331.0,334.0,486.0,199703.0,4252.0
1997-03-04,333.0,335.7,333.0,335.5,989.0,199703.0,4431.0
1997-03-05,335.0,338.0,335.0,336.7,721.0,199703.0,4612.0
1997-03-06,338.5,339.6,338.1,338.2,912.0,199703.0,4358.0
1997-03-07,338.8,343.4,338.7,342.9,522.0,199703.0,4440.0
1997-03-10,346.5,349.0,344.5,345.7,113.0,199703.0,4437.0
1997-03-11,347.0,350.4,347.0,349.6,1052.0,199703.0,4948.0
1997-03-12,350.0,352.5,349.0,349.9,794.0,199703.0,5354.0
