Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-12-14,420.45,426.7,420.45,426.7,11.0,198003.0,20.0
1978-12-15,430.1,430.1,430.1,430.1,5.0,198003.0,23.0
1978-12-18,426.1,426.1,426.1,426.1,2.0,198003.0,25.0
1978-12-19,426.1,426.1,426.1,426.1,0.0,198003.0,25.0
1978-12-20,428.15,428.15,428.15,428.15,0.0,198003.0,25.0
1978-12-21,427.2,427.2,427.2,427.2,0.0,198003.0,25.0
1978-12-22,431.2,431.2,431.2,431.2,10.0,198003.0,35.0
1978-12-26,431.95,433.95,431.95,433.65,9.0,198003.0,39.0
1978-12-27,435.45,435.45,435.45,435.45,6.0,198003.0,40.0
1978-12-28,437.95,437.95,437.95,437.95,27.0,198003.0,66.0
1978-12-29,437.45,437.45,433.95,436.95,40.0,198003.0,80.0
1979-01-02,437.95,437.95,437.45,437.6,8.0,198003.0,80.0
1979-01-03,436.95,438.2,436.95,438.2,2.0,198003.0,80.0
1979-01-04,436.45,439.45,436.45,438.95,8.0,198003.0,84.0
1979-01-05,435.95,438.45,435.95,438.45,19.0,198003.0,94.0
1979-01-08,438.7,439.35,438.7,439.1,10.0,198003.0,98.0
1979-01-09,437.45,438.45,436.95,438.45,52.0,198003.0,122.0
1979-01-10,434.45,435.25,434.45,435.25,7.0,198003.0,125.0
1979-01-11,432.45,432.45,431.25,431.25,5.0,198003.0,126.0
1979-01-12,430.45,431.45,428.45,431.4,33.0,198003.0,134.0
1979-01-15,431.2,431.2,429.45,431.05,16.0,198003.0,142.0
1979-01-16,430.45,430.45,429.2,429.2,8.0,198003.0,144.0
1979-01-17,427.45,427.45,426.2,426.35,13.0,198003.0,145.0
1979-01-18,428.45,430.35,428.45,430.35,17.0,198003.0,150.0
1979-01-19,430.25,432.45,430.2,431.95,34.0,198003.0,170.0
1979-01-22,431.2,431.2,431.2,431.2,0.0,198003.0,170.0
1979-01-23,430.45,430.95,429.95,430.95,21.0,198003.0,180.0
1979-01-24,429.95,429.95,427.95,428.1,17.0,198003.0,192.0
1979-01-25,427.7,427.95,426.95,427.95,30.0,198003.0,199.0
1979-01-26,426.45,426.95,426.2,426.95,32.0,198003.0,215.0
1979-01-29,425.95,426.35,425.95,426.35,9.0,198003.0,212.0
1979-01-30,425.7,429.2,425.7,428.85,8.0,198003.0,215.0
1979-01-31,428.4,431.45,427.45,431.45,29.0,198003.0,222.0
1979-02-01,431.35,431.35,431.35,431.35,24.0,198003.0,234.0
1979-02-02,430.45,433.45,430.45,432.95,49.0,198003.0,247.0
1979-02-05,432.45,432.45,429.45,429.45,23.0,198003.0,255.0
1979-02-06,429.45,431.25,429.45,431.05,13.0,198003.0,261.0
1979-02-07,430.95,433.45,427.95,432.55,47.0,198003.0,295.0
1979-02-08,430.45,431.45,430.45,430.45,36.0,198003.0,331.0
1979-02-09,430.45,432.45,430.45,432.45,23.0,198003.0,333.0
1979-02-12,431.45,431.45,430.7,431.2,21.0,198003.0,336.0
1979-02-13,430.45,430.95,430.45,430.95,15.0,198003.0,345.0
1979-02-14,431.2,431.35,430.2,430.2,5.0,198003.0,343.0
1979-02-15,428.7,433.45,426.2,432.45,116.0,198003.0,383.0
1979-02-16,430.45,432.35,430.45,432.25,33.0,198003.0,415.0
1979-02-20,432.2,434.35,431.95,434.15,50.0,198003.0,465.0
1979-02-21,434.45,435.45,433.95,435.05,45.0,198003.0,494.0
1979-02-22,435.45,436.45,435.2,436.3,47.0,198003.0,516.0
1979-02-23,435.45,436.45,435.45,436.45,57.0,198003.0,556.0
1979-02-26,435.95,436.45,434.95,436.45,55.0,198003.0,568.0
1979-02-27,435.45,435.45,435.2,435.3,42.0,198003.0,606.0
1979-02-28,435.45,435.95,434.95,435.65,111.0,198003.0,662.0
1979-03-01,435.95,435.95,434.95,435.95,128.0,198003.0,604.0
1979-03-02,434.95,436.35,434.95,436.35,108.0,198003.0,591.0
1979-03-05,437.45,440.2,437.45,440.1,40.0,198003.0,596.0
1979-03-06,440.45,440.45,439.95,440.35,18.0,198003.0,591.0
1979-03-07,440.45,441.45,440.45,441.45,31.0,198003.0,607.0
1979-03-08,443.45,445.45,443.45,445.4,151.0,198003.0,655.0
1979-03-09,443.7,446.4,443.45,446.4,127.0,198003.0,695.0
1979-03-12,444.45,445.95,444.45,445.8,104.0,198003.0,722.0
1979-03-13,446.4,446.45,445.7,446.3,68.0,198003.0,734.0
1979-03-14,445.45,445.45,444.45,444.45,36.0,198003.0,727.0
1979-03-15,444.2,444.85,444.2,444.65,13.0,198003.0,735.0
1979-03-16,443.55,443.75,443.55,443.75,5.0,198003.0,738.0
1979-03-19,442.7,442.95,442.2,442.45,97.0,198003.0,716.0
1979-03-20,441.95,442.9,441.95,442.9,40.0,198003.0,706.0
1979-03-21,442.7,442.7,441.95,442.15,11.0,198003.0,701.0
1979-03-22,444.45,445.7,444.2,445.65,69.0,198003.0,698.0
1979-03-23,447.95,448.45,447.65,448.35,210.0,198003.0,668.0
1979-03-26,449.45,449.7,448.45,449.55,99.0,198003.0,685.0
1979-03-27,449.95,449.95,448.45,449.0,85.0,198003.0,668.0
1979-03-28,451.2,451.7,450.7,451.6,103.0,198003.0,690.0
1979-03-29,452.2,452.7,450.75,452.5,150.0,198003.0,713.0
1979-03-30,452.5,453.75,452.25,453.4,98.0,198003.0,729.0
1979-04-02,449.4,449.95,449.4,449.7,38.0,198003.0,726.0
1979-04-03,451.45,451.85,451.2,451.45,102.0,198003.0,739.0
1979-04-04,449.45,450.2,448.75,450.1,50.0,198003.0,757.0
1979-04-05,449.2,450.7,446.45,450.6,80.0,198003.0,774.0
1979-04-06,449.2,451.25,449.2,451.2,81.0,198003.0,789.0
1979-04-09,452.45,455.2,451.7,455.2,202.0,198003.0,830.0
1979-04-10,454.65,455.2,453.95,454.8,183.0,198003.0,836.0
1979-04-11,453.7,454.15,453.6,454.05,64.0,198003.0,851.0
1979-04-12,453.95,453.95,453.45,453.65,56.0,198003.0,863.0
1979-04-16,452.9,453.95,452.4,453.6,79.0,198003.0,887.0
1979-04-17,452.5,453.95,452.5,453.8,50.0,198003.0,915.0
1979-04-18,453.45,454.15,453.05,454.1,232.0,198003.0,915.0
1979-04-19,454.7,455.45,454.45,455.1,232.0,198003.0,928.0
1979-04-20,455.2,457.1,453.95,457.1,280.0,198003.0,977.0
1979-04-23,455.95,456.2,454.7,455.75,178.0,198003.0,959.0
