Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1999-01-04,92.495,92.495,92.495,92.495,50.0,199903.0,932.0
1999-01-05,92.495,92.5,92.495,92.5,554.0,199903.0,902.0
1999-01-06,92.51,92.51,92.51,92.51,0.0,199903.0,902.0
1999-01-07,92.53,92.53,92.53,92.53,0.0,199903.0,902.0
1999-01-08,92.53,92.53,92.53,92.53,0.0,199903.0,902.0
1999-01-11,92.525,92.525,92.52,92.52,484.0,199903.0,1200.0
1999-01-12,92.515,92.53,92.515,92.53,9389.0,199903.0,9121.0
1999-01-13,92.54,92.58,92.54,92.565,12541.0,199903.0,17228.0
1999-01-14,92.565,92.58,92.565,92.58,2421.0,199903.0,18807.0
1999-01-15,92.6,92.605,92.6,92.605,4500.0,199903.0,22221.0
1999-01-18,92.605,92.64,92.605,92.64,38792.0,199903.0,49619.0
1999-01-19,92.645,92.66,92.645,92.66,235526.0,199903.0,248393.0
1999-01-20,92.66,92.66,92.63,92.635,51490.0,199903.0,260576.0
1999-01-21,92.635,92.66,92.635,92.64,48034.0,199903.0,277187.0
1999-01-22,92.655,92.67,92.65,92.655,52075.0,199903.0,288943.0
1999-01-25,92.665,92.675,92.65,92.655,68895.0,199903.0,309194.0
1999-01-26,92.65,92.65,92.625,92.63,110778.0,199903.0,335273.0
1999-01-27,92.61,92.635,92.61,92.63,122655.0,199903.0,367322.0
1999-01-28,92.635,92.645,92.63,92.64,95378.0,199903.0,389458.0
1999-01-29,92.64,92.65,92.635,92.65,63070.0,199903.0,403553.0
1999-02-01,92.645,92.645,92.595,92.6,109586.0,199903.0,411572.0
1999-02-02,92.585,92.61,92.585,92.585,129063.0,199903.0,438880.0
1999-02-03,92.59,92.6,92.57,92.59,133108.0,199903.0,457271.0
1999-02-04,92.58,92.6,92.56,92.6,225265.0,199903.0,494064.0
1999-02-05,92.585,92.59,92.56,92.58,117481.0,199903.0,498246.0
1999-02-08,92.57,92.57,92.55,92.56,115617.0,199903.0,504880.0
1999-02-09,92.555,92.565,92.55,92.56,124682.0,199903.0,525639.0
1999-02-10,92.565,92.565,92.545,92.56,94160.0,199903.0,542432.0
1999-02-11,92.555,92.57,92.545,92.565,90950.0,199903.0,547816.0
1999-02-12,92.56,92.58,92.545,92.57,130939.0,199903.0,578749.0
1999-02-15,92.57,92.575,92.565,92.57,74503.0,199903.0,591082.0
1999-02-16,92.575,92.59,92.57,92.59,108572.0,199903.0,595804.0
1999-02-17,92.595,92.605,92.58,92.605,290476.0,199903.0,673179.0
1999-02-18,92.605,92.615,92.595,92.6,111613.0,199903.0,682081.0
1999-02-19,92.58,92.605,92.58,92.605,94773.0,199903.0,709259.0
1999-02-22,92.605,92.605,92.59,92.6,90647.0,199903.0,710877.0
1999-02-23,92.595,92.6,92.585,92.585,125843.0,199903.0,719091.0
