Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1988-02-23,97.25,97.53,97.25,97.53,1.0,198809.0,0.0
1988-02-24,97.28,97.28,97.28,97.28,0.0,198809.0,0.0
1988-02-25,98.22,98.22,98.22,98.22,0.0,198809.0,0.0
1988-02-26,97.72,97.72,97.72,97.72,0.0,198809.0,0.0
1988-02-29,98.34,98.34,98.34,98.34,0.0,198809.0,0.0
1988-03-01,98.38,98.38,98.38,98.38,0.0,198809.0,0.0
1988-03-02,98.13,98.13,98.13,98.13,0.0,198809.0,0.0
1988-03-03,98.16,98.16,98.16,98.16,0.0,198809.0,0.0
1988-03-04,97.34,97.34,97.34,97.34,0.0,198809.0,0.0
1988-03-07,98.5,98.5,98.16,98.16,15.0,198809.0,15.0
1988-03-08,98.16,98.16,98.16,98.16,0.0,198809.0,15.0
1988-03-09,98.09,98.47,98.09,98.47,3.0,198809.0,15.0
1988-03-10,98.0,98.16,98.0,98.16,3.0,198809.0,15.0
1988-03-11,98.41,98.41,98.41,98.41,0.0,198809.0,15.0
1988-03-14,98.78,98.78,98.78,98.78,0.0,198809.0,15.0
1988-03-15,99.03,99.22,98.91,98.91,288.0,198809.0,303.0
1988-03-16,98.34,98.34,98.28,98.28,15.0,198809.0,303.0
1988-03-17,98.16,98.16,98.0,98.09,31.0,198809.0,319.0
1988-03-18,97.44,97.78,97.44,97.78,15.0,198809.0,319.0
1988-03-21,97.56,97.56,97.56,97.56,0.0,198809.0,319.0
1988-03-22,97.81,97.81,97.81,97.81,0.0,198809.0,319.0
1988-03-23,97.94,97.94,97.94,97.94,0.0,198809.0,319.0
1988-03-24,97.69,97.69,97.69,97.69,0.0,198809.0,319.0
1988-03-25,97.41,97.41,97.19,97.19,20.0,198809.0,339.0
1988-03-28,97.44,97.44,97.44,97.44,0.0,198809.0,339.0
1988-03-29,97.84,97.84,97.84,97.84,0.0,198809.0,339.0
1988-03-30,98.28,98.28,98.22,98.22,13.0,198809.0,352.0
1988-03-31,98.75,98.75,98.75,98.75,0.0,198809.0,352.0
1988-04-05,98.59,98.59,98.59,98.59,0.0,198809.0,352.0
1988-04-06,98.47,98.47,98.03,98.03,11.0,198809.0,357.0
1988-04-07,98.03,98.03,98.03,98.03,0.0,198809.0,357.0
1988-04-08,98.31,98.31,98.0,98.22,20.0,198809.0,363.0
1988-04-11,98.0,98.0,98.0,98.0,0.0,198809.0,363.0
1988-04-12,98.31,98.31,98.31,98.31,0.0,198809.0,363.0
1988-04-13,98.13,98.13,98.13,98.13,0.0,198809.0,363.0
1988-04-14,98.0,98.16,98.0,98.16,40.0,198809.0,363.0
1988-04-15,98.31,98.31,98.31,98.31,0.0,198809.0,363.0
1988-04-18,98.31,98.63,98.31,98.34,100.0,198809.0,413.0
1988-04-19,98.09,98.09,98.09,98.09,0.0,198809.0,413.0
1988-04-20,97.84,97.84,97.84,97.84,0.0,198809.0,413.0
1988-04-21,97.72,97.72,97.72,97.72,0.0,198809.0,413.0
1988-04-22,97.34,97.34,96.53,96.53,18.0,198809.0,431.0
1988-04-25,96.13,96.25,96.13,96.19,10.0,198809.0,431.0
1988-04-26,96.41,96.41,96.16,96.38,71.0,198809.0,455.0
1988-04-27,96.44,96.47,96.22,96.47,130.0,198809.0,556.0
1988-04-28,95.91,96.09,95.91,96.06,38.0,198809.0,551.0
1988-04-29,95.91,96.66,95.91,96.66,676.0,198809.0,1165.0
1988-05-03,95.94,95.94,95.81,95.91,56.0,198809.0,1205.0
1988-05-04,95.84,96.13,95.75,96.06,289.0,198809.0,1282.0
1988-05-05,95.97,96.16,95.97,96.09,51.0,198809.0,1302.0
1988-05-06,96.38,96.5,96.0,96.03,268.0,198809.0,1335.0
1988-05-09,96.0,96.13,95.94,96.13,46.0,198809.0,1333.0
1988-05-10,95.97,96.06,95.97,96.06,498.0,198809.0,1659.0
1988-05-11,95.75,96.13,95.53,96.06,545.0,198809.0,2065.0
1988-05-12,96.0,96.22,95.94,96.13,447.0,198809.0,2368.0
1988-05-13,96.31,96.53,96.28,96.53,432.0,198809.0,2450.0
1988-05-16,96.69,96.88,96.44,96.44,674.0,198809.0,2815.0
1988-05-17,96.34,96.38,95.88,95.88,473.0,198809.0,3061.0
1988-05-18,95.66,95.84,95.63,95.75,253.0,198809.0,3234.0
1988-05-19,95.66,95.75,95.31,95.63,1371.0,198809.0,4035.0
1988-05-20,95.63,95.94,95.63,95.78,2925.0,198809.0,5560.0
1988-05-23,95.78,96.22,95.78,96.0,1360.0,198809.0,6752.0
1988-05-24,96.06,96.34,96.03,96.03,1569.0,198809.0,7440.0
1988-05-25,96.13,96.28,95.97,96.09,1742.0,198809.0,8558.0
1988-05-26,96.13,96.13,95.88,95.88,4812.0,198809.0,11278.0
1988-05-27,95.66,95.81,95.47,95.81,6502.0,198809.0,14583.0
1988-05-31,95.81,95.97,95.63,95.66,9295.0,198809.0,18558.0
1988-06-01,95.66,95.81,95.22,95.81,22202.0,198809.0,19126.0
1988-06-02,95.88,96.19,95.34,95.47,24297.0,198809.0,22359.0
1988-06-03,95.47,95.69,95.34,95.56,16546.0,198809.0,24742.0
1988-06-06,95.66,96.31,95.66,96.28,21181.0,198809.0,25533.0
1988-06-07,96.47,96.63,96.28,96.44,15185.0,198809.0,26162.0
1988-06-08,96.5,96.56,96.25,96.28,11202.0,198809.0,26232.0
1988-06-09,96.22,96.69,96.22,96.66,13862.0,198809.0,26825.0
1988-06-10,96.69,96.72,96.38,96.44,12014.0,198809.0,26646.0
1988-06-13,96.66,96.72,96.34,96.34,8578.0,198809.0,26694.0
1988-06-14,96.28,97.34,96.25,97.31,24182.0,198809.0,27470.0
1988-06-15,97.38,97.66,97.06,97.28,21935.0,198809.0,26828.0
1988-06-16,97.0,97.06,96.16,96.22,36000.0,198809.0,27158.0
1988-06-17,95.63,96.09,95.56,95.91,29548.0,198809.0,27534.0
1988-06-20,95.5,95.66,95.31,95.59,18684.0,198809.0,28309.0
1988-06-21,95.72,95.91,95.5,95.59,18279.0,198809.0,30166.0
1988-06-22,95.56,95.91,95.56,95.69,15619.0,198809.0,30998.0
1988-06-23,95.84,95.97,94.97,94.97,26538.0,198809.0,30545.0
1988-06-24,94.75,94.88,94.31,94.5,31937.0,198809.0,32731.0
1988-06-27,94.38,94.81,93.72,93.94,28247.0,198809.0,33117.0
1988-06-28,94.16,94.53,93.97,94.41,27954.0,198809.0,32416.0
1988-06-29,94.31,94.41,93.91,93.97,25281.0,198809.0,36071.0
1988-06-30,94.0,94.25,93.88,93.97,17794.0,198809.0,36266.0
1988-07-01,93.72,94.09,93.72,94.03,16128.0,198809.0,37706.0
1988-07-04,93.75,93.75,93.31,93.47,17362.0,198809.0,39668.0
1988-07-05,93.91,94.88,93.91,94.84,35981.0,198809.0,38673.0
1988-07-06,94.78,95.22,94.38,94.41,38200.0,198809.0,37512.0
1988-07-07,94.41,94.66,94.22,94.31,20799.0,198809.0,38322.0
1988-07-08,94.19,94.59,93.81,94.5,30751.0,198809.0,42446.0
1988-07-11,94.47,94.91,94.25,94.28,23388.0,198809.0,42224.0
1988-07-12,94.22,94.44,94.06,94.38,15956.0,198809.0,41415.0
1988-07-13,94.28,94.44,94.25,94.41,5874.0,198809.0,41023.0
1988-07-14,94.22,94.69,94.03,94.38,25296.0,198809.0,41882.0
1988-07-15,93.97,94.34,93.75,94.03,25935.0,198809.0,43115.0
1988-07-18,93.91,94.13,93.56,94.13,23089.0,198809.0,42796.0
1988-07-19,94.47,94.75,94.34,94.63,21727.0,198809.0,43473.0
1988-07-20,94.72,94.81,94.22,94.44,20549.0,198809.0,42235.0
1988-07-21,94.81,95.0,94.31,94.56,25439.0,198809.0,42704.0
1988-07-22,94.38,94.63,94.34,94.59,7458.0,198809.0,43025.0
1988-07-25,94.63,94.75,94.5,94.5,6988.0,198809.0,43557.0
1988-07-26,94.41,94.47,94.28,94.31,6572.0,198809.0,43439.0
1988-07-27,94.38,94.66,94.28,94.53,11040.0,198809.0,44689.0
1988-07-28,94.56,95.06,94.56,94.97,23555.0,198809.0,44330.0
1988-07-29,95.22,95.22,94.63,94.75,15478.0,198809.0,42723.0
1988-08-01,94.72,94.81,94.66,94.75,2080.0,198809.0,42545.0
1988-08-02,94.63,95.0,94.56,94.88,8323.0,198809.0,43032.0
1988-08-03,94.75,95.25,94.72,95.22,12747.0,198809.0,44237.0
1988-08-04,95.22,95.72,95.22,95.59,21747.0,198809.0,45445.0
1988-08-05,95.59,95.88,95.13,95.19,20670.0,198809.0,45225.0
1988-08-08,95.25,95.5,94.94,95.0,18480.0,198809.0,44226.0
1988-08-09,95.19,95.28,94.78,94.88,20559.0,198809.0,44595.0
1988-08-10,94.66,94.84,94.5,94.72,18060.0,198809.0,43666.0
1988-08-11,94.47,94.84,94.41,94.81,15061.0,198809.0,44877.0
1988-08-12,95.03,95.25,94.81,95.19,13049.0,198809.0,44302.0
1988-08-15,94.91,95.0,94.28,94.56,20671.0,198809.0,45180.0
1988-08-16,94.22,94.53,94.13,94.47,21641.0,198809.0,45247.0
1988-08-17,94.41,94.56,94.38,94.41,9038.0,198809.0,46031.0
1988-08-18,94.41,94.69,94.31,94.44,12436.0,198809.0,46306.0
1988-08-19,94.59,94.94,94.5,94.94,12424.0,198809.0,46374.0
1988-08-22,94.72,94.75,94.38,94.47,16421.0,198809.0,46468.0
1988-08-23,94.25,94.47,94.16,94.34,17379.0,198809.0,45654.0
1988-08-24,94.13,94.19,93.94,94.13,16073.0,198809.0,45418.0
1988-08-25,94.28,94.38,93.63,93.94,40105.0,198809.0,42614.0
1988-08-26,93.78,93.88,93.09,93.22,45615.0,198809.0,41535.0
1988-08-30,94.09,94.09,93.44,93.56,30888.0,198812.0,43345.0
1988-08-31,93.53,93.75,93.13,93.25,37719.0,198812.0,42835.0
1988-09-01,93.31,93.63,93.13,93.19,24725.0,198812.0,40875.0
1988-09-02,92.84,93.22,92.69,93.19,29402.0,198812.0,36857.0
1988-09-05,93.63,93.81,93.47,93.81,13973.0,198812.0,33463.0
1988-09-06,94.13,94.38,93.84,93.91,25512.0,198812.0,32575.0
1988-09-07,94.06,94.16,93.72,93.78,20626.0,198812.0,31724.0
1988-09-08,93.72,93.72,93.38,93.44,16261.0,198812.0,30665.0
1988-09-09,93.34,93.69,93.34,93.5,13584.0,198812.0,29184.0
1988-09-12,93.41,93.88,93.41,93.72,11190.0,198812.0,30118.0
1988-09-13,93.84,93.97,93.69,93.75,10667.0,198812.0,29411.0
1988-09-14,93.66,94.09,93.59,94.0,15761.0,198812.0,29084.0
1988-09-15,93.88,94.06,93.56,93.56,17294.0,198812.0,29398.0
1988-09-16,93.25,93.66,93.22,93.63,16716.0,198812.0,28772.0
1988-09-19,93.44,93.5,93.28,93.31,9698.0,198812.0,27848.0
1988-09-20,93.41,94.38,93.38,94.34,28050.0,198812.0,28845.0
1988-09-21,94.06,94.53,93.97,94.19,20956.0,198812.0,27750.0
1988-09-22,94.06,94.44,94.03,94.22,11686.0,198812.0,27839.0
1988-09-23,94.13,94.72,94.06,94.59,23118.0,198812.0,28002.0
1988-09-26,94.66,95.06,94.66,94.91,18583.0,198812.0,27991.0
1988-09-27,94.75,95.72,94.66,95.44,38415.0,198812.0,26889.0
1988-09-28,95.22,95.69,95.16,95.31,24143.0,198812.0,23687.0
1988-09-29,95.5,95.81,95.44,95.53,18062.0,198812.0,23609.0
1988-09-30,95.5,95.69,95.38,95.59,11039.0,198812.0,21716.0
1988-10-03,95.69,95.84,95.59,95.63,10045.0,198812.0,22776.0
1988-10-04,95.5,95.84,95.41,95.66,19724.0,198812.0,24511.0
1988-10-05,95.56,95.94,95.53,95.88,11273.0,198812.0,25343.0
1988-10-06,95.97,96.41,95.88,96.34,33412.0,198812.0,26153.0
1988-10-07,96.38,96.88,96.25,96.78,34945.0,198812.0,28590.0
1988-10-10,96.69,97.34,96.59,97.16,25802.0,198812.0,27373.0
1988-10-11,97.25,97.31,96.75,96.88,27483.0,198812.0,27428.0
1988-10-12,96.75,96.81,96.59,96.66,14984.0,198812.0,28320.0
1988-10-13,96.63,96.63,96.25,96.5,25150.0,198812.0,28053.0
1988-10-14,96.47,96.66,96.41,96.56,12700.0,198812.0,28320.0
1988-10-17,96.66,97.28,96.5,97.28,22001.0,198812.0,26871.0
1988-10-18,97.13,97.75,97.13,97.34,34732.0,198812.0,29473.0
1988-10-19,97.59,97.91,97.41,97.5,39271.0,198812.0,31749.0
1988-10-20,97.66,97.66,97.0,97.28,29466.0,198812.0,30628.0
1988-10-21,97.22,97.63,97.06,97.22,17767.0,198812.0,31438.0
1988-10-24,96.88,96.94,96.56,96.69,20213.0,198812.0,32387.0
1988-10-25,96.75,96.91,96.59,96.63,12327.0,198812.0,33134.0
1988-10-26,96.72,96.91,96.69,96.75,9170.0,198812.0,32160.0
1988-10-27,96.84,97.94,96.78,97.63,29826.0,198812.0,33510.0
1988-10-28,97.53,97.78,97.5,97.59,15574.0,198812.0,34425.0
1988-10-31,97.56,97.63,97.41,97.44,10160.0,198812.0,34648.0
1988-11-01,97.59,97.84,97.38,97.38,17680.0,198812.0,34249.0
1988-11-02,97.19,97.44,97.16,97.34,15124.0,198812.0,34402.0
1988-11-03,97.28,97.31,97.06,97.09,11910.0,198812.0,34421.0
1988-11-04,97.28,97.38,96.88,96.91,15761.0,198812.0,34295.0
1988-11-07,96.75,96.81,96.53,96.63,13833.0,198812.0,34272.0
1988-11-08,96.78,96.88,96.72,96.72,9798.0,198812.0,33690.0
1988-11-09,96.59,96.59,96.28,96.38,15981.0,198812.0,33880.0
1988-11-10,96.5,96.72,96.47,96.66,12329.0,198812.0,33653.0
1988-11-11,96.47,96.47,96.19,96.19,15370.0,198812.0,33461.0
1988-11-14,96.31,96.66,96.19,96.28,19362.0,198812.0,32448.0
1988-11-15,96.22,96.34,95.81,95.91,28668.0,198812.0,33357.0
1988-11-16,96.03,96.16,95.72,95.75,26493.0,198812.0,33291.0
1988-11-17,95.72,95.88,95.66,95.78,18135.0,198812.0,33475.0
1988-11-18,95.88,96.28,95.88,96.09,25379.0,198812.0,32716.0
