Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1979-04-05,324.0,324.25,323.5,324.0,0.0,198003.0,0.0
1979-04-06,325.0,325.0,325.0,325.0,0.0,198003.0,0.0
1979-04-09,325.0,325.0,325.0,325.0,0.0,198003.0,17.0
1979-04-10,323.5,325.0,323.5,324.0,5.0,198003.0,22.0
1979-04-11,327.0,328.0,326.75,327.75,12.0,198003.0,33.0
1979-04-12,327.5,327.5,327.5,327.5,0.0,198003.0,33.0
1979-04-16,331.0,331.0,331.0,331.0,1.0,198003.0,34.0
1979-04-17,331.0,331.0,331.0,331.0,0.0,198003.0,34.0
1979-04-18,329.25,329.25,329.25,329.25,0.0,198003.0,34.0
1979-04-19,329.0,329.0,328.75,328.75,1.0,198003.0,34.0
1979-04-20,328.0,328.0,327.0,327.0,2.0,198003.0,35.0
1979-04-23,327.0,327.0,327.0,327.0,0.0,198003.0,35.0
1979-04-24,333.0,334.0,333.0,333.0,2.0,198003.0,36.0
1979-04-25,335.0,336.0,334.5,336.0,8.0,198003.0,44.0
1979-04-26,336.0,336.0,336.0,336.0,0.0,198003.0,44.0
1979-04-27,344.0,344.0,344.0,344.0,1.0,198003.0,45.0
1979-04-30,343.0,343.75,341.0,341.0,2.0,198003.0,47.0
1979-05-01,343.0,345.0,342.0,342.0,18.0,198003.0,62.0
1979-05-02,349.0,359.0,348.5,353.0,10.0,198003.0,62.0
1979-05-03,356.0,356.0,352.0,352.0,8.0,198003.0,68.0
1979-05-04,355.0,355.0,352.75,353.0,2.0,198003.0,70.0
1979-05-07,349.5,349.5,349.5,349.5,0.0,198003.0,70.0
1979-05-08,349.0,349.0,349.0,349.0,0.0,198003.0,70.0
1979-05-09,359.0,359.0,359.0,359.0,0.0,198003.0,70.0
1979-05-10,364.0,364.0,358.0,358.0,7.0,198003.0,72.0
1979-05-11,363.5,363.5,363.5,363.5,0.0,198003.0,72.0
1979-05-14,361.5,372.0,361.5,371.0,8.0,198003.0,72.0
1979-05-15,372.0,372.0,367.0,367.0,5.0,198003.0,75.0
1979-05-16,366.0,366.0,363.0,363.0,3.0,198003.0,78.0
1979-05-17,359.5,361.0,358.75,359.5,12.0,198003.0,87.0
1979-05-18,355.0,355.0,353.0,353.0,4.0,198003.0,89.0
1979-05-21,358.0,358.0,357.0,357.0,4.0,198003.0,89.0
1979-05-22,363.0,363.0,361.0,362.0,6.0,198003.0,93.0
1979-05-23,364.0,368.0,361.25,365.0,13.0,198003.0,100.0
1979-05-24,363.5,363.5,359.0,359.0,7.0,198003.0,104.0
1979-05-25,358.5,358.5,356.0,356.0,6.0,198003.0,110.0
1979-05-29,361.0,361.0,359.5,360.5,1.0,198003.0,111.0
1979-05-30,365.5,366.0,361.5,361.5,9.0,198003.0,120.0
1979-05-31,367.5,368.0,365.25,365.25,28.0,198003.0,138.0
1979-06-01,368.5,368.5,365.75,367.5,20.0,198003.0,152.0
1979-06-04,369.75,371.0,368.5,368.5,3.0,198003.0,155.0
1979-06-05,370.0,372.0,369.5,370.0,21.0,198003.0,167.0
1979-06-06,370.0,383.0,369.5,382.0,18.0,198003.0,167.0
1979-06-07,377.0,384.5,377.0,378.0,46.0,198003.0,209.0
