Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1990-04-03,1.59,1.655,1.58,1.635,918.0,199006.0,503.0
1990-04-04,1.6,1.65,1.599,1.62,656.0,199006.0,721.0
1990-04-05,1.615,1.635,1.61,1.615,554.0,199006.0,885.0
1990-04-06,1.615,1.635,1.61,1.625,436.0,199006.0,1092.0
1990-04-09,1.612,1.64,1.612,1.637,307.0,199006.0,1113.0
1990-04-10,1.627,1.63,1.613,1.62,107.0,199006.0,1086.0
1990-04-11,1.61,1.61,1.595,1.605,160.0,199006.0,1156.0
1990-04-12,1.595,1.6,1.59,1.598,198.0,199006.0,1258.0
1990-04-16,1.597,1.6,1.592,1.598,71.0,199006.0,1269.0
1990-04-17,1.594,1.6,1.585,1.585,141.0,199006.0,1313.0
1990-04-18,1.583,1.587,1.583,1.583,143.0,199006.0,1361.0
1990-04-19,1.581,1.581,1.55,1.57,247.0,199006.0,1390.0
1990-04-20,1.56,1.56,1.54,1.543,331.0,199006.0,1515.0
1990-04-23,1.525,1.56,1.525,1.555,143.0,199006.0,1560.0
1990-04-24,1.54,1.556,1.54,1.555,203.0,199006.0,1553.0
1990-04-25,1.56,1.57,1.552,1.552,163.0,199006.0,1605.0
1990-04-26,1.555,1.564,1.555,1.558,150.0,199006.0,1624.0
1990-04-27,1.56,1.56,1.55,1.555,24.0,199006.0,1646.0
1990-04-30,1.565,1.57,1.565,1.565,78.0,199006.0,1625.0
1990-05-01,1.575,1.575,1.565,1.565,191.0,199006.0,1645.0
1990-05-02,1.575,1.58,1.575,1.575,167.0,199006.0,1743.0
1990-05-03,1.575,1.575,1.575,1.575,207.0,199006.0,1772.0
1990-05-04,1.57,1.575,1.57,1.575,148.0,199006.0,1787.0
1990-05-07,1.58,1.585,1.575,1.58,185.0,199006.0,1798.0
1990-05-08,1.585,1.589,1.582,1.583,240.0,199006.0,1843.0
1990-05-09,1.587,1.587,1.576,1.576,192.0,199006.0,1937.0
1990-05-10,1.58,1.58,1.574,1.574,314.0,199006.0,2033.0
1990-05-11,1.571,1.575,1.565,1.565,493.0,199006.0,2284.0
1990-05-14,1.559,1.559,1.555,1.556,566.0,199006.0,2574.0
1990-05-15,1.555,1.555,1.552,1.552,423.0,199006.0,2888.0
1990-05-16,1.559,1.575,1.559,1.57,244.0,199006.0,2993.0
1990-05-17,1.57,1.575,1.57,1.57,519.0,199006.0,3244.0
1990-05-18,1.565,1.565,1.54,1.554,420.0,199006.0,3424.0
1990-05-21,1.548,1.56,1.545,1.557,199.0,199006.0,3395.0
1990-05-22,1.61,1.62,1.605,1.613,329.0,199007.0,3365.0
1990-05-23,1.603,1.606,1.597,1.602,449.0,199007.0,3390.0
1990-05-24,1.602,1.602,1.595,1.6,98.0,199007.0,3425.0
1990-05-25,1.595,1.6,1.59,1.592,120.0,199007.0,3384.0
1990-05-29,1.585,1.588,1.585,1.585,194.0,199007.0,3414.0
1990-05-30,1.585,1.595,1.585,1.585,301.0,199007.0,3478.0
1990-05-31,1.586,1.604,1.585,1.59,366.0,199007.0,3517.0
1990-06-01,1.587,1.59,1.585,1.585,264.0,199007.0,3514.0
1990-06-04,1.585,1.585,1.57,1.582,701.0,199007.0,3712.0
1990-06-05,1.57,1.575,1.567,1.567,466.0,199007.0,3878.0
1990-06-06,1.562,1.564,1.556,1.56,446.0,199007.0,3854.0
1990-06-07,1.565,1.585,1.565,1.573,352.0,199007.0,3947.0
1990-06-08,1.565,1.58,1.564,1.575,398.0,199007.0,4049.0
1990-06-11,1.573,1.575,1.565,1.572,350.0,199007.0,4157.0
1990-06-12,1.57,1.574,1.553,1.558,558.0,199007.0,4121.0
1990-06-13,1.55,1.55,1.543,1.545,629.0,199007.0,4170.0
1990-06-14,1.54,1.55,1.54,1.547,482.0,199007.0,4223.0
1990-06-15,1.54,1.55,1.54,1.547,275.0,199007.0,4228.0
1990-06-18,1.535,1.544,1.535,1.54,159.0,199007.0,4225.0
1990-06-19,1.53,1.538,1.53,1.536,577.0,199007.0,4236.0
1990-06-20,1.527,1.533,1.505,1.51,784.0,199007.0,4176.0
1990-06-21,1.558,1.56,1.528,1.528,1146.0,199008.0,4599.0
1990-06-22,1.515,1.524,1.512,1.522,634.0,199008.0,4539.0
1990-06-25,1.51,1.52,1.506,1.516,259.0,199008.0,4560.0
1990-06-26,1.51,1.515,1.505,1.507,399.0,199008.0,4546.0
1990-06-27,1.505,1.505,1.495,1.5,573.0,199008.0,4700.0
1990-06-28,1.496,1.52,1.496,1.515,778.0,199008.0,4872.0
1990-06-29,1.51,1.519,1.51,1.519,540.0,199008.0,5134.0
1990-07-02,1.525,1.525,1.516,1.519,348.0,199008.0,5168.0
1990-07-03,1.517,1.525,1.517,1.525,664.0,199008.0,5276.0
1990-07-05,1.518,1.518,1.511,1.514,342.0,199008.0,5331.0
1990-07-06,1.511,1.511,1.495,1.498,810.0,199008.0,5508.0
1990-07-09,1.493,1.495,1.488,1.493,436.0,199008.0,5556.0
1990-07-10,1.493,1.5,1.492,1.5,496.0,199008.0,5691.0
1990-07-11,1.508,1.508,1.495,1.5,669.0,199008.0,5903.0
1990-07-12,1.5,1.502,1.495,1.502,410.0,199008.0,5999.0
1990-07-13,1.52,1.52,1.5,1.5,958.0,199008.0,6294.0
1990-07-16,1.51,1.515,1.49,1.495,531.0,199008.0,6273.0
1990-07-17,1.482,1.485,1.455,1.462,677.0,199008.0,6071.0
1990-07-18,1.455,1.455,1.445,1.45,908.0,199008.0,6207.0
1990-07-19,1.445,1.454,1.44,1.445,975.0,199008.0,6474.0
1990-07-20,1.43,1.43,1.424,1.426,751.0,199008.0,6611.0
1990-07-23,1.465,1.47,1.455,1.46,616.0,199009.0,6420.0
1990-07-24,1.456,1.458,1.44,1.44,678.0,199009.0,6388.0
1990-07-25,1.427,1.445,1.422,1.44,878.0,199009.0,6447.0
1990-07-26,1.44,1.44,1.417,1.435,567.0,199009.0,6542.0
1990-07-27,1.427,1.439,1.427,1.439,717.0,199009.0,6742.0
1990-07-30,1.436,1.436,1.425,1.43,934.0,199009.0,6733.0
1990-07-31,1.425,1.425,1.41,1.411,919.0,199009.0,6913.0
1990-08-01,1.405,1.405,1.396,1.402,771.0,199009.0,7170.0
1990-08-02,1.45,1.46,1.43,1.432,981.0,199009.0,7596.0
1990-08-03,1.445,1.54,1.445,1.51,2070.0,199009.0,7818.0
1990-08-06,1.53,1.6,1.52,1.588,1483.0,199009.0,7939.0
1990-08-07,1.52,1.525,1.46,1.477,1819.0,199009.0,8680.0
1990-08-08,1.48,1.51,1.45,1.475,331.0,199009.0,8263.0
1990-08-09,1.457,1.49,1.455,1.47,456.0,199009.0,8302.0
1990-08-10,1.46,1.5,1.45,1.49,338.0,199009.0,8418.0
1990-08-14,1.46,1.46,1.446,1.448,714.0,199009.0,8601.0
1990-08-15,1.435,1.435,1.425,1.428,611.0,199009.0,8636.0
1990-08-16,1.43,1.45,1.426,1.43,444.0,199009.0,8633.0
1990-08-17,1.455,1.455,1.427,1.44,593.0,199009.0,8825.0
1990-08-20,1.43,1.431,1.415,1.417,412.0,199009.0,8896.0
1990-08-21,1.425,1.425,1.415,1.42,619.0,199009.0,8944.0
1990-08-22,1.425,1.429,1.413,1.428,704.0,199009.0,9051.0
1990-08-23,1.56,1.6,1.53,1.545,1634.0,199010.0,9304.0
1990-08-24,1.515,1.545,1.515,1.525,707.0,199010.0,9529.0
1990-08-27,1.47,1.505,1.47,1.502,297.0,199010.0,9582.0
1990-08-28,1.5,1.505,1.498,1.5,654.0,199010.0,9516.0
1990-08-29,1.495,1.505,1.486,1.505,748.0,199010.0,9544.0
1990-08-30,1.51,1.539,1.51,1.537,480.0,199010.0,9559.0
1990-08-31,1.54,1.548,1.5,1.5,414.0,199010.0,9650.0
1990-09-04,1.515,1.52,1.505,1.51,499.0,199010.0,9814.0
1990-09-05,1.52,1.53,1.505,1.514,833.0,199010.0,9858.0
1990-09-06,1.52,1.535,1.52,1.53,644.0,199010.0,10270.0
1990-09-07,1.502,1.51,1.501,1.51,333.0,199010.0,10316.0
1990-09-10,1.501,1.53,1.501,1.525,514.0,199010.0,10402.0
1990-09-11,1.53,1.537,1.52,1.525,550.0,199010.0,10623.0
1990-09-12,1.54,1.543,1.535,1.543,429.0,199010.0,10707.0
