Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-08-08,91.0,91.5,91.0,91.5,2.0,198001.0,2.0
1978-08-09,89.25,89.25,89.25,89.25,0.0,198001.0,2.0
1978-08-10,90.0,90.0,90.0,90.0,2.0,198001.0,4.0
1978-08-11,90.5,91.0,89.75,89.75,3.0,198001.0,4.0
1978-08-14,89.4,89.4,89.4,89.4,0.0,198001.0,4.0
1978-08-15,89.3,89.3,89.3,89.3,0.0,198001.0,4.0
1978-08-16,89.5,90.5,89.5,90.5,7.0,198001.0,10.0
1978-08-17,90.0,90.0,90.0,90.0,0.0,198001.0,10.0
1978-08-18,90.0,90.0,90.0,90.0,0.0,198001.0,10.0
1978-08-21,90.75,90.75,90.75,90.75,0.0,198001.0,10.0
1978-08-22,90.75,90.75,90.75,90.75,0.0,198001.0,10.0
1978-08-23,90.5,90.5,90.5,90.5,0.0,198001.0,10.0
1978-08-24,90.5,90.5,90.5,90.5,1.0,198001.0,11.0
1978-08-25,90.5,92.3,90.5,92.3,0.0,198001.0,11.0
1978-08-28,90.65,90.65,90.65,90.65,2.0,198001.0,13.0
1978-08-29,90.9,90.9,90.9,90.9,0.0,198001.0,13.0
1978-08-30,90.25,90.25,90.25,90.25,0.0,198001.0,13.0
1978-08-31,90.0,90.0,90.0,90.0,0.0,198001.0,13.0
1978-09-01,91.0,91.5,91.0,91.5,7.0,198001.0,20.0
1978-09-05,93.5,93.5,93.5,93.5,1.0,198001.0,21.0
1978-09-06,94.0,94.0,94.0,94.0,2.0,198001.0,21.0
1978-09-07,94.5,95.0,94.5,95.0,1.0,198001.0,22.0
1978-09-08,93.6,94.0,93.4,93.4,3.0,198001.0,25.0
1978-09-11,93.9,94.0,93.0,94.0,5.0,198001.0,28.0
1978-09-12,95.0,95.5,95.0,95.5,5.0,198001.0,29.0
1978-09-13,94.5,94.5,93.0,93.0,8.0,198001.0,32.0
1978-09-14,92.0,92.0,91.5,91.5,5.0,198001.0,32.0
1978-09-15,91.5,91.5,91.5,91.5,5.0,198001.0,29.0
1978-09-18,91.0,91.0,91.0,91.0,6.0,198001.0,32.0
1978-09-19,90.1,90.1,89.5,90.0,7.0,198001.0,31.0
1978-09-20,90.0,90.0,90.0,90.0,2.0,198001.0,30.0
1978-09-21,90.0,90.0,90.0,90.0,0.0,198001.0,30.0
1978-09-22,91.7,91.7,91.7,91.7,0.0,198001.0,30.0
1978-09-25,92.0,92.0,91.0,91.0,3.0,198001.0,33.0
1978-09-26,91.6,91.6,91.6,91.6,0.0,198001.0,33.0
1978-09-27,91.5,91.5,91.5,91.5,0.0,198001.0,33.0
1978-09-28,91.0,91.0,90.5,90.5,1.0,198001.0,34.0
1978-09-29,91.0,91.0,90.0,90.0,3.0,198001.0,37.0
1978-10-02,90.0,90.0,90.0,90.0,0.0,198001.0,37.0
1978-10-03,91.4,91.4,91.4,91.4,0.0,198001.0,37.0
1978-10-04,91.3,91.3,91.0,91.0,2.0,198001.0,39.0
1978-10-05,91.1,91.1,91.1,91.1,0.0,198001.0,39.0
1978-10-06,92.85,92.85,92.85,92.85,0.0,198001.0,39.0
1978-10-09,94.2,94.2,94.2,94.2,0.0,198001.0,39.0
1978-10-10,94.2,94.5,93.5,93.5,14.0,198001.0,53.0
1978-10-11,93.3,93.3,93.3,93.3,0.0,198001.0,53.0
1978-10-12,96.3,96.3,96.3,96.3,1.0,198001.0,53.0
1978-10-13,99.3,99.3,99.3,99.3,0.0,198001.0,53.0
1978-10-16,102.3,102.3,102.3,102.3,0.0,198001.0,53.0
1978-10-17,105.3,105.3,105.3,105.3,1.0,198001.0,54.0
1978-10-18,108.3,108.3,108.3,108.3,26.0,198001.0,55.0
1978-10-19,113.3,113.3,113.3,113.3,67.0,198001.0,102.0
1978-10-20,113.3,115.0,112.9,114.2,141.0,198001.0,167.0
1978-10-23,113.5,114.0,109.2,109.2,122.0,198001.0,208.0
1978-10-24,109.0,109.55,109.0,109.5,34.0,198001.0,197.0
1978-10-25,109.0,109.0,106.5,106.5,67.0,198001.0,178.0
1978-10-26,105.5,106.0,105.5,105.5,219.0,198001.0,356.0
1978-10-27,105.5,107.5,105.5,107.5,19.0,198001.0,363.0
1978-10-30,107.5,107.5,107.5,107.5,22.0,198001.0,385.0
1978-10-31,108.2,108.2,108.2,108.2,12.0,198001.0,390.0
1978-11-01,108.0,108.0,105.5,105.5,8.0,198001.0,395.0
1978-11-02,105.0,105.0,104.5,104.5,7.0,198001.0,397.0
1978-11-03,103.5,103.5,102.5,102.5,22.0,198001.0,395.0
1978-11-06,101.5,102.8,101.5,102.8,18.0,198001.0,398.0
1978-11-08,103.5,105.8,103.5,105.8,28.0,198001.0,392.0
1978-11-09,106.0,106.0,104.0,104.0,96.0,198001.0,362.0
1978-11-10,106.25,106.25,104.0,104.0,15.0,198001.0,358.0
1978-11-13,104.5,104.5,104.5,104.5,1.0,198001.0,359.0
1978-11-14,104.5,104.5,104.0,104.5,6.0,198001.0,358.0
1978-11-15,106.0,106.0,106.0,106.0,5.0,198001.0,358.0
1978-11-16,106.5,106.5,105.0,106.0,29.0,198001.0,364.0
1978-11-17,105.5,106.75,105.5,106.5,33.0,198001.0,380.0
1978-11-20,109.0,109.4,109.0,109.4,4.0,198001.0,378.0
1978-11-21,109.3,109.3,108.5,108.5,30.0,198001.0,391.0
1978-11-22,108.5,108.5,107.0,107.0,61.0,198001.0,399.0
1978-11-24,108.0,108.0,107.2,107.2,9.0,198001.0,406.0
1978-11-27,107.25,109.0,107.25,107.45,38.0,198001.0,368.0
1978-11-28,108.0,108.2,107.75,107.75,119.0,198001.0,432.0
1978-11-29,106.75,106.75,106.75,106.75,24.0,198001.0,438.0
1978-11-30,107.0,108.5,107.0,108.5,32.0,198001.0,463.0
1978-12-01,107.5,109.25,107.05,109.25,19.0,198001.0,476.0
1978-12-04,110.0,110.0,110.0,110.0,6.0,198001.0,479.0
1978-12-05,109.5,110.5,109.5,110.5,27.0,198001.0,497.0
1978-12-06,110.75,111.0,110.25,110.25,146.0,198001.0,577.0
1978-12-07,110.5,110.5,110.0,110.0,19.0,198001.0,577.0
1978-12-08,109.9,110.9,109.9,110.9,16.0,198001.0,574.0
1978-12-11,113.25,113.25,110.85,110.85,10.0,198001.0,578.0
1978-12-12,110.5,110.7,110.15,110.7,11.0,198001.0,583.0
1978-12-13,109.75,109.75,109.0,109.0,31.0,198001.0,584.0
1978-12-14,107.5,108.25,107.5,107.95,41.0,198001.0,609.0
1978-12-15,108.0,108.0,107.7,107.7,25.0,198001.0,618.0
1978-12-18,108.0,108.0,108.0,108.0,13.0,198001.0,621.0
1978-12-19,107.0,107.0,106.0,106.25,25.0,198001.0,642.0
1978-12-20,106.5,107.5,106.5,107.5,15.0,198001.0,639.0
1978-12-21,108.3,108.5,108.1,108.5,28.0,198001.0,649.0
1978-12-22,110.5,110.5,110.5,110.5,7.0,198001.0,653.0
1978-12-26,109.8,109.8,109.5,109.5,8.0,198001.0,658.0
1978-12-27,110.0,110.25,110.0,110.2,26.0,198001.0,672.0
1978-12-28,110.25,110.5,110.0,110.1,72.0,198001.0,713.0
1978-12-29,110.25,110.5,110.25,110.5,34.0,198001.0,731.0
1979-01-02,113.0,114.0,112.0,113.0,64.0,198001.0,745.0
1979-01-03,116.0,118.0,116.0,117.75,217.0,198001.0,789.0
1979-01-04,113.5,113.5,112.75,112.75,105.0,198001.0,828.0
1979-01-05,112.35,112.7,111.5,112.7,90.0,198001.0,861.0
1979-01-08,112.25,112.5,112.25,112.5,19.0,198001.0,866.0
1979-01-09,112.25,112.5,112.0,112.5,26.0,198001.0,885.0
1979-01-10,112.5,114.65,112.5,114.65,49.0,198001.0,898.0
1979-01-11,114.0,114.5,113.7,113.7,62.0,198001.0,881.0
1979-01-12,115.0,116.0,114.5,114.5,59.0,198001.0,903.0
1979-01-15,114.5,114.5,112.5,112.5,39.0,198001.0,920.0
1979-01-16,111.5,111.6,111.15,111.2,24.0,198001.0,921.0
1979-01-17,112.35,112.5,112.25,112.5,18.0,198001.0,917.0
1979-01-18,112.4,112.8,112.0,112.8,65.0,198001.0,959.0
1979-01-19,114.0,114.0,113.85,114.0,39.0,198001.0,974.0
1979-01-22,113.0,113.0,112.8,112.8,6.0,198001.0,979.0
1979-01-23,113.0,113.35,113.0,113.35,97.0,198001.0,1052.0
1979-01-24,113.5,113.5,113.0,113.0,59.0,198001.0,1075.0
