Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-05-15,238.5,242.8,238.5,242.5,1.0,198001.0,1.0
1978-05-16,241.5,241.5,234.0,234.0,55.0,198001.0,51.0
1978-05-17,244.0,244.0,242.1,244.0,70.0,198001.0,113.0
1978-05-18,254.0,254.0,246.5,248.8,63.0,198001.0,165.0
1978-05-19,248.0,256.5,245.0,256.5,57.0,198001.0,206.0
1978-05-22,256.5,256.6,250.0,256.6,99.0,198001.0,241.0
1978-05-23,256.3,260.6,256.3,258.8,25.0,198001.0,226.0
1978-05-24,252.5,256.5,252.5,253.7,22.0,198001.0,216.0
1978-05-25,252.3,253.2,252.3,253.2,1.0,198001.0,216.0
1978-05-26,254.0,254.3,254.0,254.3,3.0,198001.0,213.0
1978-05-30,256.5,264.3,256.5,264.3,6.0,198001.0,216.0
1978-05-31,271.5,271.5,265.1,265.1,7.0,198001.0,216.0
1978-06-01,264.5,264.5,263.2,263.2,1.0,198001.0,217.0
1978-06-02,263.0,265.0,253.7,253.7,5.0,198001.0,216.0
1978-06-05,255.0,255.0,247.5,249.9,11.0,198001.0,217.0
1978-06-06,257.8,257.8,257.8,257.8,0.0,198001.0,217.0
1978-06-07,257.0,257.0,251.2,251.2,3.0,198001.0,217.0
1978-06-08,254.0,257.0,254.0,257.0,10.0,198001.0,222.0
1978-06-09,258.2,258.2,258.2,258.2,0.0,198001.0,222.0
1978-06-12,255.7,255.7,255.7,255.7,0.0,198001.0,222.0
1978-06-13,265.5,265.5,264.7,264.7,3.0,198001.0,222.0
1978-06-14,264.2,265.4,264.2,265.4,2.0,198001.0,222.0
1978-06-15,263.4,264.0,263.4,264.0,8.0,198001.0,230.0
1978-06-16,266.0,268.4,266.0,268.4,3.0,198001.0,230.0
1978-06-19,270.1,270.1,270.1,270.1,0.0,198001.0,230.0
1978-06-20,268.5,268.5,267.0,267.0,1.0,198001.0,230.0
1978-06-21,257.8,257.8,257.8,257.8,0.0,198001.0,230.0
1978-06-22,260.0,260.4,260.0,260.4,1.0,198001.0,230.0
1978-06-23,257.8,257.8,257.8,257.8,0.0,198001.0,230.0
1978-06-26,259.0,262.0,259.0,262.0,25.0,198001.0,230.0
1978-06-27,263.0,265.4,263.0,264.4,6.0,198001.0,232.0
1978-06-28,264.0,264.0,261.3,261.3,2.0,198001.0,230.0
1978-06-29,257.0,257.0,257.0,257.0,0.0,198001.0,230.0
1978-06-30,257.2,257.2,257.2,257.2,0.0,198001.0,230.0
1978-07-03,259.9,259.9,259.9,259.9,0.0,198001.0,230.0
1978-07-05,259.2,259.2,259.2,259.2,0.0,198001.0,230.0
