Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1980-11-18,364.0,367.0,363.5,366.7,3984.0,198101.0,21448.0
1980-11-19,365.5,366.7,363.7,365.5,1881.0,198101.0,21561.0
1980-11-20,366.0,370.6,366.0,370.6,2485.0,198101.0,21171.0
1980-11-21,369.0,372.0,369.0,371.0,1679.0,198101.0,20958.0
1980-11-24,370.0,370.0,363.2,363.2,2335.0,198101.0,21218.0
1980-11-25,363.2,366.0,363.2,366.0,1434.0,198101.0,21268.0
1980-11-26,366.4,367.7,366.4,367.6,499.0,198101.0,21295.0
1980-11-27,367.5,367.5,366.8,367.3,933.0,198101.0,21320.0
1980-11-28,367.3,368.8,367.3,367.5,1994.0,198101.0,21723.0
1980-12-01,367.0,367.2,360.1,364.0,1908.0,198101.0,21727.0
1980-12-02,359.0,361.9,359.0,361.0,2932.0,198101.0,21357.0
1980-12-03,363.0,363.5,358.9,359.0,1211.0,198101.0,21226.0
1980-12-04,359.0,359.0,355.2,356.3,4452.0,198101.0,20837.0
1980-12-05,355.5,355.6,351.0,352.5,3344.0,198101.0,21012.0
1980-12-08,351.0,351.0,342.5,342.5,5239.0,198101.0,20181.0
1980-12-09,333.0,333.3,332.5,332.5,1707.0,198101.0,19912.0
1980-12-10,322.5,326.6,322.5,322.5,5512.0,198101.0,18476.0
1980-12-11,318.0,318.0,312.5,312.5,1338.0,198101.0,18367.0
1980-12-12,302.5,314.5,302.5,310.0,8466.0,198101.0,17406.0
1980-12-15,320.0,320.0,320.0,320.0,5081.0,198101.0,17360.0
1980-12-16,324.2,329.2,316.5,329.1,5047.0,198101.0,17335.0
1980-12-17,330.0,336.9,330.0,334.5,13861.0,198101.0,18958.0
1980-12-18,334.7,334.8,332.0,332.1,6839.0,198101.0,20087.0
1980-12-19,332.0,333.5,330.3,333.5,2993.0,198101.0,20238.0
1980-12-22,334.5,339.5,334.3,338.7,2380.0,198101.0,19897.0
1980-12-23,340.0,343.2,340.0,342.6,6740.0,198101.0,19494.0
1980-12-24,340.5,340.5,339.0,340.2,3523.0,198101.0,19582.0
1980-12-29,335.0,336.7,333.5,334.0,5965.0,198101.0,19606.0
1980-12-30,331.0,331.5,330.0,330.2,2484.0,198101.0,20144.0
1980-12-31,343.0,351.0,340.5,349.4,1443.0,198103.0,20504.0
1981-01-02,349.4,356.0,349.4,353.8,2535.0,198103.0,18538.0
1981-01-05,357.0,357.0,353.8,353.8,818.0,198103.0,18447.0
1981-01-06,353.0,355.5,352.1,355.5,1428.0,198103.0,18538.0
1981-01-07,354.0,354.0,350.1,350.1,1170.0,198103.0,18432.0
1981-01-08,350.0,351.5,346.5,346.5,2288.0,198103.0,18412.0
1981-01-09,345.5,347.5,345.0,346.5,1351.0,198103.0,18386.0
1981-01-12,346.0,351.4,346.0,351.4,903.0,198103.0,18397.0
1981-01-13,349.5,350.0,346.4,346.4,712.0,198103.0,18414.0
1981-01-14,346.0,349.1,344.8,344.8,656.0,198103.0,18399.0
1981-01-15,336.0,337.7,334.8,334.8,1643.0,198103.0,18513.0
1981-01-16,337.0,338.0,335.0,335.5,1621.0,198103.0,18449.0
1981-01-19,337.0,339.0,335.8,336.0,710.0,198103.0,18565.0
1981-01-20,335.0,338.0,334.8,338.0,286.0,198103.0,18538.0
1981-01-21,338.5,338.5,335.0,335.0,4103.0,198103.0,17189.0
1981-01-22,334.5,334.5,328.9,330.2,2886.0,198103.0,16799.0
1981-01-23,330.0,330.0,324.0,324.2,2284.0,198103.0,16593.0
1981-01-26,319.0,324.5,318.0,323.0,3029.0,198103.0,16098.0
1981-01-27,327.5,328.1,326.1,328.0,529.0,198103.0,16062.0
1981-01-28,325.0,326.4,324.3,326.4,1629.0,198103.0,16040.0
1981-01-29,326.0,326.0,318.0,319.0,2143.0,198103.0,15770.0
1981-01-30,319.0,322.0,319.0,319.7,5568.0,198103.0,15356.0
1981-02-02,320.5,325.0,320.5,324.5,2173.0,198103.0,15553.0
1981-02-03,329.5,334.3,329.4,334.3,2089.0,198103.0,15316.0
1981-02-04,331.0,331.4,329.2,329.5,1751.0,198103.0,15435.0
1981-02-05,326.2,330.0,326.0,330.0,1090.0,198103.0,15032.0
1981-02-06,329.0,332.5,328.6,332.5,2672.0,198103.0,15811.0
1981-02-09,329.5,329.5,324.5,325.9,2521.0,198103.0,16303.0
1981-02-10,324.8,327.0,323.3,327.0,2427.0,198103.0,16374.0
1981-02-11,327.3,328.1,326.6,327.5,3313.0,198103.0,16742.0
1981-02-12,324.0,324.0,322.0,322.0,2616.0,198103.0,16308.0
1981-02-13,322.0,325.6,322.0,324.6,769.0,198103.0,16251.0
1981-02-16,324.6,325.4,324.0,324.8,863.0,198103.0,16263.0
1981-02-17,323.5,332.0,323.3,332.0,2348.0,198103.0,16320.0
1981-02-18,328.7,328.7,326.2,326.2,3755.0,198103.0,15497.0
1981-02-19,326.0,328.0,325.9,327.5,2480.0,198103.0,16359.0
1981-02-20,330.5,330.5,326.7,327.7,1933.0,198103.0,16508.0
1981-02-23,325.0,325.5,323.6,324.0,3867.0,198103.0,16169.0
1981-02-24,324.5,324.5,321.0,321.3,3985.0,198103.0,15850.0
1981-02-25,320.0,323.5,318.0,323.5,4519.0,198103.0,15896.0
1981-02-26,321.5,326.0,319.5,326.0,2555.0,198103.0,15849.0
1981-02-27,347.0,349.1,345.5,345.8,3688.0,198106.0,15326.0
1981-03-02,342.5,352.5,337.5,337.5,3992.0,198106.0,15939.0
1981-03-03,337.5,340.2,335.6,340.2,1750.0,198106.0,15733.0
1981-03-04,340.2,340.2,334.5,335.5,2814.0,198106.0,15794.0
1981-03-05,336.0,337.5,336.0,336.8,1572.0,198106.0,15991.0
1981-03-06,336.8,339.2,336.8,338.0,1096.0,198106.0,15882.0
1981-03-09,338.0,342.5,338.0,340.7,2250.0,198106.0,15940.0
1981-03-10,343.0,343.8,339.3,339.4,5864.0,198106.0,15971.0
1981-03-11,338.0,339.6,337.2,339.6,7684.0,198106.0,16766.0
1981-03-12,340.0,343.5,339.6,343.5,832.0,198106.0,16867.0
1981-03-13,346.0,346.0,343.5,345.2,3756.0,198106.0,17137.0
1981-03-16,345.2,346.0,341.5,343.5,4089.0,198106.0,17171.0
1981-03-17,342.0,344.7,341.5,344.2,1055.0,198106.0,17340.0
1981-03-18,343.5,347.5,343.5,346.6,3953.0,198106.0,17754.0
1981-03-19,345.5,346.7,345.4,346.6,2990.0,198106.0,17999.0
1981-03-20,343.5,344.5,342.0,343.2,1349.0,198106.0,18012.0
1981-03-23,341.5,347.6,341.2,347.5,1355.0,198106.0,17972.0
1981-03-24,347.5,348.9,346.7,346.7,1817.0,198106.0,18025.0
1981-03-25,342.8,343.7,341.8,342.7,1531.0,198106.0,17897.0
1981-03-26,342.2,344.7,341.5,341.5,985.0,198106.0,18088.0
1981-03-27,340.0,344.5,340.0,343.8,1556.0,198106.0,18332.0
1981-03-30,343.0,346.8,342.0,346.8,2232.0,198106.0,18398.0
1981-03-31,348.0,350.6,347.2,350.0,3340.0,198106.0,18021.0
1981-04-01,349.0,350.5,342.8,344.7,3392.0,198106.0,17991.0
1981-04-02,345.5,350.0,345.5,349.2,1497.0,198106.0,18212.0
1981-04-03,346.0,347.9,344.5,345.2,2224.0,198106.0,18110.0
1981-04-06,345.0,350.0,345.0,345.2,839.0,198106.0,18036.0
1981-04-07,348.0,349.5,345.5,349.5,2056.0,198106.0,18056.0
1981-04-08,347.0,349.5,346.8,346.8,2116.0,198106.0,18201.0
1981-04-09,346.5,346.5,344.5,346.5,2475.0,198106.0,18467.0
1981-04-10,345.5,345.5,343.8,344.0,1997.0,198106.0,18672.0
1981-04-13,342.5,342.5,340.0,341.1,1478.0,198106.0,18970.0
1981-04-14,343.0,344.8,342.0,343.8,1703.0,198106.0,18762.0
1981-04-15,342.0,343.7,341.7,343.7,890.0,198106.0,18960.0
1981-04-16,345.0,346.2,345.0,345.7,4741.0,198106.0,18463.0
1981-04-20,346.5,350.2,340.5,349.7,2114.0,198106.0,18273.0
1981-04-21,349.0,349.1,347.5,347.7,1871.0,198106.0,18168.0
1981-04-22,347.7,348.0,345.0,345.7,2085.0,198106.0,18252.0
1981-04-23,348.0,348.6,345.9,346.0,1732.0,198106.0,18029.0
1981-04-24,344.5,347.2,344.0,346.9,2798.0,198106.0,18541.0
1981-04-27,347.9,347.9,346.1,346.2,1125.0,198106.0,18572.0
1981-04-28,345.5,345.5,343.1,343.1,2925.0,198106.0,18577.0
1981-04-29,341.5,344.2,341.5,343.5,1590.0,198106.0,18746.0
1981-04-30,344.5,347.5,344.5,347.5,1701.0,198106.0,18764.0
