Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
1978-04-27,2765.6,2765.6,2765.6,2765.6,156.0,198003.0,5861.0
1978-04-28,2764.4,2764.4,2764.4,2764.4,145.0,198003.0,6006.0
1978-05-01,2760.9,2760.9,2760.9,2760.9,52.0,198003.0,5863.0
1978-05-02,2761.1,2765.9,2761.1,2765.9,1302.0,198003.0,5659.0
1978-05-03,2770.9,2770.9,2770.3,2770.3,2247.0,198003.0,5814.0
1978-05-04,2776.6,2776.6,2774.8,2774.8,1368.0,198003.0,6506.0
1978-05-05,2775.1,2775.1,2774.3,2774.3,206.0,198003.0,6590.0
1978-05-08,2770.5,2770.5,2770.5,2770.5,596.0,198003.0,6946.0
1978-05-09,2768.0,2768.0,2768.0,2768.0,50.0,198003.0,6946.0
1978-05-10,2773.3,2773.3,2773.3,2773.3,64.0,198003.0,7000.0
1978-05-11,2774.4,2774.4,2768.8,2768.8,149.0,198003.0,7055.0
1978-05-12,2769.1,2769.1,2768.9,2768.9,81.0,198003.0,7086.0
1978-05-15,2773.3,2773.3,2773.3,2773.3,193.0,198003.0,7260.0
1978-05-16,2773.1,2778.2,2772.5,2778.2,140.0,198003.0,7350.0
1978-05-17,2778.7,2778.7,2778.4,2778.4,35.0,198003.0,7384.0
1978-05-18,2781.1,2785.1,2781.1,2784.7,114.0,198003.0,7462.0
1978-05-19,2785.1,2785.1,2781.3,2781.3,118.0,198003.0,7561.0
1978-05-22,2782.3,2782.3,2782.3,2782.3,9.0,198003.0,7562.0
1978-05-23,2786.3,2786.3,2786.1,2786.1,2.0,198003.0,7563.0
1978-05-24,2781.9,2781.9,2781.9,2781.9,0.0,198003.0,7562.0
1978-05-25,2788.3,2788.3,2788.3,2788.3,1712.0,198003.0,8781.0
1978-05-26,2787.8,2790.6,2787.6,2790.5,4454.0,198003.0,9466.0
1978-05-30,2800.6,2810.5,2799.9,2808.5,7884.0,198003.0,8567.0
1978-05-31,2812.3,2812.3,2807.8,2807.8,294.0,198003.0,8569.0
1978-06-01,2810.7,2810.7,2810.7,2810.7,62.0,198003.0,8545.0
1978-06-02,2816.2,2816.9,2800.6,2800.6,1610.0,198003.0,10076.0
1978-06-05,2798.9,2798.9,2798.9,2798.9,75.0,198003.0,10088.0
1978-06-06,2796.5,2802.0,2796.3,2802.0,61.0,198003.0,10098.0
1978-06-07,2791.3,2791.3,2790.5,2790.5,11.0,198003.0,10089.0
1978-06-08,2794.3,2794.3,2794.3,2794.3,5.0,198003.0,10091.0
1978-06-09,2789.0,2791.1,2789.0,2791.1,257.0,198003.0,10193.0
1978-06-12,2787.3,2787.3,2787.3,2787.3,16.0,198003.0,10177.0
1978-06-13,2796.9,2796.9,2796.9,2796.9,32.0,198003.0,10191.0
1978-06-14,2790.7,2790.7,2790.7,2790.7,79.0,198003.0,10180.0
1978-06-15,2788.2,2796.2,2788.2,2796.2,134.0,198003.0,10309.0
1978-06-16,2799.4,2799.4,2799.4,2799.4,26.0,198003.0,10321.0
1978-06-19,2803.6,2804.6,2803.6,2804.6,40.0,198003.0,10344.0
1978-06-20,2806.1,2806.1,2803.1,2803.1,83.0,198003.0,10405.0
1978-06-21,2804.6,2805.1,2798.6,2798.8,68.0,198003.0,10425.0
1978-06-22,2795.8,2797.3,2795.6,2797.3,134.0,198003.0,10385.0
1978-06-23,2798.7,2799.3,2796.9,2796.9,162.0,198003.0,10518.0
1978-06-26,2799.1,2799.1,2798.0,2798.0,56.0,198003.0,10494.0
1978-06-27,2799.5,2799.5,2799.5,2799.5,5148.0,198003.0,14997.0
1978-06-28,2800.4,2800.4,2799.8,2799.8,262.0,198003.0,15190.0
1978-06-29,2793.1,2793.1,2788.2,2788.2,56.0,198003.0,15208.0
1978-06-30,2788.6,2790.1,2785.1,2785.1,45.0,198003.0,15210.0
1978-07-03,2788.6,2789.7,2788.1,2789.7,24.0,198003.0,15223.0
1978-07-05,2787.9,2787.9,2787.9,2787.9,468.0,198003.0,15387.0
1978-07-06,2784.6,2784.6,2781.1,2782.2,29.0,198003.0,15392.0
1978-07-07,2786.1,2786.8,2786.1,2786.8,62.0,198003.0,15453.0
1978-07-10,2791.7,2791.7,2791.7,2791.7,51.0,198003.0,15460.0
1978-07-11,2789.7,2790.3,2789.7,2790.3,448.0,198003.0,15600.0
1978-07-12,2793.3,2793.3,2790.5,2790.5,739.0,198003.0,15631.0
1978-07-13,2788.2,2788.2,2788.2,2788.2,278.0,198003.0,15910.0
1978-07-14,2787.1,2787.1,2786.1,2786.1,101.0,198003.0,15910.0
1978-07-17,2778.6,2780.7,2777.6,2780.7,2715.0,198003.0,16682.0
1978-07-18,2780.6,2782.5,2780.6,2782.5,1588.0,198003.0,18216.0
1978-07-19,2786.3,2786.3,2786.3,2786.3,1279.0,198003.0,19361.0
1978-07-20,2797.1,2800.1,2791.1,2800.1,1683.0,198003.0,20367.0
1978-07-21,2807.2,2818.2,2807.2,2810.0,697.0,198003.0,20596.0
1978-07-24,2813.6,2813.6,2810.5,2811.4,1500.0,198003.0,21923.0
1978-07-25,2810.1,2817.4,2810.1,2814.5,9701.0,198003.0,21751.0
1978-07-26,2811.9,2812.3,2806.1,2808.8,948.0,198003.0,21954.0
1978-07-27,2805.8,2815.4,2805.8,2815.4,322.0,198003.0,21945.0
1978-07-28,2823.3,2825.7,2815.4,2819.5,4265.0,198003.0,20772.0
1978-07-31,2822.5,2828.4,2822.5,2828.4,634.0,198003.0,20710.0
1978-08-01,2831.6,2831.6,2817.2,2817.2,5236.0,198003.0,20861.0
1978-08-02,2820.1,2820.1,2814.9,2814.9,432.0,198003.0,21055.0
1978-08-03,2806.6,2808.6,2803.1,2808.6,457.0,198003.0,21081.0
1978-08-04,2814.6,2814.6,2814.6,2814.6,681.0,198003.0,21119.0
1978-08-07,2813.9,2814.5,2813.9,2814.5,97.0,198003.0,21193.0
1978-08-08,2814.6,2817.6,2809.1,2813.8,257.0,198003.0,21289.0
1978-08-09,2812.8,2815.1,2808.0,2808.0,142.0,198003.0,21325.0
1978-08-10,2810.6,2812.0,2810.6,2812.0,428.0,198003.0,21683.0
1978-08-11,2822.5,2822.6,2820.1,2820.1,239.0,198003.0,21840.0
1978-08-14,2824.1,2828.7,2824.1,2828.7,1684.0,198003.0,22728.0
1978-08-15,2823.6,2823.6,2818.1,2820.4,1579.0,198003.0,22908.0
1978-08-16,2822.7,2823.1,2813.1,2813.6,1387.0,198003.0,23096.0
1978-08-17,2804.1,2804.1,2798.1,2798.7,1111.0,198003.0,23487.0
1978-08-18,2804.1,2804.1,2793.9,2794.7,1290.0,198003.0,23436.0
1978-08-21,2792.1,2797.5,2791.9,2797.5,1060.0,198003.0,23766.0
1978-08-22,2796.1,2796.1,2795.4,2795.4,704.0,198003.0,23503.0
1978-08-23,2790.6,2797.1,2789.6,2797.1,2300.0,198003.0,23952.0
1978-08-24,2799.1,2799.1,2795.4,2798.1,844.0,198003.0,24001.0
1978-08-25,2793.1,2797.3,2793.1,2797.3,3684.0,198003.0,25215.0
1978-08-28,2798.5,2798.5,2794.0,2794.0,148.0,198003.0,25272.0
1978-08-29,2802.1,2805.1,2802.1,2805.1,1394.0,198003.0,25648.0
1978-08-30,2805.3,2806.9,2805.1,2806.2,328.0,198003.0,25925.0
1978-08-31,2808.9,2808.9,2805.7,2805.8,243.0,198003.0,25958.0
1978-09-01,2809.0,2812.9,2809.0,2812.9,252.0,198003.0,26076.0
1978-09-05,2810.0,2815.5,2809.4,2815.5,774.0,198003.0,26354.0
1978-09-06,2812.5,2812.5,2808.0,2809.1,1261.0,198003.0,26613.0
1978-09-07,2806.6,2806.6,2801.6,2802.4,2067.0,198003.0,27598.0
1978-09-08,2799.4,2799.4,2795.6,2799.1,469.0,198003.0,27883.0
1978-09-11,2797.3,2800.7,2797.3,2800.4,960.0,198003.0,28208.0
1978-09-12,2802.7,2804.0,2802.1,2803.1,2160.0,198003.0,29291.0
1978-09-13,2805.6,2812.8,2805.6,2812.8,1385.0,198003.0,29839.0
1978-09-14,2809.6,2809.6,2808.3,2809.1,849.0,198003.0,30170.0
1978-09-15,2816.6,2816.7,2810.9,2810.9,1395.0,198003.0,30578.0
1978-09-18,2811.1,2813.4,2810.9,2812.6,199.0,198003.0,30768.0
1978-09-19,2812.2,2817.6,2810.2,2810.2,1193.0,198003.0,30904.0
1978-09-20,2819.1,2822.6,2818.6,2822.6,663.0,198003.0,31135.0
1978-09-21,2823.3,2823.6,2819.6,2821.8,646.0,198003.0,31495.0
1978-09-22,2817.1,2824.4,2817.1,2823.2,1115.0,198003.0,31717.0
1978-09-25,2822.6,2826.1,2821.8,2821.8,1623.0,198003.0,32383.0
1978-09-26,2824.8,2824.8,2814.8,2817.6,2290.0,198003.0,32682.0
1978-09-27,2813.3,2822.6,2813.3,2821.7,6025.0,198003.0,36852.0
1978-09-28,2821.2,2822.3,2819.5,2821.0,3850.0,198003.0,40525.0
1978-09-29,2819.3,2819.3,2817.5,2817.5,1424.0,198003.0,41442.0
