Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2006-02-03,137.09,137.8,136.25,137.69,38433.0,200603.0,27500.0
2006-02-06,138.67,138.82,137.09,137.43,28246.0,200603.0,26386.0
2006-02-07,137.14,137.22,135.13,135.41,45962.0,200603.0,30513.0
2006-02-08,135.28,135.76,134.61,134.87,44873.0,200603.0,33292.0
2006-02-09,135.0,136.05,134.7,134.94,47591.0,200603.0,48200.0
2006-02-10,135.19,135.32,133.67,134.16,38412.0,200603.0,47136.0
2006-02-13,133.96,134.35,133.17,133.56,34072.0,200603.0,50335.0
2006-02-14,133.34,133.63,131.67,131.89,47756.0,200603.0,49842.0
2006-02-15,131.99,132.36,129.93,129.97,61601.0,200603.0,58829.0
2006-02-16,130.23,131.39,129.89,130.78,54510.0,200603.0,61565.0
2006-02-17,131.35,132.18,131.12,131.94,28262.0,200604.0,43536.0
2006-02-20,132.65,133.62,132.45,133.42,6204.0,200604.0,45521.0
2006-02-21,133.42,133.54,132.55,133.39,29124.0,200604.0,46374.0
2006-02-22,133.08,133.08,131.18,131.66,47398.0,200604.0,51651.0
2006-02-23,131.37,131.77,130.37,131.19,50114.0,200604.0,55862.0
2006-02-24,131.58,133.9,131.51,133.56,58446.0,200604.0,61624.0
2006-02-27,133.15,133.2,131.38,131.65,38928.0,200604.0,65568.0
2006-02-28,131.06,132.4,130.98,132.06,52384.0,200604.0,71603.0
2006-03-01,132.2,132.99,132.14,132.62,51069.0,200604.0,76575.0
2006-03-02,132.83,134.29,132.83,134.01,50055.0,200604.0,85466.0
2006-03-03,134.34,134.44,133.36,134.32,53851.0,200604.0,91321.0
2006-03-06,134.35,134.35,132.51,133.06,56547.0,200604.0,95806.0
2006-03-07,133.03,133.41,131.84,132.23,69700.0,200604.0,97040.0
2006-03-08,132.19,132.25,130.0,130.67,71174.0,200604.0,102196.0
2006-03-09,130.43,131.59,130.2,131.12,71273.0,200604.0,105916.0
2006-03-10,131.33,131.45,130.34,130.61,61181.0,200604.0,108863.0
2006-03-13,130.3,132.57,130.25,132.42,69282.0,200604.0,111552.0
