Date,Open,High,Low,Close,Volume,Delivery Month,Open Interest
2003-08-12,95.25,95.255,95.25,95.255,52.0,200309.0,52.0
2003-08-13,95.26,95.26,95.26,95.26,0.0,200309.0,52.0
2003-08-14,95.26,95.26,95.26,95.26,0.0,200309.0,52.0
2003-08-15,95.255,95.255,95.255,95.255,350.0,200309.0,400.0
2003-08-18,95.25,95.25,95.25,95.25,0.0,200309.0,400.0
2003-08-19,95.25,95.25,95.25,95.25,100.0,200309.0,500.0
2003-08-20,95.25,95.25,95.25,95.25,0.0,200309.0,500.0
2003-08-21,95.25,95.25,95.25,95.25,0.0,200309.0,500.0
2003-08-22,95.25,95.25,95.25,95.25,400.0,200309.0,900.0
2003-08-25,95.25,95.25,95.25,95.25,850.0,200309.0,1750.0
2003-08-26,95.25,95.25,95.25,95.25,0.0,200309.0,1750.0
2003-08-27,95.255,95.255,95.255,95.255,0.0,200309.0,1750.0
2003-08-28,95.25,95.25,95.25,95.25,50.0,200309.0,1800.0
2003-08-29,95.25,95.25,95.25,95.25,0.0,200309.0,1800.0
2003-09-01,95.255,95.255,95.25,95.25,407.0,200309.0,2207.0
2003-09-02,95.25,95.25,95.25,95.25,100.0,200309.0,2307.0
2003-09-03,95.24,95.24,95.24,95.24,1550.0,200309.0,3857.0
2003-09-04,95.255,95.255,95.255,95.255,1000.0,200309.0,4857.0
2003-09-05,95.25,95.25,95.25,95.25,300.0,200309.0,5157.0
2003-09-08,95.25,95.25,95.25,95.25,0.0,200309.0,5107.0
2003-09-09,95.25,95.25,95.25,95.25,50.0,200309.0,4757.0
2003-09-10,95.25,95.25,95.25,95.25,550.0,200309.0,5157.0
2003-09-11,95.25,95.25,95.25,95.25,550.0,200309.0,5557.0
2003-09-12,95.25,95.25,95.25,95.25,800.0,200309.0,6257.0
2003-09-15,95.25,95.25,95.25,95.25,310.0,200309.0,6367.0
2003-09-16,95.25,95.25,95.25,95.25,330.0,200309.0,6697.0
2003-09-17,95.25,95.25,95.25,95.25,1170.0,200309.0,6967.0
2003-09-18,95.25,95.25,95.25,95.25,330.0,200309.0,7217.0
2003-09-19,95.25,95.25,95.25,95.25,740.0,200309.0,7817.0
